AC,label-val,cluster
Q09165,10,0.0
Q5VST9-3,2,0.0
P98088,10,1.0
Q9NU22,7,0.0
Q8SX83,7,1.0
Q63HN8,2,1.0
A2AJ76,10,2.0
Q9P7T1,2,2.0
Q12019,7,2.0
O94248,7,2.0
O75592,7,3.0
Q9NZJ4,2,3.0
O13290,2,4.0
P78527,7,4.0
P36022,2,0.0
G5EEV2,7,0.0
Q8WXX0,2,1.0
Q9VCA8,2,2.0
Q03164,7,1.0
Q9Y4A5,7,3.0
P20659,7,4.0
Q96T58,7,0.0
Q62504,7,0.0
Q55DM1,5,0.0
F4HZB2,2,3.0
Q9V5N8,0,0.0
Q20497,7,1.0
A2A9C3,8,0.0
O95613,2,4.0
Q03280,7,2.0
P46013,7,3.0
Q7YZH1,7,4.0
Q6ZRS2,7,1.0
P49792,7,3.0
H2QII6,7,3.0
Q99666,2,3.0
Q9TW32,3,3.0
O94273,3,3.0
D4AY02,10,3.0
Q54SM3,2,3.0
Q38900,2,3.0
P29117,6,3.0
P30405,6,3.0
P52013,2,3.0
B3A0R0,10,3.0
P25719,6,3.0
Q9NDJ2,7,2.0
Q9GV77,0,1.0
Q0KL02,2,0.0
O60229,2,0.0
P18963,2,1.0
P19158,2,1.0
Q8WUY3,2,2.0
A8J666,2,4.0
Q5TBA9,2,2.0
E9QAM5,7,4.0
Q9BYK8,7,4.0
Q868Z9,10,4.0
Q9Y0A1,3,0.0
P11881,3,0.0
Q9Z329,3,0.0
P70227,3,0.0
P98133,10,0.0
Q75N90,10,0.0
Q93442,7,0.0
P21359,7,1.0
Q28295,10,1.0
P04275,10,1.0
P38110,7,2.0
O75691,7,0.0
A8ICS9,2,4.0
Q8MSS1,4,0.0
Q6ZNJ1,3,1.0
Q8IN94,7,1.0
Q8TD26,7,2.0
Q9HCK8,7,2.0
Q09XV5,7,2.0
Q9JIX5,7,2.0
Q95Q95,7,4.0
Q9JLN9,1,4.0
Q9Y7K2,2,4.0
O14356,2,4.0
P33892,2,0.0
Q6UB99,7,3.0
E9Q4F7,7,3.0
Q9DE14,7,0.0
Q13535,7,0.0
A6H584,10,2.0
Q8C6K9,10,2.0
Q06179,6,0.0
A6H8Y1,7,1.0
Q7KTX8,7,4.0
P98159,10,4.0
Q9C0D2,2,1.0
O88491,7,1.0
M9MSG8,0,2.0
Q8IE95,7,3.0
Q8IWZ3,2,2.0
E9Q5F9,7,4.0
Q22258,7,0.0
Q9VW47,7,1.0
Q80TT8,2,0.0
Q8IWT3,2,0.0
O60055,7,3.0
P0CE95,2,1.0
P11717,5,1.0
Q8IVL1,7,2.0
Q80TN7,7,2.0
Q8CH77,2,2.0
P16086,2,1.0
Q8IRW8,7,4.0
P18583,7,0.0
P33334,7,1.0
Q99PV0,7,1.0
Q5U249,7,3.0
G5EGK6,7,4.0
Q9TZM3,4,1.0
P83741,2,2.0
Q9H4A3,2,2.0
Q9JIH7,2,2.0
Q9U1M8,2,3.0
Q4AC94,2,4.0
Q5SWU9,2,1.0
P78820,2,1.0
P32874,6,1.0
Q9IBG7,10,3.0
Q3U492,10,3.0
Q7Z7A1,2,0.0
O01510,2,3.0
Q5S003,2,4.0
O14497,7,0.0
Q8NFD5,7,0.0
Q5VUA4,7,3.0
Q9TXQ1,7,4.0
O60287,7,1.0
Q9Y2F5,7,2.0
Q9DB00,7,3.0
Q11107,7,4.0
Q55FT4,2,0.0
P54697,5,3.0
Q9M2K0,2,3.0
H3K2Y6,7,0.0
Q00416,7,1.0
Q86VV8,2,4.0
P98081,2,0.0
Q9Y6J0,7,2.0
P97479,2,1.0
Q9V3Z6,2,1.0
P07259,2,2.0
O60060,2,2.0
Q0JKD0,9,3.0
Q9LV03,9,3.0
Q03460,9,3.0
Q9C102,2,3.0
Q69RJ0,9,3.0
Q2EG98,0,3.0
Q7Z443,0,3.0
P48415,3,2.0
A1ZA47,2,4.0
Q6EVK6,7,3.0
Q684R7,10,4.0
Q9VMD9,10,0.0
Q9SGH2,7,4.0
P15381,0,4.0
P10040,0,0.0
Q9H583,7,0.0
O75643,7,3.0
P53327,2,3.0
O60072,2,3.0
P61407,2,0.0
Q7TNC6,2,4.0
A4GSN8,7,1.0
Q61043,2,0.0
Q8N4C6,2,0.0
Q14676,7,2.0
Q7PLI2,7,4.0
Q6UB98,7,0.0
O18475,7,1.0
P49025,2,1.0
C7IVR4,2,2.0
