,AC,label-val,cluster,max_ident_other,closest_other
0,Q09165,10,0.0,0.094,P98088
1,Q5VST9-3,2,0.0,0.16,A2AJ76
2,P98088,10,1.0,0.156,A2AJ76
3,Q9NU22,7,0.0,0.28600000000000003,Q12019
4,Q8SX83,7,1.0,0.191,Q62504
5,Q63HN8,2,1.0,0.158,Q9NZJ4
6,A2AJ76,10,2.0,0.166,O75592
7,Q9P7T1,2,2.0,0.16,Q9NZJ4
8,Q12019,7,2.0,0.28600000000000003,Q9NU22
9,O94248,7,2.0,0.278,Q9NU22
10,O75592,7,3.0,0.16699999999999998,A2AJ76
11,Q9NZJ4,2,3.0,0.177,O13290
12,O13290,2,4.0,0.242,P36022
13,P78527,7,4.0,0.174,G5EEV2
14,P36022,2,0.0,0.242,O13290
15,G5EEV2,7,0.0,0.254,Q9Y4A5
16,Q8WXX0,2,1.0,0.19699999999999998,P36022
17,Q9VCA8,2,2.0,0.172,P20659
18,Q03164,7,1.0,0.225,P20659
19,Q9Y4A5,7,3.0,0.254,G5EEV2
20,P20659,7,4.0,0.225,Q03164
21,Q96T58,7,0.0,0.19,Q8SX83
22,Q62504,7,0.0,0.191,Q8SX83
23,Q55DM1,5,0.0,0.235,F4HZB2
24,F4HZB2,2,3.0,0.235,Q55DM1
25,Q9V5N8,0,0.0,0.18,Q9GV77
26,Q20497,7,1.0,0.162,Q9NDJ2
27,A2A9C3,8,0.0,0.179,Q8WUY3
28,O95613,2,4.0,0.201,Q8MSS1
29,Q03280,7,2.0,0.17600000000000002,P18963
30,P46013,7,3.0,0.17600000000000002,Q6ZRS2
31,Q7YZH1,7,4.0,0.174,Q96T58
32,Q6ZRS2,7,1.0,0.254,Q9NDJ2
33,P49792,7,3.0,0.16699999999999998,Q8MSS1
34,H2QII6,7,3.0,0.165,Q8MSS1
35,Q99666,2,3.0,0.182,F4J7T2
36,Q9TW32,3,3.0,0.5710000000000001,Q9UA41
37,O94273,3,3.0,0.486,Q9UA41
38,D4AY02,10,3.0,0.442,Q9UA41
39,Q54SM3,2,3.0,0.621,Q9UA41
40,Q38900,2,3.0,0.61,Q9UA41
41,P29117,6,3.0,0.49200000000000005,Q9ASS6
42,P30405,6,3.0,0.48100000000000004,Q9ASS6
43,P52013,2,3.0,0.423,Q9UA41
44,B3A0R0,10,3.0,0.43700000000000006,Q9UA41
45,P25719,6,3.0,0.526,Q9UA41
46,Q9NDJ2,7,2.0,0.254,Q6ZRS2
47,Q9GV77,0,1.0,0.20199999999999999,Q684R7
48,Q0KL02,2,0.0,0.17800000000000002,E9QAM5
49,O60229,2,0.0,0.172,P46013
50,P18963,2,1.0,0.18,P33892
51,P19158,2,1.0,0.171,P33892
52,Q8WUY3,2,2.0,0.17800000000000002,A2A9C3
53,A8J666,2,4.0,0.16899999999999998,P46013
54,Q5TBA9,2,2.0,0.17300000000000001,P18963
55,E9QAM5,7,4.0,0.17800000000000002,Q0KL02
56,Q9BYK8,7,4.0,0.17300000000000001,P49750
57,Q868Z9,10,4.0,0.17600000000000002,Q75N90
58,Q9Y0A1,3,0.0,0.16699999999999998,P19158
59,P11881,3,0.0,0.16699999999999998,P18963
60,Q9Z329,3,0.0,0.17,P21359
61,P70227,3,0.0,0.16699999999999998,Q684R7
62,P98133,10,0.0,0.185,P04275
63,Q75N90,10,0.0,0.19,Q8N2S1
64,Q93442,7,0.0,0.21,Q7KTX8
65,P21359,7,1.0,0.17800000000000002,P33892
66,Q28295,10,1.0,0.171,Q75N90
67,P04275,10,1.0,0.185,P98133
68,P38110,7,2.0,0.19399999999999998,Q13535
69,O75691,7,0.0,0.235,O60055
70,A8ICS9,2,4.0,0.17800000000000002,Q6ZRS2
71,Q8MSS1,4,0.0,0.201,O95613
72,Q6ZNJ1,3,1.0,0.185,F4HZB2
73,Q8IN94,7,1.0,0.254,O14497
74,Q8TD26,7,2.0,0.19899999999999998,Q7KU24
75,Q9HCK8,7,2.0,0.205,Q8TDI0
76,Q09XV5,7,2.0,0.204,Q7KU24
77,Q9JIX5,7,2.0,0.201,B6ZLK2
78,Q95Q95,7,4.0,0.18899999999999997,Q22258
79,Q9JLN9,1,4.0,0.191,Q13535
80,Q9Y7K2,2,4.0,0.18899999999999997,Q22258
81,O14356,2,4.0,0.198,Q9DE14
82,P33892,2,0.0,0.18100000000000002,O60055
83,Q6UB99,7,3.0,0.313,Q6UB98
84,E9Q4F7,7,3.0,0.315,Q6UB98
85,Q9DE14,7,0.0,0.198,O14356
86,Q13535,7,0.0,0.19399999999999998,P38110
87,A6H584,10,2.0,0.17300000000000001,Q06179
88,Q8C6K9,10,2.0,0.16899999999999998,Q5QNQ9
89,Q06179,6,0.0,0.175,P38110
90,A6H8Y1,7,1.0,0.191,E9Q4F7
91,Q7KTX8,7,4.0,0.21,Q93442
92,P98159,10,4.0,0.168,Q9TZM3
93,Q9C0D2,2,1.0,0.184,Q8MSS1
94,O88491,7,1.0,0.18899999999999997,E9Q5F9
95,M9MSG8,0,2.0,0.16399999999999998,Q9DE14
96,Q8IE95,7,3.0,0.16699999999999998,Q55FT4
97,Q8IWZ3,2,2.0,0.17800000000000002,Q5VUA4
98,E9Q5F9,7,4.0,0.18899999999999997,O88491
99,Q22258,7,0.0,0.18899999999999997,Q95Q95
100,Q9VW47,7,1.0,0.17800000000000002,C7IVR4
101,Q80TT8,2,0.0,0.17800000000000002,Q5ND34
102,Q8IWT3,2,0.0,0.17,Q9Y7K2
103,O60055,7,3.0,0.235,O75691
104,P0CE95,2,1.0,0.17600000000000002,P98081
105,P11717,5,1.0,0.172,P10040
106,Q8IVL1,7,2.0,0.175,P0CE95
107,Q80TN7,7,2.0,0.184,Q5H9F3
108,Q8CH77,2,2.0,0.192,Q6W2J9
109,P16086,2,1.0,0.18600000000000003,Q5TZA2
110,Q8IRW8,7,4.0,0.16899999999999998,Q9UPS6
111,P18583,7,0.0,0.174,Q5VUA4
112,P33334,7,1.0,0.168,Q9TXQ1
113,Q99PV0,7,1.0,0.172,Q38SD2
114,Q5U249,7,3.0,0.18,Q9Y6J0
115,G5EGK6,7,4.0,0.187,Q5VUA4
116,Q9TZM3,4,1.0,0.215,Q38SD2
117,P83741,2,2.0,0.309,Q9BYP7
118,Q9H4A3,2,2.0,0.307,Q9BYP7
119,Q9JIH7,2,2.0,0.337,Q9BYP7
120,Q9U1M8,2,3.0,0.27399999999999997,P97479
121,Q4AC94,2,4.0,0.188,Q5VUA4
122,Q5SWU9,2,1.0,0.17,Q9H583
123,P78820,2,1.0,0.17600000000000002,Q10411
124,P32874,6,1.0,0.16699999999999998,P70227
125,Q9IBG7,10,3.0,0.18,P10040
126,Q3U492,10,3.0,0.183,Q9HCH0
127,Q7Z7A1,2,0.0,0.196,Q8CJ40
128,O01510,2,3.0,0.196,O14356
129,Q5S003,2,4.0,0.177,E9Q4F7
130,O14497,7,0.0,0.254,Q8IN94
