AC,priority,label-val,between_connectivity,cluster
Q5I0E9,False,0,0,0.0
P63033,False,0,0,1.0
Q9NR71,False,0,0,2.0
Q86XT9,False,0,0,3.0
A2CI98,False,0,0,3.0
O75326,False,0,0,3.0
P93004,False,0,0,3.0
Q96FE7,False,0,0,4.0
Q9BSF0,False,0,0,4.0
Q6QNK2,False,0,0,4.0
Q708S7,False,0,0,3.0
Q708S6,False,0,0,3.0
O23507,False,0,0,4.0
P33527,False,0,0,0.0
Q9NPI9,False,0,0,2.0
Q708S8,False,0,0,3.0
Q944M5,False,0,0,2.0
Q9Y4C2,False,0,0,0.0
O93295,False,0,0,1.0
Q9SD53,False,0,0,4.0
Q80ZI2,False,0,0,1.0
Q14524,False,0,0,3.0
G5EBN9,False,0,0,0.0
Q9XIM7,False,0,0,4.0
O54982,False,0,0,2.0
Q24210,False,0,0,4.0
Q9SVT8,False,0,0,1.0
D4AD53,False,0,0,3.0
Q42438,False,0,0,2.0
Q5QGZ9,False,0,0,1.0
Q03770,False,0,0,4.0
Q9GKE8,False,0,0,4.0
Q8NCG7,False,0,0,2.0
Q14246,False,0,0,3.0
Q8GWJ6,False,0,0,0.0
Q923X1,False,0,0,3.0
Q8L8Z1,False,0,0,4.0
Q949G3,False,0,0,3.0
Q9C6K9,False,0,0,0.0
Q70Z44,False,0,0,1.0
D2K6F1,False,0,0,0.0
Q9LFB8,False,0,0,2.0
Q02785,False,0,0,3.0
Q9VWE0,False,0,0,3.0
Q9D1N4,False,0,0,1.0
Q8W4I7,False,0,0,2.0
Q8K0H1,False,0,0,0.0
P22462-2,False,0,0,3.0
P22462-3,False,0,0,3.0
G5EGT9,False,0,0,1.0
Q9SAH0,False,0,0,1.0
Q03614,False,0,0,0.0
Q9UGT4,False,0,0,0.0
Q8BWU1,False,0,0,1.0
P25378,False,0,0,1.0
Q9H244,False,0,0,1.0
P38727,False,0,0,4.0
P49238,False,0,0,4.0
O24367,False,0,0,3.0
Q96NR3,False,0,0,1.0
P04775,False,0,0,3.0
Q08733,False,0,0,3.0
Q52085,False,0,0,0.0
Q8RX77,False,0,0,2.0
P11234,False,0,0,1.0
Q9SKA9,False,0,0,1.0
P08953,False,0,0,3.0
Q9LYU7,False,0,0,1.0
Q2EG98,False,0,0,1.0
Q9S752,False,0,0,1.0
Q8C8C1,False,0,0,1.0
Q5W7F1,False,0,0,2.0
Q9JKB0,False,0,0,3.0
Q6ZJ91,False,0,0,1.0
P78348,False,0,0,3.0
P30273,False,0,0,3.0
O80662,False,0,0,1.0
Q6GTX8,False,0,0,4.0
Q9LVI6,False,0,0,0.0
Q61088,False,0,0,1.0
P43287,False,0,0,3.0
P43286,False,0,0,3.0
Q63344,False,0,0,3.0
Q969I6,False,0,0,1.0
Q9ZV87,False,0,0,0.0
P53379,False,0,0,0.0
Q5ANA3,False,0,0,3.0
Q8VCH2,False,0,0,0.0
Q12256,False,0,0,4.0
Q9C6B8,False,0,0,0.0
P19327,False,0,0,2.0
P28566,False,0,0,2.0
P28565,False,0,0,2.0
P28564,False,0,0,2.0
Q07950,False,0,0,1.0
Q8R456,False,0,0,1.0
P43353,False,0,0,4.0
P22739,False,0,0,3.0
P30530,False,0,0,4.0
Q13641,False,0,0,4.0
Q18PF5,False,0,0,4.0
P63138,False,0,0,1.0
A9ZSY3,False,0,0,3.0
P51172,False,0,0,0.0
O81445,False,0,0,1.0
Q12303,False,0,0,0.0
O14931,False,0,0,4.0
G5EG88,False,0,0,4.0
Q9LSD8,False,0,0,0.0
Q8L7E9,False,0,0,4.0
O08603,False,0,0,4.0
Q8L796,False,0,0,4.0
Q8VYG0,False,0,0,0.0
Q95QW4,False,0,0,4.0
Q9ZWC8,False,0,0,0.0
Q9LQL2,False,0,0,2.0
Q86SQ4,False,0,0,1.0
Q9H665,False,0,0,0.0
P18089,False,0,0,2.0
Q7XJT7,False,0,0,4.0
M5A7P9,False,0,0,2.0
Q42371,False,0,0,0.0
Q9W534,False,0,0,4.0
P40043,False,0,0,4.0
Q12791,False,0,0,2.0
Q62962,False,0,0,3.0
Q4VAE3,False,0,0,1.0
Q02013,False,0,0,3.0
Q59XM0,False,0,0,4.0
Q9Y6L6,False,0,0,3.0
Q9SVQ3,False,0,0,4.0
Q9ZUT3,False,0,0,1.0
Q8TDU6,False,0,0,1.0
Q940Y5,False,0,0,0.0
Q00788,False,0,0,0.0
Q9JJV4,False,0,0,1.0
O88454,False,0,0,2.0
O97148,False,0,0,4.0
Q3E7D0,False,0,0,1.0
Q8WNR0,False,0,0,4.0
Q9VSL7,False,0,0,0.0
Q9LYN8,False,0,0,0.0
Q4KL25,False,0,0,1.0
Q9U298,False,0,0,1.0
Q9FWX6,False,0,0,2.0
P13498,False,0,0,4.0
P43144,False,0,0,1.0
Q39203,False,0,0,0.0
P30302,False,0,0,3.0
D3W0D1,False,0,0,1.0
O64759,False,0,0,0.0
Q03206,False,0,0,1.0
O04529,False,0,0,4.0
Q6R6I6,False,0,0,4.0
O80809,False,0,0,0.0
Q9LPT1,False,0,0,0.0
Q76JU9,False,0,0,0.0
O76689,False,0,0,0.0
A6NC51,False,0,0,4.0
Q9BXA5,False,0,0,0.0
Q92637,False,0,0,4.0
P23229,False,0,0,1.0
Q00959,False,0,0,3.0
P15260,False,0,0,0.0
P15261,False,0,0,0.0
Q40687,False,0,0,0.0
Q86TG1,False,0,0,4.0
Q9R155,False,0,0,1.0
P81909,False,0,0,4.0
O61967,False,0,0,0.0
Q9Z138,False,0,0,1.0
P79960,False,0,0,4.0
P53835,False,0,0,4.0
Q8K1P8,False,0,0,0.0
Q8N292,False,0,0,1.0
Q8BLA8,False,0,0,3.0
P50571,False,0,0,1.0
P93604,False,0,0,4.0
P13385,False,0,0,0.0
P12314,False,0,0,4.0
Q05777,False,0,0,2.0
Q9M2Z1,False,0,0,0.0
O80725,False,0,0,3.0
Q9C9Y6,False,0,0,0.0
Q9NYG8,False,0,0,2.0
Q7XBS0,False,0,0,1.0
Q12333,False,0,0,4.0
Q8LFH5,False,0,0,2.0
G5EGL9,False,0,0,3.0
Q9BXP2,False,0,0,0.0
Q56WM6,False,0,0,4.0
Q7TS55,False,0,0,4.0
Q7Z020,False,0,0,3.0
Q9Z0M6,False,0,0,3.0
Q32M45,False,0,0,3.0
O01811,False,0,0,3.0
O00206,False,0,0,3.0
Q6UX01,False,0,0,1.0
Q24247,False,0,0,1.0
Q9WTY2,False,0,0,1.0
Q9JJV9,False,0,0,3.0
Q2M3C6,False,0,0,1.0
Q91X52,False,0,0,0.0
Q9TTY5,False,0,0,1.0
Q5RKR3,False,0,0,4.0
C0LGW6,False,0,0,0.0
Q9HBX8,False,0,0,2.0
Q9HBX9,False,0,0,4.0
O08892,False,0,0,2.0
P27448,False,0,0,3.0
Q96QD8,False,0,0,1.0
Q8VHW2,False,0,0,1.0
Q9SH14,False,0,0,0.0
Q12891,False,0,0,2.0
Q96EP9,False,0,0,1.0
Q9SW27,False,0,0,0.0
P15390,False,0,0,3.0
Q8VHW8,False,0,0,3.0
Q96247,False,0,0,4.0
Q9QUR8,False,0,0,3.0
Q9DCP2,False,0,0,1.0
Q9HAB3,False,0,0,0.0
Q13336,False,0,0,1.0
P51905,False,0,0,0.0
P54760,False,0,0,3.0
P24348,False,0,0,0.0
Q84T94,False,0,0,4.0
Q12207,False,0,0,4.0
P32037,False,0,0,3.0
O88788,False,0,0,0.0
P46940,False,0,0,3.0
Q8W4J9,False,0,0,1.0
O54698,False,0,0,4.0
Q12809,False,0,0,1.0
Q6Z2T3,False,0,0,3.0
Q13237,False,0,0,4.0
Q9ZQI2,False,0,0,4.0
Q3U9N9,False,0,0,0.0
P13637,False,0,0,3.0
Q9ZR72,False,0,0,3.0
O35173,False,0,0,3.0
O61491,False,0,0,1.0
Q8IWT6,False,0,0,4.0
P41144,False,0,0,4.0
P08219,False,0,0,1.0
P04264,False,0,0,1.0
P41143,False,0,0,4.0
O88407,False,0,0,4.0
Q9LV40,False,0,0,4.0
Q4FZU9,False,0,0,0.0
P78410,False,0,0,4.0
P0DMS1,False,0,0,4.0
Q9SCZ4,False,0,0,0.0
O15552,False,0,0,0.0
P40169,False,0,0,1.0
Q9M9T4,False,0,0,2.0
O15554,False,0,0,1.0
Q3TWN3,False,0,0,0.0
Q28362,False,0,0,2.0
A6NFA1,False,0,0,4.0
Q9JKA7,False,0,0,3.0
P21917,False,0,0,2.0
Q96E93,False,0,0,3.0
Q38873,False,0,0,2.0
Q38872,False,0,0,2.0
O60503,False,0,0,3.0
P15116,False,0,0,1.0
P51830,False,0,0,3.0
P20789,False,0,0,3.0
P53987,False,0,0,3.0
P53986,False,0,0,3.0
O88917,False,0,0,3.0
Q06451,False,0,0,3.0
O88713,False,0,0,3.0
C0LGL9,False,0,0,0.0
Q495A1,False,0,0,4.0
Q91ZE5,False,0,0,3.0
Q8K3P1,False,0,0,3.0
Q9FKP4,False,0,0,1.0
C0LGD7,False,0,0,0.0
O44616,False,0,0,3.0
Q23022,False,0,0,1.0
P08069,False,0,0,3.0
Q8SWR3,False,0,0,4.0
Q6AWJ9,False,0,0,1.0
Q3EB59,False,0,0,0.0
P42866,False,0,0,4.0
P08220,False,0,0,1.0
Q7M730,False,0,0,4.0
Q8VZG8,False,0,0,0.0
