,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,Q5I0E9,False,0,0,0.0,0.193,O75326
1,P63033,False,0,0,1.0,0.23800000000000002,Q8CFP6
2,Q9NR71,False,0,0,2.0,0.184,Q9S7Z8
3,Q86XT9,False,0,0,3.0,0.21899999999999997,I0J062
4,A2CI98,False,0,0,3.0,0.19399999999999998,O94927
5,O75326,False,0,0,3.0,0.249,Q62178
6,P93004,False,0,0,3.0,0.237,Q9M8W5
7,Q96FE7,False,0,0,4.0,0.205,Q92506
8,Q9BSF0,False,0,0,4.0,0.231,P0DMT2
9,Q6QNK2,False,0,0,4.0,0.22,Q9HBW9
10,Q708S7,False,0,0,3.0,0.207,P37091
11,Q708S6,False,0,0,3.0,0.21,P37091
12,O23507,False,0,0,4.0,0.205,P11117
13,P33527,False,0,0,0.0,0.22899999999999998,P26362
14,Q9NPI9,False,0,0,2.0,0.19699999999999998,Q9Z2E9
15,Q708S8,False,0,0,3.0,0.205,P51172
16,Q944M5,False,0,0,2.0,0.209,Q5SVD0
17,Q9Y4C2,False,0,0,0.0,0.18899999999999997,Q9LR78
18,O93295,False,0,0,1.0,0.239,Q9SQG2
19,Q9SD53,False,0,0,4.0,0.196,Q9SCX9
20,Q80ZI2,False,0,0,1.0,0.20800000000000002,Q04231
21,Q14524,False,0,0,3.0,0.21100000000000002,P15381
22,G5EBN9,False,0,0,0.0,0.19899999999999998,P32837
23,Q9XIM7,False,0,0,4.0,0.245,F4I1G5
24,O54982,False,0,0,2.0,0.191,P47735
25,Q24210,False,0,0,4.0,0.214,Q63553
26,Q9SVT8,False,0,0,1.0,0.23399999999999999,Q9M6N7
27,D4AD53,False,0,0,3.0,0.188,Q5TKA1
28,Q42438,False,0,0,2.0,0.262,O65554
29,Q5QGZ9,False,0,0,1.0,0.268,Q6QLQ4
30,Q03770,False,0,0,4.0,0.188,P48813
31,Q9GKE8,False,0,0,4.0,0.20199999999999999,Q9NQQ7
32,Q8NCG7,False,0,0,2.0,0.18899999999999997,Q9W534
33,Q14246,False,0,0,3.0,0.195,Q6QNK2
34,Q8GWJ6,False,0,0,0.0,0.222,B0FHH8
35,Q923X1,False,0,0,3.0,0.21100000000000002,Q6QNK2
36,Q8L8Z1,False,0,0,4.0,0.221,Q9H061
37,Q949G3,False,0,0,3.0,0.214,Q9C0Y5
38,Q9C6K9,False,0,0,0.0,0.252,Q9M3D8
39,Q70Z44,False,0,0,1.0,0.2,Q401N2
40,D2K6F1,False,0,0,0.0,0.19,P28037
41,Q9LFB8,False,0,0,2.0,0.188,F4JTB3
42,Q02785,False,0,0,3.0,0.267,Q9C0Y5
43,Q9VWE0,False,0,0,3.0,0.182,Q17353
44,Q9D1N4,False,0,0,1.0,0.212,Q8LEK4
45,Q8W4I7,False,0,0,2.0,0.253,O65554
46,Q8K0H1,False,0,0,0.0,0.201,Q84P23
47,P22462-2,False,0,0,3.0,0.188,P23949
48,P22462-3,False,0,0,3.0,0.19399999999999998,P23949
49,G5EGT9,False,0,0,1.0,0.22,Q9H3Y6
50,Q9SAH0,False,0,0,1.0,0.226,Q02783
51,Q03614,False,0,0,0.0,0.18899999999999997,Q8IY34
52,Q9UGT4,False,0,0,0.0,0.19699999999999998,Q96C12
53,Q8BWU1,False,0,0,1.0,0.242,P02767
54,P25378,False,0,0,1.0,0.21899999999999997,P35719
55,Q9H244,False,0,0,1.0,0.259,P32249
56,P38727,False,0,0,4.0,0.198,Q9LZM7
57,P49238,False,0,0,4.0,0.27,P32249
58,O24367,False,0,0,3.0,0.19699999999999998,Q9C0Y5
59,Q96NR3,False,0,0,1.0,0.187,O14310
60,P04775,False,0,0,3.0,0.20199999999999999,P15381
61,Q08733,False,0,0,3.0,0.20800000000000002,Q9M8W5
62,Q52085,False,0,0,0.0,0.209,O74947
63,Q8RX77,False,0,0,2.0,0.192,C0LGU0
64,P11234,False,0,0,1.0,0.27899999999999997,Q9NYS0
65,Q9SKA9,False,0,0,1.0,0.282,O22920
66,P08953,False,0,0,3.0,0.207,Q9LYN8
67,Q9LYU7,False,0,0,1.0,0.228,Q9FM85
68,Q2EG98,False,0,0,1.0,0.156,O60242
69,Q9S752,False,0,0,1.0,0.207,Q6VUP9
70,Q8C8C1,False,0,0,1.0,0.20199999999999999,H2KZ72
71,Q5W7F1,False,0,0,2.0,0.19399999999999998,Q39041
72,Q9JKB0,False,0,0,3.0,0.187,Q8K1M4
73,Q6ZJ91,False,0,0,1.0,0.213,Q96H72
74,P78348,False,0,0,3.0,0.223,P51170
75,P30273,False,0,0,3.0,0.23199999999999998,P84843
76,O80662,False,0,0,1.0,0.201,Q9ZRW8
77,Q6GTX8,False,0,0,4.0,0.256,Q8NHJ6
78,Q9LVI6,False,0,0,0.0,0.23800000000000002,Q9M9E0
79,Q61088,False,0,0,1.0,0.191,Q8R316
80,P43287,False,0,0,3.0,0.207,Q9M8W5
81,P43286,False,0,0,3.0,0.21,O13752
82,Q63344,False,0,0,3.0,0.255,Q3U9N9
83,Q969I6,False,0,0,1.0,0.19899999999999998,Q04437
84,Q9ZV87,False,0,0,0.0,0.20199999999999999,Q94AU7
85,P53379,False,0,0,0.0,0.203,Q03168
86,Q5ANA3,False,0,0,3.0,0.27699999999999997,Q9C0Y5
87,Q8VCH2,False,0,0,0.0,0.21100000000000002,P60827
88,Q12256,False,0,0,4.0,0.249,O59700
