,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,Q5I0E9,False,0,0,0.0,0.261,Q9USK3
1,P63033,False,0,0,1.0,0.27,P11234
2,Q9NR71,False,0,0,2.0,0.184,Q9S7Z8
3,Q86XT9,False,0,0,3.0,0.21899999999999997,I0J062
4,A2CI98,False,0,0,4.0,0.19399999999999998,O94927
5,O75326,False,0,0,1.0,0.249,Q62178
6,P93004,False,0,0,3.0,0.237,Q9M8W5
7,Q96FE7,False,0,0,4.0,0.205,Q92506
8,Q9BSF0,False,0,0,4.0,0.23,Q49B96
9,Q6QNK2,False,0,0,0.0,0.22,Q9HBW9
10,Q708S7,False,0,0,1.0,0.207,P37091
11,Q708S6,False,0,0,1.0,0.21,P37091
12,O23507,False,0,0,4.0,0.205,B7SIW1
13,P33527,False,0,0,0.0,0.22899999999999998,P26362
14,Q9NPI9,False,0,0,2.0,0.19699999999999998,Q9Z2E9
15,Q708S8,False,0,0,1.0,0.19699999999999998,P37091
16,Q944M5,False,0,0,2.0,0.201,Q8RXA8
17,Q9Y4C2,False,0,0,4.0,0.18899999999999997,Q9LR78
18,O93295,False,0,0,4.0,0.242,Q9HEM6
19,Q9SD53,False,0,0,0.0,0.196,Q9SCX9
20,Q80ZI2,False,0,0,1.0,0.20800000000000002,Q04231
21,Q14524,False,0,0,0.0,0.21100000000000002,P15381
22,G5EBN9,False,0,0,4.0,0.23199999999999998,O76689
23,Q9XIM7,False,0,0,1.0,0.245,F4I1G5
24,O54982,False,0,0,1.0,0.187,Q9Z258
25,Q24210,False,0,0,3.0,0.19699999999999998,Q96JB8
26,Q9SVT8,False,0,0,2.0,0.209,Q9JLT4
27,D4AD53,False,0,0,3.0,0.243,P25122
28,Q42438,False,0,0,1.0,0.262,O65554
29,Q5QGZ9,False,0,0,2.0,0.268,Q6QLQ4
30,Q03770,False,0,0,2.0,0.188,P48813
31,Q9GKE8,False,0,0,2.0,0.19699999999999998,O74439
32,Q8NCG7,False,0,0,0.0,0.18899999999999997,Q9W534
33,Q14246,False,0,0,0.0,0.281,Q9Z0M6
34,Q9TV66,False,0,0,3.0,0.203,Q9ULT6
35,Q8GWJ6,False,0,0,0.0,0.221,P0DMT1
36,Q923X1,False,0,0,1.0,0.266,Q91ZE5
37,Q8L8Z1,False,0,0,2.0,0.27399999999999997,Q9SUP0
38,Q949G3,False,0,0,1.0,0.261,P33302
39,Q9C6K9,False,0,0,0.0,0.256,Q9ZNQ8
40,Q70Z44,False,0,0,4.0,0.2,Q401N2
41,D2K6F1,False,0,0,1.0,0.19,P28037
42,Q9LFB8,False,0,0,1.0,0.254,Q8IY34
43,Q02785,False,0,0,0.0,0.267,Q9C0Y5
44,Q9VWE0,False,0,0,4.0,0.182,Q17353
45,Q9D1N4,False,0,0,2.0,0.20199999999999999,Q9FMW9
46,Q8W4I7,False,0,0,1.0,0.253,O65554
47,Q8K0H1,False,0,0,0.0,0.264,Q9USK3
48,P22462-2,False,0,0,4.0,0.28800000000000003,P15384
49,P22462-3,False,0,0,4.0,0.29,P15384
50,G5EGT9,False,0,0,0.0,0.19399999999999998,A8R7E6
51,Q9SAH0,False,0,0,2.0,0.225,Q058N4
52,Q03614,False,0,0,4.0,0.267,O76689
53,Q9UGT4,False,0,0,3.0,0.19699999999999998,Q96C12
54,Q8BWU1,False,0,0,0.0,0.242,P02767
55,P25378,False,0,0,3.0,0.28600000000000003,Q96A58
56,Q9H244,False,0,0,0.0,0.295,P25105
57,P38727,False,0,0,2.0,0.251,P53174
58,P49238,False,0,0,3.0,0.28800000000000003,Q2TAD5
59,O24367,False,0,0,1.0,0.265,P33302
60,Q96NR3,False,0,0,2.0,0.187,O14310
61,P04775,False,0,0,0.0,0.20199999999999999,P15381
62,Q08733,False,0,0,3.0,0.26,Q6Z2T3
63,Q52085,False,0,0,4.0,0.209,O74947
64,Q8RX77,False,0,0,1.0,0.248,Q8IY34
65,P11234,False,0,0,4.0,0.27899999999999997,Q9NYS0
66,Q9SKA9,False,0,0,0.0,0.282,O22920
67,P08953,False,0,0,2.0,0.209,Q9GL65
68,Q8R4G0,False,0,0,0.0,0.248,O09118
69,Q9LYU7,False,0,0,2.0,0.244,Q0WRY5
70,Q2EG98,False,0,0,2.0,0.161,Q9VAW5
71,Q9S752,False,0,0,3.0,0.207,Q6VUP9
72,Q8C8C1,False,0,0,1.0,0.19699999999999998,Q99N93
73,Q5W7F1,False,0,0,2.0,0.19399999999999998,Q39041
74,Q9JKB0,False,0,0,3.0,0.185,Q8WQL7
75,Q6ZJ91,False,0,0,2.0,0.23,O94639
76,P78348,False,0,0,1.0,0.223,P51170
77,P30273,False,0,0,3.0,0.23199999999999998,P84843
78,O80662,False,0,0,0.0,0.201,Q9ZRW8
79,Q6GTX8,False,0,0,3.0,0.256,Q8NHJ6
80,Q9LVI6,False,0,0,0.0,0.29600000000000004,C0LGP9
81,Q61088,False,0,0,3.0,0.192,Q86Y34
82,P43287,False,0,0,3.0,0.25,Q6Z2T3
83,P43286,False,0,0,3.0,0.256,Q6Z2T3
84,Q63344,False,0,0,1.0,0.255,Q3U9N9
85,Q969I6,False,0,0,4.0,0.212,Q9R0W5
86,Q9ZV87,False,0,0,3.0,0.20199999999999999,O13970
87,P53379,False,0,0,2.0,0.203,Q03168
88,Q5ANA3,False,0,0,0.0,0.27699999999999997,Q9C0Y5
89,Q8VCH2,False,0,0,3.0,0.20199999999999999,Q2XNF5
90,Q12256,False,0,0,2.0,0.259,Q10487
91,Q9C6B8,False,0,0,3.0,0.18100000000000002,P87109
92,P19327,False,0,0,2.0,0.29600000000000004,P31390
93,P28566,False,0,0,2.0,0.27699999999999997,P35367
94,P28565,False,0,0,2.0,0.273,P35367
95,P28564,False,0,0,2.0,0.273,O14804
96,Q07950,False,0,0,1.0,0.191,A8W7I5
97,Q8R456,False,0,0,1.0,0.22699999999999998,O08858
98,Q9UHI7,False,0,0,1.0,0.28800000000000003,Q0WPE9
99,P43353,False,0,0,4.0,0.25,O24174
100,P22739,False,0,0,3.0,0.298,P25122
101,P30530,False,0,0,4.0,0.244,P21709
102,Q13641,False,0,0,1.0,0.228,Q86UN3
103,Q9UM73,False,0,0,0.0,0.192,O73798
104,Q18PF5,False,0,0,1.0,0.191,P54144
105,P63138,False,0,0,4.0,0.203,P54244
106,A9ZSY3,False,0,0,0.0,0.284,Q8VZR6
107,P51172,False,0,0,1.0,0.273,P51170
108,O81445,False,0,0,4.0,0.213,P08733
109,Q12303,False,0,0,2.0,0.22,P83495
110,O14931,False,0,0,1.0,0.235,P16410
111,G5EG88,False,0,0,0.0,0.273,P48180
112,Q9LSD8,False,0,0,0.0,0.228,P69939
113,Q8L7E9,False,0,0,1.0,0.192,Q9STX1
114,O08603,False,0,0,3.0,0.252,B1B212
115,Q8L796,False,0,0,1.0,0.183,O75005
116,Q8VYG0,False,0,0,0.0,0.262,Q9LV48
117,Q95QW4,False,0,0,0.0,0.201,Q9LXS1
118,Q9ZWC8,False,0,0,1.0,0.242,C0LGG8
119,Q9LQL2,False,0,0,1.0,0.231,Q924V4
120,Q86SQ4,False,0,0,0.0,0.284,Q8IZP9
121,Q9H665,False,0,0,3.0,0.214,Q13461
122,P18089,False,0,0,2.0,0.244,P31390
123,Q7XJT7,False,0,0,0.0,0.21600000000000003,Q9M8S2
124,O73798,False,0,0,3.0,0.18899999999999997,Q9UM73
125,M5A7P9,False,0,0,0.0,0.264,G5EBK1
126,Q42371,False,0,0,1.0,0.271,P43298
127,Q9W534,False,0,0,4.0,0.192,Q8NEM7
128,P40043,False,0,0,2.0,0.226,P38276
129,Q12791,False,0,0,1.0,0.212,Q9Z258
130,Q62962,False,0,0,1.0,0.22,P37091
131,Q4VAE3,False,0,0,4.0,0.22899999999999998,O82251
132,Q02013,False,0,0,3.0,0.261,Q6Z2T3
133,Q59XM0,False,0,0,3.0,0.21100000000000002,Q9P3E8
134,Q9Y6L6,False,0,0,2.0,0.26899999999999996,Q71MB6
135,A0PJK1,False,0,0,4.0,0.20199999999999999,Q1EHB4
136,Q9SVQ3,False,0,0,3.0,0.21,Q94C74
137,Q9ZUT3,False,0,0,0.0,0.225,Q99935
138,Q8TDU6,False,0,0,4.0,0.243,O14842
139,Q940Y5,False,0,0,3.0,0.198,B6V874
140,Q00788,False,0,0,0.0,0.239,Q9P296
141,Q9JJV4,False,0,0,4.0,0.196,P17936
142,O88454,False,0,0,3.0,0.20800000000000002,Q9C9W5
143,O97148,False,0,0,2.0,0.187,Q39249
144,Q3E7D0,False,0,0,4.0,0.28800000000000003,Q0WPE9
145,Q8WNR0,False,0,0,2.0,0.271,P38865
146,Q9VSL7,False,0,0,4.0,0.256,Q13433
147,Q9LYN8,False,0,0,1.0,0.245,C0LGN2
148,Q4KL25,False,0,0,0.0,0.213,P0DKC2
149,Q9U298,False,0,0,4.0,0.266,P54244
150,Q9FWX6,False,0,0,2.0,0.205,Q9LVG3
151,P13498,False,0,0,0.0,0.21899999999999997,Q12562
152,P43144,False,0,0,4.0,0.254,G5EG88
153,Q39203,False,0,0,3.0,0.267,Q8RY65
154,P30302,False,0,0,3.0,0.248,Q6Z2T3
155,D3W0D1,False,0,0,0.0,0.235,Q6QLQ4
156,O64759,False,0,0,0.0,0.217,Q92536
157,Q03206,False,0,0,4.0,0.244,Q9NYS0
158,O04529,False,0,0,4.0,0.228,P45452
159,Q6R6I6,False,0,0,2.0,0.185,Q91ZE5
160,O80809,False,0,0,0.0,0.28600000000000003,Q9MA83
161,Q9LPT1,False,0,0,0.0,0.278,C0LGP9
162,Q76JU9,False,0,0,1.0,0.276,O00270
163,O76689,False,0,0,0.0,0.27699999999999997,O35316
164,A6NC51,False,0,0,2.0,0.278,Q8N682
165,Q9BXA5,False,0,0,0.0,0.27,P32249
166,Q92637,False,0,0,1.0,0.20600000000000002,Q9XFI1
167,P23229,False,0,0,3.0,0.275,P53708
168,Q00959,False,0,0,0.0,0.193,Q24418
169,P15260,False,0,0,3.0,0.196,Q99158
170,P15261,False,0,0,3.0,0.196,Q9QXZ7
171,Q8JZM4,False,0,0,2.0,0.187,Q62918
172,Q40687,False,0,0,0.0,0.23600000000000002,Q96DI7
173,Q86TG1,False,0,0,2.0,0.21600000000000003,Q9LS02
174,Q9R155,False,0,0,4.0,0.233,A8J6J0
175,P81909,False,0,0,1.0,0.2,P01014
176,O61967,False,0,0,2.0,0.221,Q93373
177,Q9Z138,False,0,0,3.0,0.226,P30530
178,P79960,False,0,0,0.0,0.28800000000000003,O00421
179,P53835,False,0,0,1.0,0.18100000000000002,P25574
180,Q8K1P8,False,0,0,2.0,0.217,O60669
181,Q8N292,False,0,0,3.0,0.21600000000000003,Q9CAC5
182,Q8BLA8,False,0,0,4.0,0.231,Q18297
183,P50571,False,0,0,4.0,0.19899999999999998,Q91XT6
184,P93604,False,0,0,1.0,0.259,Q96285
185,P13385,False,0,0,3.0,0.233,Q9ER63
186,P12314,False,0,0,1.0,0.252,Q7L513
187,Q05777,False,0,0,1.0,0.256,Q9HDV8
188,Q9M2Z1,False,0,0,1.0,0.298,C0LGH3
189,O80725,False,0,0,1.0,0.201,Q5T3U5
190,Q9C9Y6,False,0,0,3.0,0.248,O94504
191,Q9NYG8,False,0,0,3.0,0.201,Q9SNC3
192,Q7XBS0,False,0,0,4.0,0.193,Q57VU6
193,Q12333,False,0,0,2.0,0.193,P32559
194,Q8LFH5,False,0,0,2.0,0.212,Q9GZR5
195,G5EGL9,False,0,0,3.0,0.19,Q3EDG5
196,Q9BXP2,False,0,0,4.0,0.239,Q7YRU6
197,Q56WM6,False,0,0,3.0,0.198,Q9Y091
198,Q7TS55,False,0,0,2.0,0.217,Q4VAE3
199,Q7Z020,False,0,0,4.0,0.23199999999999998,Q18297
200,Q9Z0M6,False,0,0,3.0,0.28,Q14246
201,Q32M45,False,0,0,1.0,0.209,Q9NW15
202,O01811,False,0,0,3.0,0.21100000000000002,Q8NJP6
203,O00206,False,0,0,4.0,0.20600000000000002,P08953
204,Q6UX01,False,0,0,2.0,0.2,F4I8Q7
205,Q24247,False,0,0,3.0,0.265,P53708
206,P32329,False,0,0,2.0,0.21600000000000003,Q9XEC4
207,Q9WTY2,False,0,0,2.0,0.204,Q8K4K2
208,Q9JJV9,False,0,0,0.0,0.20199999999999999,P15381
209,Q2M3C6,False,0,0,3.0,0.205,P93836
210,Q91X52,False,0,0,0.0,0.261,Q9BPX1
211,Q9TTY5,False,0,0,3.0,0.28,Q9EPX4
212,Q5RKR3,False,0,0,4.0,0.222,Q6NUI6
213,Q9SZW4,False,0,0,1.0,0.221,O59666
214,C0LGW6,False,0,0,1.0,0.278,Q9SCT4
215,Q9HBX8,False,0,0,2.0,0.21,Q9M2Z1
216,Q9HBX9,False,0,0,2.0,0.198,Q9H1D0
217,O08892,False,0,0,2.0,0.27899999999999997,P30546
218,P27448,False,0,0,1.0,0.29100000000000004,Q9IA88
219,Q96QD8,False,0,0,4.0,0.225,O74327
220,Q8VHW2,False,0,0,4.0,0.215,O15178
221,Q9SH14,False,0,0,0.0,0.213,Q9BUE6
222,Q12891,False,0,0,4.0,0.27699999999999997,P86100
223,Q96EP9,False,0,0,3.0,0.20800000000000002,Q8WMV1
224,Q9SW27,False,0,0,0.0,0.212,Q9BRA2
225,P15390,False,0,0,0.0,0.21100000000000002,P15381
226,Q8VHW8,False,0,0,4.0,0.21,Q940Q3
227,Q96247,False,0,0,3.0,0.209,Q42400
228,Q9QUR8,False,0,0,1.0,0.242,Q62178
229,Q9DCP2,False,0,0,4.0,0.21,Q9FKS8
230,Q9HAB3,False,0,0,4.0,0.209,Q9Y256
231,Q13336,False,0,0,1.0,0.265,Q62668
232,P51905,False,0,0,4.0,0.26,O76689
233,P54760,False,0,0,2.0,0.24,P30530
234,P24348,False,0,0,3.0,0.18100000000000002,Q9UM73
235,Q84T94,False,0,0,3.0,0.19699999999999998,Q92908
236,Q12207,False,0,0,1.0,0.207,P53311
237,P32037,False,0,0,2.0,0.284,A9ZSY2
238,O88788,False,0,0,4.0,0.19399999999999998,G3V8V5
239,P46940,False,0,0,3.0,0.182,P70569
240,Q8W4J9,False,0,0,3.0,0.18899999999999997,F4IGZ2
241,O54698,False,0,0,1.0,0.20199999999999999,P11169
242,Q12809,False,0,0,3.0,0.184,Q86Y26
243,Q6Z2T3,False,0,0,0.0,0.282,Q41975
244,Q13237,False,0,0,1.0,0.222,P93025
245,Q9ZQI2,False,0,0,2.0,0.225,Q9SUP0
246,Q3U9N9,False,0,0,2.0,0.261,P53988
247,P13637,False,0,0,3.0,0.252,P13587
248,Q9ZR72,False,0,0,1.0,0.20199999999999999,Q5T3U5
249,O35173,False,0,0,3.0,0.27,P22462-3
250,O61491,False,0,0,4.0,0.218,D2XNR1
251,Q8IWT6,False,0,0,1.0,0.19699999999999998,O95202
252,P41144,False,0,0,0.0,0.278,P32246
253,P11584,False,0,0,4.0,0.27699999999999997,Q3UV74
254,P08219,False,0,0,4.0,0.201,O59866
255,P04264,False,0,0,2.0,0.24100000000000002,P86732
256,P41143,False,0,0,0.0,0.278,P32246
257,O88407,False,0,0,1.0,0.253,Q9HC24
258,Q9LV40,False,0,0,3.0,0.20600000000000002,O94606
259,Q4FZU9,False,0,0,4.0,0.20800000000000002,Q9Y256
260,Q96CW9,False,0,0,0.0,0.237,O09118
261,P78410,False,0,0,4.0,0.209,Q7Z6M3
262,P0DMS1,False,0,0,1.0,0.193,Q8GXN9
263,Q9SCZ4,False,0,0,0.0,0.253,P43298
264,O15552,False,0,0,1.0,0.231,O08858
265,P40169,False,0,0,3.0,0.198,B3A0R3
266,Q9M9T4,False,0,0,4.0,0.19399999999999998,O43071
267,O15554,False,0,0,1.0,0.201,O23674
268,Q3TWN3,False,0,0,1.0,0.207,Q12296
269,Q28362,False,0,0,0.0,0.257,G5EBK1
270,A6NFA1,False,0,0,4.0,0.214,O42721
271,Q9JKA7,False,0,0,3.0,0.183,Q9HCE6
272,P21917,False,0,0,2.0,0.268,P31389
273,Q96E93,False,0,0,0.0,0.23,Q9NY25
274,Q38873,False,0,0,1.0,0.271,Q93VD3
275,Q38872,False,0,0,1.0,0.255,Q93VD3
276,O60503,False,0,0,2.0,0.18100000000000002,P42286
277,P15116,False,0,0,3.0,0.18600000000000003,O88689
278,P51830,False,0,0,2.0,0.17800000000000002,Q9FII5
279,P20789,False,0,0,0.0,0.235,Q60484
280,P53987,False,0,0,1.0,0.23600000000000002,Q8TF71
281,P53986,False,0,0,1.0,0.22899999999999998,Q8TF71
282,O88917,False,0,0,1.0,0.196,O60242
283,Q06451,False,0,0,2.0,0.292,Q07824
284,O88713,False,0,0,0.0,0.225,Q2HXU8
285,C0LGL9,False,0,0,0.0,0.266,Q9LFH9
286,Q495A1,False,0,0,3.0,0.218,P28845
287,Q91ZE5,False,0,0,4.0,0.267,Q9HBW9
288,Q8K3P1,False,0,0,1.0,0.252,Q99572
289,Q9FKP4,False,0,0,3.0,0.215,F4IIS5
290,C0LGD7,False,0,0,1.0,0.28800000000000003,C0LGG8
291,O44616,False,0,0,2.0,0.264,A5LGM7
292,Q23022,False,0,0,4.0,0.23399999999999999,O76554
293,P08069,False,0,0,3.0,0.183,P30530
294,Q8SWR3,False,0,0,4.0,0.217,P33534
295,Q6AWJ9,False,0,0,0.0,0.19699999999999998,Q9SSL9
296,Q3EB59,False,0,0,2.0,0.204,Q9S7N7
297,P42866,False,0,0,0.0,0.261,P32249
298,P08220,False,0,0,4.0,0.2,Q91XT6
299,Q7M730,False,0,0,3.0,0.218,P40470
300,Q8VZG8,False,0,0,1.0,0.26,C0LGH2
301,B1B212,False,0,0,4.0,0.253,Q9JI58
302,O81775,False,0,0,0.0,0.21,P36526
303,Q99N50-11,False,0,0,1.0,0.281,Q8IYJ3
304,Q9Y6J6,False,0,0,2.0,0.282,P15383
305,Q9NZD1,False,0,0,0.0,0.213,P34982
306,Q80WK2,False,0,0,1.0,0.228,O74861
307,P10040,False,0,0,3.0,0.193,Q75N90
308,P22460,False,0,0,3.0,0.253,Q14003
309,Q80T22,False,0,0,4.0,0.20800000000000002,Q13336
