AC,label-val,cluster
P38822,0,3.0
P38820,0,2.0
O95396,0,2.0
P40518,0,1.0
Q8VEM9,0,4.0
Q5AKU3,0,2.0
P36076,0,2.0
Q944L7,0,2.0
Q76PD2,0,2.0
Q8IUI8,0,0.0
Q91197,0,4.0
Q91192,0,4.0
Q9WVP9,0,4.0
P18589,0,4.0
P21576,0,4.0
P54861,1,4.0
Q94464,0,4.0
Q05193,0,4.0
P39053,0,4.0
P93836,0,3.0
O59722,0,0.0
Q05900,2,0.0
Q9W1R4,2,0.0
Q9W1R5,2,1.0
Q924H7,2,2.0
Q9BTA9,2,2.0
Q867X0,2,2.0
Q967U1,2,4.0
O81039,2,0.0
Q9M126,2,3.0
A8MQY1,2,3.0
O14350,2,3.0
Q96QR8,2,3.0
Q8C6P8,2,0.0
Q9UL49,2,1.0
Q12406,2,4.0
Q5XKL5,2,1.0
P47076,2,4.0
P47077,2,0.0
Q5DP50,2,2.0
Q8GWR1,2,2.0
O74861,2,2.0
Q9SB00,2,0.0
G5ECT8,2,0.0
Q15916,2,2.0
Q3TUL7,2,2.0
Q5H9S7,2,2.0
P17679,2,2.0
Q6IMB1,2,4.0
O95990,2,3.0
P47108,2,2.0
P38838,2,0.0
Q9Y253,2,2.0
Q9SB92,2,4.0
P07527,2,1.0
O15381-2,2,2.0
Q9DBY8,2,2.0
O60058,0,2.0
O14325,2,2.0
Q07844,2,2.0
B6DMK2,2,4.0
Q9D992,2,1.0
Q13029,2,1.0
Q9BXL8,2,1.0
Q2R3F5,2,3.0
Q5SMU7,2,1.0
O13900,2,4.0
Q8TCE9,2,0.0
Q6IPU0,2,2.0
P32892,2,4.0
Q96GQ7,2,4.0
Q9M9Y4,2,3.0
P32899,2,0.0
Q9NV31,2,0.0
Q3KQ35,2,3.0
Q61473,2,3.0
O42601,2,3.0
Q9C7C4,2,1.0
P24785,2,1.0
P87053,2,1.0
P17918,2,1.0
P17917,2,1.0
P18248,2,1.0
P12004,2,1.0
P18289,2,3.0
P35637,2,2.0
Q91XR8,2,1.0
Q91XR9,2,1.0
Q8GYY1,2,3.0
Q92979,2,3.0
Q06287,2,3.0
Q9P8P7,2,3.0
P22091,2,1.0
Q8SYK5,2,1.0
Q10124,2,3.0
Q86VZ6,2,0.0
H2L0H5,2,1.0
P32767,2,3.0
Q6A331,2,2.0
O08674,2,4.0
A4PES0,2,4.0
P0C1S8,2,4.0
Q6Z1Z3,2,3.0
Q13428,2,2.0
P0DH90,2,1.0
Q00723,2,1.0
Q9WTX7,2,4.0
Q5TD97,2,4.0
P52756,2,1.0
P98175,2,1.0
Q96P31,3,4.0
P42893,3,3.0
Q8NBS3,3,3.0
Q96RD9,3,1.0
P06731,3,1.0
Q08ET2,3,3.0
J9VXM5,3,4.0
P55808,3,3.0
Q8H8C7,3,2.0
O00934,3,4.0
Q810Y4,3,2.0
Q9XUB9,3,1.0
P10870,3,2.0
Q8CG09,3,3.0
P33527,3,3.0
Q864R9,3,3.0
Q92887,3,3.0
P32386,4,3.0
Q9P5N0,4,3.0
P14772,4,3.0
Q9C8G9,4,3.0
P39109,4,3.0
Q09428,3,3.0
Q9R1S7,3,3.0
O54728,3,2.0
Q24418,3,4.0
P19440,3,2.0
Q05902,4,2.0
D4B387,5,2.0
Q8VYW6,5,2.0
Q680I5,5,2.0
C0LGK4,3,2.0
Q08245,3,3.0
Q75KU4,3,1.0
Q8LAS7,4,1.0
Q9C5P6,4,1.0
Q8LEM7,4,1.0
Q3HRP5,4,1.0
Q7XC27,4,1.0
O81445,3,1.0
Q9LTB8,3,1.0
Q8VDZ4,3,0.0
Q8CJ11,3,4.0
Q8IZP9,3,4.0
Q8CJ12,3,4.0
Q4W815,3,3.0
Q5DTY9,3,0.0
P26718,3,1.0
O54709,3,1.0
Q75N73,3,3.0
Q9HCJ2,3,1.0
Q45R42,3,1.0
P0CC10,3,1.0
P36033,3,2.0
Q08905,3,2.0
Q12473,4,2.0
Q76LB1,3,0.0
P14384,3,4.0
Q9JJN5,5,4.0
Q86YR6,3,2.0
O00421,3,2.0
P32246,3,2.0
P49238,3,2.0
P51681,3,2.0
P41597,3,2.0
Q96PJ5,3,0.0
F1MH24,3,2.0
Q9FKS8,3,1.0
Q9SX98,3,1.0
Q42400,3,1.0
P63094,3,0.0
P20353,3,0.0
P18872,3,0.0
P29348,0,0.0
A8MTJ3,0,0.0
P21279,2,0.0
P10823,3,0.0
Q0DJ33,3,0.0
P18064,3,0.0
Q30201,3,3.0
Q9LFX9,3,4.0
Q8RX77,3,4.0
Q8GXN2,3,4.0
Q9LQL2,3,4.0
Q9LV10,3,4.0
Q944G5,3,4.0
Q9M390,3,4.0
Q9LFB8,3,4.0
P46032,4,4.0
Q9M9V7,3,4.0
Q9M817,3,4.0
Q8LPL2,3,4.0
Q9M1E2,3,4.0
Q8H157,3,4.0
Q9LVN2,3,0.0
P93788,3,0.0
P32249,3,2.0
Q0WYX8,3,3.0
Q8NFP4,3,3.0
P85171,3,3.0
Q1JV40,3,3.0
Q8QGH3,3,4.0
P15116,3,4.0
A6NFQ2-2,3,2.0
Q9Y4C2,3,2.0
Q8GWW6,3,1.0
O23507,3,1.0
O04529,3,1.0
Q5XF51,3,1.0
Q9ZUJ5,3,1.0
B1B213,3,4.0
G5EDW2,3,4.0
Q7TSP5,3,1.0
P53885,3,4.0
Q96LR2,0,2.0
Q10447,0,4.0
P00958,0,3.0
Q9UUF2,0,3.0
Q9BSL1,0,0.0
Q9JI78,0,0.0
Q96IV0,0,0.0
Q9D0P7,0,1.0
P42286,0,3.0
O14306,0,4.0
Q9UKF7,0,1.0
P38892,0,0.0
P32643,0,0.0
Q8IWV7,0,1.0
Q6WKZ8,2,1.0
Q7TQM5,0,1.0
Q9FUH9,0,4.0
Q05791,0,1.0
P57796,0,1.0
O88751,0,1.0
Q8K288,0,3.0
O95379,0,3.0
O22975,0,2.0
O60086,0,0.0
Q14152,0,2.0
Q9LDN0,0,3.0
Q8L7Y8,0,3.0
Q1K9C2,0,4.0
P47169,0,4.0
A7E2U8,0,1.0
Q692V3,0,0.0
Q692V3-2,0,3.0
Q692V3-4,0,4.0
P36022,0,1.0
Q9D291,0,1.0
P07347,0,0.0
Q8VED2,0,3.0
Q6W2J0,0,3.0
P80405,0,0.0
Q03690,0,4.0
P42843,0,1.0
Q5GIS3,0,4.0
Q40687,3,4.0
P05982,0,3.0
Q9UPY3,0,1.0
O74407,0,2.0
Q9BKZ9,0,1.0
P36154,0,1.0
P33309,0,1.0
Q9USL5,0,1.0
Q9UDY6,0,3.0
Q9C037,0,3.0
Q9VHP0,0,4.0
Q62095,6,4.0
O15523,6,4.0
P09052,0,4.0
Q12125,0,1.0
Q9ULQ0,0,4.0
Q5VSL9,0,4.0
P36086,0,3.0
Q7M3S9,0,4.0
Q9NWZ3,0,4.0
O59667,0,1.0
Q9D5J6,0,3.0
P50109,0,0.0
Q9VUX2,0,3.0
Q03002,0,0.0
Q06523,0,1.0
P25040,0,2.0
O74452,0,2.0
P49638,0,4.0
Q42403,0,2.0
Q8LDI5,0,2.0
P47938,2,2.0
Q9R1S0,0,4.0
Q9UPM9,0,4.0
Q9P0W8,0,4.0
Q95XR4,0,0.0
Q96K76,0,3.0
Q06146,0,3.0
P34402,0,3.0
P34370,0,2.0
Q9U1M8,0,1.0
F4HPR5,0,3.0
P47089,0,3.0
O13839,0,1.0
O74534,0,3.0
P30305,0,1.0
Q9LTR9,0,0.0
P14743,0,0.0
P40516,0,0.0
P39939,0,0.0
P39938,0,0.0
Q12676,0,3.0
P36001,1,3.0
Q9UBG3,0,4.0
A9QM73,0,4.0
P38339,0,3.0
Q9H6D3,3,3.0
Q6UWR7,3,1.0
Q9Y6X5,3,1.0
O49696,3,2.0
Q6UXZ3,3,4.0
Q7TSN2,3,4.0
Q3U497,3,4.0
Q8VCH2,3,4.0
Q01453,3,1.0
Q24372,3,3.0
P16581,3,3.0
P18434,3,1.0
Q9FFT2,3,1.0
P42287,3,2.0
Q24008,3,3.0
O95264,3,2.0
Q8WXA8,3,2.0
A5X5Y0,3,2.0
Q70Z44,3,2.0
C0LGN2,3,4.0
C0LGG8,3,4.0
C0LGH2,3,4.0
C0LGH3,3,4.0
Q9M6N7,3,0.0
Q8VGC3,3,4.0
Q9GL65,3,2.0
O00206,3,2.0
Q9QUK6,3,2.0
Q8WWT9,3,3.0
Q9VVT2,3,3.0
Q8LG88,4,3.0
Q9H5Y7,3,0.0
Q9VJN5,3,2.0
Q9SZ11,3,1.0
Q05659,3,3.0
O44783,3,1.0
A8R7E6,3,2.0
P63010,3,3.0
Q9WVT0,3,3.0
Q9VNB5,3,0.0
Q8L7R5,3,1.0
Q9SKN3,3,1.0
Q8NFA2-3,3,0.0
O14842,3,4.0
Q76JU9,3,4.0
Q9FGS5,3,1.0
Q3EBY6,3,3.0
Q8L7E9,3,3.0
P36027,3,4.0
O02351,3,3.0
Q3UV74,3,3.0
P11584,3,3.0
Q9Y345,3,1.0
P58295,3,1.0
Q5T3U5,3,4.0
F4I1H5,3,2.0
O95867,3,3.0
Q38890,3,3.0
Q08417,3,0.0
Q07824,3,1.0
Q12256,3,1.0
P38360,3,2.0
P47002,3,3.0
Q16832,3,3.0
P33302,3,4.0
Q5ANA3,3,4.0
Q02785,3,4.0
Q6PEY1,3,1.0
Q9JM59,3,2.0
Q5H943,3,0.0
Q8N4T4,3,0.0
Q86WB7,3,3.0
Q92854,3,2.0
Q8L9B5,3,2.0
Q8BJ52,3,3.0
Q6WVG3,3,0.0
Q9HBA0-5,3,0.0
Q21219,3,0.0
P50080,3,2.0
Q3E756,3,3.0
Q9M9E1,3,2.0
Q949G3,3,2.0
O24367,3,2.0
O81016,3,2.0
Q9XIE2,3,2.0
Q9S7H3,0,2.0
Q3E906,2,2.0
Q9SZA4,2,2.0
Q4PSE4,0,2.0
Q9S7I8,2,2.0
Q12834,0,2.0
O94423,2,2.0
Q8VZS9,2,2.0
Q8L3Z8,2,2.0
O94411,2,2.0
O74472,0,4.0
Q9VXH6,0,3.0
Q9N1F5,0,4.0
P78417,0,4.0
O61125,0,1.0
O23304,0,1.0
O59679,0,0.0
Q3SY84,0,4.0
P04264,3,4.0
P08729,0,4.0
P08670,0,4.0
P14136,0,4.0
Q58EE9,0,4.0
O59672,0,3.0
P38788,0,0.0
Q7Z569,0,4.0
Q03034,0,2.0
P47897,0,2.0
Q9Y7Y8,0,2.0
Q6P7F1,0,1.0
Q96JB8,0,1.0
O14618,0,0.0
Q9LK22,0,1.0
H9TB17,0,4.0
R4ZGN4,0,4.0
P48034,0,4.0
P80456,0,4.0
O54754,0,4.0
Q9Z0U5,0,4.0
Q5QE80,0,4.0
G3X982,0,4.0
Q5SGK3,0,4.0
Q06278,0,4.0
Q3TYQ9,0,4.0
Q5U259,0,2.0
Q1JQ73,0,2.0
Q91903,0,2.0
D4A770,0,1.0
Q9P7L4,0,1.0
P53889,1,1.0
Q6V1X1,0,1.0
Q8WZJ7,0,3.0
O43007,1,3.0
Q6UB35,1,3.0
P09440,1,3.0
Q8CGY6,0,3.0
Q12463,0,3.0
P45819,0,3.0
O94477,0,1.0
O74805,0,1.0
O94474,0,0.0
B0G0Y8,0,1.0
O60114,0,1.0
O42923,0,2.0
Q75QN6,0,0.0
P47163,0,4.0
Q147X3,0,0.0
Q5SW79,0,3.0
P05089,0,0.0
P33280,0,0.0
Q9Y238,0,1.0
Q9BRV8,0,3.0
P38254,0,4.0
Q9C102,0,4.0
Q0JKD0,7,4.0
Q03460,7,4.0
Q9LV03,7,4.0
Q9C104,0,3.0
Q02979,0,3.0
Q23985,0,2.0
P23298,0,1.0
Q8VDD5,0,0.0
P12844,0,0.0
P32525,0,1.0
Q8CH77,0,1.0
Q9USR3,0,0.0
E9Q735,0,3.0
C7AE94,0,1.0
Q9XGP7,2,1.0
Q9V3Z6,0,4.0
P97479,0,4.0
Q9SRW7,0,2.0
Q550F6,0,3.0
Q9S823,0,4.0
Q9LF24,2,4.0
O13651,0,0.0
P41252,0,0.0
Q05778,0,0.0
Q8TF74,0,1.0
Q9Z0G8,0,1.0
P0C7L0,0,1.0
Q8WVN8,0,0.0
Q05775,0,4.0
P35237,0,3.0
Q60854,0,3.0
P29508,0,3.0
P48594,0,3.0
P05619,0,3.0
P01012,5,3.0
P01014,5,3.0
