,AC,label-val,cluster,max_ident_other,closest_other
0,P38822,0,3.0,0.226,Q10199
1,P38820,0,2.0,0.19899999999999998,Q9P7C0
2,O95396,0,2.0,0.20600000000000002,Q8K4K2
3,P40518,0,1.0,0.212,O94307
4,Q8VEM9,0,4.0,0.235,Q8N7A1
5,Q5AKU3,0,2.0,0.254,P38315
6,P36076,0,2.0,0.19,Q9ZS97
7,Q944L7,0,2.0,0.294,Q8L774
8,Q76PD2,0,2.0,0.19699999999999998,Q9FGN8
9,Q8IUI8,0,0.0,0.214,O02350
10,Q91197,0,4.0,0.19899999999999998,Q0WPZ7
11,Q91192,0,4.0,0.198,Q0WPZ7
12,Q9WVP9,0,4.0,0.191,P53983
13,P18589,0,4.0,0.195,Q02395
14,P21576,0,4.0,0.20199999999999999,P32266
15,P54861,1,4.0,0.195,F4HPR5
16,Q94464,0,4.0,0.18100000000000002,B0F9L4
17,Q05193,0,4.0,0.196,Q62806
18,P39053,0,4.0,0.19,P32266
19,P93836,0,3.0,0.205,Q2M3C6
20,O59722,0,0.0,0.18,Q14690
21,Q05900,2,0.0,0.203,O42924
22,Q9W1R4,2,0.0,0.191,O94488
23,Q9W1R5,2,1.0,0.244,Q69YN4
24,Q924H7,2,2.0,0.198,Q9EST8
25,Q9BTA9,2,2.0,0.192,P32389
26,Q867X0,2,2.0,0.335,Q9N5L4
27,Q967U1,2,4.0,0.221,Q7G8V2
28,O81039,2,0.0,0.225,Q9BTK6
29,Q9M126,2,3.0,0.205,Q9FRV4
30,A8MQY1,2,3.0,0.2,O04017
31,O14350,2,3.0,0.212,Q9QY93
32,Q96QR8,2,3.0,0.255,Q9SKZ1
33,Q8C6P8,2,0.0,0.19399999999999998,Q84MZ4
34,Q9UL49,2,1.0,0.209,P53566-5
35,Q12406,2,4.0,0.231,P80428
36,Q5XKL5,2,1.0,0.207,P82925
37,P47076,2,4.0,0.21600000000000003,Q6NM26
38,P47077,2,0.0,0.203,P36120
39,Q5DP50,2,2.0,0.218,Q6PRD7
40,Q8GWR1,2,2.0,0.196,Q3UNX5
41,O74861,2,2.0,0.242,Q9UR27
42,Q9SB00,2,0.0,0.196,P28299
43,G5ECT8,2,0.0,0.22899999999999998,Q99801
44,Q15916,2,2.0,0.247,Q8NCN2
45,Q3TUL7,2,2.0,0.19899999999999998,Q32PI8
46,Q5H9S7,2,2.0,0.192,Q12519
47,P17679,2,2.0,0.316,P91623
48,Q6IMB1,2,4.0,0.309,Q96A58
49,O95990,2,3.0,0.222,Q05863
50,P47108,2,2.0,0.195,Q06156
51,P38838,2,0.0,0.20800000000000002,Q06688
52,Q9Y253,2,2.0,0.223,Q9UNA4
53,Q9SB92,2,4.0,0.204,O81836
54,P07527,2,1.0,0.207,P43298
55,O15381-2,2,2.0,0.225,P54351
56,Q9DBY8,2,2.0,0.217,Q9FH02
57,O60058,0,2.0,0.239,O59824
58,O14325,2,2.0,0.22399999999999998,O43078
59,Q07844,2,2.0,0.223,O80983
60,B6DMK2,2,4.0,0.193,P47035
61,Q9D992,2,1.0,0.205,Q10430
62,Q13029,2,1.0,0.179,Q13428
63,Q9BXL8,2,1.0,0.26,Q9UJW9
64,Q2R3F5,2,3.0,0.285,Q8RYC8
65,Q5SMU7,2,1.0,0.187,Q5XK83
66,O13900,2,4.0,0.195,Q9SYQ0
67,Q8TCE9,2,0.0,0.20800000000000002,B5LUQ9
68,Q6IPU0,2,2.0,0.19899999999999998,Q14BA6
69,P32892,2,4.0,0.27899999999999997,Q9NVP1
70,Q96GQ7,2,4.0,0.259,Q9VD51
71,Q9M9Y4,2,3.0,0.196,Q922Y2
72,P32899,2,0.0,0.204,Q9LUJ3
73,Q9NV31,2,0.0,0.244,Q09757
74,Q3KQ35,2,3.0,0.27899999999999997,P48430
75,Q61473,2,3.0,0.251,Q06945
76,O42601,2,3.0,0.231,Q7M6Y2
77,Q9C7C4,2,1.0,0.196,Q15050
78,P24785,2,1.0,0.21100000000000002,Q04217
79,P87053,2,1.0,0.22,Q09855
80,P17918,2,1.0,0.20800000000000002,Q9NWU2
81,P17917,2,1.0,0.20600000000000002,Q9QZH7
82,P18248,2,1.0,0.20800000000000002,Q96EV8-3
83,P12004,2,1.0,0.215,Q9NWU2
84,P18289,2,3.0,0.21899999999999997,P54841
85,P35637,2,2.0,0.426,Q92804
86,Q91XR8,2,1.0,0.28800000000000003,P52032
87,Q91XR9,2,1.0,0.281,P52032
88,Q8GYY1,2,3.0,0.20199999999999999,Q8H166
89,Q92979,2,3.0,0.205,P17152
90,Q06287,2,3.0,0.215,O35621
91,Q9P8P7,2,3.0,0.215,P53769
92,P22091,2,1.0,0.21,P48985
93,Q8SYK5,2,1.0,0.255,Q9VR17
94,Q10124,2,3.0,0.184,Q9VQI9
95,Q86VZ6,2,0.0,0.20199999999999999,Q9Y7T9
96,H2L0H5,2,1.0,0.191,Q9USH9
97,P32767,2,3.0,0.20800000000000002,Q09796
98,Q6A331,2,2.0,0.185,Q94CG5
99,O08674,2,4.0,0.19699999999999998,P38432
100,A4PES0,2,4.0,0.22399999999999998,Q8L4H0
101,P0C1S8,2,4.0,0.213,Q8L4H0
102,Q6Z1Z3,2,3.0,0.19899999999999998,Q13461
103,Q13428,2,2.0,0.198,Q28298
104,P0DH90,2,1.0,0.19399999999999998,Q8RWH9
105,Q00723,2,1.0,0.21100000000000002,P47149
106,Q9WTX7,2,4.0,0.198,Q03433
107,Q5TD97,2,4.0,0.19899999999999998,Q9VPT8
108,P52756,2,1.0,0.22,F4JCU0
109,P98175,2,1.0,0.213,F4JCU0
110,Q96P31,3,4.0,0.36,Q96RD9
111,P42893,3,3.0,0.19,P48764
112,Q8NBS3,3,3.0,0.247,P02730
113,Q96RD9,3,1.0,0.36,Q96P31
114,P06731,3,1.0,0.33299999999999996,P31809
115,Q08ET2,3,3.0,0.215,Q8WWB7
116,J9VXM5,3,4.0,0.179,P38167
117,P55808,3,3.0,0.214,H2A0M6
118,Q8H8C7,3,2.0,0.20600000000000002,Q86IV5
119,O00934,3,4.0,0.34600000000000003,O00936
120,Q810Y4,3,2.0,0.392,Q5TAT6
121,Q9XUB9,3,1.0,0.20800000000000002,Q9LVI6
122,P10870,3,2.0,0.20600000000000002,Q9P3U7
123,Q8CG09,3,3.0,0.305,Q5T3U5
124,P33527,3,3.0,0.316,Q5T3U5
125,Q864R9,3,3.0,0.307,Q5T3U5
126,Q92887,3,3.0,0.299,Q5T3U5
127,P32386,4,3.0,0.275,Q5T3U5
128,Q9P5N0,4,3.0,0.29600000000000004,Q5T3U5
129,P14772,4,3.0,0.287,Q5T3U5
130,Q9C8G9,4,3.0,0.294,Q5T3U5
131,P39109,4,3.0,0.301,Q5T3U5
132,Q09428,3,3.0,0.29,Q5T3U5
133,Q9R1S7,3,3.0,0.285,Q5T3U5
134,O54728,3,2.0,0.183,Q9BQG0
135,Q24418,3,4.0,0.23600000000000002,P19492
136,P19440,3,2.0,0.19699999999999998,Q92611
137,Q05902,4,2.0,0.195,Q9SI75
138,D4B387,5,2.0,0.204,Q8GW20
139,Q8VYW6,5,2.0,0.196,P38142
140,Q680I5,5,2.0,0.19899999999999998,Q8CA72
141,C0LGK4,3,2.0,0.245,Q42371
142,Q08245,3,3.0,0.263,P40005
143,Q75KU4,3,1.0,0.252,Q9M8U1
144,Q8LAS7,4,1.0,0.222,Q14406
145,Q9C5P6,4,1.0,0.21100000000000002,Q9JM59
146,Q8LEM7,4,1.0,0.213,Q9GZU7
147,Q3HRP5,4,1.0,0.212,Q14406
148,Q7XC27,4,1.0,0.217,Q9NP86
149,O81445,3,1.0,0.213,P08733
150,Q9LTB8,3,1.0,0.214,Q9P032
151,Q8VDZ4,3,0.0,0.2,Q9VUL1
152,Q8CJ11,3,4.0,0.27399999999999997,C6KFA3
153,Q8IZP9,3,4.0,0.284,Q86SQ4
154,Q8CJ12,3,4.0,0.26899999999999996,C6KFA3
155,Q4W815,3,3.0,0.19699999999999998,Q9C0H2
156,Q5DTY9,3,0.0,0.21899999999999997,Q9H3F6
157,P26718,3,1.0,0.218,D3W0D1
158,O54709,3,1.0,0.228,Q2HXU8
159,Q75N73,3,3.0,0.226,Q9D856
160,Q9HCJ2,3,1.0,0.248,Q9D1T0
161,Q45R42,3,1.0,0.228,Q9D1T0
162,P0CC10,3,1.0,0.223,Q9D1T0
163,P36033,3,2.0,0.19399999999999998,Q93ZS4
164,Q08905,3,2.0,0.192,O60067
165,Q12473,4,2.0,0.187,Q948T9
166,Q76LB1,3,0.0,0.304,O49696
167,P14384,3,4.0,0.256,O54858
168,Q9JJN5,5,4.0,0.311,O54858
169,Q86YR6,3,2.0,0.218,Q8VD46
170,O00421,3,2.0,0.28800000000000003,P79960
171,P32246,3,2.0,0.285,Q2TAD5
172,P49238,3,2.0,0.28800000000000003,Q2TAD5
173,P51681,3,2.0,0.278,P79960
174,P41597,3,2.0,0.268,Q2TAD5
175,Q96PJ5,3,0.0,0.314,Q96P31
176,F1MH24,3,2.0,0.33899999999999997,Q9NSY1
177,Q9FKS8,3,1.0,0.22899999999999998,Q96247
178,Q9SX98,3,1.0,0.20600000000000002,Q96247
179,Q42400,3,1.0,0.21600000000000003,Q9JHE5
180,P63094,3,0.0,0.317,Q63803
181,P20353,3,0.0,0.29100000000000004,P25157
182,P18872,3,0.0,0.326,P25157
183,P29348,0,0.0,0.298,P25157
184,A8MTJ3,0,0.0,0.294,P25157
185,P21279,2,0.0,0.33799999999999997,P25157
186,P10823,3,0.0,0.28300000000000003,P25157
187,Q0DJ33,3,0.0,0.251,P25157
188,P18064,3,0.0,0.262,P25157
189,Q30201,3,3.0,0.195,Q8H8C7
190,Q9LFX9,3,4.0,0.22,Q924V4
191,Q8RX77,3,4.0,0.248,Q8IY34
192,Q8GXN2,3,4.0,0.23,Q924V4
193,Q9LQL2,3,4.0,0.231,Q924V4
194,Q9LV10,3,4.0,0.23199999999999998,Q8IY34
195,Q944G5,3,4.0,0.223,Q924V4
196,Q9M390,3,4.0,0.263,Q8IY34
197,Q9LFB8,3,4.0,0.254,Q8IY34
198,P46032,4,4.0,0.257,Q8IY34
199,Q9M9V7,3,4.0,0.222,Q924V4
200,Q9M817,3,4.0,0.207,Q8IY34
201,Q8LPL2,3,4.0,0.228,Q8IY34
202,Q9M1E2,3,4.0,0.222,Q8IY34
203,Q8H157,3,4.0,0.24100000000000002,Q924V4
204,Q9LVN2,3,0.0,0.284,Q9LY03
205,P93788,3,0.0,0.243,Q02539
206,P32249,3,2.0,0.27699999999999997,Q2TAD5
207,Q0WYX8,3,3.0,0.192,Q8CDP0
208,Q8NFP4,3,3.0,0.18899999999999997,O80875
209,P85171,3,3.0,0.18899999999999997,P00747
210,Q1JV40,3,3.0,0.18899999999999997,Q9LVG3
211,Q8QGH3,3,4.0,0.19699999999999998,O88689
212,P15116,3,4.0,0.207,Q6ZTQ4
213,A6NFQ2-2,3,2.0,0.2,Q58A45
214,Q9Y4C2,3,2.0,0.18899999999999997,Q9LR78
215,Q8GWW6,3,1.0,0.203,Q9UBS4
216,O23507,3,1.0,0.2,P07266
