AC,label-val,cluster
P63033,Cell.membrane,0
Q9NR71,Cell.membrane,0
Q86XT9,Cell.membrane,0
A2CI98,Cell.membrane,0
O75326,Cell.membrane,0
Q96FE7,Cell.membrane,0
Q9BSF0,Cell.membrane,0
Q6QNK2,Cell.membrane,0
Q708S8,Cell.membrane,0
Q944M5,Cell.membrane,0
Q9Y4C2,Cell.membrane,0
Q9SD53,Cell.membrane,0
Q9XIM7,Cell.membrane,0
Q24210,Cell.membrane,0
Q9SVT8,Cell.membrane,0
Q03770,Cell.membrane,0
Q8NCG7,Cell.membrane,0
Q14246,Cell.membrane,0
Q923X1,Cell.membrane,0
Q8L8Z1,Cell.membrane,0
D2K6F1,Cell.membrane,0
Q02785,Cell.membrane,0
Q9VWE0,Cell.membrane,0
Q9D1N4,Cell.membrane,0
G5EGT9,Cell.membrane,0
Q9SAH0,Cell.membrane,0
Q9UGT4,Cell.membrane,0
Q8BWU1,Cell.membrane,0
P25378,Cell.membrane,0
P38727,Cell.membrane,0
Q96NR3,Cell.membrane,0
Q52085,Cell.membrane,0
Q9SKA9,Cell.membrane,0
P08953,Cell.membrane,0
Q9LYU7,Cell.membrane,0
Q2EG98,Cell.membrane,0
Q9S752,Cell.membrane,0
Q8C8C1,Cell.membrane,0
Q6ZJ91,Cell.membrane,0
P30273,Cell.membrane,0
O80662,Cell.membrane,0
Q6GTX8,Cell.membrane,0
Q9LVI6,Cell.membrane,0
Q969I6,Cell.membrane,0
Q9ZV87,Cell.membrane,0
P53379,Cell.membrane,0
Q8VCH2,Cell.membrane,0
Q12256,Cell.membrane,0
Q07950,Cell.membrane,0
P30530,Cell.membrane,0
Q13641,Cell.membrane,0
Q9UM73,Cell.membrane,0
P51172,Cell.membrane,0
O14931,Cell.membrane,0
Q8L7E9,Cell.membrane,0
O08603,Cell.membrane,0
Q8L796,Cell.membrane,0
Q8VYG0,Cell.membrane,0
Q95QW4,Cell.membrane,0
Q9LQL2,Cell.membrane,0
Q86SQ4,Cell.membrane,0
Q9H665,Cell.membrane,0
Q7XJT7,Cell.membrane,0
Q9W534,Cell.membrane,0
Q12791,Cell.membrane,0
Q59XM0,Cell.membrane,0
Q9ZUT3,Cell.membrane,0
Q8TDU6,Cell.membrane,0
Q00788,Cell.membrane,0
O97148,Cell.membrane,0
Q3E7D0,Cell.membrane,0
Q9VSL7,Cell.membrane,0
Q9LYN8,Cell.membrane,0
Q4KL25,Cell.membrane,0
P13498,Cell.membrane,0
D3W0D1,Cell.membrane,0
O64759,Cell.membrane,0
Q6R6I6,Cell.membrane,0
O80809,Cell.membrane,0
Q9LPT1,Cell.membrane,0
Q76JU9,Cell.membrane,0
Q9BXA5,Cell.membrane,0
P23229,Cell.membrane,0
Q00959,Cell.membrane,0
P15260,Cell.membrane,0
Q8JZM4,Cell.membrane,0
Q40687,Cell.membrane,0
Q86TG1,Cell.membrane,0
Q9R155,Cell.membrane,0
P81909,Cell.membrane,0
O61967,Cell.membrane,0
Q9Z138,Cell.membrane,0
P53835,Cell.membrane,0
Q8K1P8,Cell.membrane,0
Q8N292,Cell.membrane,0
P93604,Cell.membrane,0
P13385,Cell.membrane,0
P12314,Cell.membrane,0
Q05777,Cell.membrane,0
O80725,Cell.membrane,0
Q7XBS0,Cell.membrane,0
Q12333,Cell.membrane,0
G5EGL9,Cell.membrane,0
Q9BXP2,Cell.membrane,0
Q56WM6,Cell.membrane,0
Q7Z020,Cell.membrane,0
Q9Z0M6,Cell.membrane,0
O01811,Cell.membrane,0
Q6UX01,Cell.membrane,0
Q24247,Cell.membrane,0
Q9WTY2,Cell.membrane,0
Q9JJV9,Cell.membrane,0
Q2M3C6,Cell.membrane,0
Q5RKR3,Cell.membrane,0
Q9SZW4,Cell.membrane,0
