,AC,label-val,cluster,max_ident_other,closest_other
0,P63033,Cell.membrane,0,0.24100000000000002,P61588
1,Q9NR71,Cell.membrane,0,0.18100000000000002,Q9H8H2
2,Q86XT9,Cell.membrane,0,0.21899999999999997,I0J062
3,A2CI98,Cell.membrane,0,0.19399999999999998,O94927
4,O75326,Cell.membrane,0,0.20199999999999999,Q92854
5,Q96FE7,Cell.membrane,0,0.201,Q9HFP8
6,Q9BSF0,Cell.membrane,0,0.23,Q49B96
7,Q6QNK2,Cell.membrane,0,0.18899999999999997,Q8IZP9
8,Q708S8,Cell.membrane,0,0.23399999999999999,Q9NY37
9,Q944M5,Cell.membrane,0,0.242,Q6YZF3
10,Q9Y4C2,Cell.membrane,0,0.184,Q7X6Y7
11,Q9SD53,Cell.membrane,0,0.196,O59676
12,Q9XIM7,Cell.membrane,0,0.245,F4I1G5
13,Q24210,Cell.membrane,0,0.214,Q63553
14,Q9SVT8,Cell.membrane,0,0.23399999999999999,Q9M6N7
15,Q03770,Cell.membrane,0,0.188,P48813
16,Q8NCG7,Cell.membrane,0,0.17800000000000002,Q24142
17,Q14246,Cell.membrane,0,0.183,P25371
18,Q923X1,Cell.membrane,0,0.212,G5EDW2
19,Q8L8Z1,Cell.membrane,0,0.27399999999999997,Q9SUP0
20,D2K6F1,Cell.membrane,0,0.183,Q9SIM9
21,Q02785,Cell.membrane,0,0.25,Q9XIE2
22,Q9VWE0,Cell.membrane,0,0.182,Q17353
23,Q9D1N4,Cell.membrane,0,0.198,P16410
24,G5EGT9,Cell.membrane,0,0.19399999999999998,A8R7E6
25,Q9SAH0,Cell.membrane,0,0.225,Q058N4
26,Q9UGT4,Cell.membrane,0,0.184,Q01842
27,Q8BWU1,Cell.membrane,0,0.22399999999999998,Q9HAF1
28,P25378,Cell.membrane,0,0.27699999999999997,O13928
29,P38727,Cell.membrane,0,0.198,Q9LZM7
30,Q96NR3,Cell.membrane,0,0.187,O14310
31,Q52085,Cell.membrane,0,0.209,O74947
32,Q9SKA9,Cell.membrane,0,0.282,O22920
33,P08953,Cell.membrane,0,0.209,Q9GL65
34,Q9LYU7,Cell.membrane,0,0.212,Q9SKB2
35,Q2EG98,Cell.membrane,0,0.161,Q9VAW5
36,Q9S752,Cell.membrane,0,0.188,Q8VYE2
37,Q8C8C1,Cell.membrane,0,0.19699999999999998,Q99N93
38,Q6ZJ91,Cell.membrane,0,0.23,O94639
39,P30273,Cell.membrane,0,0.23199999999999998,P84843
40,O80662,Cell.membrane,0,0.19899999999999998,Q9P6M1
41,Q6GTX8,Cell.membrane,0,0.233,P25189
42,Q9LVI6,Cell.membrane,0,0.292,Q9LFS4
43,Q969I6,Cell.membrane,0,0.19699999999999998,Q9SX98
44,Q9ZV87,Cell.membrane,0,0.20199999999999999,Q9P3B2
45,P53379,Cell.membrane,0,0.215,P0DJ06
46,Q8VCH2,Cell.membrane,0,0.217,Q6SJQ0
47,Q12256,Cell.membrane,0,0.253,Q07824
48,Q07950,Cell.membrane,0,0.19,Q3YBN2
49,P30530,Cell.membrane,0,0.22399999999999998,P16234
50,Q13641,Cell.membrane,0,0.222,Q5M8M9
51,Q9UM73,Cell.membrane,0,0.187,Q9FFH1
52,P51172,Cell.membrane,0,0.26899999999999996,P37091
53,O14931,Cell.membrane,0,0.235,P16410
54,Q8L7E9,Cell.membrane,0,0.192,Q9STX1
55,O08603,Cell.membrane,0,0.252,B1B212
56,Q8L796,Cell.membrane,0,0.183,O75005
57,Q8VYG0,Cell.membrane,0,0.26,Q9LFS4
58,Q95QW4,Cell.membrane,0,0.19899999999999998,Q9ZT63
59,Q9LQL2,Cell.membrane,0,0.268,Q944G5
60,Q86SQ4,Cell.membrane,0,0.284,Q8IZP9
61,Q9H665,Cell.membrane,0,0.214,Q13461
62,Q7XJT7,Cell.membrane,0,0.21600000000000003,Q9M8S2
63,Q9W534,Cell.membrane,0,0.18,O75011
64,Q12791,Cell.membrane,0,0.212,Q9Z258
65,Q59XM0,Cell.membrane,0,0.21100000000000002,Q9P3E8
66,Q9ZUT3,Cell.membrane,0,0.225,Q99935
67,Q8TDU6,Cell.membrane,0,0.24,Q9HC97
68,Q00788,Cell.membrane,0,0.23399999999999999,Q99788
69,O97148,Cell.membrane,0,0.185,Q9VQB7
70,Q3E7D0,Cell.membrane,0,0.266,Q9UGH3
71,Q9VSL7,Cell.membrane,0,0.256,Q13433
72,Q9LYN8,Cell.membrane,0,0.303,Q9FII5
73,Q4KL25,Cell.membrane,0,0.193,Q01453
74,P13498,Cell.membrane,0,0.201,Q5UCC4-2
75,D3W0D1,Cell.membrane,0,0.235,Q6QLQ4
76,O64759,Cell.membrane,0,0.26,Q9ASS7
77,Q6R6I6,Cell.membrane,0,0.195,Q90674
78,O80809,Cell.membrane,0,0.28600000000000003,Q9MA83
79,Q9LPT1,Cell.membrane,0,0.257,Q9LFS4
80,Q76JU9,Cell.membrane,0,0.276,O00270
81,Q9BXA5,Cell.membrane,0,0.278,Q2TAD5
82,P23229,Cell.membrane,0,0.275,P53708
83,Q00959,Cell.membrane,0,0.193,Q24418
84,P15260,Cell.membrane,0,0.19899999999999998,Q9HDW0
85,Q8JZM4,Cell.membrane,0,0.187,Q62918
86,Q40687,Cell.membrane,0,0.23600000000000002,Q96DI7
87,Q86TG1,Cell.membrane,0,0.19699999999999998,Q8N682
88,Q9R155,Cell.membrane,0,0.233,A8J6J0
89,P81909,Cell.membrane,0,0.193,Q9LMR3
90,O61967,Cell.membrane,0,0.221,Q93373
91,Q9Z138,Cell.membrane,0,0.214,O15146
92,P53835,Cell.membrane,0,0.18100000000000002,P25574
93,Q8K1P8,Cell.membrane,0,0.204,P53985
94,Q8N292,Cell.membrane,0,0.218,P32617
95,P93604,Cell.membrane,0,0.263,Q9XEC6
96,P13385,Cell.membrane,0,0.233,Q9ER63
97,P12314,Cell.membrane,0,0.252,Q7L513
98,Q05777,Cell.membrane,0,0.256,Q9HDV8
99,O80725,Cell.membrane,0,0.20199999999999999,P26362
100,Q7XBS0,Cell.membrane,0,0.193,Q57VU6
101,Q12333,Cell.membrane,0,0.193,P32559
102,G5EGL9,Cell.membrane,0,0.19,Q3EDG5
103,Q9BXP2,Cell.membrane,0,0.249,P38329
104,Q56WM6,Cell.membrane,0,0.32899999999999996,Q9M811
105,Q7Z020,Cell.membrane,0,0.23199999999999998,Q18297
106,Q9Z0M6,Cell.membrane,0,0.192,Q8IZP9
107,O01811,Cell.membrane,0,0.18899999999999997,Q86IA3
108,Q6UX01,Cell.membrane,0,0.2,F4I8Q7
109,Q24247,Cell.membrane,0,0.265,P53708
110,Q9WTY2,Cell.membrane,0,0.204,Q80ZI1
111,Q9JJV9,Cell.membrane,0,0.20199999999999999,P15381
112,Q2M3C6,Cell.membrane,0,0.205,P93836
113,Q5RKR3,Cell.membrane,0,0.21100000000000002,Q9JMH2
114,Q9SZW4,Cell.membrane,0,0.221,O59666
115,Q9HBX8,Cell.membrane,0,0.218,Q90674
116,Q8VHW2,Cell.membrane,0,0.215,O15178
117,Q12891,Cell.membrane,0,0.193,A6NFA1
118,Q96EP9,Cell.membrane,0,0.198,Q6ZSM3
119,Q8VHW8,Cell.membrane,0,0.21,Q940Q3
120,Q96247,Cell.membrane,0,0.209,Q42400
121,P54760,Cell.membrane,0,0.212,P35590
122,P24348,Cell.membrane,0,0.198,P08069
123,Q84T94,Cell.membrane,0,0.19699999999999998,Q92908
124,Q12207,Cell.membrane,0,0.207,P53311
125,P46940,Cell.membrane,0,0.182,P15398
126,Q8W4J9,Cell.membrane,0,0.18899999999999997,F4IGZ2
127,O54698,Cell.membrane,0,0.18899999999999997,Q5DRK1
128,Q12809,Cell.membrane,0,0.192,Q9Y3Q4
129,Q13237,Cell.membrane,0,0.222,P93025
130,Q9ZQI2,Cell.membrane,0,0.228,Q9SKN3
131,O61491,Cell.membrane,0,0.218,D2XNR1
132,Q8IWT6,Cell.membrane,0,0.19699999999999998,O95202
133,P11584,Cell.membrane,0,0.27699999999999997,Q3UV74
134,P04264,Cell.membrane,0,0.24100000000000002,P86732
135,O88407,Cell.membrane,0,0.209,Q8IXM6
136,Q9SCZ4,Cell.membrane,0,0.377,O80623
137,Q9M9T4,Cell.membrane,0,0.192,P54681
138,P23949,Cytoplasm-Nucleus,0,0.22699999999999998,P58012
139,Q62985,Cytoplasm-Nucleus,0,0.198,Q3KQU3
140,Q9UL40,Cytoplasm-Nucleus,0,0.204,P42586
141,P56477,Cytoplasm-Nucleus,0,0.2,G4N5Q2
142,Q03195,Cytoplasm-Nucleus,0,0.191,Q9US28
143,P0DJI6,Cytoplasm-Nucleus,0,0.221,Q6NME7
144,O00422,Cytoplasm-Nucleus,0,0.19899999999999998,Q9DB60
145,Q9VVR2,Cytoplasm-Nucleus,0,0.2,Q07684
146,Q9Y8G3,Cytoplasm-Nucleus,0,0.21899999999999997,Q9UBU9
147,P63159,Cytoplasm-Nucleus,0,0.272,Q8LDF9
148,O16850,Cytoplasm-Nucleus,0,0.20199999999999999,P55316
149,Q9GZT9,Cytoplasm-Nucleus,0,0.207,P53566-5
150,Q92804,Cytoplasm-Nucleus,0,0.29600000000000004,Q27294
151,Q923K9,Cytoplasm-Nucleus,0,0.198,Q13310
152,Q9NRA8,Cytoplasm-Nucleus,0,0.196,Q53GL7
153,Q9R1E0,Cytoplasm-Nucleus,0,0.201,Q99958
154,D0VWM8,Cytoplasm-Nucleus,0,0.24600000000000002,Q13148
155,P70278,Cytoplasm-Nucleus,0,0.20199999999999999,P30416
156,Q8BKT7,Cytoplasm-Nucleus,0,0.204,Q8T6B9
157,Q61823,Cytoplasm-Nucleus,0,0.198,P50579
158,Q21441,Cytoplasm,0,0.18600000000000003,Q9P382
159,Q9BZL4,Cytoplasm,0,0.344,O14974
160,Q9P7D5,Cytoplasm,0,0.203,P00348
161,O16785,Cytoplasm,0,0.19699999999999998,P38292
162,P20936,Cytoplasm,0,0.182,D7SFH9
163,Q03441,Cytoplasm,0,0.20199999999999999,Q9NWS8
164,Q49A88,Cytoplasm,0,0.18600000000000003,P48524
165,Q42539,Cytoplasm,0,0.20600000000000002,P82277
166,Q9XVI9,Cytoplasm,0,0.244,Q9M8U1
167,Q9WUD8,Cytoplasm,0,0.205,Q08422
168,P38754,Cytoplasm,0,0.23600000000000002,P87262
169,Q07963,Cytoplasm,0,0.2,Q6WKZ8
170,Q6PDX6,Cytoplasm,0,0.19399999999999998,P32793
171,Q3E7A7,Cytoplasm,0,0.21100000000000002,C9K4X8
172,P70569,Cytoplasm,0,0.287,O94477
173,Q9P3W6,Cytoplasm,0,0.212,O94548
174,Q08AG7,Cytoplasm,0,0.215,Q9Y2R0
175,Q12525,Cytoplasm,0,0.2,O88751
176,P13693,Cytoplasm,0,0.203,Q54QT7
