AC,label-val,cluster
P53080,Cytoplasm,0
A6YSL1,Plastid,0
Q10135,Nucleus,0
Q30201,Cell.membrane,0
Q9FFH1,Nucleus,0
P86854,Extracellular,0
Q3UN02,Endoplasmic.reticulum,0
P83469,Extracellular,0
Q12188,Nucleus,0
O74975,Nucleus,0
P82915,Mitochondrion,0
Q12239,Golgi.apparatus,0
F4JVI3,Plastid,0
Q06146,Cytoplasm,0
P48415,Endoplasmic.reticulum,0
P32832,Nucleus,0
O13878,Nucleus,0
Q9LJD7,Nucleus,0
O14276,Nucleus,0
P32389,Nucleus,0
O59945,Cytoplasm,0
H2A0P1,Extracellular,0
Q1T763,Nucleus,0
O74876,Nucleus,0
P06101,Cytoplasm,0
Q8VDD9,Nucleus,0
Q8W191,Nucleus,0
Q8BQB4,Extracellular,0
Q8CFW1,Cell.membrane,0
O13681,Nucleus,0
P25046,Nucleus,0
Q9JLR5,Nucleus,0
Q96CJ1,Nucleus,0
P87232,Mitochondrion,0
O80860,Plastid,0
P53873,Nucleus,0
P38928,Cell.membrane,0
Q9P6K0,Cytoplasm,0
Q07436,Cell.membrane,0
Q99ML8,Extracellular,0
Q13191,Cytoplasm,0
P83780,Cytoplasm,0
Q99871,Cytoplasm,0
Q9NXG0,Cytoplasm,0
Q9HFE6,Nucleus,0
P40157,Cytoplasm,0
O13828,Cytoplasm,0
Q10351,Endoplasmic.reticulum,0
Q05468,Cytoplasm,0
Q6UW78,Mitochondrion,0
Q9USY1,Cytoplasm,0
P41912,Endoplasmic.reticulum,0
D4ANB6,Extracellular,0
Q9P3V3,Lysosome/Vacuole,0
Q99JX3,Golgi.apparatus,0
Q6TRW4,Nucleus,0
Q62834,Cytoplasm,0
Q9HGM6,Lysosome/Vacuole,0
Q3E7A4,Mitochondrion,0
Q02204,Mitochondrion,0
Q03652,Mitochondrion,0
Q9NYY8,Mitochondrion,0
Q9XI90,Nucleus,0
Q9NQC3,Endoplasmic.reticulum,0
Q00805,Extracellular,0
P34314,Nucleus,0
Q96LA6,Cell.membrane,0
Q9FJK3,Nucleus,0
P23604,Extracellular,0
Q9Z2Q2,Nucleus,0
Q9FQ24,Cytoplasm,0
O14654,Cell.membrane,0
P32266,Mitochondrion,0
P53913,Nucleus,0
O82804,Nucleus,0
P19425,Extracellular,0
Q9HDW9,Endoplasmic.reticulum,0
O94564,Cytoplasm,0
P28069,Nucleus,0
Q8IWE4,Cell.membrane,0
P24522,Nucleus,0
P54074,Nucleus,0
Q94F00,Plastid,0
O94519,Nucleus,0
Q96MF7,Nucleus,0
Q8SV33,Golgi.apparatus,0
P22987,Cytoplasm,0
Q9C9Y6,Cell.membrane,0
A8J6J0,Cell.membrane,0
O59801,Cytoplasm,0
P12524,Nucleus,0
Q9JIB0,Cytoplasm-Nucleus,0
Q12046,Nucleus,0
Q24372,Cell.membrane,0
P87315,Nucleus,0
O88703,Cell.membrane,0
P53170,Mitochondrion,0
Q9IA88,Cytoplasm,0
Q6PDZ2,Nucleus,0
P86147,Extracellular,0
Q9H211,Nucleus,0
P30975,Cell.membrane,0
Q8BLG0,Nucleus,0
P53191,Lysosome/Vacuole,0
Q9URV8,Cytoplasm,0
Q2Z1W2,Nucleus,0
Q8TBE7,Cell.membrane,0
Q8WUD6,Golgi.apparatus,0
Q9W261,Nucleus,0
Q12701,Cytoplasm,0
P19955,Mitochondrion,0
Q0WYX8,Cell.membrane,0
Q12494,Cytoplasm,0
Q9C108,Nucleus,0
Q00416,Nucleus,0
Q9UUB6,Nucleus,0
P33751,Mitochondrion,0
H2A0P3,Extracellular,0
Q9SJU9,Plastid,0
