,AC,label-val,cluster,max_ident_other,closest_other
0,P53080,Cytoplasm,0,0.209,O94704
1,A6YSL1,Plastid,0,0.205,Q71KT5
2,Q10135,Nucleus,0,0.233,Q9Y802
3,Q30201,Cell.membrane,0,0.19699999999999998,N1P3Y5
4,Q9FFH1,Nucleus,0,0.187,Q9UM73
5,P86854,Extracellular,0,0.27399999999999997,Q90WJ8
6,Q3UN02,Endoplasmic.reticulum,0,0.251,Q8LG50
7,P83469,Extracellular,0,0.25,P83411
8,Q12188,Nucleus,0,0.193,Q12158
9,O74975,Nucleus,0,0.20600000000000002,P38779
10,P82915,Mitochondrion,0,0.31,Q02608
11,Q12239,Golgi.apparatus,0,0.195,Q12893
12,F4JVI3,Plastid,0,0.22399999999999998,Q9FK23
13,Q06146,Cytoplasm,0,0.207,P06843
14,P48415,Endoplasmic.reticulum,0,0.177,Q10411
15,P32832,Nucleus,0,0.268,O94522
16,O13878,Nucleus,0,0.198,Q8IWA0
17,Q9LJD7,Nucleus,0,0.418,P51668
18,O14276,Nucleus,0,0.225,Q9HEQ8
19,P32389,Nucleus,0,0.20199999999999999,Q03213
20,O59945,Cytoplasm,0,0.20600000000000002,Q12089
21,H2A0P1,Extracellular,0,0.262,P86960
22,Q1T763,Nucleus,0,0.21,Q9Y4H4
23,O74876,Nucleus,0,0.242,Q9Y7S2
24,P06101,Cytoplasm,0,0.20199999999999999,Q16543
25,Q8VDD9,Nucleus,0,0.174,P15442
26,Q8W191,Nucleus,0,0.222,P18847
27,Q8BQB4,Extracellular,0,0.205,P56602
28,Q8CFW1,Cell.membrane,0,0.289,A1A5B4
29,O13681,Nucleus,0,0.183,P48732
30,P25046,Nucleus,0,0.22,Q03201
31,Q9JLR5,Nucleus,0,0.23399999999999999,Q99929
32,Q96CJ1,Nucleus,0,0.215,Q9Y3E1
33,P87232,Mitochondrion,0,0.248,Q9USH2
34,O80860,Plastid,0,0.361,P39925
35,P53873,Nucleus,0,0.2,Q06328
36,P38928,Cell.membrane,0,0.185,Q9LVN2
37,Q9P6K0,Cytoplasm,0,0.203,O74779
38,Q07436,Cell.membrane,0,0.192,O70305
39,Q99ML8,Extracellular,0,0.21,Q9Y3E2
40,Q13191,Cytoplasm,0,0.185,P10383
41,P83780,Cytoplasm,0,0.23800000000000002,Q8H103
42,Q99871,Cytoplasm,0,0.21100000000000002,Q9VVW5
43,Q9NXG0,Cytoplasm,0,0.191,Q8IRB5
44,Q9HFE6,Nucleus,0,0.196,Q8K1N4
45,P40157,Cytoplasm,0,0.196,Q867X0
46,O13828,Cytoplasm,0,0.24,P53550
47,Q10351,Endoplasmic.reticulum,0,0.23800000000000002,Q96S52
48,Q05468,Cytoplasm,0,0.22399999999999998,O13796
49,Q6UW78,Mitochondrion,0,0.22899999999999998,Q8S8N0
50,Q9USY1,Cytoplasm,0,0.19,Q02197
51,P41912,Endoplasmic.reticulum,0,0.2,Q12359
52,D4ANB6,Extracellular,0,0.297,Q2TYA1
53,Q9P3V3,Lysosome/Vacuole,0,0.209,Q00723
54,Q99JX3,Golgi.apparatus,0,0.389,Q9BQQ3
