AC,label-val,cluster
seq_1,0,0.0
seq_2,0,1.0
seq_3,0,2.0
seq_4,0,3.0
seq_5,0,4.0
seq_6,0,0.0
seq_7,0,1.0
seq_8,0,2.0
seq_9,0,3.0
seq_10,0,4.0
seq_11,0,0.0
seq_12,0,1.0
seq_13,0,2.0
seq_14,0,3.0
seq_15,0,4.0
seq_16,0,0.0
seq_17,0,1.0
seq_18,0,2.0
seq_19,0,3.0
seq_20,0,4.0
seq_21,0,0.0
seq_22,0,1.0
seq_23,0,2.0
seq_24,0,3.0
seq_25,0,4.0
seq_26,0,0.0
seq_27,0,1.0
seq_28,0,2.0
seq_29,0,3.0
seq_30,0,4.0
seq_31,0,0.0
seq_32,0,1.0
seq_33,0,2.0
seq_34,0,3.0
seq_35,0,4.0
seq_36,0,0.0
seq_37,0,1.0
seq_38,0,2.0
seq_39,0,3.0
seq_40,0,4.0
seq_41,0,0.0
seq_42,0,1.0
seq_43,0,2.0
seq_44,0,3.0
seq_45,0,4.0
seq_46,0,0.0
seq_47,0,1.0
seq_48,0,2.0
seq_49,0,3.0
seq_50,0,4.0
seq_51,0,0.0
seq_52,0,1.0
seq_53,0,2.0
seq_54,0,3.0
seq_55,0,4.0
seq_56,0,0.0
seq_57,0,1.0
seq_58,0,2.0
seq_59,0,3.0
seq_60,0,4.0
seq_61,0,0.0
seq_62,0,1.0
seq_63,0,2.0
seq_64,0,3.0
seq_65,0,4.0
seq_66,0,0.0
seq_67,0,1.0
seq_68,0,2.0
seq_69,0,3.0
seq_70,0,4.0
seq_71,0,0.0
seq_72,0,1.0
seq_73,0,2.0
seq_74,0,3.0
seq_75,0,4.0
seq_76,0,0.0
seq_77,0,1.0
seq_78,0,2.0
seq_79,0,3.0
seq_80,0,4.0
seq_81,0,0.0
seq_82,0,1.0
seq_83,0,2.0
seq_84,0,3.0
seq_85,0,4.0
seq_86,0,0.0
seq_87,0,1.0
seq_88,0,2.0
seq_89,0,3.0
seq_90,0,4.0
seq_91,0,0.0
seq_92,0,1.0
seq_93,0,2.0
seq_94,0,3.0
seq_95,0,4.0
seq_96,0,0.0
seq_97,0,1.0
seq_98,0,2.0
seq_99,0,3.0
seq_100,0,4.0
seq_101,0,0.0
seq_102,0,1.0
seq_103,0,2.0
seq_104,0,3.0
seq_105,0,4.0
seq_106,0,0.0
seq_107,0,1.0
seq_108,0,2.0
seq_109,0,3.0
seq_110,0,4.0
seq_111,0,0.0
seq_112,0,1.0
seq_113,0,2.0
seq_114,0,3.0
seq_115,0,4.0
seq_116,0,0.0
seq_117,0,1.0
seq_118,0,2.0
seq_119,0,3.0
seq_120,0,4.0
seq_121,0,0.0
seq_122,0,1.0
seq_123,0,2.0
seq_124,0,3.0
seq_125,0,4.0
seq_126,0,0.0
seq_127,0,1.0
seq_128,0,2.0
seq_129,0,3.0
seq_130,0,4.0
seq_131,0,0.0
seq_132,0,1.0
seq_133,0,2.0
seq_134,0,3.0
seq_135,0,4.0
seq_136,0,0.0
seq_137,0,1.0
seq_138,0,2.0
seq_139,0,3.0
seq_140,0,4.0
seq_141,0,0.0
seq_142,0,1.0
seq_143,0,2.0
seq_144,0,3.0
seq_145,0,4.0
seq_146,0,0.0
seq_147,0,1.0
seq_148,0,2.0
seq_149,0,3.0
seq_150,0,4.0
seq_151,0,0.0
seq_152,0,1.0
seq_153,0,2.0
seq_154,0,3.0
seq_155,0,4.0
seq_156,0,0.0
seq_157,0,1.0
seq_158,0,2.0
seq_159,0,3.0
seq_160,0,4.0
seq_161,0,0.0
seq_162,0,1.0
seq_163,0,2.0
seq_164,0,3.0
seq_165,0,4.0
seq_166,0,0.0
seq_167,0,1.0
seq_168,0,2.0
seq_169,0,3.0
seq_170,0,4.0
seq_171,0,0.0
seq_172,0,1.0
seq_173,0,2.0
seq_174,0,3.0
seq_175,0,4.0
seq_176,0,0.0
seq_177,0,1.0
seq_178,0,2.0
seq_179,0,3.0
seq_180,0,4.0
seq_181,0,0.0
seq_182,0,1.0
seq_183,0,2.0
seq_184,0,3.0
seq_185,0,4.0
seq_186,0,0.0
seq_187,0,1.0
seq_188,0,2.0
seq_189,0,3.0
seq_190,0,4.0
seq_191,0,0.0
seq_192,0,1.0
seq_193,0,2.0
seq_194,0,3.0
seq_195,0,4.0
seq_196,0,0.0
seq_197,0,1.0
seq_198,0,2.0
seq_199,0,3.0
seq_200,0,4.0
seq_201,0,0.0
seq_202,0,1.0
seq_203,0,2.0
seq_204,0,3.0
seq_205,0,4.0
seq_206,0,0.0
seq_207,0,1.0
seq_208,0,2.0
seq_209,0,3.0
seq_210,0,4.0
seq_211,0,0.0
seq_212,0,1.0
seq_213,0,2.0
seq_214,0,3.0
seq_215,0,4.0
seq_216,0,0.0
seq_217,0,1.0
seq_218,0,2.0
seq_219,0,3.0
seq_220,0,4.0
seq_221,0,0.0
seq_222,0,1.0
seq_223,0,2.0
seq_224,0,3.0
seq_225,0,4.0
seq_226,0,0.0
seq_227,0,1.0
seq_228,0,2.0
seq_229,0,3.0
seq_230,0,4.0
seq_231,0,0.0
seq_232,0,1.0
seq_233,0,2.0
seq_234,0,3.0
seq_235,0,4.0
seq_236,0,0.0
seq_237,0,1.0
seq_238,0,2.0
seq_239,0,3.0
seq_240,0,4.0
seq_241,0,0.0
seq_242,0,1.0
seq_243,0,2.0
seq_244,0,3.0
seq_245,0,4.0
seq_246,0,0.0
seq_247,0,1.0
seq_248,0,2.0
seq_249,0,3.0
seq_250,0,4.0
seq_251,0,0.0
seq_252,0,1.0
seq_253,0,2.0
seq_254,0,3.0
seq_255,0,4.0
seq_256,0,0.0
seq_257,0,1.0
seq_258,0,2.0
seq_259,0,3.0
seq_260,0,4.0
seq_261,0,0.0
seq_262,0,1.0
seq_263,0,2.0
seq_264,0,3.0
seq_265,0,4.0
seq_266,0,0.0
seq_267,0,1.0
seq_268,0,2.0
seq_269,0,3.0
seq_270,0,4.0
seq_271,0,0.0
seq_272,0,1.0
seq_273,0,2.0
seq_274,0,3.0
seq_275,0,4.0
seq_276,0,0.0
seq_277,0,1.0
seq_278,0,2.0
seq_279,0,3.0
seq_280,0,4.0
seq_281,0,0.0
seq_282,0,1.0
seq_283,0,2.0
seq_284,0,3.0
seq_285,0,4.0
seq_286,0,0.0
seq_287,0,1.0
seq_288,0,2.0
seq_289,0,3.0
seq_290,0,4.0
seq_291,0,0.0
seq_292,0,1.0
seq_293,0,2.0
seq_294,0,3.0
seq_295,0,4.0
seq_296,0,0.0
seq_297,0,1.0
seq_298,0,2.0
seq_299,0,3.0
seq_300,0,4.0
seq_301,0,0.0
seq_302,0,1.0
seq_303,0,2.0
seq_304,0,3.0
seq_305,0,4.0
seq_306,0,0.0
seq_307,0,1.0
seq_308,0,2.0
seq_309,0,3.0
seq_310,0,4.0
seq_311,0,0.0
seq_312,0,1.0
seq_313,0,2.0
seq_314,0,3.0
seq_315,0,4.0
seq_316,0,0.0
seq_317,0,1.0
seq_318,0,2.0
seq_319,0,3.0
seq_320,0,4.0
seq_321,0,0.0
seq_322,0,1.0
seq_323,0,2.0
seq_324,0,3.0
seq_325,0,4.0
seq_326,0,0.0
seq_327,0,1.0
seq_328,0,2.0
seq_329,0,3.0
seq_330,0,4.0
seq_331,0,0.0
seq_332,0,1.0
seq_333,0,2.0
seq_334,0,3.0
seq_335,0,4.0
seq_336,0,0.0
seq_337,0,1.0
seq_338,0,2.0
seq_339,0,3.0
seq_340,0,4.0
seq_341,0,0.0
seq_342,0,1.0
seq_343,0,2.0
seq_344,0,3.0
seq_345,0,4.0
seq_346,0,0.0
seq_347,0,1.0
seq_348,0,2.0
seq_349,0,3.0
seq_350,0,4.0
seq_351,0,0.0
seq_352,0,1.0
seq_353,0,2.0
seq_354,0,3.0
seq_355,0,4.0
seq_356,0,0.0
seq_357,0,1.0
seq_358,0,2.0
seq_359,0,3.0
seq_360,0,4.0
seq_361,0,0.0
seq_362,0,1.0
seq_363,0,2.0
seq_364,0,3.0
seq_365,0,4.0
seq_366,0,0.0
seq_367,0,1.0
seq_368,0,2.0
seq_369,0,3.0
seq_370,0,4.0
seq_371,0,0.0
seq_372,0,1.0
seq_373,0,2.0
seq_374,0,3.0
seq_375,0,4.0
seq_376,0,0.0
seq_377,0,1.0
seq_378,0,2.0
seq_379,0,3.0
seq_380,0,4.0
seq_381,0,0.0
seq_382,0,1.0
seq_383,0,2.0
seq_384,0,3.0
seq_385,0,4.0
seq_386,0,0.0
seq_387,0,1.0
seq_388,0,2.0
seq_389,0,3.0
seq_390,0,4.0
seq_391,0,0.0
seq_392,0,1.0
seq_393,0,2.0
seq_394,0,3.0
seq_395,0,4.0
seq_396,0,0.0
seq_397,0,1.0
seq_398,0,2.0
seq_399,0,3.0
seq_400,0,4.0
seq_401,0,0.0
seq_402,0,1.0
seq_403,0,2.0
seq_404,0,3.0
seq_405,0,4.0
seq_406,0,0.0
seq_407,0,1.0
seq_408,0,2.0
seq_409,0,3.0
seq_410,0,4.0
seq_411,0,0.0
seq_412,0,1.0
seq_413,0,2.0
seq_414,0,3.0
seq_415,0,4.0
seq_416,0,0.0
seq_417,0,1.0
seq_418,0,2.0
seq_419,0,3.0
seq_420,0,4.0
seq_421,0,0.0
seq_422,0,1.0
seq_423,0,2.0
seq_424,0,3.0
seq_425,0,4.0
seq_426,0,0.0
seq_427,0,1.0
seq_428,0,2.0
seq_429,0,3.0
seq_430,0,4.0
seq_431,0,0.0
seq_432,0,1.0
seq_433,0,2.0
seq_434,0,3.0
seq_435,0,4.0
seq_436,0,0.0
seq_437,0,1.0
seq_438,0,2.0
seq_439,0,3.0
seq_440,0,4.0
seq_441,0,0.0
seq_442,0,1.0
seq_443,0,2.0
seq_444,0,3.0
seq_445,0,4.0
seq_446,0,0.0
seq_447,0,1.0
seq_448,0,2.0
seq_449,0,3.0
seq_450,0,4.0
seq_451,0,0.0
seq_452,0,1.0
seq_453,0,2.0
seq_454,0,3.0
seq_455,0,4.0
seq_456,0,0.0
seq_457,0,1.0
seq_458,0,2.0
seq_459,0,3.0
seq_460,0,4.0
seq_461,0,0.0
seq_462,0,1.0
seq_463,0,2.0
seq_464,0,3.0
seq_465,0,4.0
seq_466,0,0.0
seq_467,0,1.0
seq_468,0,2.0
seq_469,0,3.0
seq_470,0,4.0
seq_471,0,0.0
seq_472,0,1.0
seq_473,0,2.0
seq_474,0,3.0
seq_475,0,4.0
seq_476,0,0.0
seq_477,0,1.0
seq_478,0,2.0
seq_479,0,3.0
seq_480,0,4.0
seq_481,0,0.0
seq_482,0,1.0
seq_483,0,2.0
seq_484,0,3.0
seq_485,0,4.0
seq_486,0,0.0
seq_487,0,1.0
seq_488,0,2.0
seq_489,0,3.0
seq_490,0,4.0
seq_491,0,0.0
seq_492,0,1.0
seq_493,0,2.0
seq_494,0,3.0
seq_495,0,4.0
seq_496,0,0.0
seq_497,0,1.0
seq_498,0,2.0
seq_499,0,3.0
seq_500,0,4.0
seq_501,0,0.0
seq_502,0,1.0
seq_503,0,2.0
seq_504,0,3.0
seq_505,0,4.0
seq_506,0,0.0
seq_507,0,1.0
seq_508,0,2.0
seq_509,0,3.0
seq_510,0,4.0
seq_511,0,0.0
seq_512,0,1.0
seq_513,0,2.0
seq_514,0,3.0
seq_515,0,4.0
seq_516,0,0.0
seq_517,0,1.0
seq_518,0,2.0
seq_519,0,3.0
seq_520,0,4.0
seq_521,0,0.0
seq_522,0,1.0
seq_523,0,2.0
seq_524,0,3.0
seq_525,0,4.0
seq_526,0,0.0
seq_527,0,1.0
seq_528,0,2.0
seq_529,0,3.0
seq_530,0,4.0
seq_531,0,0.0
seq_532,0,1.0
seq_533,0,2.0
seq_534,0,3.0
seq_535,0,4.0
seq_536,0,0.0
seq_537,0,1.0
seq_538,0,2.0
seq_539,0,3.0
seq_540,0,4.0
seq_541,0,0.0
seq_542,0,1.0
seq_543,0,2.0
seq_544,0,3.0
seq_545,0,4.0
seq_546,0,0.0
seq_547,0,1.0
seq_548,0,2.0
seq_549,0,3.0
seq_550,0,4.0
seq_551,0,0.0
seq_552,0,1.0
seq_553,0,2.0
seq_554,0,3.0
seq_555,0,4.0
seq_556,0,0.0
seq_557,0,1.0
seq_558,0,2.0
seq_559,0,3.0
seq_560,0,4.0
seq_561,0,0.0
seq_562,0,1.0
seq_563,0,2.0
seq_564,0,3.0
seq_565,0,4.0
seq_566,0,0.0
seq_567,0,1.0
seq_568,0,2.0
seq_569,0,3.0
seq_570,0,4.0
seq_571,0,0.0
seq_572,0,1.0
seq_573,0,2.0
seq_574,0,3.0
seq_575,0,4.0
seq_576,0,0.0
seq_577,0,1.0
seq_578,0,2.0
seq_579,0,3.0
seq_580,0,4.0
seq_581,0,0.0
seq_582,0,1.0
seq_583,0,2.0
seq_584,0,3.0
seq_585,0,4.0
seq_586,0,0.0
seq_587,0,1.0
seq_588,0,2.0
seq_589,0,3.0
seq_590,0,4.0
seq_591,0,0.0
seq_592,0,1.0
seq_593,0,2.0
seq_594,0,3.0
seq_595,0,4.0
seq_596,0,0.0
seq_597,0,1.0
seq_598,0,2.0
seq_599,0,3.0
seq_600,0,4.0
seq_601,0,0.0
seq_602,0,1.0
seq_603,0,2.0
seq_604,0,3.0
seq_605,0,4.0
seq_606,0,0.0
seq_607,0,1.0
