,AC,label-val,cluster,max_ident_other,closest_other
0,seq_1,0,0.0,0.49200000000000005,seq_2853
1,seq_2,0,1.0,0.772,seq_721
2,seq_3,0,2.0,0.565,seq_2315
3,seq_4,0,3.0,0.488,seq_1512
4,seq_5,0,4.0,0.508,seq_768
5,seq_6,0,0.0,0.515,seq_1193
6,seq_7,0,1.0,0.525,seq_365
7,seq_8,0,2.0,0.488,seq_1415
8,seq_9,0,3.0,0.515,seq_1302
9,seq_10,0,4.0,0.47600000000000003,seq_1623
10,seq_11,0,0.0,0.5329999999999999,seq_2087
11,seq_12,0,1.0,0.494,seq_814
12,seq_13,0,2.0,0.48,seq_2269
13,seq_14,0,3.0,0.475,seq_1776
14,seq_15,0,4.0,0.486,seq_1312
15,seq_16,0,0.0,0.506,seq_240
16,seq_17,0,1.0,0.494,seq_2207
17,seq_18,0,2.0,0.501,seq_1736
18,seq_19,0,3.0,0.48200000000000004,seq_1947
19,seq_20,0,4.0,0.493,seq_763
20,seq_21,0,0.0,0.501,seq_2036
21,seq_22,0,1.0,0.507,seq_376
22,seq_23,0,2.0,0.489,seq_1089
23,seq_24,0,3.0,0.516,seq_2290
24,seq_25,0,4.0,0.51,seq_2411
25,seq_26,0,0.0,0.488,seq_2907
26,seq_27,0,1.0,0.512,seq_1059
27,seq_28,0,2.0,0.49700000000000005,seq_220
28,seq_29,0,3.0,0.499,seq_1041
29,seq_30,0,4.0,0.494,seq_852
30,seq_31,0,0.0,0.496,seq_274
31,seq_32,0,1.0,0.484,seq_1009
32,seq_33,0,2.0,0.493,seq_1384
33,seq_34,0,3.0,0.478,seq_2689
34,seq_35,0,4.0,0.5670000000000001,seq_2753
35,seq_36,0,0.0,0.47700000000000004,seq_1987
36,seq_37,0,1.0,0.489,seq_48
37,seq_38,0,2.0,0.5,seq_1624
38,seq_39,0,3.0,0.515,seq_1406
39,seq_40,0,4.0,0.501,seq_1106
40,seq_41,0,0.0,0.512,seq_2528
41,seq_42,0,1.0,0.495,seq_1045
42,seq_43,0,2.0,0.524,seq_1194
43,seq_44,0,3.0,0.507,seq_190
44,seq_45,0,4.0,0.522,seq_1909
45,seq_46,0,0.0,0.5,seq_873
46,seq_47,0,1.0,0.562,seq_2612
47,seq_48,0,2.0,0.496,seq_450
48,seq_49,0,3.0,0.49,seq_2281
49,seq_50,0,4.0,0.515,seq_1717
50,seq_51,0,0.0,0.47700000000000004,seq_2483
51,seq_52,0,1.0,0.48200000000000004,seq_2442
52,seq_53,0,2.0,0.493,seq_450
53,seq_54,0,3.0,0.485,seq_1790
54,seq_55,0,4.0,0.503,seq_2018
55,seq_56,0,0.0,0.521,seq_1980
56,seq_57,0,1.0,0.496,seq_1491
57,seq_58,0,2.0,0.51,seq_2748
58,seq_59,0,3.0,0.483,seq_108
59,seq_60,0,4.0,0.527,seq_1231
60,seq_61,0,0.0,0.526,seq_1276
61,seq_62,0,1.0,0.529,seq_1891
