,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,seq_1,False,0,0,0.0,0.489,seq_2477
1,seq_3,False,0,0,1.0,0.503,seq_1562
2,seq_4,False,0,0,2.0,0.488,seq_1512
3,seq_5,False,0,0,4.0,0.49200000000000005,seq_604
4,seq_6,False,0,0,4.0,0.48200000000000004,seq_2172
5,seq_7,False,0,0,4.0,0.49,seq_2191
6,seq_8,False,0,0,2.0,0.488,seq_1415
7,seq_9,False,0,0,3.0,0.515,seq_1302
8,seq_11,False,0,0,4.0,0.518,seq_731
9,seq_12,False,0,0,2.0,0.494,seq_814
10,seq_13,False,0,0,3.0,0.48,seq_2269
11,seq_14,False,0,0,3.0,0.475,seq_1776
12,seq_15,False,0,0,2.0,0.486,seq_1312
13,seq_16,False,0,0,4.0,0.506,seq_166
14,seq_17,False,0,0,4.0,0.49200000000000005,seq_117
15,seq_18,False,0,0,4.0,0.501,seq_1736
16,seq_19,False,0,0,3.0,0.48200000000000004,seq_1947
17,seq_20,False,0,0,1.0,0.493,seq_763
18,seq_21,False,0,0,4.0,0.47,seq_1738
19,seq_22,False,0,0,2.0,0.507,seq_376
20,seq_23,False,0,0,4.0,0.489,seq_1089
21,seq_24,False,0,0,1.0,0.516,seq_2290
22,seq_26,False,0,0,3.0,0.5,seq_481
23,seq_27,False,0,0,4.0,0.483,seq_145
24,seq_28,False,0,0,3.0,0.49700000000000005,seq_220
25,seq_29,False,0,0,1.0,0.499,seq_1041
26,seq_30,False,0,0,0.0,0.494,seq_852
27,seq_31,False,0,0,3.0,0.496,seq_274
28,seq_32,False,0,0,4.0,0.484,seq_1009
29,seq_33,False,0,0,0.0,0.479,seq_517
30,seq_34,False,0,0,2.0,0.48100000000000004,seq_1619
31,seq_35,False,0,0,0.0,0.496,seq_2129
32,seq_36,False,0,0,3.0,0.46799999999999997,seq_1601
33,seq_37,False,0,0,0.0,0.489,seq_48
34,seq_38,False,0,0,1.0,0.5,seq_1624
35,seq_39,False,0,0,4.0,0.49,seq_806
36,seq_40,False,0,0,2.0,0.501,seq_1106
37,seq_41,False,0,0,4.0,0.49200000000000005,seq_2191
38,seq_43,False,0,0,2.0,0.524,seq_1194
39,seq_45,False,0,0,0.0,0.522,seq_1909
40,seq_46,False,0,0,1.0,0.5,seq_873
41,seq_47,False,0,0,4.0,0.49200000000000005,seq_1660
42,seq_48,False,0,0,2.0,0.496,seq_450
43,seq_49,False,0,0,1.0,0.489,seq_2271
44,seq_50,False,0,0,4.0,0.493,seq_2513
45,seq_51,False,0,0,4.0,0.47700000000000004,seq_2483
46,seq_52,False,0,0,1.0,0.48200000000000004,seq_1860
47,seq_53,False,0,0,1.0,0.493,seq_450
48,seq_54,False,0,0,2.0,0.485,seq_1790
49,seq_55,False,0,0,1.0,0.49200000000000005,seq_584
50,seq_57,False,0,0,4.0,0.496,seq_1491
51,seq_58,False,0,0,4.0,0.48,seq_2786
52,seq_59,False,0,0,3.0,0.483,seq_108
53,seq_60,False,0,0,4.0,0.48,seq_1230
54,seq_61,False,0,0,4.0,0.503,seq_150
55,seq_62,False,0,0,4.0,0.499,seq_2891
56,seq_63,False,0,0,1.0,0.506,seq_243
57,seq_64,False,0,0,3.0,0.473,seq_84
58,seq_66,False,0,0,4.0,0.49700000000000005,seq_505
59,seq_67,False,0,0,1.0,0.507,seq_273
60,seq_68,False,0,0,3.0,0.503,seq_2855
61,seq_69,False,0,0,0.0,0.47700000000000004,seq_775
62,seq_70,False,0,0,4.0,0.473,seq_2332
63,seq_71,False,0,0,1.0,0.49700000000000005,seq_912
64,seq_72,False,0,0,2.0,0.474,seq_2874
65,seq_73,False,0,0,3.0,0.514,seq_385
66,seq_74,False,0,0,2.0,0.49,seq_2187
67,seq_75,False,0,0,4.0,0.483,seq_1897
68,seq_77,False,0,0,0.0,0.48200000000000004,seq_1081
69,seq_78,False,0,0,4.0,0.475,seq_1313
70,seq_79,False,0,0,2.0,0.486,seq_1107
71,seq_80,False,0,0,4.0,0.503,seq_2553
72,seq_81,False,0,0,3.0,0.489,seq_1703
73,seq_82,False,0,0,4.0,0.514,seq_2584
74,seq_83,False,0,0,1.0,0.486,seq_642
75,seq_84,False,0,0,2.0,0.485,seq_2604
76,seq_85,False,0,0,4.0,0.493,seq_2523
77,seq_86,False,0,0,1.0,0.485,seq_2805
78,seq_87,False,0,0,2.0,0.511,seq_252
79,seq_88,False,0,0,1.0,0.48,seq_2452
80,seq_89,False,0,0,0.0,0.493,seq_1443
81,seq_90,False,0,0,0.0,0.474,seq_2609
