,AC,priority,label-val,cluster,max_ident_other,closest_other
0,seq_1,False,0,0.0,0.49200000000000005,seq_2853
1,seq_2,False,0,1.0,0.772,seq_721
2,seq_3,False,0,2.0,0.565,seq_2315
3,seq_4,False,0,3.0,0.488,seq_1512
4,seq_5,False,0,4.0,0.508,seq_768
5,seq_6,False,0,0.0,0.515,seq_1193
6,seq_7,False,0,1.0,0.525,seq_365
7,seq_8,False,0,2.0,0.488,seq_1415
8,seq_9,False,0,3.0,0.517,seq_1684
9,seq_10,False,0,4.0,0.47600000000000003,seq_1623
10,seq_11,False,0,0.0,0.5329999999999999,seq_2087
11,seq_12,False,0,1.0,0.494,seq_814
12,seq_13,False,0,2.0,0.48,seq_2269
13,seq_14,False,0,3.0,0.475,seq_1776
14,seq_15,False,0,4.0,0.486,seq_1705
15,seq_16,False,0,0.0,0.506,seq_240
16,seq_17,False,0,1.0,0.493,seq_1570
17,seq_18,False,0,2.0,0.501,seq_1736
18,seq_19,False,0,3.0,0.48200000000000004,seq_1947
19,seq_20,False,0,4.0,0.493,seq_763
20,seq_21,False,0,0.0,0.501,seq_2036
21,seq_22,False,0,1.0,0.507,seq_376
22,seq_23,False,0,2.0,0.489,seq_1089
23,seq_24,False,0,3.0,0.516,seq_2290
24,seq_25,False,0,4.0,0.51,seq_2411
25,seq_26,False,0,0.0,0.488,seq_2907
26,seq_27,False,0,1.0,0.512,seq_1059
27,seq_28,False,0,2.0,0.49700000000000005,seq_220
28,seq_29,False,0,3.0,0.499,seq_1041
29,seq_30,False,0,4.0,0.494,seq_852
30,seq_31,False,0,0.0,0.496,seq_274
31,seq_32,False,0,1.0,0.484,seq_1009
32,seq_33,False,0,2.0,0.532,seq_1638
33,seq_34,False,0,3.0,0.48100000000000004,seq_1619
34,seq_35,False,0,4.0,0.5670000000000001,seq_2753
35,seq_36,False,0,0.0,0.47700000000000004,seq_1987
36,seq_37,False,0,1.0,0.489,seq_48
37,seq_38,False,0,2.0,0.5,seq_1624
38,seq_39,False,0,3.0,0.515,seq_1406
39,seq_40,False,0,4.0,0.501,seq_1106
40,seq_41,False,0,0.0,0.512,seq_2528
41,seq_42,False,0,1.0,0.495,seq_1045
42,seq_43,False,0,2.0,0.524,seq_1194
43,seq_44,False,0,3.0,0.507,seq_1605
44,seq_45,False,0,4.0,0.505,seq_548
45,seq_46,False,0,0.0,0.5,seq_873
46,seq_47,False,0,1.0,0.529,seq_2273
47,seq_48,False,0,2.0,0.496,seq_450
48,seq_49,False,0,3.0,0.49,seq_2281
49,seq_50,False,0,4.0,0.515,seq_1717
50,seq_51,False,0,0.0,0.47700000000000004,seq_2483
51,seq_52,False,0,1.0,0.48200000000000004,seq_1860
52,seq_53,False,0,2.0,0.493,seq_450
53,seq_54,False,0,3.0,0.485,seq_1790
54,seq_55,False,0,4.0,0.503,seq_2018
55,seq_56,False,0,0.0,0.494,seq_2759
56,seq_57,False,0,1.0,0.484,seq_2221
57,seq_58,False,0,2.0,0.495,seq_1276
58,seq_59,False,0,3.0,0.483,seq_108
59,seq_60,False,0,4.0,0.527,seq_1231
60,seq_61,False,0,0.0,0.526,seq_1276
61,seq_62,False,0,1.0,0.528,seq_385
62,seq_63,False,0,2.0,0.493,seq_1516
63,seq_64,False,0,3.0,0.47100000000000003,seq_261
64,seq_65,False,0,4.0,0.488,seq_2889
65,seq_66,False,0,0.0,0.507,seq_962
66,seq_67,False,0,1.0,0.507,seq_273
67,seq_68,False,0,2.0,0.503,seq_2855
68,seq_69,False,0,3.0,0.64,seq_2590
69,seq_70,False,0,4.0,0.48100000000000004,seq_1996
70,seq_71,False,0,0.0,0.49700000000000005,seq_912
71,seq_72,False,0,1.0,0.489,seq_2249
72,seq_73,False,0,2.0,0.514,seq_385
73,seq_74,False,0,3.0,0.49,seq_2187
74,seq_75,False,0,4.0,0.483,seq_1897
75,seq_76,False,0,0.0,0.499,seq_2183
76,seq_77,False,0,1.0,0.575,seq_783
77,seq_78,False,0,2.0,0.48200000000000004,seq_1269
78,seq_79,False,0,3.0,0.486,seq_1107
79,seq_80,False,0,4.0,0.5579999999999999,seq_1188
80,seq_81,False,0,0.0,0.489,seq_1703
81,seq_82,False,0,1.0,0.54,seq_240
82,seq_83,False,0,2.0,0.486,seq_642
83,seq_84,False,0,3.0,0.48200000000000004,seq_310
84,seq_85,False,0,4.0,0.541,seq_2639
85,seq_86,False,0,0.0,0.49700000000000005,seq_360
86,seq_87,False,0,1.0,0.499,seq_1132
87,seq_88,False,0,2.0,0.503,seq_1479
88,seq_89,False,0,3.0,0.475,seq_271
89,seq_90,False,0,4.0,0.737,seq_2861
90,seq_91,False,0,0.0,0.6809999999999999,seq_1404
91,seq_92,False,0,1.0,0.515,seq_664
92,seq_93,False,0,2.0,0.737,seq_2562
93,seq_94,False,0,3.0,0.506,seq_1395
94,seq_95,False,0,4.0,0.519,seq_1710
95,seq_96,False,0,0.0,0.5479999999999999,seq_1864
96,seq_97,False,0,1.0,0.565,seq_1864
97,seq_98,False,0,2.0,0.5379999999999999,seq_1473
98,seq_99,False,0,3.0,0.542,seq_2366
99,seq_100,False,0,4.0,0.474,seq_473
100,seq_101,False,0,0.0,0.7609999999999999,seq_892
101,seq_102,False,0,1.0,0.486,seq_641
102,seq_103,False,0,2.0,0.486,seq_659
103,seq_104,False,0,3.0,0.5,seq_195
104,seq_105,False,0,4.0,0.479,seq_1770
105,seq_106,False,0,0.0,0.49700000000000005,seq_2497
106,seq_107,False,0,1.0,0.49200000000000005,seq_1213
107,seq_108,False,0,2.0,0.49200000000000005,seq_154
108,seq_109,False,0,3.0,0.528,seq_2246
109,seq_110,False,0,4.0,0.547,seq_1741
110,seq_111,False,0,0.0,0.49,seq_1488
111,seq_112,False,0,1.0,0.513,seq_914
112,seq_113,False,0,2.0,0.486,seq_1386
113,seq_114,False,0,3.0,0.612,seq_202
114,seq_115,False,0,4.0,0.491,seq_1628
115,seq_116,False,0,0.0,0.654,seq_2348
116,seq_117,False,0,1.0,0.504,seq_508
117,seq_118,False,0,2.0,0.509,seq_2401
118,seq_119,False,0,3.0,0.467,seq_979
119,seq_120,False,0,4.0,0.469,seq_2829
120,seq_121,False,0,0.0,0.48100000000000004,seq_1217
121,seq_122,False,0,1.0,0.539,seq_1924
122,seq_123,False,0,2.0,0.546,seq_152
123,seq_124,False,0,3.0,0.75,seq_2921
124,seq_125,False,0,4.0,0.525,seq_1138
125,seq_126,False,0,0.0,0.638,seq_2442
126,seq_127,False,0,1.0,0.478,seq_2723
127,seq_128,False,0,2.0,0.545,seq_1580
128,seq_129,False,0,3.0,0.478,seq_1941
129,seq_130,False,0,4.0,0.529,seq_928
130,seq_131,False,0,0.0,0.488,seq_2242
131,seq_132,False,0,1.0,0.486,seq_1187
132,seq_133,False,0,2.0,0.537,seq_1891
133,seq_134,False,0,3.0,0.47700000000000004,seq_975
134,seq_135,False,0,4.0,0.493,seq_1670
135,seq_136,False,0,0.0,0.51,seq_437
136,seq_137,False,0,1.0,0.496,seq_2538
137,seq_138,False,0,2.0,0.504,seq_2889
138,seq_139,False,0,3.0,0.5539999999999999,seq_240
139,seq_140,False,0,4.0,0.475,seq_1822
140,seq_141,False,0,0.0,0.578,seq_723
141,seq_142,False,0,1.0,0.48,seq_310
142,seq_143,False,0,2.0,0.473,seq_71
143,seq_144,False,0,3.0,0.555,seq_2211
144,seq_145,False,0,4.0,0.515,seq_1210
145,seq_146,False,0,0.0,0.51,seq_2514
146,seq_147,False,0,1.0,0.519,seq_2553
147,seq_148,False,0,2.0,0.48100000000000004,seq_302
148,seq_149,False,0,3.0,0.493,seq_787
149,seq_150,False,0,4.0,0.508,seq_1710
150,seq_151,False,0,0.0,0.484,seq_210
151,seq_152,False,0,1.0,0.546,seq_123
152,seq_153,False,0,2.0,0.52,seq_1076
153,seq_154,False,0,3.0,0.49200000000000005,seq_108
154,seq_155,False,0,4.0,0.505,seq_901
155,seq_156,False,0,0.0,0.485,seq_986
156,seq_157,False,0,1.0,0.478,seq_1214
157,seq_158,False,0,2.0,0.537,seq_1895
158,seq_159,False,0,3.0,0.545,seq_1225
159,seq_160,False,0,4.0,0.503,seq_1540
160,seq_161,False,0,0.0,0.496,seq_397
161,seq_162,False,0,1.0,0.528,seq_1713
162,seq_163,False,0,2.0,0.557,seq_1741
163,seq_164,False,0,3.0,0.494,seq_2034
164,seq_165,False,0,4.0,0.48,seq_154
165,seq_166,False,0,0.0,0.493,seq_1573
166,seq_167,False,0,1.0,0.504,seq_270
167,seq_168,False,0,2.0,0.5,seq_973
168,seq_169,False,0,3.0,0.531,seq_1814
169,seq_170,False,0,4.0,0.5660000000000001,seq_1003
170,seq_171,False,0,0.0,0.518,seq_1861
171,seq_172,False,0,1.0,0.522,seq_648
172,seq_173,False,0,2.0,0.508,seq_1623
173,seq_174,False,0,3.0,0.48100000000000004,seq_716
174,seq_175,False,0,4.0,0.49200000000000005,seq_1663
175,seq_176,False,0,0.0,0.508,seq_233
176,seq_177,False,0,1.0,0.51,seq_2511
177,seq_178,False,0,2.0,0.46299999999999997,seq_1259
178,seq_179,False,0,3.0,0.516,seq_1256
179,seq_180,False,0,4.0,0.499,seq_1005
180,seq_181,False,0,0.0,0.484,seq_1586
181,seq_182,False,0,1.0,0.49700000000000005,seq_1389
182,seq_183,False,0,2.0,0.489,seq_574
183,seq_184,False,0,3.0,0.521,seq_1741
184,seq_185,False,0,4.0,0.49200000000000005,seq_808
185,seq_186,False,0,0.0,0.5,seq_2059
186,seq_187,False,0,1.0,0.526,seq_884
187,seq_188,False,0,2.0,0.488,seq_2769
188,seq_189,False,0,3.0,0.491,seq_232
189,seq_190,False,0,4.0,0.529,seq_1817
190,seq_191,False,0,0.0,0.49200000000000005,seq_1607
191,seq_192,False,0,1.0,0.489,seq_1222
192,seq_193,False,0,2.0,0.7290000000000001,seq_886
193,seq_194,False,0,3.0,0.489,seq_1534
194,seq_195,False,0,4.0,0.5,seq_104
195,seq_196,False,0,0.0,0.503,seq_723
196,seq_197,False,0,1.0,0.518,seq_1979
197,seq_198,False,0,2.0,0.455,seq_2825
198,seq_199,False,0,3.0,0.49,seq_2631
199,seq_200,False,0,4.0,0.521,seq_1276
200,seq_201,False,0,0.0,0.51,seq_2713
201,seq_202,False,0,1.0,0.612,seq_114
202,seq_203,False,0,2.0,0.501,seq_2387
203,seq_204,False,0,3.0,0.742,seq_285
204,seq_205,False,0,4.0,0.534,seq_2528
205,seq_206,False,0,0.0,0.501,seq_1478
206,seq_207,False,0,1.0,0.5539999999999999,seq_80
207,seq_208,False,0,2.0,0.517,seq_801
208,seq_209,False,0,3.0,0.534,seq_1577
209,seq_210,False,0,4.0,0.501,seq_2738
210,seq_211,False,0,0.0,0.48100000000000004,seq_1096
211,seq_212,False,0,1.0,0.499,seq_822
212,seq_213,False,0,2.0,0.484,seq_699
213,seq_214,False,0,3.0,0.524,seq_1935
214,seq_215,False,0,4.0,0.466,seq_1345
215,seq_216,False,0,0.0,0.504,seq_1096
216,seq_217,False,0,1.0,0.519,seq_2713
217,seq_218,False,0,2.0,0.493,seq_1233
218,seq_219,False,0,3.0,0.499,seq_2145
219,seq_220,False,0,4.0,0.531,seq_2188
220,seq_221,False,0,0.0,0.706,seq_2455
221,seq_222,False,0,1.0,0.484,seq_1482
222,seq_223,False,0,2.0,0.507,seq_2299
223,seq_224,False,0,3.0,0.507,seq_2702
224,seq_225,False,0,4.0,0.48,seq_1823
225,seq_226,False,0,0.0,0.507,seq_112
226,seq_227,False,0,1.0,0.518,seq_1297
227,seq_228,False,0,2.0,0.501,seq_2546
228,seq_229,False,0,3.0,0.738,seq_2648
229,seq_230,False,0,4.0,0.48100000000000004,seq_2859
