,AC,label-val,cluster,max_ident_other,closest_other
0,seq_208,0,3.0,0.517,seq_801
1,seq_209,0,0.0,0.542,seq_2394
2,seq_210,0,2.0,0.501,seq_2738
3,seq_211,0,4.0,0.48100000000000004,seq_1096
4,seq_212,0,4.0,0.557,seq_207
5,seq_213,0,0.0,0.484,seq_699
6,seq_214,0,1.0,0.524,seq_1935
7,seq_215,0,2.0,0.466,seq_1345
8,seq_216,0,3.0,0.504,seq_1096
9,seq_217,0,4.0,0.519,seq_2713
10,seq_218,0,0.0,0.493,seq_1233
11,seq_219,0,1.0,0.49200000000000005,seq_2556
12,seq_220,0,3.0,0.517,seq_2663
13,seq_222,0,4.0,0.484,seq_1482
14,seq_223,0,0.0,0.511,seq_1377
15,seq_224,0,1.0,0.489,seq_837
16,seq_225,0,2.0,0.493,seq_2580
17,seq_226,0,3.0,0.507,seq_112
18,seq_227,0,4.0,0.518,seq_1297
19,seq_228,0,0.0,0.501,seq_2546
20,seq_229,0,1.0,0.738,seq_2648
21,seq_230,0,3.0,0.48100000000000004,seq_2859
22,seq_231,0,4.0,0.493,seq_849
23,seq_232,0,0.0,0.49200000000000005,seq_1455
24,seq_233,0,0.0,0.524,seq_7
25,seq_234,0,0.0,0.478,seq_105
26,seq_235,0,1.0,0.527,seq_2062
27,seq_236,0,2.0,0.485,seq_1518
28,seq_237,0,3.0,0.49700000000000005,seq_974
29,seq_238,0,4.0,0.529,seq_851
30,seq_239,0,0.0,0.501,seq_1741
31,seq_240,0,2.0,0.56,seq_854
32,seq_241,0,3.0,0.488,seq_1970
33,seq_242,0,4.0,0.48700000000000004,seq_677
34,seq_243,0,0.0,0.506,seq_63
35,seq_244,0,1.0,0.49,seq_2645
36,seq_245,0,2.0,0.514,seq_606
37,seq_246,0,3.0,0.49,seq_40
38,seq_247,0,4.0,0.5,seq_783
39,seq_248,0,0.0,0.49,seq_1579
40,seq_249,0,1.0,0.5429999999999999,seq_1794
41,seq_250,0,3.0,0.5,seq_415
42,seq_251,0,4.0,0.499,seq_1885
43,seq_252,0,0.0,0.5379999999999999,seq_2528
44,seq_253,0,1.0,0.478,seq_713
45,seq_254,0,2.0,0.588,seq_1970
46,seq_255,0,3.0,0.49700000000000005,seq_2720
47,seq_256,0,3.0,0.504,seq_2047
48,seq_257,0,4.0,0.51,seq_1539
49,seq_258,0,0.0,0.48700000000000004,seq_2562
50,seq_259,0,2.0,0.503,seq_934
51,seq_260,0,4.0,0.486,seq_2093
52,seq_261,0,0.0,0.485,seq_1698
53,seq_262,0,1.0,0.49200000000000005,seq_1360
54,seq_263,0,1.0,0.52,seq_2446
55,seq_264,0,2.0,0.489,seq_1153
56,seq_265,0,3.0,0.545,seq_852
57,seq_266,0,4.0,0.494,seq_272
58,seq_267,0,0.0,0.519,seq_1256
59,seq_268,0,1.0,0.527,seq_2614
60,seq_269,0,2.0,0.52,seq_2417
61,seq_270,0,4.0,0.501,seq_994
62,seq_271,0,0.0,0.484,seq_2595
63,seq_272,0,1.0,0.511,seq_298
64,seq_273,0,2.0,0.517,seq_1872
65,seq_274,0,3.0,0.5,seq_153
66,seq_275,0,4.0,0.53,seq_1890
67,seq_276,0,0.0,0.489,seq_2655
68,seq_277,0,1.0,0.504,seq_2683
69,seq_278,0,2.0,0.486,seq_1959
70,seq_279,0,3.0,0.508,seq_1586
71,seq_280,0,0.0,0.496,seq_328
72,seq_281,0,1.0,0.5,seq_2541
73,seq_282,0,2.0,0.522,seq_2523
74,seq_283,0,3.0,0.51,seq_465
75,seq_284,0,4.0,0.6920000000000001,seq_2590
76,seq_285,0,0.0,0.753,seq_1140
77,seq_286,0,3.0,0.5,seq_187
78,seq_287,0,3.0,0.514,seq_1586
79,seq_288,0,4.0,0.535,seq_941
80,seq_289,0,0.0,0.503,seq_1597
81,seq_290,0,2.0,0.526,seq_2910
82,seq_291,0,4.0,0.489,seq_2176
83,seq_292,0,1.0,0.486,seq_701
84,seq_293,0,2.0,0.511,seq_2302
85,seq_294,0,3.0,0.529,seq_723
86,seq_295,0,4.0,0.485,seq_23
87,seq_296,0,0.0,0.5,seq_282
88,seq_297,0,1.0,0.49700000000000005,seq_370
89,seq_298,0,2.0,0.511,seq_272
90,seq_299,0,3.0,0.726,seq_748
91,seq_300,0,1.0,0.514,seq_1231
92,seq_801,0,1.0,0.521,seq_987
93,seq_802,0,2.0,0.489,seq_1907
94,seq_803,0,3.0,0.518,seq_421
95,seq_804,0,4.0,0.475,seq_2294
96,seq_805,0,0.0,0.52,seq_2306
97,seq_806,0,1.0,0.506,seq_2285
98,seq_807,0,2.0,0.499,seq_1670
99,seq_809,0,3.0,0.51,seq_45
100,seq_810,0,0.0,0.47100000000000003,seq_1811
101,seq_811,0,1.0,0.49700000000000005,seq_1962
102,seq_812,0,2.0,0.524,seq_506
103,seq_813,0,3.0,0.49,seq_2212
104,seq_814,0,4.0,0.494,seq_12
105,seq_815,0,0.0,0.504,seq_507
106,seq_816,0,1.0,0.521,seq_2398
107,seq_817,0,2.0,0.504,seq_452
108,seq_818,0,3.0,0.6659999999999999,seq_193
109,seq_819,0,4.0,0.47700000000000004,seq_2263
110,seq_820,0,1.0,0.496,seq_2573
111,seq_821,0,2.0,0.5,seq_1344
112,seq_822,0,3.0,0.528,seq_2517
113,seq_823,0,4.0,0.527,seq_2905
114,seq_824,0,0.0,0.7040000000000001,seq_2513
115,seq_825,0,1.0,0.503,seq_2342
116,seq_826,0,2.0,0.518,seq_60
117,seq_827,0,3.0,0.48100000000000004,seq_2329
118,seq_828,0,4.0,0.49200000000000005,seq_203
119,seq_829,0,0.0,0.486,seq_1673
120,seq_830,0,2.0,0.485,seq_2272
121,seq_831,0,3.0,0.528,seq_159
122,seq_832,0,4.0,0.484,seq_995
123,seq_833,0,0.0,0.495,seq_845
124,seq_834,0,1.0,0.499,seq_2182
125,seq_835,0,2.0,0.478,seq_263
126,seq_836,0,3.0,0.555,seq_1649
127,seq_837,0,4.0,0.506,seq_2299
128,seq_838,0,0.0,0.47100000000000003,seq_1434
