AC,label-val,cluster
seq_1087,0,0
seq_810,0,0
seq_575,0,0
seq_2395,0,0
seq_1368,0,0
seq_919,0,0
seq_31,0,0
seq_959,0,0
seq_1196,0,0
seq_1711,0,0
seq_2348,0,0
seq_2870,0,0
seq_594,0,0
seq_1868,0,0
seq_1366,0,0
seq_339,0,0
seq_1591,0,0
seq_2299,0,0
seq_2724,0,0
seq_2337,0,0
seq_1410,0,0
seq_2240,0,0
seq_1455,0,0
seq_1167,0,0
seq_1881,0,0
seq_2043,0,0
seq_2045,0,0
seq_1383,0,0
seq_2317,0,0
seq_202,0,0
seq_2252,0,0
seq_549,0,0
seq_2503,0,0
seq_2911,0,0
seq_935,0,0
seq_194,0,0
seq_1588,0,0
seq_541,0,0
seq_2103,0,0
seq_1242,0,0
seq_601,0,0
seq_2124,0,0
seq_1511,0,0
seq_1800,0,0
seq_57,0,0
seq_1512,0,0
seq_29,0,0
seq_2017,0,0
seq_2306,0,0
seq_754,0,0
seq_108,0,0
seq_1586,0,0
seq_689,0,0
seq_2391,0,0
seq_665,0,0
seq_193,0,0
seq_415,0,0
seq_28,0,0
seq_517,0,0
seq_1531,0,0
seq_1715,0,0
seq_1763,0,0
seq_1093,0,0
seq_1471,0,0
seq_1211,0,0
seq_1668,0,0
seq_1570,0,0
seq_2840,0,0
seq_363,0,0
seq_1137,0,0
seq_386,0,0
seq_397,0,0
seq_967,0,0
seq_1080,0,0
seq_955,0,0
seq_2697,0,0
seq_1871,0,0
seq_2809,0,0
seq_1686,0,0
seq_622,0,0
seq_374,0,0
seq_91,0,0
seq_852,0,0
seq_2537,0,0
seq_2254,0,0
seq_88,0,0
seq_2811,0,0
seq_2921,0,0
seq_1931,0,0
seq_1106,0,0
seq_990,0,0
seq_484,0,0
seq_138,0,0
seq_678,0,0
seq_600,0,0
seq_297,0,0
seq_292,0,0
seq_23,0,0
seq_2105,0,0
seq_508,0,0
seq_1187,0,0
seq_377,0,0
seq_823,0,0
seq_368,0,0
seq_2339,0,0
seq_1920,0,0
seq_1131,0,0
seq_290,0,0
seq_2007,0,0
seq_1973,0,0
seq_658,0,0
seq_1301,0,0
seq_2275,0,0
seq_1403,0,0
seq_1483,0,0
seq_1035,0,0
seq_2442,0,0
seq_2669,0,0
seq_2813,0,0
seq_1039,0,0
seq_1683,0,0
seq_2075,0,0
seq_257,0,0
seq_1754,0,0
seq_2062,0,0
seq_545,0,0
seq_424,0,0
seq_2057,0,0
seq_838,0,0
seq_1777,0,0
seq_2834,0,0
seq_1008,0,0
seq_1026,0,0
seq_2428,0,0
seq_612,0,0
seq_60,0,0
seq_2465,0,0
seq_2752,0,0
seq_2594,0,0
seq_1590,0,0
seq_2193,0,0
seq_277,0,0
seq_1333,0,0
seq_2260,0,0
seq_1913,0,0
seq_728,0,0
seq_2576,0,0
seq_1179,0,0
seq_1540,0,0
seq_104,0,0
seq_1084,0,0
seq_270,0,0
seq_1430,0,0
seq_224,0,0
seq_1615,0,0
seq_1765,0,0
seq_2734,0,0
seq_398,0,0
seq_510,0,0
seq_237,0,0
seq_820,0,0
seq_1934,0,0
seq_1051,0,0
seq_2072,0,0
seq_2565,0,0
seq_2244,0,0
seq_2102,0,0
seq_2663,0,0
seq_1180,0,0
seq_2837,0,0
seq_617,0,0
seq_1967,0,0
seq_962,0,0
seq_861,0,0
seq_2138,0,0
seq_2181,0,0
seq_2513,0,0
seq_2085,0,0
seq_2446,0,0
seq_322,0,0
seq_2665,0,0
seq_1209,0,0
seq_300,0,0
seq_2012,0,0
seq_2292,0,0
seq_2449,0,0
seq_2692,0,0
seq_763,0,0
seq_1416,0,0
seq_1663,0,0
seq_2887,0,0
seq_52,0,0
seq_1596,0,0
seq_1681,0,0
seq_2439,0,0
seq_34,0,0
seq_2232,0,0
seq_191,0,0
seq_1155,0,0
seq_2274,0,0
seq_2000,0,0
seq_1908,0,0
seq_627,0,0
seq_2877,0,0
seq_2248,0,0
seq_829,0,0
seq_851,0,0
seq_1147,0,0
seq_1208,0,0
seq_589,0,0
seq_2609,0,0
seq_2520,0,0
seq_1912,0,0
seq_1045,0,0
seq_2184,0,0
seq_2797,0,0
seq_2182,0,0
seq_2850,0,0
seq_1282,0,0
seq_2770,0,0
seq_917,0,0
seq_1774,0,0
seq_1224,0,0
seq_721,0,0
seq_2725,0,0
seq_142,0,0
seq_815,0,0
seq_1932,0,0
seq_1682,0,0
seq_2250,0,0
seq_993,0,0
seq_1276,0,0
seq_1248,0,0
seq_2773,0,0
seq_2780,0,0
seq_1356,0,0
seq_614,0,0
seq_110,0,0
seq_945,0,0
seq_446,0,0
seq_2595,0,0
seq_1247,0,0
seq_717,0,0
seq_1641,0,0
seq_1697,0,0
seq_873,0,0
seq_994,0,0
seq_4,0,0
seq_607,0,0
seq_2097,0,0
seq_1250,0,0
seq_731,0,0
seq_2545,0,0
seq_65,0,0
seq_53,0,0
seq_2056,0,0
seq_2257,0,0
seq_450,0,0
seq_1400,0,0
seq_1470,0,0
seq_1538,0,0
seq_2049,0,0
seq_1592,0,0
seq_1302,0,0
seq_495,0,0
seq_2117,0,0
seq_648,0,0
seq_2079,0,0
seq_1558,0,0
seq_1737,0,0
seq_2375,0,0
seq_1338,0,0
seq_965,0,0
seq_10,0,0
seq_2235,0,0
seq_1806,0,0
seq_248,0,0
seq_1798,0,0
seq_655,0,0
seq_2674,0,0
seq_453,0,0
seq_803,0,0
seq_2599,0,0
seq_651,0,0
seq_1343,0,0
seq_827,0,0
seq_663,0,0
seq_2611,0,0
seq_964,0,0
seq_2626,0,0
seq_908,0,0
seq_2607,0,0
seq_333,0,0
seq_1327,0,0
seq_279,0,0
seq_1801,0,0
seq_983,0,0
seq_433,0,0
seq_173,0,0
seq_1078,0,0
seq_1657,0,0
seq_1584,0,0
seq_2502,0,0
seq_1385,0,0
seq_2385,0,0
seq_1133,0,0
seq_1529,0,0
seq_1044,0,0
seq_2095,0,0
seq_1002,0,0
seq_2514,0,0
seq_2237,0,0
seq_539,0,0
seq_1036,0,0
seq_1762,0,0
