,AC,label-val,cluster,max_ident_other,closest_other
0,seq_2245,0,0,0.49,seq_2412
1,seq_2130,0,0,0.5589999999999999,seq_2246
2,seq_1753,0,0,0.485,seq_2803
3,seq_740,0,0,0.503,seq_61
4,seq_621,0,0,0.617,seq_2874
5,seq_635,0,0,0.526,seq_1263
6,seq_2920,0,0,0.489,seq_81
7,seq_2300,0,0,0.483,seq_1272
8,seq_789,0,0,0.505,seq_2111
9,seq_2913,0,0,0.47200000000000003,seq_1578
10,seq_1731,0,0,0.488,seq_2730
11,seq_109,0,0,0.528,seq_2246
12,seq_2659,0,0,0.506,seq_1800
13,seq_2835,0,0,0.619,seq_808
14,seq_820,0,0,0.494,seq_1359
15,seq_2877,0,0,0.49200000000000005,seq_2210
16,seq_847,0,0,0.488,seq_2867
17,seq_672,0,0,0.489,seq_60
18,seq_1260,0,0,0.49200000000000005,seq_2081
19,seq_1909,0,0,0.51,seq_381
20,seq_462,0,0,0.5329999999999999,seq_2513
21,seq_1277,0,0,0.499,seq_243
22,seq_557,0,0,0.491,seq_332
23,seq_1684,0,0,0.517,seq_9
24,seq_2091,0,0,0.564,seq_1220
25,seq_977,0,0,0.48200000000000004,seq_463
26,seq_1642,0,0,0.493,seq_2445
27,seq_1702,0,0,0.49200000000000005,seq_1544
28,seq_874,0,0,0.5,seq_1402
29,seq_918,0,0,0.535,seq_1556
30,seq_1966,0,0,0.5,seq_2335
31,seq_2022,0,0,0.524,seq_648
32,seq_1452,0,0,0.5379999999999999,seq_2520
33,seq_2442,0,0,0.638,seq_126
34,seq_1164,0,0,0.485,seq_302
35,seq_2828,0,0,0.64,seq_1655
36,seq_2804,0,0,0.501,seq_2333
37,seq_525,0,0,0.48,seq_79
38,seq_657,0,0,0.5539999999999999,seq_1848
39,seq_203,0,0,0.501,seq_2387
40,seq_271,0,0,0.499,seq_234
41,seq_1015,0,0,0.493,seq_2508
42,seq_732,0,0,0.496,seq_1534
43,seq_2297,0,0,0.49700000000000005,seq_2068
44,seq_649,0,0,0.53,seq_785
45,seq_78,0,0,0.473,seq_1393
46,seq_1064,0,0,0.521,seq_1427
47,seq_877,0,0,0.5329999999999999,seq_2248
48,seq_2201,0,0,0.528,seq_1229
49,seq_2342,0,0,0.503,seq_825
50,seq_200,0,0,0.51,seq_543
51,seq_1274,0,0,0.48200000000000004,seq_1550
52,seq_1299,0,0,0.501,seq_1897
53,seq_655,0,0,0.485,seq_827
54,seq_1267,0,0,0.504,seq_1326
55,seq_423,0,0,0.48200000000000004,seq_2481
56,seq_1622,0,0,0.496,seq_1934
57,seq_1681,0,0,0.501,seq_9
58,seq_1672,0,0,0.489,seq_1987
59,seq_2590,0,0,0.6920000000000001,seq_284
60,seq_137,0,0,0.49,seq_1777
61,seq_1988,0,0,0.547,seq_2240
62,seq_890,0,0,0.48100000000000004,seq_2631
63,seq_2664,0,0,0.541,seq_2137
64,seq_1296,0,0,0.496,seq_1750
65,seq_850,0,0,0.49200000000000005,seq_1373
66,seq_1003,0,0,0.569,seq_1300
67,seq_1098,0,0,0.47,seq_906
68,seq_1207,0,0,0.484,seq_627
69,seq_2063,0,0,0.539,seq_1794
70,seq_2572,0,0,0.51,seq_2557
71,seq_94,0,0,0.506,seq_1395
72,seq_1739,0,0,0.488,seq_1208
73,seq_272,0,0,0.511,seq_298
74,seq_2411,0,0,0.51,seq_1969
75,seq_1519,0,0,0.508,seq_2507
76,seq_2459,0,0,0.495,seq_1473
77,seq_717,0,0,0.599,seq_2904
78,seq_247,0,0,0.495,seq_187
79,seq_159,0,0,0.545,seq_1225
80,seq_614,0,0,0.489,seq_360
81,seq_1425,0,0,0.47700000000000004,seq_1250
82,seq_695,0,0,0.49700000000000005,seq_1902
83,seq_2174,0,0,0.726,seq_2441
84,seq_2529,0,0,0.48200000000000004,seq_2457
85,seq_1851,0,0,0.483,seq_526
86,seq_891,0,0,0.49200000000000005,seq_80
87,seq_1788,0,0,0.49700000000000005,seq_1183
88,seq_1694,0,0,0.485,seq_1628
89,seq_1136,0,0,0.51,seq_467
90,seq_1615,0,0,0.523,seq_1378
91,seq_865,0,0,0.512,seq_2366
92,seq_1445,0,0,0.485,seq_817
93,seq_1769,0,0,0.515,seq_1196
94,seq_1796,0,0,0.49200000000000005,seq_2021
95,seq_2373,0,0,0.489,seq_2779
96,seq_1023,0,0,0.528,seq_2528
97,seq_1178,0,0,0.467,seq_1469
98,seq_1884,0,0,0.499,seq_1609
99,seq_1280,0,0,0.508,seq_1569
100,seq_1474,0,0,0.527,seq_482
101,seq_382,0,0,0.485,seq_2492
102,seq_16,0,0,0.506,seq_240
103,seq_1513,0,0,0.499,seq_360
104,seq_2785,0,0,0.48,seq_1273
105,seq_1559,0,0,0.479,seq_369
106,seq_2573,0,0,0.504,seq_2381
107,seq_1679,0,0,0.521,seq_417
108,seq_1868,0,0,0.534,seq_2793
109,seq_1100,0,0,0.563,seq_2744
110,seq_711,0,0,0.524,seq_2796
111,seq_749,0,0,0.493,seq_1818
112,seq_1283,0,0,0.508,seq_1365
113,seq_593,0,0,0.499,seq_2725
114,seq_1976,0,0,0.516,seq_1427
115,seq_2465,0,0,0.46399999999999997,seq_1388
116,seq_442,0,0,0.547,seq_2250
117,seq_328,0,0,0.496,seq_280
118,seq_2747,0,0,0.488,seq_1451
119,seq_2409,0,0,0.484,seq_1229
120,seq_1570,0,0,0.524,seq_386
121,seq_2672,0,0,0.478,seq_443
122,seq_810,0,0,0.47100000000000003,seq_1811
123,seq_647,0,0,0.542,seq_1045
124,seq_750,0,0,0.48200000000000004,seq_2064
125,seq_2360,0,0,0.499,seq_1443
126,seq_2677,0,0,0.485,seq_931
127,seq_1879,0,0,0.47100000000000003,seq_1943
128,seq_1703,0,0,0.489,seq_2084
129,seq_2905,0,0,0.5710000000000001,seq_80
130,seq_1965,0,0,0.47600000000000003,seq_2226
131,seq_1161,0,0,0.47600000000000003,seq_128
132,seq_459,0,0,0.48200000000000004,seq_192
133,seq_2812,0,0,0.501,seq_688
134,seq_2112,0,0,0.506,seq_1060
135,seq_2815,0,0,0.493,seq_1579
136,seq_1002,0,0,0.46799999999999997,seq_1624
137,seq_2322,0,0,0.48100000000000004,seq_1013
138,seq_1244,0,0,0.532,seq_2489
139,seq_1168,0,0,0.485,seq_2516
140,seq_1674,0,0,0.523,seq_2188
141,seq_254,0,0,0.588,seq_1970
