,AC,label-val,cluster,max_ident_other,closest_other
0,iYAL067W-A_5085,0,0.0,0.495,iYLR342W_815804
1,iYAL067W-A_6786,0,1.0,0.49700000000000005,YLR436C_ECM30_1009430
2,iYAL067W-A_7060,0,2.0,0.502,iYPR020W_600360
3,YAL067C_SEO1_8061,1,0.0,0.498,itF(GAA)H1_239031
4,YAL067C_SEO1_8340,1,1.0,0.493,YGL141W_HUL5_239681
5,iYAL067C_9509,1,2.0,0.501,YML011C_YML011C_247356
6,iYAL067C_10442,0,3.0,0.49700000000000005,YHR109W_CTM1_331577
7,YAL065C_YAL065C_11570,1,3.0,0.498,YML002W_YML002W_266324
8,iYAL064W-B_13286,1,4.0,0.607,YAL063C_FLO9_25408
9,iYAL064C-A_17180,0,4.0,0.496,YNL041C_COG6_549793
10,YAL063C_FLO9_25408,1,0.0,0.607,iYAL064W-B_13286
11,YAL063C_FLO9_27164,1,1.0,0.494,iYNL030W_577026
12,iYAL063C_28310,0,0.0,0.494,YJR066W_TOR1_565032
13,iYAL063C_28485,0,1.0,0.489,YOR147W_MDM32_608008
14,iYAL063C_28701,0,2.0,0.496,YKL174C_YKL174C_121939
15,iYAL063C_29475,0,3.0,0.498,iYPL125W_316480
16,iYAL063C_29683,0,4.0,0.5529999999999999,iYAL063C_29827
17,iYAL063C_29827,0,0.0,0.5529999999999999,iYAL063C_29683
18,iYAL063C_31405,1,2.0,0.48200000000000004,iYPRCtau3_882114
19,YAL062W_GDH3_31762,1,3.0,0.517,YAL062W_GDH3_31921
20,YAL062W_GDH3_31921,1,4.0,0.517,YAL062W_GDH3_31762
21,YAL062W_GDH3_32137,1,0.0,0.49200000000000005,YLL063C_AYT1_15868
22,YAL062W_GDH3_32426,1,1.0,0.48,YGL254W_FZF1_23017
23,YAL061W_YAL061W_33963,1,2.0,0.494,YKR069W_MET1_572572
24,YAL061W_YAL061W_34168,1,3.0,0.479,YGL040C_HEM2_420131
25,YAL060W_BDH1_35541,1,4.0,0.496,iYMR008C_283084
26,YAL060W_BDH1_35732,1,0.0,0.489,YJL002C_OST1_433306
27,YAL058W_CNE1_37589,1,1.0,0.5,YJL061W_NUP82_320453
28,YAL058W_CNE1_37896,1,2.0,0.494,itT(AGU)C_295554
29,YAL058W_CNE1_38169,1,3.0,0.49,YML081W_YML081W_107010
30,YAL058W_CNE1_38393,1,4.0,0.48700000000000004,YGL158W_RCK1_207504
31,YAL058W_CNE1_38776,1,0.0,0.494,YOR067C_ALG8_453093
32,iYAL058W_39023,0,1.0,0.491,iYMLCdelta1_133003
33,YAL056W_GPB2_41075,1,1.0,0.484,YGR166W_KRE11_831421
34,iYAL056W_41907,0,2.0,0.489,YPR070W_MED1_686653
35,YAL055W_PEX22_42523,1,2.0,0.491,iYNR071C_772396
36,iYAL055W_42713,1,3.0,0.48700000000000004,iYJL177W_91664
37,YAL054C_ACS1_43037,1,4.0,0.493,iYDR092W_630877
38,YAL054C_ACS1_43271,1,0.0,0.5,YDR484W_VPS52_1423762
39,YAL054C_ACS1_43532,1,1.0,0.501,YCL016C_DCC1_95477
40,YAL054C_ACS1_43814,1,2.0,0.496,YNL270C_ALP1_136224
41,YAL054C_ACS1_44192,1,3.0,0.485,YLR188W_MDL1_528541
42,YAL054C_ACS1_44451,1,4.0,0.485,YNL134C_YNL134C_373346
43,iYAL054C_45092,0,3.0,0.48100000000000004,YDR495C_VPS3_1439050
44,iYAL054C_45286,0,4.0,0.474,YMR001C_CDC5_270436
45,iYAL054C_45489,0,0.0,0.47600000000000003,iYPL055C_455278
46,iYAL054C_45810,0,1.0,0.478,iYHL015W_76012
47,YAL053W_YAL053W_46535,1,0.0,0.483,YER101C_AST2_361404
48,YAL053W_YAL053W_46907,0,2.0,0.498,iYEL063C_33843
49,iYAL053W_48269,0,3.0,0.489,YIL159W_BNR1_44582
50,iYAL053W_48483,0,4.0,0.493,YPR049C_ATG11_662497
51,YAL051W_OAF1_48780,1,1.0,0.488,YAL051W_OAF1_48952
52,YAL051W_OAF1_48952,1,2.0,0.489,YDL189W_RBS1_122576
53,YAL051W_OAF1_50476,0,0.0,0.502,YNR027W_BUD17_675261
54,YAL049C_YAL049C_52405,1,3.0,0.493,YNL010W_YNL010W_613932
55,YAL048C_GON1_54532,1,4.0,0.48700000000000004,YKL203C_TOR2_62214
56,YAL047C_SPC72_55136,1,0.0,0.499,iYHRWdelta13_466872
57,YAL047C_SPC72_55443,0,1.0,0.498,YDL142C_CRD1_202464
58,YAL047C_SPC72_56446,1,1.0,0.505,YNL265C_IST1_144906
59,YAL047C_SPC72_56735,1,2.0,0.498,YCR026C_YCR026C_165631
60,iYAL047C_57035,1,3.0,0.49700000000000005,itE(UUC)E3_487531
61,YAL046C_YAL046C_57257,1,4.0,0.597,iYAL046C_57383
62,iYAL046C_57383,1,0.0,0.597,YAL046C_YAL046C_57257
63,YAL044W-A_YAL044W-A_57526,1,1.0,0.555,iYAL046C_57383
64,YAL044W-A_YAL044W-A_57701,1,2.0,0.48100000000000004,YAL044W-A_YAL044W-A_57526
65,iYAL044W-A_57922,1,3.0,0.502,YAL044C_GCV3_58088
66,YAL044C_GCV3_58088,1,4.0,0.502,iYAL044W-A_57922
67,YAL044C_GCV3_58393,1,0.0,0.488,YDR320C_SWA2_1107858
68,YAL043C_PTA1_59701,1,1.0,0.48200000000000004,YLR088W_GAA1_316435
69,YAL043C_PTA1_59982,1,2.0,0.483,YKL002W_DID4_438119
70,YAL043C_PTA1_60653,1,3.0,0.565,YAL043C_PTA1_60792
71,YAL043C_PTA1_60792,1,4.0,0.565,YAL043C_PTA1_60653
72,iYAL043C_61067,1,0.0,0.49200000000000005,YLR088W_GAA1_316221
73,iYAL043C_61267,1,1.0,0.506,YAL042W_ERV46_61431
74,YAL042W_ERV46_61431,1,2.0,0.506,iYAL043C_61267
75,YAL042W_ERV46_61872,1,3.0,0.484,YFR022W_YFR022W_197348
76,YAL042W_ERV46_62132,1,4.0,0.47,YPL214C_THI6_148913
77,YAL042W_ERV46_62360,1,0.0,0.475,YJL034W_KAR2_381763
78,iYAL042W_62792,1,1.0,0.48200000000000004,iYFR053C_257941
79,YAL041W_CDC24_62972,1,2.0,0.49200000000000005,YMR212C_EFR3_692839
80,YAL041W_CDC24_65136,0,2.0,0.49700000000000005,YJL034W_KAR2_382821
81,iYAL041W_65467,0,3.0,0.506,iYIL119C_137926
82,iYAL041W_65705,0,4.0,0.55,YAL040C_CLN3_65850
83,YAL040C_CLN3_65850,0,0.0,0.55,iYAL041W_65705
84,YAL040C_CLN3_66467,0,1.0,0.528,YEL009C_GCN4_139536
85,iYAL040C_68019,0,2.0,0.605,iYAL040C_68142
86,iYAL040C_68142,0,3.0,0.605,iYAL040C_68019
87,iYAL040C_68408,0,4.0,0.46799999999999997,YIL109C_SEC24_159874
88,iYAL040C_68655,0,0.0,0.48,YOR040W_GLO4_407576
89,YAL039C_CYC3_69260,1,3.0,0.473,YIL041W_GVP36_277283
90,iYAL039C_69552,1,4.0,0.48,iYPR122W_785718
91,iYAL039C_69762,0,1.0,0.483,iYDR210W_871669
92,iYAL039C_70069,0,2.0,0.524,iYAL039C_70225
93,iYAL039C_70225,0,3.0,0.524,iYAL039C_70069
94,iYAL039C_70799,0,4.0,0.508,iYAL039C_70962
95,iYAL039C_70962,0,0.0,0.508,iYAL039C_70799
96,iYAL039C_71196,0,1.0,0.47700000000000004,YFR053C_HXK1_253732
97,iYAL039C_71377,0,2.0,0.488,iYDL169C_159304
98,iYAL039C_71627,0,3.0,0.493,iYLR018C_179687
99,YAL038W_CDC19_71924,0,4.0,0.485,iYBR031W_301524
100,YAL038W_CDC19_72302,0,0.0,0.496,YHR194W_MDM31_489119
101,YAL038W_CDC19_72544,0,1.0,0.49,YDR284C_DPP1_1031058
102,YAL038W_CDC19_72796,0,2.0,0.489,isnR24_500389
103,YAL038W_CDC19_73055,0,3.0,0.48700000000000004,iYER068W_295254
104,iYAL038W_73253,0,4.0,0.498,YLR185W_RPL37A_523219
105,YAL037C-A_YAL037C-A_73430,0,0.0,0.514,itR(ACG)J_234177
106,YAL037W_YAL037W_74419,1,0.0,0.493,YOR267C_HRK1_824311
107,iYAL037W_75019,0,1.0,0.488,iYBR056W-A_352072
108,YAL036C_RBG1_75671,1,1.0,0.493,YJR049C_UTR1_528169
109,YAL036C_RBG1_75992,1,2.0,0.48,YAL054C_ACS1_43532
110,iYAL036C_76221,1,3.0,0.48,YNR058W_BIO3_735380
111,YAL035W_FUN12_76562,1,4.0,0.506,YLR330W_CHS5_789247
112,YAL035W_FUN12_78023,0,2.0,0.504,iYML074C_121896
113,YAL034W-A_MTW1_79896,1,0.0,0.495,iYDL044C_375504
114,iYAL034C_82459,1,1.0,0.479,YBR097W_VPS15_437112
115,YAL033W_POP5_82726,1,2.0,0.494,iYOR261C_817179
116,YAL033W_POP5_83097,1,3.0,0.493,YDR042C_YDR042C_540988
117,YAL032C_PRP45_83407,1,4.0,0.488,YJR129C_YJR129C_664703
118,YAL032C_PRP45_83909,1,0.0,0.498,YGL025C_PGD1_449707
119,iYAL031C_87027,1,1.0,0.483,iYKL025C_391933
120,iYAL030W_87672,1,2.0,0.491,iYJR009C_455618
121,YAL029C_MYO4_88408,0,3.0,0.502,iYOR092W_497169
122,YAL029C_MYO4_91804,1,3.0,0.486,YNL327W_EGT2_24781
123,YAL029C_MYO4_92008,1,4.0,0.48700000000000004,YGR260W_TNA1_1013458
124,iYAL029C_92525,0,4.0,0.488,iYMR192W_649295
125,iYAL029C_92840,0,0.0,0.49700000000000005,iYOR011W_353870
126,YAL028W_FRT2_93261,1,0.0,0.49700000000000005,YKL204W_EAP1_53759
127,YAL028W_FRT2_93743,1,1.0,0.485,YDL113C_ATG20_258122
128,YAL027W_YAL027W_94841,1,2.0,0.514,iYFR053C_256703
129,iYAL027W_95484,0,1.0,0.48700000000000004,iYJL048C_348764
130,YAL026C_DRS2_96955,1,3.0,0.493,iYDRCdelta2_513638
131,YAL026C_DRS2_98375,0,2.0,0.515,YJL085W_EXO70_272944
132,YAL026C_DRS2_98543,0,3.0,0.502,YMR142C_RPL13B_550846
133,iYAL026C_99712,1,4.0,0.49200000000000005,iYHL033C_36055
134,YAL025C_MAK16_100226,1,0.0,0.48,iYPR119W_773808
135,iYAL025C_101389,0,4.0,0.49200000000000005,iYIL107C_166055
136,YAL024C_LTE1_102121,0,0.0,0.521,YDR132C_YDR132C_719048
137,YAL024C_LTE1_105442,1,1.0,0.488,YNL294C_RIM21_80191
138,YAL024C_LTE1_105629,1,2.0,0.486,YML042W_CAT2_194053
139,YAL023C_PMT2_108159,1,3.0,0.489,YDR061W_YDR061W_574646
140,YAL023C_PMT2_108479,1,4.0,0.486,YBR068C_BAP2_375542
141,iYAL023C_108764,0,1.0,0.49700000000000005,iYGR261C_1016807
142,YAL022C_FUN26_109126,1,0.0,0.49700000000000005,YNR035C_ARC35_693689
143,YAL021C_CCR4_112835,1,1.0,0.483,YMR183C_SSO2_627697
144,YAL021C_CCR4_113171,1,2.0,0.484,YLR095C_IOC2_331860
145,iYAL021C_113410,1,3.0,0.515,iYAL021C_113570
146,iYAL021C_113570,1,4.0,0.515,iYAL021C_113410
147,YAL020C_ATS1_113778,1,0.0,0.473,YLR205C_HMX1_553161
148,YAL020C_ATS1_114054,1,1.0,0.47200000000000003,YAL029C_MYO4_92008
149,YAL020C_ATS1_114392,1,2.0,0.49,YMR207C_HFA1_683412
150,iYAL020C_114641,1,3.0,0.478,YOR009W_TIR4_345398
151,iYAL020C_114826,1,4.0,0.508,YAL019W_FUN30_114989
152,YAL019W_FUN30_114989,1,0.0,0.508,iYAL020C_114826
153,YAL019W_FUN30_115270,1,1.0,0.484,YOL072W_THP1_195427
154,YAL019W_FUN30_115972,1,2.0,0.49,YJL098W_SAP185_243021
155,YAL019W_FUN30_116771,1,3.0,0.486,iYPL229W_118114
156,YAL019W_FUN30_118190,0,2.0,0.498,YDL063C_YDL063C_339353
157,iYAL019W_118520,0,3.0,0.503,YJR035W_RAD26_497292
158,YAL018C_YAL018C_119227,1,4.0,0.49700000000000005,YHR192W_YHR192W_487274
159,iYAL018C_119562,1,0.0,0.488,YER158C_YER158C_489600
160,iYAL018C_120057,1,1.0,0.489,YLR102C_APC9_343239
161,YAL017W_PSK1_120326,1,2.0,0.48700000000000004,YBL079W_NUP170_79605
162,YAL017W_PSK1_120942,1,3.0,0.485,iYDR419W_1305309
163,YAL017W_PSK1_122215,1,4.0,0.488,iYJL020C_402565
164,YAL016C-B_YAL016C-B_124406,0,4.0,0.565,iYAL016C-B_124545
165,iYAL016C-B_124545,0,0.0,0.565,YAL016C-B_YAL016C-B_124406
166,iYAL016W_126785,0,1.0,0.495,YNL302C_RPS19B_62854
167,YAL015C_NTG1_127299,1,0.0,0.493,YLL022C_HIF1_100135
168,YAL015C_NTG1_127618,1,1.0,0.502,YMR208W_ERG12_684547
169,YAL015C_NTG1_127813,1,2.0,0.48700000000000004,YGR009C_SEC9_510895
170,iYAL015C_128119,1,3.0,0.48,YER157W_COG3_486613
171,YAL014C_SYN8_128792,1,4.0,0.493,YIR024C_YIR024C_403037
172,iYAL014C_129075,1,0.0,0.508,iYAL014C_129238
173,iYAL014C_129238,1,1.0,0.534,YAL013W_DEP1_129390
174,YAL013W_DEP1_129390,1,2.0,0.534,iYAL014C_129238
175,YAL013W_DEP1_130154,1,3.0,0.49,iYLR399C_922011
176,YAL013W_DEP1_130430,1,4.0,0.47100000000000003,YCR031C_RPS14A_177872
177,iYAL013W_130700,0,2.0,0.47700000000000004,YDR403W_DIT1_1275696
178,YAL012W_CYS3_130908,1,0.0,0.479,iYAR042W_202589
179,YAL011W_SWC3_132402,1,1.0,0.478,YNL304W_YPT11_60937
180,YAL011W_SWC3_132634,1,2.0,0.491,YCL014W_BUD3_99603
181,YAL010C_MDM10_135564,1,3.0,0.49,iYLR448W_1029827
182,iYAL010C_135784,1,4.0,0.488,YAL037C-A_YAL037C-A_73430
183,YAL009W_SPO7_135878,1,4.0,0.495,iYDR339C_1150744
184,YAL009W_SPO7_136297,1,0.0,0.493,YGR184C_UBR1_862890
185,YAL008W_FUN14_137141,1,1.0,0.6609999999999999,YAL008W_FUN14_137243
186,YAL008W_FUN14_137243,1,2.0,0.6609999999999999,YAL008W_FUN14_137141
187,iYAL008W_137513,0,3.0,0.513,iYBR033W_304704
188,YAL007C_ERP2_138211,1,3.0,0.49,YJL149W_YJL149W_139109
189,iYALCdelta2_139087,0,4.0,0.562,iYNLCdelta5_568056
190,itP(UGG)A_139292,0,0.0,0.5329999999999999,itP(UGG)F_101487
191,iYAL005C_141496,0,1.0,0.483,itT(AGU)D_434379
192,iYAL005C_141716,0,2.0,0.486,iYPR013C_585741
193,iYAL005C_142022,0,3.0,0.49,iYFR044C_241664
194,iYAL005C_142312,0,4.0,0.493,iYMR319C_914644
195,YAL003W_EFB1_142402,0,4.0,0.48700000000000004,iYBL104C_21952
196,YAL003W_EFB1_142694,0,0.0,0.49700000000000005,YBR029C_CDS1_296411
197,YAL003W_EFB1_142988,0,1.0,0.488,YLR324W_PEX30_779266
198,iYAL003W_143287,0,2.0,0.499,YBR042C_YBR042C_320470
199,iYAL003W_143618,0,3.0,0.5,iYKLWdelta3_163555
200,YAL002W_VPS8_144049,1,0.0,0.49,iYMR089C_448411
201,iYAL002W_147436,0,0.0,0.501,YFL036W_RPO41_62728
202,iYAL002W_147654,0,1.0,0.501,YNL297C_MON2_76100
203,YAL001C_TFC3_147844,0,2.0,0.496,YDR180W_SCC2_823032
204,iYAL001C_151389,0,3.0,0.496,iYGR253C_999668
205,iYAL001C_151630,0,4.0,0.508,iYNL001W_628890
206,iYAL001C_151825,0,0.0,0.494,iYDLWtau1_437540
207,iYAL001C_152050,0,1.0,0.506,itK(UUU)D_359800
208,YAR002W_NUP60_152300,0,2.0,0.496,iYEL027W_101860
209,YAR002C-A_ERP1_154267,1,1.0,0.49,YML099C_ARG81_74890
210,YAR003W_SWD1_155053,1,2.0,0.484,YDR202C_RAV2_857778
211,YAR003W_SWD1_155332,1,3.0,0.5,YIL009C-A_EST3_335938
212,YAR003W_SWD1_155873,0,3.0,0.5,YMR037C_MSN2_345688
213,iYAR003W_156607,0,4.0,0.509,YHL012W_YHL012W_79555
214,YAR007C_RFA1_156783,0,0.0,0.508,YOR237W_HES1_782544
215,YAR007C_RFA1_158552,1,4.0,0.49,iYKRCdelta12_517457
216,iYAR008W_160014,0,1.0,0.519,iYKL001C_439954
217,iYARCTy1-1_166158,0,2.0,0.654,iYPRCTy1-2_810551
218,itA(UGC)A_166394,0,3.0,0.529,itA(UGC)A_166548
219,itA(UGC)A_166548,0,4.0,0.529,itA(UGC)A_166394
220,YAR014C_BUD14_168595,1,0.0,0.488,iYCRWdelta10_151878
221,iYAR018C_171898,0,0.0,0.498,YNR044W_AGA1_705798
222,iYAR018C_172124,0,1.0,0.501,iYNL051W_533980
223,YAR019C_CDC15_172667,0,2.0,0.5,iYDL176W_144245
224,YAR019C_CDC15_174512,1,1.0,0.48200000000000004,YDL222C_FMP45_61084
225,YAR019C_CDC15_174816,1,2.0,0.49200000000000005,YJL136C_RPS21B_156572
226,iYAR019C_175246,1,3.0,0.517,iYAR019C_175405
227,iYAR019C_175405,1,4.0,0.517,iYAR019C_175246
228,iYAR019C_176021,0,3.0,0.524,YOR073W_SGO1_466441
229,iYAR019C_176340,0,4.0,0.495,YML091C_RPM2_87969
230,iYAR020C_177286,1,0.0,0.474,YOR063W_RPL3_445584
231,YAR023C_YAR023C_179387,1,1.0,0.489,YPL137C_YPL137C_295412
232,YAR023C_YAR023C_179603,1,2.0,0.48700000000000004,YGL229C_SAP4_64999
233,iYAR023C_180372,1,3.0,0.504,iYAR023C_180537
234,iYAR023C_180537,1,4.0,0.504,iYAR023C_180372
235,iYAR023C_180734,1,0.0,0.5,YER155C_BEM2_478682
236,itL(CAA)A_181332,0,0.0,0.522,itL(CAA)N_443193
237,itL(CAA)A_182031,1,1.0,0.5,YML103C_NUP188_65403
238,iYARWsigma1_183080,0,1.0,0.604,itF(GAA)P1_560417
239,iYAR027W_184528,1,2.0,0.49200000000000005,YJL204C_RCY1_51367
240,iYAR027W_184819,1,3.0,0.495,YMR139W_RIM11_547131
241,YAR028W_YAR028W_185034,1,4.0,0.499,iYHRCdelta12_465336
242,YAR028W_YAR028W_185221,1,0.0,0.498,iYER186C_563719
243,iYAR031W_187754,1,1.0,0.48100000000000004,iYAR031W_187929
244,iYAR031W_187929,1,2.0,0.48700000000000004,iYIR004W_364705
245,iYARWdelta7_189845,1,3.0,0.519,iYBLWTy2-1_35691
246,YAR035W_YAT1_190356,0,2.0,0.46799999999999997,YML100W_TSL1_70835
247,YAR035W_YAT1_190577,0,3.0,0.47100000000000003,YIR032C_DAL3_415250
248,YAR035W_YAT1_190818,1,4.0,0.47100000000000003,iYER153C_474848
249,YAR035W_YAT1_191872,1,0.0,0.478,YEL017W_GTT3_123933
250,iYAR035W_192181,1,1.0,0.475,isnR48_610172
251,YAR042W_SWH1_192708,1,2.0,0.469,YML078W_CPR3_111307
252,YAR042W_SWH1_193133,1,3.0,0.47,YGR079W_YGR079W_641354
253,iYAR042W_197350,0,4.0,0.514,YPR048W_TAH18_660511
254,iYAR042W_198573,0,0.0,0.48100000000000004,iYLL036C_68346
255,iYAR042W_198671,0,0.0,0.488,iYAR042W_202728
256,iYAR042W_199191,1,4.0,0.494,YNL128W_TEP1_382894
257,iYAR042W_199601,1,0.0,0.498,iYPRCdelta22_850580
258,iYAR042W_200700,1,1.0,0.502,itX(XXX)D_1150981
259,iYAR042W_201239,0,1.0,0.503,YDR293C_SSD1_1049094
260,iYAR042W_201843,1,2.0,0.49700000000000005,YDL161W_ENT1_168539
261,iYAR042W_202338,0,2.0,0.495,iYLR337C_805735
262,iYAR042W_202589,1,3.0,0.483,iYPR198W_936110
263,iYAR042W_202728,0,3.0,0.5,iYOL083W_167973
264,iYAR042W_202966,0,4.0,0.496,YNL311C_YNL311C_51249
265,YAR050W_FLO1_203934,1,4.0,0.534,YKR102W_FLO10_646661
266,YAR050W_FLO1_206550,1,0.0,0.562,YAR062W_YAR062W_218933
267,iYAR061W_218354,1,1.0,0.491,YOR321W_PMT3_916419
268,YAR062W_YAR062W_218933,1,2.0,0.562,YAR050W_FLO1_206550
269,YAR066W_YAR066W_221180,1,3.0,0.484,YFL042C_YFL042C_46309
270,iYAR066W_222039,1,4.0,0.484,YFR030W_MET10_214294
271,YAR068W_YAR068W_222809,1,0.0,0.49700000000000005,YDR456W_NHX1_1369297
272,iYAR068W_222991,0,1.0,0.479,YLR020C_YLR020C_181814
273,iTELR-Chr1_229352,1,1.0,0.633,iYHR216W_555983
274,iTELR-Chr1_229852,0,2.0,0.511,YJR151C_DAN4_714607
275,iYBLWdelta1_9430,0,3.0,0.648,iYCLWdelta4_90753
276,itL(UAA)B1_9724,0,4.0,0.642,itL(UAA)B1_9833
277,itL(UAA)B1_9833,0,0.0,0.642,itL(UAA)B1_9724
278,YBL106C_SRO77_10960,1,2.0,0.495,YDR522C_SPS2_1484025
279,YBL105C_PKC1_15849,1,3.0,0.502,YNL118C_DCP2_403410
