,AC,priority,label-val,cluster,max_ident_other,closest_other
0,iTELL-Chr1_61,False,0,0.0,0.7709999999999999,iTELL-Chr7_41
1,iYAL067W-A_5085,False,0,1.0,0.495,iYLR342W_815804
2,iYAL067W-A_6786,False,0,2.0,0.49700000000000005,YLR436C_ECM30_1009430
3,iYAL067W-A_7060,False,0,3.0,0.493,YGR116W_SPT6_721774
4,YAL067C_SEO1_8061,False,1,0.0,0.498,itF(GAA)H1_239031
5,YAL067C_SEO1_8340,False,1,1.0,0.493,YGL141W_HUL5_239681
6,iYAL067C_9509,False,1,2.0,0.508,YJL109C_UTP10_212409
7,iYAL067C_10442,False,0,4.0,0.49700000000000005,YHR109W_CTM1_331577
8,YAL065C_YAL065C_11570,False,1,3.0,0.498,YML002W_YML002W_266324
9,iYAL064W-B_13286,False,1,4.0,0.607,YAL063C_FLO9_25408
10,iYAL064C-A_17180,False,0,0.0,0.494,YKL217W_JEN1_23640
11,YAL063C_FLO9_25408,False,1,0.0,0.607,iYAL064W-B_13286
12,YAL063C_FLO9_27164,False,1,1.0,0.494,iYNL030W_577026
13,iYAL063C_28310,False,0,1.0,0.494,YJR066W_TOR1_565032
14,iYAL063C_28485,False,0,2.0,0.489,YOR147W_MDM32_608008
15,iYAL063C_28701,False,0,3.0,0.496,YKL174C_YKL174C_121939
16,iYAL063C_29475,False,0,4.0,0.498,iYPL125W_316480
17,iYAL063C_29683,False,0,0.0,0.5529999999999999,iYAL063C_29827
18,iYAL063C_29827,False,0,1.0,0.5529999999999999,iYAL063C_29683
19,iYAL063C_31405,False,1,2.0,0.48200000000000004,iYPRCtau3_882114
20,YAL062W_GDH3_31762,False,1,3.0,0.517,YAL062W_GDH3_31921
21,YAL062W_GDH3_31921,False,1,4.0,0.517,YAL062W_GDH3_31762
22,YAL062W_GDH3_32137,False,1,0.0,0.49200000000000005,YLL063C_AYT1_15868
23,YAL062W_GDH3_32426,False,1,1.0,0.48,YGL254W_FZF1_23017
24,YAL061W_YAL061W_33963,False,1,2.0,0.494,YKR069W_MET1_572572
25,YAL061W_YAL061W_34168,False,1,3.0,0.479,YGL040C_HEM2_420131
26,YAL060W_BDH1_35541,False,1,4.0,0.496,iYMR008C_283084
27,YAL060W_BDH1_35732,False,1,0.0,0.489,YJL002C_OST1_433306
