AC,label-val,cluster
iYAL044W-A_57922,0,2.0
YAL044C_GCV3_58088,0,2.0
YAL044C_GCV3_58393,0,3.0
YAL043C_PTA1_59701,0,3.0
YAL043C_PTA1_59982,0,4.0
YAL043C_PTA1_60653,0,0.0
YAL043C_PTA1_60792,0,1.0
iYAL043C_61067,0,0.0
iYAL043C_61267,0,1.0
YAL042W_ERV46_61431,0,4.0
YAL042W_ERV46_61872,0,0.0
YAL042W_ERV46_62132,0,1.0
YAL042W_ERV46_62360,0,2.0
iYAL042W_62792,0,4.0
YAL041W_CDC24_62972,0,3.0
YAL041W_CDC24_65136,1,0.0
iYAL041W_65467,1,4.0
iYAL041W_65705,1,0.0
YAL040C_CLN3_65850,1,3.0
YAL040C_CLN3_66467,1,4.0
iYAL040C_68019,1,0.0
iYAL040C_68142,1,1.0
iYAL040C_68408,1,2.0
iYAL040C_68655,1,3.0
YAL039C_CYC3_69260,0,2.0
iYAL039C_69552,0,3.0
iYAL039C_69762,1,2.0
iYAL039C_70069,1,3.0
iYAL039C_70225,1,4.0
iYAL039C_70799,1,0.0
iYAL039C_70962,1,1.0
iYAL039C_71196,1,2.0
iYAL039C_71377,1,3.0
iYAL039C_71627,1,4.0
YER170W_ADK2_526114,0,2.0
iYER170W_526661,0,2.0
YER172C_BRR2_531218,0,3.0
YER172C_BRR2_532895,1,2.0
YER173W_RAD24_536771,0,4.0
YER173W_RAD24_537182,1,3.0
YER173W_RAD24_538145,0,0.0
YER174C_GRX4_538751,0,1.0
iYER175W-A_540814,1,0.0
YER176W_ECM32_541849,0,2.0
YER176W_ECM32_544757,1,4.0
iYER176W_545116,1,1.0
iYER176W_545238,1,2.0
iYER176W_545513,1,3.0
iYER177W_546529,1,4.0
iYER177W_546642,1,0.0
YER178W_PDA1_547007,0,3.0
YER178W_PDA1_547131,0,4.0
YER179W_DMC1_549179,0,0.0
YER179W_DMC1_549330,0,1.0
YER180C_ISC10_549717,1,0.0
iYER180C_550694,0,3.0
iYER180C-A_551232,1,1.0
itI(AAU)E2_551468,1,4.0
iYERCdelta26_552470,0,4.0
YER182W_FMP10_552667,0,2.0
YER182W_FMP10_552919,0,3.0
YER182W_FMP10_553089,0,4.0
YER183C_FAU1_553412,0,0.0
YER183C_FAU1_553786,0,1.0
iYER183C_554027,0,4.0
iYER183C_554307,0,0.0
iYER183C_554524,0,1.0
iYER183C_555593,1,2.0
YER184C_YER184C_558395,0,2.0
iYER185W_560709,0,2.0
iYER185W_560955,0,3.0
iYER185W_561173,0,4.0
iYER185W_561485,1,3.0
iYER186C_562640,0,0.0
