,AC,label-val,cluster,max_ident_other,closest_other
0,iYAL044W-A_57922,0,2.0,0.493,YBR003W_COQ1_243565
1,YAL044C_GCV3_58088,0,2.0,0.48100000000000004,iYIL102C_174896
2,YAL044C_GCV3_58393,0,3.0,0.47700000000000004,YDL066W_IDP1_334857
3,YAL043C_PTA1_59701,0,3.0,0.48200000000000004,YLR088W_GAA1_316435
4,YAL043C_PTA1_59982,0,4.0,0.483,YKL002W_DID4_438119
5,YAL043C_PTA1_60653,0,0.0,0.565,YAL043C_PTA1_60792
6,YAL043C_PTA1_60792,0,1.0,0.565,YAL043C_PTA1_60653
7,iYAL043C_61067,0,0.0,0.49200000000000005,YLR088W_GAA1_316221
8,iYAL043C_61267,0,1.0,0.506,YAL042W_ERV46_61431
9,YAL042W_ERV46_61431,0,4.0,0.506,iYAL043C_61267
10,YAL042W_ERV46_61872,0,0.0,0.484,YFR022W_YFR022W_197348
11,YAL042W_ERV46_62132,0,1.0,0.47100000000000003,YKL107W_YKL107W_236547
12,YAL042W_ERV46_62360,0,2.0,0.475,YJL034W_KAR2_381763
13,iYAL042W_62792,0,4.0,0.48200000000000004,iYFR053C_257941
14,YAL041W_CDC24_62972,0,3.0,0.49200000000000005,YMR212C_EFR3_692839
15,YAL041W_CDC24_65136,1,0.0,0.49700000000000005,YJL034W_KAR2_382821
16,iYAL041W_65467,1,4.0,0.506,iYIL119C_137926
17,iYAL041W_65705,1,0.0,0.55,YAL040C_CLN3_65850
18,YAL040C_CLN3_65850,1,3.0,0.55,iYAL041W_65705
19,YAL040C_CLN3_66467,1,4.0,0.503,YPR157W_YPR157W_841424
20,iYAL040C_68019,1,0.0,0.605,iYAL040C_68142
21,iYAL040C_68142,1,1.0,0.605,iYAL040C_68019
22,iYAL040C_68408,1,2.0,0.46799999999999997,YIL109C_SEC24_159874
23,iYAL040C_68655,1,3.0,0.48,YOR040W_GLO4_407576
24,YAL039C_CYC3_69260,0,2.0,0.474,iYHL026C_54162
25,iYAL039C_69552,0,3.0,0.48,iYPR122W_785718
26,iYAL039C_69762,1,2.0,0.483,iYDR210W_871669
27,iYAL039C_70069,1,3.0,0.524,iYAL039C_70225
28,iYAL039C_70225,1,4.0,0.524,iYAL039C_70069
29,iYAL039C_70799,1,0.0,0.508,iYAL039C_70962
30,iYAL039C_70962,1,1.0,0.508,iYAL039C_70799
31,iYAL039C_71196,1,2.0,0.469,YDL057W_YDL057W_351703
32,iYAL039C_71377,1,3.0,0.488,iYDL169C_159304
33,iYAL039C_71627,1,4.0,0.493,iYLR018C_179687
34,YER170W_ADK2_526114,0,2.0,0.49,YPL279C_YPL279C_14207
35,iYER170W_526661,0,2.0,0.493,YLR038C_COX12_225018
36,YER172C_BRR2_531218,0,3.0,0.511,YGL016W_KAP122_461801
37,YER172C_BRR2_532895,1,2.0,0.49700000000000005,iYDR004W_456757
38,YER173W_RAD24_536771,0,4.0,0.49200000000000005,iYLL026W_91740
39,YER173W_RAD24_537182,1,3.0,0.51,YOR075W_UFE1_469122
40,YER173W_RAD24_538145,0,0.0,0.504,YHR196W_UTP9_492314
41,YER174C_GRX4_538751,0,1.0,0.494,YBR062C_YBR062C_366178
42,iYER175W-A_540814,1,0.0,0.502,YJL095W_BCK1_247553
43,YER176W_ECM32_541849,0,2.0,0.508,YKR090W_PXL1_609861
44,YER176W_ECM32_544757,1,4.0,0.485,iYDL240W_26294
45,iYER176W_545116,1,1.0,0.608,iYER176W_545238
46,iYER176W_545238,1,2.0,0.608,iYER176W_545116
47,iYER176W_545513,1,3.0,0.475,YPL029W_SUV3_495588
48,iYER177W_546529,1,4.0,0.631,iYER177W_546642
49,iYER177W_546642,1,0.0,0.631,iYER177W_546529
50,YER178W_PDA1_547007,0,3.0,0.603,YER178W_PDA1_547131
51,YER178W_PDA1_547131,0,4.0,0.603,YER178W_PDA1_547007
52,YER179W_DMC1_549179,0,0.0,0.536,YER179W_DMC1_549330
53,YER179W_DMC1_549330,0,1.0,0.536,YER179W_DMC1_549179
54,YER180C_ISC10_549717,1,0.0,0.494,YLR459W_CDC91_1058245
55,iYER180C_550694,0,3.0,0.49,iYMR260C_790100
56,iYER180C-A_551232,1,1.0,0.496,YPR006C_ICL2_568256
57,itI(AAU)E2_551468,1,4.0,0.569,itV(AAC)G1_412493
58,iYERCdelta26_552470,0,4.0,0.491,iYML034W_212350
59,YER182W_FMP10_552667,0,2.0,0.493,iYGL259W_9126
60,YER182W_FMP10_552919,0,3.0,0.498,YGL249W_ZIP2_33866
61,YER182W_FMP10_553089,0,4.0,0.493,YER182W_FMP10_552919
62,YER183C_FAU1_553412,0,0.0,0.48700000000000004,YGR234W_YHB1_960975
63,YER183C_FAU1_553786,0,1.0,0.511,iYLR037C_224201
64,iYER183C_554027,0,4.0,0.499,YPL226W_NEW1_123171
65,iYER183C_554307,0,0.0,0.495,iYPL081W_406564
66,iYER183C_554524,0,1.0,0.485,iYDR013W_473982
67,iYER183C_555593,1,2.0,0.505,YIL144W_TID3_78795
68,YER184C_YER184C_558395,0,2.0,0.49700000000000005,YOL062C_APM4_211824
69,iYER185W_560709,0,2.0,0.49700000000000005,YOR168W_GLN4_651363
70,iYER185W_560955,0,3.0,0.483,iYJL046W_353644
71,iYER185W_561173,0,4.0,0.49,YDR317W_YDR317W_1102296
72,iYER185W_561485,1,3.0,0.501,iYNL065W_505534
73,iYER186C_562640,0,0.0,0.49,YKL057C_NUP120_332378
74,iYER186C_563719,1,4.0,0.513,YER022W_SRB4_200504
75,iYERComega1_564316,0,0.0,0.493,iYLR364W_856354
76,iYERComega1_565692,0,1.0,0.531,iYERComega1_565845
77,iYERComega1_565845,0,2.0,0.531,iYERComega1_565692
78,iYERComega1_566091,0,3.0,0.489,YHR192W_YHR192W_487274
79,YER187W_YER187W_566279,0,3.0,0.494,YNL272C_SEC2_128162
80,YER187W_YER187W_566575,0,4.0,0.506,iYHL048W_7872
81,iYER187W_568261,0,1.0,0.5479999999999999,iYER187W_568407
82,iYER187W_568407,0,2.0,0.5479999999999999,iYER187W_568261
83,iYER187W_568662,0,3.0,0.49,YGR289C_MAL11_1074518
84,iYER188C-A_570288,1,0.0,0.534,iYDR542W_1525291
85,YFL061W_YFL061W_9613,0,0.0,0.484,YLR361C_DCR2_848967
86,iYFL061W_10312,0,0.0,0.562,iYNL335W_12079
87,YFL059W_SNZ3_11603,0,4.0,0.607,YMR096W_SNZ1_458602
88,YFL055W_AGP3_17111,0,0.0,0.491,YKL191W_DPH2_81093
89,YFL055W_AGP3_17444,0,1.0,0.502,YDL103C_QRI1_276518
90,YFL055W_AGP3_17940,0,2.0,0.486,YPR127W_YPR127W_790452
91,YFL055W_AGP3_18321,0,3.0,0.47600000000000003,iYKR094C_618904
92,iYFL055W_19195,1,3.0,0.498,YDL206W_YDL206W_92317
93,iYFL055W_19653,1,4.0,0.486,iYGR070W_631436
94,iYFL055W_20495,1,0.0,0.506,iYER042W_235501
95,iYFL055W_20710,1,1.0,0.488,iYAR027W_184528
96,YFL054C_YFL054C_22058,0,3.0,0.489,iYBR006W_248687
97,YFL054C_YFL054C_22610,0,4.0,0.488,YFR030W_MET10_214294
98,YFL053W_DAK2_24362,0,0.0,0.485,YKL157W_APE2_155567
99,YFL053W_DAK2_24760,0,1.0,0.48100000000000004,YPL231W_FAS2_111012
100,YFL053W_DAK2_25083,0,2.0,0.486,YLL048C_YBT1_45677
101,iYFL053W_25278,0,0.0,0.48700000000000004,iYBR139W_517255
102,iYFL053W_25858,1,2.0,0.502,iYNL094W_449573
103,iYFL053W_26429,0,1.0,0.496,YPL048W_CAM1_464743
104,iYFL053W_26929,0,2.0,0.488,YGR155W_CYS4_799998
105,iYFL053W_27291,0,3.0,0.484,YGR287C_YGR287C_1067683
106,iYFL053W_27508,0,4.0,0.488,YGL158W_RCK1_207066
107,YFL052W_YFL052W_28609,0,1.0,0.574,YGR288W_MAL13_1070765
108,YFL052W_YFL052W_28912,0,2.0,0.5720000000000001,YGR288W_MAL13_1071070
109,YFL052W_YFL052W_29074,0,3.0,0.5579999999999999,YGR288W_MAL13_1071239
110,iYFL051C_30549,0,4.0,0.484,YMR278W_YMR278W_823270
111,iYFL051C_31030,1,2.0,0.48700000000000004,iYDR068W_584801
112,iYFL051C_31356,1,3.0,0.504,YKR054C_DYN1_535751
113,iYFL051C_32060,1,4.0,0.47700000000000004,YNL144C_YNL144C_354660
114,iYFL051C_32252,1,0.0,0.489,iYFR053C_262169
115,iYFL051C_33068,1,1.0,0.507,iYGR089W_661555
116,iYFL050C_36348,0,2.0,0.489,YLL063C_AYT1_15617
117,iYFL050C_36542,0,3.0,0.489,iYHLComega1_8261
118,iYFL049W_38647,1,1.0,0.48700000000000004,iYML046W_183414
119,iYFL048C_40218,1,0.0,0.501,YHR141C_RPL42B_382437
120,YFL047W_RGD2_40738,0,0.0,0.491,YGL090W_LIF1_343868
121,iYFL047W_42559,1,4.0,0.495,iYFR022W_199314
122,YFL044C_YFL044C_45287,0,4.0,0.48200000000000004,YDL048C_STP4_367656
123,YFL044C_YFL044C_45192,0,4.0,0.48,YDR270W_CCC2_1008461
124,iYFL044C_45577,0,1.0,0.499,iYOR250C_802292
125,YFL042C_YFL042C_45845,0,3.0,0.499,iYLL064C_14588
126,YFL042C_YFL042C_46153,0,4.0,0.524,YFL042C_YFL042C_46309
127,YFL042C_YFL042C_46309,0,0.0,0.524,YFL042C_YFL042C_46153
128,YFL042C_YFL042C_46898,0,1.0,0.49200000000000005,YKL188C_PXA2_87926
129,YFL042C_YFL042C_47169,0,2.0,0.506,YIL033C_BCY1_291426
130,YFL042C_YFL042C_47508,0,3.0,0.48200000000000004,YKR081C_RPF2_592006
131,iYFL042C_47875,0,2.0,0.536,iYFL042C_48026
132,iYFL042C_48026,0,3.0,0.536,iYFL042C_47875
133,iYFL042C_48371,0,4.0,0.498,YML098W_TAF13_77407
134,YOL055C_THI20_225988,0,2.0,0.501,iYGR179C_854939
135,iYOL055C_226161,0,2.0,0.493,iYHRCdelta5_133409
136,itG(GCC)O1_226544,1,4.0,0.531,itG(GCC)O1_226697
137,itG(GCC)O1_226697,1,0.0,0.56,iYOR289W_854236
138,iYOLWsigma1_226926,1,0.0,0.624,iYLRWsigma4_793763
139,iYOLWsigma1_227071,1,1.0,0.611,iYDRCsigma2_668487
140,iYOLWdelta6_227416,1,2.0,0.5529999999999999,iYOLWdelta6_227560
141,iYOLWdelta6_227560,1,3.0,0.5529999999999999,iYOLWdelta6_227416
142,iYOLWdelta6_227745,1,4.0,0.5529999999999999,iYKR009C_457656
143,iYOLCdelta7_228167,1,1.0,0.645,iYOLCdelta7_228275
144,iYOLCdelta7_228275,1,2.0,0.645,iYOLCdelta7_228167
145,itN(GUU)O1_228444,1,4.0,0.517,iYNLCsigma1_102795
146,YOL054W_PSH1_229329,0,1.0,0.483,iYOR032C_391206
147,iYOL054W_229960,1,3.0,0.495,iYBR282W_768785
148,iYOL052C-A_232100,1,3.0,0.475,YBR176W_ECM31_583993
149,iYOL052C-A_232378,1,4.0,0.501,YBR256C_RIB5_727943
150,YOL052C_SPE2_233052,0,4.0,0.475,YIL146C_ECM37_75554
151,YOL052C_SPE2_233338,0,0.0,0.499,iYIR027C_407876
152,iYOL052C_233778,1,0.0,0.485,iYMR124W_517273
153,iYOL052C_233999,1,1.0,0.483,YDR014W_RAD61_475486
154,iYOL052C_234305,0,0.0,0.485,YJL111W_CCT7_208346
155,iYOL052C_234554,1,2.0,0.475,YLR069C_MEF1_273156
156,iYOL052C_234869,0,1.0,0.485,iYHR203C_505555
157,YOL051W_GAL11_237940,1,3.0,0.494,iYPRCtau3_882316
158,YOL049W_GSH2_238917,0,3.0,0.499,YOL113W_SKM1_106087
159,iYOL049W_240051,1,2.0,0.495,iYPL045W_469717
160,YOL048C_YOL048C_241049,0,2.0,0.496,YML050W_YML050W_173631
161,YOL047C_YOL047C_241610,0,0.0,0.484,YER173W_RAD24_537182
162,YOL047C_YOL047C_242098,0,1.0,0.491,iYNL284C_104502
163,iYOL047C_242849,1,1.0,0.485,isnR66_586436
164,YOL045W_PSK2_243539,0,4.0,0.49200000000000005,YOR337W_TEA1_956049
165,YOL045W_PSK2_245317,1,0.0,0.49,iYFL004W_134264
166,YOL045W_PSK2_246357,1,1.0,0.49200000000000005,iYER066W_290876
167,YOL045W_PSK2_246664,1,2.0,0.504,YIL159W_BNR1_44907
168,YOL043C_NTG2_249121,0,3.0,0.502,YMR224C_MRE11_720211
169,iYOL043C_249618,0,4.0,0.486,YOR227W_YOR227W_764157
170,YOL042W_NGL1_249891,0,2.0,0.493,iYPL275W_22697
171,iYOL042W_250972,1,4.0,0.499,iYDR406W_1283860
172,iYOL042W_251192,1,0.0,0.498,YPL020C_ULP1_513176
173,YOL041C_NOP12_251442,1,4.0,0.498,iYKL068W-A_309282
174,iYOL041C_252847,1,2.0,0.507,YGR163W_GTR2_828006
175,iYOL041C_253076,1,3.0,0.493,iYNL086W_466994
176,YOL040C_RPS15_253272,1,3.0,0.48700000000000004,YCR082W_AHC2_258905
177,iYOL040C_253611,1,4.0,0.546,iYOL040C_253758
178,iYOL040C_253758,1,0.0,0.546,iYOL040C_253611
179,iYOL040C_254016,1,1.0,0.469,YLR081W_GAL2_291078
180,iYOL039W_254635,1,3.0,0.501,iYDR382W_1239820
181,YOL038W_PRE6_255341,0,0.0,0.48100000000000004,iYPL229W_118114
182,YOL038W_PRE6_255902,0,1.0,0.48,iYKR016W_471041
183,iYOL038W_256157,1,2.0,0.505,iYAR042W_200700
184,iYOL036W_259161,1,1.0,0.485,isnR189_179032
185,isnR50_259611,1,0.0,0.55,isnR50_259756
186,isnR50_259756,1,1.0,0.55,isnR50_259611
187,YOL034W_SMC5_259990,0,4.0,0.485,YML072C_TCB3_126048
188,YOL034W_SMC5_262038,1,2.0,0.503,YLR419W_YLR419W_960152
189,YOL033W_MSE1_263608,0,2.0,0.489,YOL147C_PEX11_48091
190,YOL033W_MSE1_263921,0,3.0,0.502,YNL102W_POL1_430282
191,iYOL033W_265156,1,0.0,0.499,YOR336W_KRE5_952536
192,YOL032W_YOL032W_265560,0,0.0,0.493,YBR082C_UBC4_406614
193,YOL032W_YOL032W_266058,0,1.0,0.496,itG(UCC)N_96384
194,YOL031C_SIL1_266791,0,3.0,0.501,iYGR070W_631436
195,YOL031C_SIL1_267441,0,4.0,0.507,YPL090C_RPS6A_378151
196,iYOL031C_267751,0,3.0,0.499,iYLR432W_1004239
197,YOL030W_GAS5_268365,0,0.0,0.498,iYLR082C_293821
198,YOL030W_GAS5_268635,0,1.0,0.5579999999999999,YMR307W_GAS1_887444
199,YOL030W_GAS5_268872,1,1.0,0.551,YMR307W_GAS1_887657
200,YOL030W_GAS5_269282,0,2.0,0.484,YPL016W_SWI1_523842
201,YOL029C_YOL029C_269896,1,0.0,0.502,YER139C_YER139C_450656
202,YOL028C_YAP7_271167,0,4.0,0.483,YOR322C_YOR322C_919714
203,iYOL028C_271715,1,3.0,0.6579999999999999,iYOL028C_271818
204,iYOL028C_271818,1,4.0,0.6579999999999999,iYOL028C_271715
205,YOL027C_MDM38_272299,0,1.0,0.496,YPL217C_BMS1_141881
206,YOL027C_MDM38_273277,0,2.0,0.483,iYOLCdelta7_228167
207,YOL027C_MDM38_273589,0,3.0,0.486,YMR062C_ECM40_395937
208,YOL026C_MIM1_274073,0,4.0,0.484,YOL026C_MIM1_274247
209,YOL026C_MIM1_274247,0,0.0,0.484,YOL026C_MIM1_274073
210,iYOL026C_274545,1,2.0,0.488,YAR014C_BUD14_168595
211,itS(GCU)O_274805,1,3.0,0.57,itS(GCU)O_274942
212,itS(GCU)O_274942,1,4.0,0.57,itS(GCU)O_274805
213,YOL025W_LAG2_275128,0,3.0,0.499,iYGR223C_942217
214,iYOL024W_277766,1,1.0,0.489,itL(UAA)D_520049
215,YOL023W_IFM1_278093,0,2.0,0.488,iYMR161W_578629
216,iYOL022C_281976,1,0.0,0.49,iYDL211C_83364
217,itG(GCC)O2_282248,1,1.0,0.488,itG(GCC)F1_162320
218,YOL021C_DIS3_285162,0,1.0,0.489,YGL083W_SCY1_353966
219,iYOL021C_285683,1,2.0,0.5429999999999999,iYOL021C_285831
220,iYOL021C_285831,1,3.0,0.5429999999999999,iYOL021C_285683
221,iYOL021C_286013,1,4.0,0.498,YPL149W_ATG5_271521
222,YOL020W_TAT2_286385,0,4.0,0.47600000000000003,iYJL034W_383684
223,YOL020W_TAT2_286775,0,0.0,0.475,iYDR391C_1258155
224,YOL020W_TAT2_287746,1,4.0,0.489,YDR516C_EMI2_1475332
225,iYOL020W_288002,1,1.0,0.493,iYJR093C_604167
226,itY(GUA)O_288289,1,2.0,0.5820000000000001,YOL019W-A_YOL019W-A_288421
227,YOL019W-A_YOL019W-A_288421,1,3.0,0.5820000000000001,itY(GUA)O_288289
228,iYOL019W-A_288671,1,4.0,0.496,YPL183C_YPL183C_200472
229,iYOL019W_290725,1,0.0,0.505,YDR496C_PUF6_1441843
230,iYOL018C_292187,1,2.0,0.616,iYOL018C_292306
231,iYOL018C_292306,1,3.0,0.616,iYOL018C_292187
232,YOL017W_ESC8_294288,0,3.0,0.496,YDR206W_EBS1_863415
233,YOL016C_CMK2_295696,0,1.0,0.501,YKL093W_MBR1_265301
234,YBR149W_ARA1_540657,0,2.0,0.494,YJL207C_YJL207C_46012
235,YBR150C_TBS1_543932,0,3.0,0.49200000000000005,YGR130C_YGR130C_752337
236,iYBR150C_544653,1,4.0,0.508,iYBR150C_544816
237,iYBR150C_544816,1,0.0,0.508,iYBR150C_544653
238,YBR151W_APD1_545019,0,4.0,0.49,YDR317W_YDR317W_1102723
239,YBR151W_APD1_545444,0,0.0,0.484,iYKL024C_393256
240,iYBR151W_546241,0,1.0,0.493,YDR449C_UTP6_1357717
241,YBR152W_SPP381_546402,0,1.0,0.495,YOR295W_UAF30_869292
242,YBR152W_SPP381_546671,0,2.0,0.489,YFL012W_YFL012W_110710
243,YBR153W_RIB7_547419,0,3.0,0.495,iYJL076W_298940
