,AC,label-val,cluster,max_ident_other,closest_other
0,iYER053C-A_261249,0,0,0.484,iYDR418W_1302874
1,YKR036C_CAF4_509747,1,0,0.541,YKR036C_CAF4_509598
2,YNL301C_RPL18B_64002,0,0,0.48700000000000004,iYPR121W_780432
3,iYBR029C_298176,1,0,0.504,itE(UUC)E3_487739
4,YBL024W_NCL1_174337,0,0,0.502,iYOL088C_155146
5,YOL061W_PRS5_212411,1,0,0.496,YIL092W_YIL092W_189162
6,iYGRCdelta20_713427,0,0,0.534,iYGRCdelta15_567764
7,iYNL144C_355933,0,0,0.495,YDR407C_TRS120_1287738
8,iYLR121C_391019,1,0,0.48,YNR058W_BIO3_734805
9,iYKL198C_70505,0,0,0.493,iYGR278W_1048696
10,iYGL100W_314390,0,0,0.485,YML034W_SRC1_211897
11,iYGR082W_644637,0,0,0.491,YOR261C_RPN8_816069
12,YDR289C_RTT103_1039394,1,0,0.494,YJR088C_YJR088C_586566
13,iYNL251C_174824,0,0,0.48,iYHLWdelta2_92388
14,iYDL208W_88193,0,0,0.524,iYDL208W_88037
15,YJL109C_UTP10_216196,0,0,0.509,YHR010W_RPL27A_127404
16,YDR380W_ARO10_1234613,1,0,0.49,iYGR234W_961105
17,iYKL063C_322074,0,0,0.469,YBR241C_YBR241C_703447
18,YIR029W_DAL2_411442,1,0,0.478,YGR234W_YHB1_960975
19,iYKL086W_278477,0,0,0.47200000000000003,iYGR257C_1007381
20,YBL017C_PEP1_191478,1,0,0.5,YPR127W_YPR127W_790659
21,YOR113W_AZF1_534272,1,0,0.626,YOR113W_AZF1_534387
22,YBR087W_RFC5_423809,1,0,0.505,YGR287C_YGR287C_1067683
23,YBR169C_SSE2_575861,0,0,0.488,YNL192W_CHS1_279771
24,iYPL163C_242957,0,0,0.49,iYPL176C_218553
25,iYPL063W_431992,0,0,0.48,YLR362W_STE11_849966
26,YGR023W_MTL1_529846,1,0,0.517,YHR143W_DSE2_385891
27,YPL118W_MRP51_326650,1,0,0.508,iYHR047C_203938
28,iYER009W_172647,1,0,0.541,YER010C_YER010C_172796
29,YPR175W_DPB2_889481,1,0,0.501,YKL010C_UFD4_423109
30,iYPR105C_739945,1,0,0.489,YDR165W_TRM82_785005
31,YGL200C_EMP24_122858,1,0,0.49700000000000005,YOL164W_YOL164W_6841
32,iYGR253C_1000597,0,0,0.475,YDR051C_YDR051C_557217
33,YHR045W_YHR045W_196315,1,0,0.503,itT(AGU)I1_175137
34,YPL085W_SEC16_387989,0,0,0.495,iYJR151W-A_718608
35,iYKL173W_125732,0,0,0.52,iYCL038C_56752
36,YNL236W_SIN4_207326,1,0,0.488,YDR395W_SXM1_1264474
37,iYKL008C_428204,1,0,0.48700000000000004,YHL012W_YHL012W_80343
38,iYER123W_406426,0,0,0.48200000000000004,iYLL011W_129077
39,YNL240C_NAR1_199490,1,0,0.489,YPL222W_FMP40_131641
40,YOR205C_FMP38_727018,1,0,0.49200000000000005,iYDL241W_21974
41,YKL019W_RAM2_402364,1,0,0.503,YDR414C_ERD1_1295863
42,YDR295C_HDA2_1054436,1,0,0.49200000000000005,YKL092C_BUD2_267980
43,iYOR296W_874148,0,0,0.494,iYDRWdelta25_1151504
44,YBR223C_TDP1_669603,1,0,0.479,iYKR024C_487265
45,YGR253C_PUP2_998761,1,0,0.495,YDR328C_SKP1_1125509
46,iYLR002C_156785,0,0,0.504,iYLR002C_156620
47,iYHR037W_183799,0,0,0.49200000000000005,YGL227W_VID30_72075
48,iYCL025C_78336,0,0,0.469,YJR019C_TES1_467442
49,itT(AGU)H_116316,0,0,0.552,iYFR008W_161689
50,YKR063C_LAS1_561528,1,0,0.495,iYMRCdelta7_362922
51,iYGR100W_693276,1,0,0.498,YAL067C_SEO1_8061
52,iYDR256C_969679,0,0,0.491,YJL044C_GYP6_359144
53,YCR019W_MAK32_153552,1,0,0.489,YAL058W_CNE1_38776
54,iYPR047W_658991,1,0,0.498,iYOR192C_702900
55,YGR163W_GTR2_828006,1,0,0.504,iYKR102W_651805
56,iYEL009C_140684,0,0,0.48700000000000004,YLR006C_SSK1_163411
57,iYLR340W_806952,0,0,0.488,iYDL130W-A_229487
58,itK(CUU)J_415253,0,0,0.508,YNL087W_TCB2_464411
59,iYPL128C_308526,0,0,0.508,YFR001W_LOC1_149439
60,YMR247C_YMR247C_764337,0,0,0.507,iYHLComega1_8125
61,iYLR447C_1028346,0,0,0.536,iYLR447C_1028195
62,iYKL024C_393256,0,0,0.484,iYMR170C_603511
63,iYHR154W_406856,1,0,0.496,iYORWsigma3_854693
64,iYBL056W_115254,0,0,0.48700000000000004,iYNL039W_556812
65,iYER145C_461878,0,0,0.46799999999999997,YCR052W_RSC6_215182
66,YBL063W_KIP1_103498,0,0,0.5,YHR054C_YHR054C_213472
67,YGR134W_CAF130_757967,1,0,0.503,YHR197W_RIX1_494090
68,YLL018C_DPS1_111110,1,0,0.506,YLR342W_FKS1_815302
69,iYOR027W_383235,0,0,0.493,iYMR199W_664599
70,YER173W_RAD24_538145,1,0,0.493,YPR070W_MED1_686653
71,iYNL244C_187790,0,0,0.48200000000000004,YOR328W_PDR10_934058
72,YHR137W_ARO9_376464,1,0,0.486,iYIR009W_375057
73,YKR008W_RSC4_453588,0,0,0.516,iYMR246W_762152
74,YLR219W_MSC3_575567,1,0,0.498,YOL158C_ENB1_20918
75,YMR192W_APP2_647649,1,0,0.488,YJL095W_BCK1_250462
76,itV(AAC)G3_75246,1,0,0.524,itV(AAC)G3_75090
77,iYJL130C_172947,0,0,0.5770000000000001,iYJL130C_172813
78,iYKL033W_378706,0,0,0.499,YGR072W_UPF3_634333
79,YOR336W_KRE5_950219,1,0,0.502,YDL176W_YDL176W_143552
80,YFL054C_YFL054C_22610,1,0,0.49200000000000005,YPL174C_NIP100_222672
81,iYKL028W_387121,0,0,0.504,iYBL059C-A_110540
82,itG(UCC)O_111045,0,0,0.526,itG(UCC)N_96310
83,iYPL112C_338756,0,0,0.499,itM(CAU)P_338923
84,YMR229C_RRP5_730899,1,0,0.488,iYNL297C_76681
85,iYLR009W_167166,0,0,0.503,YDR427W_RPN9_1322791
86,iYKL033W_378458,0,0,0.5,YJR123W_RPS5_651980
87,YLR070C_XYL2_274616,1,0,0.484,YJR147W_HMS2_704755
88,YBR038W_CHS2_314585,0,0,0.49200000000000005,iYLR320W_776470
89,iYHR075C_250726,1,0,0.494,iYIL078W_214739
90,YLR382C_NAM2_883304,1,0,0.495,YGL156W_AMS1_213452
91,YLR170C_APS1_500755,1,0,0.485,iYHR080C_266915
92,YFR044C_YFR044C_241286,1,0,0.48100000000000004,YBL090W_MRP21_49135
93,YEL043W_YEL043W_70587,1,0,0.48100000000000004,YGR172C_YIP1_843172
94,iYHR196W_493776,0,0,0.639,iYHR196W_493666
95,YIR011C_STS1_378037,1,0,0.501,YKL005C_BYE1_434261
96,iYBR069C_379034,0,0,0.48100000000000004,YGR090W_UTP22_664042
97,itC(GCA)P1_436050,0,0,0.5670000000000001,iYPLWsigma1_56420
98,iYDL214C_77126,0,0,0.484,YDR326C_YDR326C_1122154
99,iYOL109W_110700,0,0,0.503,iYIL092W_191079
100,iYOR211C_742482,0,0,0.486,YOR330C_MIP1_942297
