AC,label-val,cluster
iYBL039W-A_143604,0,0
YML073C_RPL6A_123796,0,0
YBL022C_PIM1_181076,1,0
YEL006W_YEL006W_145199,1,0
YBR003W_COQ1_242855,1,0
itA(AGC)K2_517781,0,0
YBR272C_HSM3_747544,1,0
YNL094W_APP1_447763,1,0
iYJR151C_717309,1,0
iYPR013C_589081,1,0
YJL111W_CCT7_207815,1,0
YPR030W_CSR2_629009,0,0
iYCL049C_42066,0,0
YPL020C_ULP1_513176,0,0
iYJR137C_684358,0,0
YPR190C_RPC82_917277,0,0
YDR420W_HKR1_1310455,1,0
YDR122W_KIN1_695087,1,0
iYEL069C_26068,1,0
iYJL108C_221035,0,0
YMR219W_ESC1_707294,1,0
iYGR286C_1066338,1,0
iYIL124W_128023,0,0
iYML103C_67803,0,0
iYMR205C_674893,0,0
iYBR290W_783577,0,0
iYMLCdelta2_168676,0,0
iYOR344C_978538,0,0
YBL090W_MRP21_48917,1,0
YDL113C_ATG20_258122,1,0
YFL047W_RGD2_40738,1,0
iYDR363W_1201463,0,0
YHR128W_FUR1_362541,0,0
YCR026C_YCR026C_165631,1,0
iYNL190W_283225,0,0
iYKL209C_46618,0,0
YLR372W_SUR4_868279,0,0
iYKR071C_576012,0,0
iYFL053W_27508,1,0
YGR234W_YHB1_960399,0,0
iYGR023W_531238,0,0
iYJL136C_157280,0,0
YOR373W_NUD1_1037224,1,0
iYDR284C_1032316,0,0
iYPR104C_736663,0,0
YPL014W_YPL014W_527988,1,0
YHR175W_CTR2_452888,0,0
YDL078C_MDH3_316260,1,0
iYDRCdelta2_513638,0,0
iYOR355W_1006805,0,0
YJR139C_HOM6_690258,1,0
iYBR054W_344339,0,0
iYEL041W_77856,0,0
YIL133C_RPL16A_98543,0,0
YPR122W_AXL1_783436,0,0
YMR135C_GID8_539795,1,0
YPL174C_NIP100_222672,1,0
YOR011W_AUS1_350577,0,0
YBR068C_BAP2_374785,0,0
iYNL190W_283082,0,0
iYGR280C_1051732,1,0
YJR123W_RPS5_652288,0,0
iYDR156W_769978,0,0
YIL005W_EPS1_347430,0,0
iYDR183W_830553,0,0
YOL098C_YOL098C_134077,0,0
iYNR012W_649065,0,0
iYGL103W_312117,0,0
iYKR079C_589625,0,0
YER018C_SPC25_192118,0,0
iYOR011W_353983,0,0
YOR244W_ESA1_793422,0,0
YLR276C_DBP9_696156,0,0
YDR158W_HOM2_770770,1,0
YDR176W_NGG1_814828,1,0
YKR034W_DAL80_507012,1,0
YFL025C_BST1_84151,0,0
iYNR069C_764762,1,0
iYGR033C_555619,0,0
iYDR416W_1301246,0,0
iYJL165C_109731,1,0
iYER154W_476214,0,0
YJL094C_KHA1_253733,1,0
YDL024C_DIA3_409419,1,0
YNL161W_CBK1_332695,1,0
iYER176W_545116,0,0
iYML062C_148862,1,0
YLR215C_CDC123_571235,1,0
YJL077C_ICS3_294835,0,0
YMR301C_ATM1_869526,1,0
YNL069C_RPL16B_494921,0,0
YBR117C_TKL2_475131,1,0
YMR012W_CLU1_294881,0,0
YOR158W_PET123_632525,1,0
YLR342W_FKS1_815158,0,0
iYHR094C_292749,0,0
YBL104C_YBL104C_18412,1,0
YDL159W_STE7_172729,1,0
iYNR056C_733333,1,0
YLR234W_TOP3_611021,1,0
YKL174C_YKL174C_121786,1,0
YBL034C_STU1_155565,0,0
iYKL045W_356005,0,0
YER132C_PMD1_428523,0,0
YPR030W_CSR2_628205,1,0
YHL008C_YHL008C_94110,1,0
iYNL278W_116571,0,0
YMR311C_GLC8_897251,1,0
YDR161W_YDR161W_779344,1,0
YNR031C_SSK2_680806,1,0
iYDR089W_624750,0,0
iYPL077C_410168,1,0
iYAL047C_57035,1,0
YGR167W_CLC1_832699,1,0
iYGR189C_878480,0,0
YPL207W_YPL207W_161287,1,0
iYLR021W_184105,1,0
YLR069C_MEF1_272155,1,0
YML059C_YML059C_157735,1,0
itS(UGA)P_689903,0,0
iYJR016C_466362,0,0
YIR039C_YPS6_430696,1,0
YPR070W_MED1_686653,0,0
YBR044C_TCM62_325930,1,0
YLR457C_NBP1_1056244,1,0
iYNL307C_57659,1,0
iYPR015C_591527,0,0
YEL066W_HPA3_26868,1,0
iYGR159C_807918,0,0
iYHL042W_17832,0,0
iYJL217W_23938,0,0
YIL149C_MLP2_67059,0,0
YDL090C_RAM1_295802,1,0
YDR256C_CTA1_968949,1,0
iYOLWdelta6_227745,0,0
YMR139W_RIM11_546476,1,0
iYML028W_220993,0,0
YNL187W_YNL187W_288890,1,0
YOR085W_OST3_482570,1,0
iYJR032W_492267,0,0
iYDL116W_253888,0,0
iYPL148C_273051,0,0
YDL024C_DIA3_408824,1,0
iYBR296C_799430,1,0
iYLR248W_636715,0,0
YNL233W_BNI4_214315,1,0
YDR119W_YDR119W_688308,1,0
YHR194W_MDM31_489119,1,0
iYILCdelta3_300700,0,0
YNL233W_BNI4_212121,1,0
YML048W_GSF2_178730,1,0
YBR065C_ECM2_368849,0,0
iYPL022W_510302,0,0
YLR215C_CDC123_571425,1,0
iYER119C_400908,1,0
iYML126C_20584,0,0
YGR101W_PCP1_693726,1,0
YJL118W_YJL118W_192042,1,0
YKL128C_PMU1_200878,1,0
iYCR095C_290172,1,0
YGL150C_INO80_224674,1,0
YAL020C_ATS1_113778,1,0
iYGL136C_254309,0,0
YDR164C_SEC1_783499,1,0
iYOR373W_1039544,0,0
iYBR111C_461879,1,0
YDR088C_SLU7_618522,0,0
YML007C-A_YML007C-A_253195,0,0
iYIL155C_53765,1,0
iYAL001C_151825,0,0
iYDR339C_1150744,0,0
YOL066C_RIB2_203164,1,0
iYNL113W_413210,0,0
YGR121C_MEP1_732237,1,0
YBR234C_ARC40_686294,1,0
iYBL030C_164027,0,0
iYER111C_387059,0,0
iYIL119C_139240,0,0
iYAL002W_147654,0,0
YHR025W_THR1_159464,1,0
YMR006C_PLB2_278326,0,0
YOR380W_RDR1_1051314,1,0
YOR171C_LCB4_653391,1,0
YDL145C_COP1_196285,0,0
YDR229W_IVY1_925683,1,0
YNL069C_RPL16B_494411,0,0
iYJL053W_337237,0,0
iYDL192W_117335,0,0
iYHR075C_250726,1,0
itD(GUC)J3_374507,0,0
YJL207C_YJL207C_45533,0,0
iYHL012W_80546,0,0
YIL033C_BCY1_290827,1,0
iYLR113W_373714,0,0
iYHRCdelta3_116762,0,0
YNL073W_MSK1_488386,1,0
YIL002C_INP51_353307,1,0
iYLR134W_412570,0,0
iYLRWdelta6_449472,0,0
YPL119C_DBP1_324857,1,0
YKR067W_GPT2_568097,1,0
iYERCtau2_354832,0,0
iYFL042C_48636,1,0
iYAL005C_142022,0,0
YMR293C_YMR293C_856556,1,0
iYHR141C_382753,0,0
YHR007C_ERG11_120730,0,0
iYAL027W_95484,0,0
iYHL018W_70022,1,0
iYLR146C_433960,1,0
iYBR112C_466072,0,0
YLR425W_TUS1_983057,1,0
itV(AAC)G2_823970,0,0
YJL207C_YJL207C_46555,0,0
itM(CAU)J2_422990,0,0
iYML046W_183414,0,0
YMR143W_RPS16A_552280,0,0
iYJL116C_195909,0,0
YOR177C_MPC54_666343,1,0
YNL061W_NOP2_510940,1,0
YIL131C_FKH1_102021,1,0
iYDR173C_811981,0,0
YGR188C_BUB1_873155,1,0
iYML035C_209201,0,0
iYKL089W_274856,1,0
YLL012W_YLL012W_127196,0,0
iYOL154W_35621,0,0
iYPL116W_331701,0,0
iYPL161C_246298,1,0
iYGR043C_582705,0,0
itL(GAG)G_700866,0,0
YOL027C_MDM38_273277,1,0
YGL203C_KEX1_113448,0,0
YDR258C_HSP78_973870,1,0
YOR351C_MEK1_995200,1,0
iYLL058W_25426,0,0
YER027C_GAL83_209808,1,0
YPR139C_VPS66_813486,1,0
iYOR320C_915940,1,0
YKL168C_KKQ8_132952,1,0
iYIL119C_139028,0,0
iYOL155C_34462,1,0
YPL023C_MET12_505651,1,0
YMR319C_FET4_914039,1,0
isnR36_681160,0,0
iYDR530C_1497766,1,0
iYML043C_192585,1,0
YBL063W_KIP1_103498,0,0
YPR151C_SUE1_831177,1,0
iYPR102C_732246,0,0
iYER045C_241771,0,0
YJR120W_YJR120W_647144,0,0
YJL082W_IML2_281482,1,0
iYDR345C_1164972,0,0
itV(AAC)G2_823633,0,0
YGR071C_YGR071C_632636,0,0
iYER045C_242680,0,0
iYGL229C_67271,0,0
YLL048C_YBT1_42720,0,0
YJL132W_YJL132W_162587,1,0
iYDR049W_555238,0,0
