,AC,label-val,cluster,max_ident_other,closest_other
0,iYBL039W-A_143604,0,0,0.49200000000000005,iYHLCdelta1_92103
1,YML073C_RPL6A_123796,0,0,0.489,YJL162C_JJJ2_115183
2,YBL022C_PIM1_181076,1,0,0.49200000000000005,YFL042C_YFL042C_46153
3,YEL006W_YEL006W_145199,1,0,0.48100000000000004,YBR275C_RIF1_753799
4,YBR003W_COQ1_242855,1,0,0.484,YBR233W_PBP2_683826
5,itA(AGC)K2_517781,0,0,0.603,YKR041W_YKR041W_517905
6,YBR272C_HSM3_747544,1,0,0.504,YBR272C_HSM3_747379
7,YNL094W_APP1_447763,1,0,0.494,YGR207C_YGR207C_911388
8,iYJR151C_717309,1,0,0.494,iYKL128C_202119
9,iYPR013C_589081,1,0,0.493,YGL151W_NUT1_219420
10,YJL111W_CCT7_207815,1,0,0.5,YNL250W_RAD50_178739
11,YPR030W_CSR2_629009,0,0,0.485,itT(AGU)B_266570
12,iYCL049C_42066,0,0,0.505,iYKR089C_608449
13,YPL020C_ULP1_513176,0,0,0.507,YDR255C_RMD5_967537
14,iYJR137C_684358,0,0,0.489,YDR254W_CHL4_965969
15,YPR190C_RPC82_917277,0,0,0.505,iYDRWdelta25_1151504
16,YDR420W_HKR1_1310455,1,0,0.499,YOL090W_MSH2_147571
17,YDR122W_KIN1_695087,1,0,0.489,iYER071C_302670
18,iYEL069C_26068,1,0,0.493,YBL098W_BNA4_40168
19,iYJL108C_221035,0,0,0.489,YDL236W_PHO13_32331
20,YMR219W_ESC1_707294,1,0,0.503,iYGR169C-A_837013
21,iYGR286C_1066338,1,0,0.49200000000000005,iYDR287W_1037096
22,iYIL124W_128023,0,0,0.485,iYDL083C_308364
23,iYML103C_67803,0,0,0.47100000000000003,YDR104C_SPO71_662790
24,iYMR205C_674893,0,0,0.502,iYPL146C_277872
25,iYBR290W_783577,0,0,0.495,YIL126W_STH1_119391
26,iYMLCdelta2_168676,0,0,0.718,iYPRCTy1-2_810551
27,iYOR344C_978538,0,0,0.489,iYGR251W_996273
28,YBL090W_MRP21_48917,1,0,0.49200000000000005,YBR200W_BEM1_620846
29,YDL113C_ATG20_258122,1,0,0.488,YNL146W_YNL146W_351906
30,YFL047W_RGD2_40738,1,0,0.491,YGL090W_LIF1_343868
31,iYDR363W_1201463,0,0,0.51,itT(AGU)N2_561394
32,YHR128W_FUR1_362541,0,0,0.485,YJR061W_YJR061W_551071
33,YCR026C_YCR026C_165631,1,0,0.493,YLR023C_YLR023C_186391
34,iYNL190W_283225,0,0,0.474,iYOR150W_612668
35,iYKL209C_46618,0,0,0.499,iYEL072W_14638
36,YLR372W_SUR4_868279,0,0,0.499,YBR163W_DEM1_567247
37,iYKR071C_576012,0,0,0.493,YPL217C_BMS1_140815
38,iYFL053W_27508,1,0,0.49700000000000005,iYCRCdelta6_124467
39,YGR234W_YHB1_960399,0,0,0.498,YLR249W_YEF3_637097
40,iYGR023W_531238,0,0,0.49200000000000005,iYKR030W_500746
41,iYJL136C_157280,0,0,0.488,iYLR388W_898806
42,YOR373W_NUD1_1037224,1,0,0.491,iYDR253C_964587
43,iYDR284C_1032316,0,0,0.522,iYDR284C_1032159
44,iYPR104C_736663,0,0,0.488,iYPR104C_736835
45,YPL014W_YPL014W_527988,1,0,0.474,YJR003C_YJR003C_441580
