AC,label-val,cluster
P15693,0,0.0
P05187,0,0.0
P10696,0,0.0
P51740,0,0.0
P09923,0,0.0
P24823,0,0.0
Q24238,0,0.0
P08289,0,0.0
P09242,0,0.0
Q29486,0,0.0
P09487,0,0.0
P05186,0,0.0
Q92058,0,0.0
P24822,0,0.0
P19111,0,0.0
P83558,1,0.0
D4ASH1,1,1.0
Q6B4T5,1,2.0
Q6B4T4,1,2.0
P81790,1,3.0
P17727,1,3.0
Q9P8W0,1,4.0
Q9P8V9,1,4.0
Q9P8W1,1,4.0
Q9P4E8,1,4.0
O94091,1,4.0
Q9P8W2,1,4.0
Q9P8W5,1,4.0
Q9P4E5,1,4.0
Q9P4E6,1,4.0
Q9P4E7,1,4.0
P0DL36,1,0.0
Q4QRF7,1,1.0
A5PF61,1,1.0
P82953,1,0.0
P48538,1,2.0
P09382,1,2.0
Q9UBR5,1,3.0
P34884,1,0.0
P14174,1,0.0
P91850,1,0.0
P81529,1,0.0
C0K3N1,1,1.0
Q90X23,1,1.0
Q90X24,1,1.0
P67862,1,1.0
P67863,1,1.0
Q330K6,1,1.0
P67861,1,1.0
H2A0L1,1,3.0
P86952,1,3.0
E9Q7T7,1,2.0
Q6NUI6,1,2.0
Q9XZ63,1,3.0
Q9CXI5,1,3.0
P55145,1,3.0
Q49AH0,1,3.0
Q8CC36,1,3.0
P06857,1,2.0
Q5BKQ4,1,2.0
P54315,1,2.0
P16233,1,2.0
P54317,1,2.0
Q8IN43,1,0.0
Q8IN44,1,0.0
Q9VDH4,1,0.0
O75888,1,0.0
P49061,1,1.0
P01033,1,1.0
P35624,1,1.0
P20414,1,1.0
P30120,1,1.0
P12032,1,1.0
O74716,1,3.0
B3VSG7,1,3.0
Q2PGY1,1,3.0
I1S2K3,1,3.0
Q9HFH0,1,3.0
P55332,1,3.0
Q0ZHI9,1,3.0
Q9HGE1,1,3.0
I1RII8,1,3.0
B5A7N4,1,3.0
G0RUP7,1,3.0
Q92244,1,3.0
Q96W72,1,3.0
Q96TR7,1,3.0
Q12562,1,3.0
B8YG19,1,3.0
P36218,1,3.0
P55333,1,3.0
P87037,1,3.0
Q9HFA4,1,3.0
W0HJ53,1,3.0
Q4P0L3,1,3.0
P0CT48,1,3.0
Q6PRW6,1,4.0
W0HFK8,1,4.0
Q4P902,1,4.0
O94163,1,4.0
Q96VB6,1,4.0
Q5S7A8,1,4.0
Q8NJ73,1,4.0
Q01176,1,4.0
O74717,1,4.0
B7SIW1,1,0.0
A2QTU5,1,2.0
A1XIH3,1,0.0
A1XIH6,1,0.0
Q64K36,1,0.0
A1XIH5,1,0.0
A1XIH4,1,0.0
A1XIH1,1,0.0
A1XIH0,1,0.0
D4APA9,1,0.0
L8FSM5,1,0.0
L8G6I7,1,0.0
Q68GV9,1,0.0
Q8J0D7,1,0.0
Q69F56,1,0.0
D4AWY5,1,0.0
Q64K34,1,0.0
D4AXW3,1,0.0
Q69F35,1,0.0
L8GD75,1,0.0
Q59NP5,1,2.0
P36135,1,2.0
Q5AKU5,1,2.0
P40472,1,2.0
P53616,1,2.0
D4AM57,1,2.0
P27731,1,1.0
Q29616,1,1.0
P49142,1,1.0
P49141,1,1.0
P50390,1,1.0
B7ZS96,1,1.0
O46375,1,1.0
O55245,1,1.0
P31779,1,1.0
P02767,1,1.0
O46654,1,1.0
P30623,1,1.0
Q59KZ1,1,2.0
P02655,1,2.0
Q09328,1,4.0
O08692,1,2.0
P11672,1,4.0
P80188,1,4.0
P41222,1,4.0
Q9UUZ3,1,2.0
O74168,1,2.0
Q9NL38,1,2.0
Q27908,1,2.0
P39061,1,4.0
P39060,1,4.0
Q9BWP8,1,2.0
Q9Y6Z7,1,2.0
P61769,1,4.0
C0HJV8,1,4.0
C0HJV7,1,4.0
P01193,1,2.0
O35789,1,1.0
Q8LG89,1,2.0
Q2VG86,1,4.0
Q06890,1,1.0
P05371,1,1.0
P05059,1,2.0
P26339,1,2.0
Q9QZR9,1,4.0
P17140,1,4.0
Q9QZS0,1,4.0
P02463,1,4.0
Q9TUQ3,1,0.0
P98136,1,0.0
P98137,1,0.0
P25428,1,1.0
Q99036,1,2.0
O95841,1,1.0
P55083,1,1.0
P14448,1,1.0
P02671,1,1.0
E9PV24,1,1.0
O00602,1,1.0
Q80Z71,1,1.0
Q9UQP3,1,1.0
P79019,1,2.0
P79021,1,2.0
P02649,1,0.0
P04114,1,3.0
Q9Z1P8,1,4.0
Q9BY76,1,4.0
Q9R182,1,4.0
P10152,1,0.0
O35298,1,2.0
P28039,1,2.0
P80703,1,3.0
P86967,1,0.0
P83636,1,3.0
P83084,1,0.0
Q58T60,1,0.0
Q58T61,1,0.0
P83083,1,0.0
Q58T62,1,0.0
Q58T42,1,0.0
Q58T77,1,0.0
Q58T44,1,0.0
Q58T52,1,0.0
A0A219CMY0,1,0.0
Q58T74,1,0.0
P83081,1,0.0
Q58T41,1,0.0
P83080,1,0.0
P21844,1,2.0
P24158,1,2.0
Q6H321,1,2.0
A6H584,1,3.0
P02748,1,4.0
Q62930,1,4.0
Q9UNA0,1,3.0
Q76LX8,1,3.0
Q769J6,1,3.0
Q8NJP6,1,4.0
Q9HE18,1,4.0
O59893,1,2.0
Q9HEZ1,1,1.0
B7SIW2,1,1.0
Q2PGV8,1,1.0
I1RQU5,1,1.0
O00744,1,2.0
Q9GZT5,1,2.0
P56703,1,2.0
Q2LMP1,1,2.0
P56704,1,2.0
P27467,1,2.0
P49338,1,2.0
P09615,1,2.0
P09544,1,2.0
Q93097,1,2.0
Q670P5,1,2.0
P49893,1,2.0
P04628,1,2.0
P22725,1,2.0
O00755,1,2.0
P28047,1,2.0
O14904,1,2.0
O14905,1,2.0
Q3UTY6,1,3.0
Q6UY14,1,3.0
Q14508,1,4.0
P41047,1,4.0
Q9BEA8,1,4.0
P48023,1,4.0
Q8BZH1,1,3.0
Q99041,1,3.0
P13726,1,1.0
Q7YRQ8,1,3.0
Q8GTB6,1,4.0
A6P6V9,1,4.0
Q9SA86,1,4.0
Q9LPC3,1,4.0
Q9SUC6,1,4.0
Q9FKV2,1,4.0
Q9FI25,1,4.0
Q7TQN3,1,1.0
Q9VH14,1,3.0
Q9GZM7,1,1.0
Q9UJW2,1,1.0
P43508,1,1.0
A1E295,1,1.0
O57382,1,3.0
Q9DER7,1,3.0
P13497,1,3.0
P98063,1,3.0
Q9UPZ6,1,0.0
Q9H1J5,1,1.0
D4AUF1,1,3.0
Q5S248,1,0.0
Q9U7D3,1,1.0
W3VKA4,1,3.0
F4K5W8,1,4.0
P37840,1,0.0
D4B1N9,1,1.0
Q08380,1,3.0
Q07797,1,3.0
O70513,1,3.0
O15393,1,4.0
Q91053,1,4.0
Q91516,1,4.0
Q6T6S7,1,4.0
P0CG03,1,4.0
Q8AY81,1,4.0
Q27J47,1,4.0
Q9YGJ8,1,4.0
Q8AY79,1,4.0
P18965,1,4.0
A0A1I9KNP0,1,4.0
Q5W959,1,4.0
Q8AY80,1,4.0
Q9NAS8,1,4.0
Q14520,1,4.0
Q9NAS9,1,4.0
Q9GZN4,1,4.0
O35453,1,4.0
Q8MUG0,1,4.0
Q4TTV7,1,4.0
O60259,1,4.0
P98064,1,4.0
Q8CHN8,1,4.0
P48740,1,4.0
P05156,1,4.0
Q9P0G3,1,4.0
P21902,1,4.0
P13582,1,4.0
Q9VZH2,1,4.0
P83748,0,4.0
Q9QYZ9,0,4.0
Q7RTY9,0,4.0
Q9Y6M0,0,4.0
Q9JHJ7,0,4.0
Q920S2,0,4.0
P04814,1,4.0
P35030,1,4.0
P29786,1,4.0
Q9VP95,1,4.0
Q80WM7,1,4.0
P00741,1,4.0
P19540,1,4.0
P00740,1,4.0
Q9GRW0,1,4.0
P00747,1,4.0
Q99MS4,1,4.0
P04070,1,4.0
P0C7W2,1,0.0
Q8N2E6,1,0.0
Q27084,1,1.0
Q22328,1,1.0
A1EC31,1,0.0
Q27394,1,1.0
P18424,1,3.0
P53761,1,3.0
P04180,1,3.0
P16301,1,3.0
Q02763,1,0.0
Q9VBV3,1,1.0
Q9Y4K0,1,0.0
B5DF27,1,0.0
Q9Z175,1,0.0
P58215,1,0.0
P28301,1,0.0
P04916,1,1.0
P41263,1,1.0
P02753,1,1.0
M5AXY1,1,1.0
P27485,1,1.0
P06912,1,1.0
Q9VV36,1,2.0
P42854,1,2.0
Q9BYZ8,1,2.0
Q8R2Z5,1,3.0
B1A4F7,1,3.0
B2D0J4,1,3.0
P27487,1,3.0
Q12884,1,3.0
P97321,1,3.0
Q8VHI5,1,2.0
O43405,1,2.0
P02774,1,0.0
P04276,1,0.0
P21614,1,0.0
B6EY09,1,1.0
P93349,1,2.0
Q39099,1,2.0
Q6UX27,1,1.0
A8TGA1,1,0.0
Q9XSC9,1,1.0
P20062,1,1.0
Q8SPJ0,1,2.0
Q2ULM2,1,3.0
Q5QHG6,1,3.0
D4AWC9,1,3.0
Q6T6C1,1,0.0
D4B528,1,2.0
Q5QHG5,1,2.0
Q2U1F3,1,2.0
Q28388,1,0.0
Q5FW60,1,0.0
G5EGH7,1,1.0
Q6XZB0,1,1.0
Q8NHL6,1,3.0
P06858,1,0.0
O95970,1,1.0
Q03626,1,2.0
Q63041,1,2.0
P01023,1,2.0
A8K2U0,1,2.0
A2AJB7,1,3.0
Q3YBN2,1,0.0
P80607,1,1.0
O04300,1,1.0
Q9FUJ3,1,3.0
P19438,1,0.0
P06744,1,3.0
Q8T115,1,0.0
Q8IFJ8,1,0.0
Q95P07,1,0.0
Q95P08,1,0.0
O44249,1,0.0
Q9V521,1,0.0
Q25519,1,0.0
Q8I6K1,1,0.0
Q8I6K2,1,0.0
D4ATA2,1,1.0
Q5A7R7,1,3.0
Q7Z1K3,1,1.0
Q01117,1,2.0
P30292,1,2.0
P19269,1,2.0
Q8NK92,1,3.0
D4ANG0,1,3.0
D4AIK6,1,3.0
Q4WQU0,1,3.0
Q70J59,1,3.0
Q70GH4,1,3.0
P07355,1,1.0
Q07936,1,1.0
P04083,1,1.0
P10107,1,1.0
Q6Q788,1,2.0
Q8C7G5,1,2.0
Q06601,1,1.0
P35581,1,1.0
B1P0S1,1,2.0
P02652,1,2.0
P31696,1,3.0
O00468,1,3.0
Q4VBE4,1,3.0
H2A0M3,1,1.0
P0DN29,1,2.0
Q9P8P3,1,0.0
P62694,1,0.0
Q8WZJ4,1,0.0
P07981,1,0.0
P07987,1,1.0
Q09101,1,2.0
D4ATS1,1,1.0
