,AC,label-val,cluster,max_ident_other,closest_other
0,P15693,0,0.0,0.265,P29523
1,P05187,0,0.0,0.322,P29523
2,P10696,0,0.0,0.327,P29523
3,P51740,0,0.0,0.289,Q07488
4,P09923,0,0.0,0.34,P29523
5,P24823,0,0.0,0.27,P29523
6,Q24238,0,0.0,0.256,P29523
7,P08289,0,0.0,0.34,P29523
8,P09242,0,0.0,0.33,P29523
9,Q29486,0,0.0,0.336,P29523
10,P09487,0,0.0,0.345,P29523
11,P05186,0,0.0,0.34299999999999997,P29523
12,Q92058,0,0.0,0.374,P29523
13,P24822,0,0.0,0.276,Q01589
14,P19111,0,0.0,0.298,P29523
15,P83558,1,0.0,0.314,B3FIV1
16,D4ASH1,1,1.0,0.231,O94549
17,Q6B4T5,1,2.0,0.252,F5CPE6
18,Q6B4T4,1,2.0,0.271,P81792
19,P81790,1,3.0,0.24600000000000002,P81792
20,P17727,1,3.0,0.257,P59368
21,Q9P8W0,1,4.0,0.23399999999999999,Q75N90
22,Q9P8V9,1,4.0,0.24,M5AXY1
23,Q9P8W1,1,4.0,0.244,P33157
24,Q9P4E8,1,4.0,0.24100000000000002,P61365
25,O94091,1,4.0,0.25,P35456
26,Q9P8W2,1,4.0,0.248,P10810
27,Q9P8W5,1,4.0,0.285,O46375
28,Q9P4E5,1,4.0,0.24100000000000002,F4JHH5
29,Q9P4E6,1,4.0,0.242,O42807
30,Q9P4E7,1,4.0,0.233,P49662
31,P0DL36,1,0.0,0.255,I6RU32
32,Q4QRF7,1,1.0,0.22399999999999998,Q9PTT2
33,A5PF61,1,1.0,0.237,Q00898
34,P82953,1,0.0,0.262,C5FRQ0
35,P48538,1,2.0,0.287,O00182
36,P09382,1,2.0,0.29600000000000004,O00182
37,Q9UBR5,1,3.0,0.217,Q9ERM2
38,P34884,1,0.0,0.237,Q9C9H5
39,P14174,1,0.0,0.23399999999999999,P04814
40,P91850,1,0.0,0.23600000000000002,Q8CEK3
41,P81529,1,0.0,0.245,U6BLZ9
42,C0K3N1,1,1.0,0.242,O65351
