AC,label-val,cluster
Q9NZK5,0,4.0
P86810,0,1.0
Q55GS3,0,3.0
Q91V88,0,4.0
P10761,0,1.0
Q5A651,1,0.0
Q5RAD6,1,4.0
O08842,1,4.0
O00451,1,4.0
Q5E9X0,1,4.0
O13157,1,4.0
F2Z472,0,4.0
D4AIS3,1,0.0
D4DFT3,1,0.0
H2KZ60,1,3.0
Q39131,1,1.0
P86967,0,1.0
Q54BG3,1,4.0
Q8TG42,0,4.0
O74199,0,2.0
P83234,0,4.0
Q7Z3S9,0,2.0
P0DPK3,0,2.0
A0ZSK4,0,3.0
A0ZSK3,0,3.0
D4AV38,0,2.0
O60218,0,2.0
A5JUY8,0,2.0
P22079,0,2.0
Q8R481,0,2.0
P80025,0,2.0
B0XVI5,1,0.0
D4ATC3,1,0.0
P0C955,1,0.0
B0XT09,1,0.0
P63182,0,4.0
Q8BGU2,0,4.0
Q93243,0,3.0
P29965,0,1.0
D4B1P2,0,4.0
Q95P90,0,2.0
P84809,0,2.0
A1IGX5,0,3.0
D4AXL1,0,3.0
P86855,0,0.0
O60568,0,0.0
Q9R0E1,0,0.0
Q9VTH0,0,0.0
Q01819,1,2.0
P41731,0,1.0
P08962,0,1.0
Q6UW32,0,1.0
Q5XM24,0,4.0
O00468,0,4.0
P31696,0,4.0
Q8CG64,0,4.0
Q9H9S5,0,4.0
I7GQA7,0,0.0
Q9Y646,0,4.0
Q6IRK9,0,4.0
Q8TC92,0,3.0
Q3TAS6,0,0.0
Q5UCC4,0,0.0
D3ZVP0,0,3.0
O55233,0,2.0
Q9V3J3,0,4.0
Q8BZQ2,0,3.0
Q8WQK0,0,1.0
Q9VA70,0,0.0
Q99LS0,0,1.0
Q9H1Z8,0,1.0
Q8IDN0,1,3.0
Q9BMP8,1,3.0
Q7YZS9,0,3.0
Q9U3Z3,0,3.0
Q5A5U4,1,1.0
Q8BJ66,0,3.0
D4B1R0,0,1.0
P01830,1,1.0
P04216,1,1.0
Q07212,1,1.0
P01831,1,1.0
O62643,1,1.0
P01522,0,3.0
P28881,0,3.0
P28880,0,3.0
X5IWS1,0,3.0
P58920,0,3.0
P58917,0,3.0
A0A384E129,0,3.0
P05484,0,3.0
Q9XZK9,0,3.0
Q9XZL1,0,3.0
Q26443,0,3.0
P56714,0,3.0
Q9TWM7,0,3.0
Q9U655,0,3.0
P56708,0,3.0
Q9XZK8,0,3.0
Q9XZL3,0,3.0
P18513,0,3.0
P18511,0,3.0
P0DPM4,0,3.0
P58913,0,3.0
G9I929,0,0.0
P00992,0,0.0
C1IC52,0,0.0
B7S4N9,0,0.0
Q1PE40,0,1.0
Q5AJC0,1,3.0
Q8C6K9,0,1.0
Q10589,1,3.0
O65375,0,2.0
O08545,1,2.0
P52797,1,2.0
Q63083,0,3.0
P81160,0,3.0
P05623,0,3.0
P0DM17,0,1.0
Q09788,0,1.0
D4B4V1,0,2.0
Q8CD91,0,3.0
Q9LXU0,0,2.0
P0DJ06,0,1.0
P0CY27,0,1.0
Q5AJK6,1,4.0
P13609,0,0.0
P10124,0,0.0
Q02786,1,4.0
P46587,0,1.0
P10591,0,1.0
P41797,0,1.0
P19235,0,1.0
Q9SQT9,1,3.0
Q9LNF2,0,2.0
Q5AGC4,1,3.0
Q52085,1,0.0
P15087,0,2.0
Q9BRX8,0,4.0
Q9CYH2,0,4.0
Q8IX30,0,4.0
Q8IWY4,0,4.0
Q10T67,0,4.0
Q80WL1,0,2.0
Q8BMF8,0,2.0
Q9VG55,0,1.0
Q4WZ11,0,0.0
Q96LB8,0,2.0
Q96LB9,0,2.0
Q9VYX7,0,2.0
O75594,0,2.0
O88593,0,2.0
Q8SPP7,0,2.0
Q9VXN9,0,2.0
Q765P3,0,2.0
Q765P4,0,2.0
Q70PY2,0,2.0
P54660,1,1.0
Q3TR08,0,1.0
O35298,0,4.0
P28039,0,4.0
Q8S2W4,1,0.0
B6EWW8,1,2.0
F8S0Z7,1,2.0
Q8T0W4,0,3.0
B2G331,0,3.0
Q5AD23,1,2.0
Q61330,1,4.0
Q02246,1,4.0
P22063,1,4.0
P15502,0,4.0
Q6UX73,0,1.0
B3GS44,1,4.0
Q6NLF4,1,4.0
Q9FKT1,1,4.0
Q9M0I0,1,4.0
Q8VHN7,0,4.0
P83561,0,0.0
Q99ML8,0,4.0
Q8CIT9,0,3.0
Q4VP08,0,2.0
Q4VP09,0,2.0
P0CAY6,0,2.0
A8MRC6,0,2.0
Q96NZ9,0,1.0
Q8C4W3,1,0.0
Q496H8,1,0.0
Q8BTE6,0,4.0
P97361,0,1.0
Q8K4I4,0,1.0
Q9NP55,0,1.0
Q1ELU7,0,2.0
Q1ELU8,0,2.0
Q96VB6,0,3.0
W0HFK8,0,3.0
Q8NJ73,0,3.0
O94163,0,3.0
Q5S7A8,0,3.0
Q4P902,0,3.0
O74717,0,3.0
Q2PGV8,0,3.0
I1RQU5,0,3.0
Q9HEZ1,0,3.0
B7SIW2,0,3.0
Q01176,0,3.0
O13318,1,4.0
Q6UXH0,0,4.0
Q8R1L8,0,4.0
C0HJV6,0,4.0
T1NXB5,0,2.0
H2A0N7,0,0.0
P86968,0,0.0
P0CU33,0,0.0
Q06902,0,0.0
Q01972,0,0.0
Q12567,0,0.0
P41748,0,0.0
O60020,0,0.0
Q8IN43,0,2.0
Q8IN44,0,2.0
Q9VDH4,0,2.0
Q8SWI4,1,3.0
Q9ER63,1,3.0
B3A0R6,0,3.0
B3A0S3,0,3.0
H2A0N2,0,1.0
H2A0M4,0,1.0
H2A0N3,0,1.0
Q6PRW6,0,1.0
Q7Z1K3,0,4.0
A2AJB7,0,2.0
Q5A312,1,0.0
D4AUF1,0,0.0
P61365,0,4.0
P61366,0,4.0
P61364,0,4.0
I6M4H4,0,1.0
P20840,1,0.0
Q9GP84,1,3.0
P0DL75,0,4.0
P83562,0,4.0
P60272,0,4.0
Q5AFI4,0,2.0
Q64299,0,2.0
Q9QZQ5,0,2.0
P29268,0,2.0
P43076,1,4.0
Q9ZQG9,1,1.0
Q9VCR3,0,0.0
B3A0R5,0,2.0
Q9C9Z9,0,2.0
P26333,1,1.0
Q8R0A6,0,2.0
I2C092,0,0.0
Q8T113,0,2.0
Q9XF04,0,2.0
P23223,1,3.0
P15706,1,3.0
Q27673,1,3.0
P08148,1,3.0
F7C0L1,0,0.0
B8AN27,1,3.0
P0DL78,0,0.0
B1P1A7,0,0.0
B1P1A6,0,0.0
B1P1A5,0,0.0
B1P1A8,0,0.0
P0DL77,0,0.0
Q6EEH1,0,2.0
Q07699,0,1.0
P23352,0,2.0
P02776,0,4.0
Q9SJ81,1,1.0
B3H7A9,0,1.0
Q9LY09,0,4.0
Q8J1Y4,1,2.0
Q684R7,0,1.0
O55245,0,4.0
P49142,0,4.0
O46375,0,4.0
P27731,0,4.0
B7ZS96,0,4.0
P49141,0,4.0
P30623,0,4.0
P02767,0,4.0
O46654,0,4.0
Q29616,0,4.0
P31779,0,4.0
P50390,0,4.0
D4AYS6,0,4.0
Q8GUI4,1,0.0
P02786,0,1.0
Q09553,1,3.0
Q58DA5,1,3.0
Q9P121,1,3.0
P32736,1,3.0
P11834,1,3.0
Q5IS61,1,3.0
Q62718,1,3.0
Q99PJ0,1,3.0
Q98892,1,3.0
Q7Z3B1,1,3.0
Q9W6V2,1,3.0
Q9Z0J8,1,3.0
Q13449,1,3.0
Q62813,1,3.0
Q98919,1,3.0
Q90773,1,3.0
P28319,1,4.0
D2Y1Y0,0,4.0
D2Y2D3,0,4.0
D2Y1X7,0,4.0
D2Y1Z8,0,4.0
D2Y1Y2,0,4.0
D2Y1Z7,0,4.0
D2Y2D2,0,4.0
D2Y2D1,0,4.0
D2Y1X9,0,4.0
D2Y1Y1,0,4.0
D2Y1X8,0,4.0
D2Y1Y3,0,4.0
D2Y2I3,0,4.0
D2Y1X6,0,4.0
D2Y1Z4,0,4.0
P0DM66,0,4.0
P0DJA9,0,4.0
P61103,0,4.0
D2Y2D7,0,4.0
P83303,0,4.0
D2Y233,0,4.0
D2Y232,0,4.0
Q9C5S0,1,2.0
Q5A6M2,1,1.0
F8J4S0,0,1.0
Q3E6R4,1,3.0
Q95209,0,4.0
Q8IV16,1,0.0
P13688,0,4.0
P01501,0,1.0
Q8LW54,0,1.0
Q5AMJ5,1,4.0
Q9P7J9,1,0.0
D4AUX6,0,0.0
P01344,0,2.0
P09535,0,2.0
P06014,1,4.0
P21840,1,4.0
P26330,1,4.0
P26329,1,4.0
P02897,1,4.0
P26334,1,4.0
P02896,1,4.0
P06015,1,4.0
Q9DBD0,0,2.0
Q8WXW3,0,4.0
Q54PA4,0,4.0
Q9Y0X6,0,2.0
Q93ZH0,1,4.0
Q69T51,1,4.0
Q6NPN4,1,4.0
Q53B47,0,0.0
Q53B52,0,0.0
B2BRQ5,0,0.0
F8J2B3,0,0.0
P01379,0,0.0
F8J2E2,0,0.0
Q2VBP5,0,0.0
F8J2E6,0,0.0
P82662,0,0.0
P15816,0,0.0
Q53B58,0,0.0
A6MFK5,0,0.0
Q53B57,0,0.0
Q7T3J2,0,0.0
F8J2F2,0,0.0
F8J2D7,0,0.0
O42257,0,0.0
P01384,0,0.0
A6MFK4,0,0.0
F8J2E1,0,0.0
P01398,0,0.0
P15817,0,0.0
F8J2E5,0,0.0
Q9W7J5,0,0.0
Q2VBP4,0,0.0
P60616,0,0.0
Q9YGI4,0,0.0
A2CKF6,0,0.0
C1IC49,0,0.0
A2CKF7,0,0.0
Q2VBN2,0,0.0
P82935,0,0.0
Q8QGR0,0,0.0
F5CPE2,0,0.0
Q53B49,0,0.0
A8N286,0,0.0
Q69CK0,0,0.0
P10459,0,0.0
Q9PTT0,0,0.0
F8J2G3,0,0.0
F5CPD6,0,0.0
Q90VW1,0,0.0
P01412,0,0.0
Q7T2I5,0,0.0
P10457,0,0.0
