,AC,label-val,cluster,max_ident_other,closest_other
0,Q9NZK5,0,4.0,0.221,Q9XTA3
1,P86810,0,1.0,0.345,B5U6Y8
2,Q55GS3,0,3.0,0.231,Q76CE8
3,Q91V88,0,4.0,0.31,Q9JJZ5
4,P10761,0,1.0,0.315,P79762
5,Q5A651,1,0.0,0.267,Q59SU1
6,Q5RAD6,1,4.0,0.27,P42835
7,O08842,1,4.0,0.27,Q08108
8,O00451,1,4.0,0.261,P42835
9,Q5E9X0,1,4.0,0.254,Q9D7Z7
10,O13157,1,4.0,0.242,Q5ABW2
11,F2Z472,0,4.0,0.22399999999999998,P35030
12,D4AIS3,1,0.0,0.38799999999999996,Q4WDN4
13,D4DFT3,1,0.0,0.379,Q4WDN4
14,H2KZ60,1,3.0,0.263,P68500
15,Q39131,1,1.0,0.25,Q01819
16,P86967,0,1.0,0.225,Q9NQ76
17,Q54BG3,1,4.0,0.264,P59833
18,Q8TG42,0,4.0,0.425,Q9HFP8
19,O74199,0,2.0,0.248,Q9FJ13
20,P83234,0,4.0,0.275,Q96NY8
21,Q7Z3S9,0,2.0,0.26899999999999996,Q28019
22,P0DPK3,0,2.0,0.26899999999999996,Q28019
23,A0ZSK4,0,3.0,0.259,H2A0M5
24,A0ZSK3,0,3.0,0.23399999999999999,O75462
25,D4AV38,0,2.0,0.217,P43508
26,O60218,0,2.0,0.215,Q6WRU0
27,A5JUY8,0,2.0,0.237,O60609
28,P22079,0,2.0,0.235,Q9H4B8
29,Q8R481,0,2.0,0.248,Q8S8N6
30,P80025,0,2.0,0.231,Q9P8V9
31,B0XVI5,1,0.0,0.303,P43076
32,D4ATC3,1,0.0,0.273,Q59XL0
33,P0C955,1,0.0,0.297,O13318
34,B0XT09,1,0.0,0.29600000000000004,P13645
35,P63182,0,4.0,0.257,Q9H8L6
36,Q8BGU2,0,4.0,0.242,Q9ER31
37,Q93243,0,3.0,0.233,Q1HA20
38,P29965,0,1.0,0.28,P48023
39,D4B1P2,0,4.0,0.231,Q0WUV7
40,Q95P90,0,2.0,0.27,P84810
41,P84809,0,2.0,0.272,P84810
42,A1IGX5,0,3.0,0.245,Q9SJ24
43,D4AXL1,0,3.0,0.235,Q8CG85
44,P86855,0,0.0,0.25,Q3BER3
45,O60568,0,0.0,0.218,O08842
46,Q9R0E1,0,0.0,0.237,P17936
47,Q9VTH0,0,0.0,0.252,Q4Z4D2
48,Q01819,1,2.0,0.25,Q39131
49,P41731,0,1.0,0.254,O35082
50,P08962,0,1.0,0.226,B8YG19
51,Q6UW32,0,1.0,0.235,P15816
52,Q5XM24,0,4.0,0.231,P09230
53,O00468,0,4.0,0.263,Q8N8U9
54,P31696,0,4.0,0.235,O00182
55,Q8CG64,0,4.0,0.237,Q90YK5
56,Q9H9S5,0,4.0,0.237,Q90YK5
57,I7GQA7,0,0.0,0.284,Q6PXP0
58,Q9Y646,0,4.0,0.233,O43653
59,Q6IRK9,0,4.0,0.22699999999999998,D4AWM9
60,Q8TC92,0,3.0,0.21899999999999997,Q9CZD3
61,Q3TAS6,0,0.0,0.228,B3A0R1
62,Q5UCC4,0,0.0,0.22,Q8T0Y7
63,D3ZVP0,0,3.0,0.263,P09655
64,O55233,0,2.0,0.344,P70041
65,Q9V3J3,0,4.0,0.289,A0A0G3F8Z3
66,Q8BZQ2,0,3.0,0.24100000000000002,P07140
67,Q8WQK0,0,1.0,0.306,Q5K0E0
68,Q9VA70,0,0.0,0.345,Q9JHE3
69,Q99LS0,0,1.0,0.252,Q6UXH0
70,Q9H1Z8,0,1.0,0.242,P49142
71,Q8IDN0,1,3.0,0.26899999999999996,Q8I6T1
