AC,label-val,cluster
P79019,0,0
Q8BLC3,1,0
B1P1B8,0,0
Q7TPG6,0,0
Q92340,1,0
A0A384E129,0,0
A8K7I4,0,0
Q5ACV9,1,0
P18827,0,0
P83400,0,0
L8GD75,0,0
W0HFK8,0,0
A5PF61,0,0
Q9DER7,0,0
P20827,1,0
O18641,0,0
P19235,0,0
I3LGZ3,0,0
E1AXF9,0,0
Q59Y31,1,0
Q5RAD6,1,0
A1XIH6,0,0
P02896,1,0
A6XN32,1,0
Q9SNC3,1,0
Q9CXI5,0,0
Q8T0W8,0,0
Q8I6K1,0,0
Q94637,0,0
P0DM19,0,0
B3A0Q5,0,0
P84693,0,0
P83563,0,0
B5A7N4,0,0
O73682,0,0
P83056,0,0
P23515,1,0
P35459,1,0
Q59L86,1,0
Q5QHG5,0,0
I6M4H4,0,0
P86969,0,0
P86729,0,0
P0CC12,0,0
Q9NPD7,1,0
Q8S2W4,1,0
B3EWF6,0,0
Q9T045,1,0
Q7M6Z0,1,0
B4GAN3,1,0
P63159,0,0
P0DJA9,0,0
Q8X150,0,0
P01422,0,0
P11834,1,0
Q810U4,0,0
P40249,1,0
F4JHH5,0,0
P83228,0,0
P98063,0,0
Q00193,0,0
P01225,0,0
Q98SV1,0,0
A0A2I6EDN5,0,0
Q80XF5,0,0
D4AXU8,1,0
Q3YEH2,0,0
Q9FX32,0,0
Q9SU13,1,0
Q8J0I9,0,0
Q1EJP5,0,0
Q59KI0,0,0
Q9C7U5,1,0
Q61475,1,0
P0C6A8,0,0
P11995,0,0
Q8TFG9,1,0
Q54SJ8,1,0
D4B1Z7,0,0
Q00897,0,0
P51865,1,0
Q8J0P4,1,0
Q9QZR9,0,0
P81428,0,0
Q96QR1,0,0
Q8IN42,0,0
P04180,0,0
P31429,1,0
O04496,0,0
O74660,1,0
B3EWF5,0,0
Q9I929,0,0
O04500,1,0
Q90495,0,0
P05486,0,0
Q9UHF1,0,0
Q7T2X7,0,0
Q9R182,0,0
Q54T57,1,0
P86870,0,0
Q0VZ38,0,0
Q76CE8,0,0
Q9R0R3,0,0
Q32LB5,1,0
O75487,1,0
Q9D7Q1,0,0
P69747,0,0
Q9GU58,0,0
Q5J6J3,0,0
Q5J6J1,1,0
P01215,0,0
A4QUT2,0,0
P61149,0,0
Q52085,1,0
P19599,1,0
Q61468,1,0
P22725,0,0
Q54EQ7,1,0
O43405,0,0
P97527,1,0
O08523,1,0
Q07092,0,0
P07492,0,0
P52804,1,0
P13487,0,0
P32478,0,0
P83974,0,0
A0RZB4,1,0
P79021,0,0
Q4U4T0,0,0
Q07488,1,0
Q27394,0,0
B3A0Q0,0,0
P18965,0,0
Q9I928,0,0
Q8NI32,1,0
D4B1N9,0,0
E1AWD4,0,0
Q2VF17,0,0
C6JUP2,0,0
Q3UN54,0,0
W3VKA4,0,0
A0S865,0,0
P01034,0,0
O42721,0,0
Q32LD3,1,0
Q9FS16,0,0
D4AT07,1,0
Q8BZQ2,0,0
Q14766,0,0
P58786,0,0
O70513,0,0
B3A0P2,0,0
P50593,1,0
P11597,0,0
Q9FUJ3,0,0
Q9VPF0,0,0
Q6UX52,0,0
P86964,0,0
P80109,0,0
X5JA13,0,0
P29029,0,0
P97785,1,0
Q9BWP8,0,0
B3A0S4,0,0
Q95176,1,0
P05117,0,0
Q9VG08,0,0
Q6V9X0,0,0
Q7Z1K3,0,0
O88875,1,0
Q59TP1,1,0
B3A0Q7,0,0
P52793,1,0
O60667,0,0
O43280,1,0
Q63072,1,0
P26327,1,0
Q9P8V9,0,0
Q63912,1,0
C5FRQ0,1,0
P80188,0,0
O35298,0,0
O94163,0,0
P83561,0,0
Q9M069,0,0
Q8BGN3,1,0
O35118,1,0
P68416,0,0
P02702,1,0
Q6NW40,1,0
Q53B58,0,0
P03973,0,0
O60020,0,0
Q9P232,1,0
Q6NLF4,1,0
Q9DBD0,0,0
Q76HP6,0,0
B1P1F3,0,0
Q9D2S4,0,0
Q9UVI4,0,0
C0HKM3,0,0
Q8LG54,1,0
Q9QXV0,0,0
D4AK18,0,0
D4AR77,0,0
D4B0V1,0,0
Q2UY11,0,0
D4B5F9,0,0
P25675,0,0
B3MFC2,1,0
Q9ES17,0,0
Q8VYV9,1,0
P0C425,0,0
Q8MVA6,0,0
C0HL51,0,0
P46657,1,0
Q5IS87,1,0
Q3UST5,0,0
O62680,1,0
P86948,0,0
Q64610,0,0
D4AS41,0,0
P54660,1,0
P60302,0,0
Q7TMA5,0,0
Q6K209,0,0
P86810,0,0
P84805,0,0
Q24025,0,0
P60756,1,0
P31430,1,0
Q5UFR8,0,0
D4AP52,1,0
F8J2G5,0,0
Q5A1A9,1,0
Q93V74,0,0
O08841,0,0
P19855,0,0
Q3HRQ2,0,0
Q5PPM0,0,0
Q4R1C4,0,0
Q9I930,0,0
Q0II73,1,0
D4AUH1,0,0
P83948,0,0
Q9VJS7,0,0
F8J2D7,0,0
Q93XX5,1,0
P20950,1,0
Q75R32,0,0
Q9I8M9,0,0
P24822,1,0
E1B231,0,0
Q3SZM7,1,0
O65375,0,0
Q8R2G4,1,0
Q8WZJ4,0,0
F5CPD9,0,0
Q8MMJ7,0,0
Q01301,0,0
P43652,0,0
