,AC,label-val,cluster,max_ident_other,closest_other
0,P79019,0,0,0.254,Q9NPA2
1,Q8BLC3,1,0,0.96,Q66H42
2,B1P1B8,0,0,0.968,B1P1B7
3,Q7TPG6,0,0,0.94,Q7Z5A8
4,Q92340,1,0,0.254,Q59XB0
5,A0A384E129,0,0,0.737,P01522
6,A8K7I4,0,0,0.65,Q9D7Z6
7,Q5ACV9,1,0,0.24100000000000002,Q2UUZ1
8,P18827,0,0,0.93,P18828
9,P83400,0,0,0.625,P81761
10,L8GD75,0,0,0.569,L8FSM5
11,W0HFK8,0,0,0.83,Q5S7A8
12,A5PF61,0,0,0.24,P09535
13,Q9DER7,0,0,0.69,P13497
14,P20827,1,0,0.89,Q06AS9
15,O18641,0,0,0.99,P11159
16,P19235,0,0,0.255,Q9Y653
17,I3LGZ3,0,0,0.58,Q6UWK7
18,E1AXF9,0,0,0.627,P85070
19,Q59Y31,1,0,0.309,B1P0S1
20,Q5RAD6,1,0,0.98,O00451
21,A1XIH6,0,0,0.93,A1XIH4
22,P02896,1,0,0.696,P26329
23,A6XN32,1,0,0.748,Q5BIV9
24,Q9SNC3,1,0,0.287,Q9ZQI8
25,Q9CXI5,0,0,0.98,P55145
26,Q8T0W8,0,0,0.298,Q86QI5
27,Q8I6K1,0,0,0.569,Q8I6K2
28,Q94637,0,0,0.25,H2A0L2
29,P0DM19,0,0,0.935,P0DM20
30,B3A0Q5,0,0,0.24600000000000002,G9M8X1
31,P84693,0,0,0.583,O77463
32,P83563,0,0,0.284,O77463
33,B5A7N4,0,0,0.98,G0RUP7
34,O73682,0,0,0.6829999999999999,P83906
35,P83056,0,0,0.348,P83059
36,P23515,1,0,0.287,A1DHY9
37,P35459,1,0,0.5589999999999999,Q14210
38,Q59L86,1,0,0.275,Q5ABW2
39,Q5QHG5,0,0,0.97,D4B528
40,I6M4H4,0,0,0.261,Q9VUX3
41,P86969,0,0,0.24100000000000002,Q2R222
42,P86729,0,0,0.57,P86734
43,P0CC12,0,0,0.877,A0A1L2FZD4
44,Q9NPD7,1,0,0.98,O08957
45,Q8S2W4,1,0,0.40299999999999997,Q8LD43
46,B3EWF6,0,0,0.528,B3EWF4
47,Q9T045,1,0,0.561,Q9LJU0
48,Q7M6Z0,1,0,0.97,Q80WD1
49,B4GAN3,1,0,0.98,B5E022
50,P63159,0,0,0.98,P09429
51,P0DJA9,0,0,0.561,P0DM66
52,Q8X150,0,0,0.99,Q8X151
53,P01422,0,0,0.9670000000000001,P01423
54,P11834,1,0,0.96,P32736
55,Q810U4,0,0,0.22899999999999998,Q14BU0
56,P40249,1,0,1.0,P40256
57,F4JHH5,0,0,0.257,O55070
58,P83228,0,0,0.27,Q27J49
59,P98063,0,0,0.98,P13497
60,Q00193,0,0,0.258,D4AYG1
61,P01225,0,0,0.97,Q6EV79
62,Q98SV1,0,0,0.259,P25236
63,A0A2I6EDN5,0,0,0.5479999999999999,P58846
64,Q80XF5,0,0,0.71,Q969J5
65,D4AXU8,1,0,0.368,Q4WI46
66,Q3YEH2,0,0,0.682,Q6PN84
67,Q9FX32,0,0,0.228,Q8TB73
68,Q9SU13,1,0,0.264,Q9ZWA8
69,Q8J0I9,0,0,0.25,B0BK71
70,Q1EJP5,0,0,0.9179999999999999,J7H8J4
71,Q59KI0,0,0,0.243,Q01117
72,Q9C7U5,1,0,0.431,O65399
73,Q61475,1,0,0.369,P08174
74,P0C6A8,0,0,0.768,P0C6B0
75,P11995,0,0,0.47700000000000004,P11997
76,Q8TFG9,1,0,0.35200000000000004,Q4WLB9
77,Q54SJ8,1,0,0.34600000000000003,Q54M25
78,D4B1Z7,0,0,0.242,Q8GTB6
79,Q00897,0,0,0.92,P22599
80,P51865,1,0,0.733,P13385
81,Q8J0P4,1,0,0.39399999999999996,D4AZC5
82,Q9QZR9,0,0,0.583,P02463
83,P81428,0,0,0.98,P82807
84,Q96QR1,0,0,0.41,Q96PL1
85,Q8IN42,0,0,0.235,Q1ELU5
86,P04180,0,0,0.87,P53761
87,P31429,1,0,0.765,P22412
88,O04496,0,0,0.27899999999999997,Q9LEW3
89,O74660,1,0,0.99,A0A1D8PQB9
90,B3EWF5,0,0,0.736,B3EWF4
91,Q9I929,0,0,0.91,Q9I925
92,O04500,1,0,0.524,Q60E70
93,Q90495,0,0,0.602,Q90282
94,P05486,0,0,0.242,Q6EEH1
95,Q9UHF1,0,0,0.762,Q9QXT5
96,Q7T2X7,0,0,0.85,P97737
97,Q9R182,0,0,0.309,Q9Z1P8
98,Q54T57,1,0,0.27,D4B3I5
99,P86870,0,0,0.301,P36110
100,Q0VZ38,0,0,0.97,Q0VZ39
101,Q76CE8,0,0,0.45799999999999996,C7F6X3
102,Q9R0R3,0,0,0.7659999999999999,Q9TUI9
103,Q32LB5,1,0,0.47100000000000003,Q6UWM5
104,O75487,1,0,0.8370000000000001,P51655
105,Q9D7Q1,0,0,0.376,Q95M17
106,P69747,0,0,0.742,P0DPL9
107,Q9GU58,0,0,0.287,P58917
