AC,label-val,cluster
6SUPA,0,0.0
6P0XA,0,0.0
5GIKA,0,1.0
4ATZD,0,1.0
6QFKA,0,1.0
6S9TD,0,1.0
6FP7B,0,1.0
6FPAA,0,1.0
6S9SF,0,1.0
6H46B,0,1.0
5MA4A,0,1.0
5LE9A,0,1.0
5LW2A,0,1.0
5LE8A,0,1.0
5LEBA,0,1.0
5LEEA,0,1.0
1N9BA,0,1.0
4ID4A,0,1.0
4DUIA,0,1.0
5EYPF,0,1.0
5KNGA,0,1.0
5OP3A,0,1.0
5OOVA,0,1.0
5OOYA,0,1.0
5OOUA,0,1.0
5OP1A,0,1.0
4K5AB,0,1.0
5MADA,0,1.0
4J7WA,0,1.0
1M40A,0,1.0
2V1ZA,0,1.0
3TOIA,0,1.0
5AQ8A,0,1.0
4K5CA,0,1.0
4JB8P,0,1.0
2JABA,0,1.0
2Y1LE,0,1.0
5ENQD,0,1.0
5MBLB,0,1.0
4K5BA,0,1.0
4YDWA,0,1.0
2BKGA,0,1.0
3ZU7B,0,1.0
3Q9NC,0,1.0
2XEHA,0,1.0
2QYJA,0,1.0
2XZDG,0,1.0
5AQ7A,0,1.0
3HG0D,0,1.0
2BKKB,0,1.0
1AWCB,0,1.0
5MLAB,0,1.0
6D66B,0,1.0
4LSZE,0,1.0
2V5QC,0,1.0
5OYJA,0,1.0
3ZDJA,0,1.0
6SA6A,0,1.0
4V3QA,0,1.0
4V3RA,0,1.0
5MFOA,0,1.0
5AEIA,0,1.0
5MFMP,0,1.0
4DBAA,0,1.0
4DB8A,0,1.0
1N0QA,0,1.0
4QFVA,0,1.0
6MOGA,0,1.0
2ZGGA,0,1.0
6MOIA,0,1.0
6MOEA,0,1.0
6MOJA,0,1.0
6NE2B,0,1.0
6NDZB,0,1.0
5D66A,0,1.0
2RFMA,0,1.0
5AARA,0,1.0
5JA4D,0,1.0
4HI8A,0,1.0
5GP7A,0,1.0
5HRYA,0,1.0
4GMRA,0,1.0
4GPMA,0,1.0
4HB5A,0,1.0
4HQDB,0,1.0
5EILA,0,1.0
5HS0A,0,1.0
5EIDA,0,1.0
1BD8A,0,1.0
1BLXB,0,1.0
5BXOA,0,1.0
1IHBA,0,1.0
6IYBB,0,1.0
5Z2NB,0,1.0
3C5RA,0,1.0
3AAAC,0,1.0
6JTAA,0,2.0
6G5GB,0,3.0
7OVWAAA,0,3.0
7BY4A,0,3.0
1A8DA,0,3.0
1Z7HA,0,3.0
4EL4A,0,3.0
6TWOAAA,0,3.0
5MK6A,0,3.0
6ES1A,0,3.0
6G8UA,0,3.0
6BVDA,0,3.0
2QN0A,0,3.0
1T3CA,0,3.0
7BXXA,0,3.0
1N35A,0,4.0
5X7QA,0,2.0
5F7UA,0,2.0
6JR7A,0,2.0
2W3JA,0,2.0
3EGWA,0,4.0
2C42A,0,0.0
6HQ8A,0,4.0
5MSDA,0,0.0
6OZ1A,0,0.0
4U7WB,0,0.0
5VYZA,0,4.0
2DZDA,0,4.0
4M6VA,0,4.0
1W96C,0,4.0
1RQBA,0,4.0
7KCTA,0,4.0
1ULZA,0,4.0
2W70A,0,4.0
6OJHA,0,4.0
2VQDA,0,4.0
2NX9A,0,4.0
2VPQA,0,4.0
3OUZA,0,4.0
2JKUA,0,4.0
5GUAA,0,4.0
5H3ZA,0,2.0
3Q23A,0,0.0
5MQRA,0,2.0
1BXRA,0,0.0
5N0KA,0,2.0
4DX5A,0,0.0
7CZ9A,0,0.0
6J33B,0,2.0
4AIOA,0,2.0
3BVXA,0,0.0
1K32A,0,2.0
3W5NA,0,0.0
3KLKA,0,2.0
5JBDA,0,2.0
3AIEA,0,2.0
2ZXEA,0,0.0
6JXHA,0,0.0
3AR4A,0,0.0
6TO1A,0,2.0
4AMWA,0,3.0
7M31D,0,0.0
5JCAL,0,0.0
4YLFB,0,0.0
1EP3A,0,0.0
5KSWA,0,0.0
1YQ2A,0,2.0
1JZ8A,0,2.0
6ZJSA,0,2.0
3BGAA,0,2.0
4HATC,0,3.0
1W9CA,0,3.0
2XVLA,0,3.0
7KMPA,0,3.0
5ZN6A,0,3.0
1ULVA,0,4.0
1LF6A,0,4.0
1KQFA,0,2.0
1H0HA,0,2.0
5IFPA,0,0.0
1TG7A,0,0.0
3OG2A,0,0.0
6Z14JJJ,0,3.0
4ZY9A,0,3.0
4ZZ5A,0,3.0
5NZ7A,0,4.0
2FGEA,0,2.0
3H09B,0,4.0
2IW3A,0,2.0
6I35B,0,4.0
1WYUB,0,4.0
1WYUA,0,4.0
6XWVE,0,0.0
2IVFA,0,2.0
4YDDA,0,2.0
6NPSA,0,3.0
5AB0A,0,0.0
4FKEA,0,0.0
4FYTA,0,0.0
2GAGA,0,3.0
1X31A,0,3.0
1V5VA,0,3.0
3HHDA,0,2.0
6KXDA,0,2.0
6M76A,0,4.0
2OKXA,0,4.0
5WUGA,0,0.0
5K6LA,0,0.0
4Q2CA,0,2.0
4UOJA,0,3.0
6DDTA,0,3.0
4ZMHA,0,4.0
5BY3A,0,4.0
1Q2LA,0,2.0
3EIFA,0,0.0
6IV9A,0,2.0
6W4QA,0,3.0
6WFJAcA,0,4.0
5LIAA,0,4.0
6C01A,0,4.0
5EGHA,0,4.0
5TCDA,0,4.0
5VEOA,0,4.0
4LR2A,0,4.0
2GSOA,0,4.0
6SBQA,0,0.0
5ZI7A,0,0.0
3B34A,0,0.0
4QHPA,0,0.0
6B05A,0,2.0
4KC5A,0,3.0
2WANA,0,2.0
7LSAA,0,2.0
2E8YA,0,2.0
2YA0A,0,2.0
2J73A,0,2.0
1CZAN,0,3.0
3O8MA,0,3.0
1IG8A,0,3.0
6KSRA,0,3.0
3H1VX,0,3.0
1FFYA,0,0.0
1WNYA,0,0.0
4A4AA,0,0.0
4XWHA,0,0.0
4A42A,0,0.0
6GGYA,0,2.0
4USAA,0,3.0
3NVWC,0,3.0
5G5GC,0,3.0
3HRDA,0,3.0
3HRDB,0,3.0
5G5GA,0,3.0
1T3QA,0,3.0
4ZOHC,0,3.0
1N62A,0,3.0
1FFVA,0,3.0
3NVWA,0,3.0
5Y6QA,0,3.0
1RM6C,0,3.0
3HRDD,0,3.0
3QEXA,0,2.0
1NOYA,0,2.0
2EABA,0,4.0
7KMQB,0,4.0
5RW1A,0,0.0
3LPPA,0,2.0
3L4UA,0,2.0
5F0EA,0,2.0
6C9XA,0,2.0
2Y8NA,0,4.0
2WW8A,0,0.0
3TW0A,0,0.0
4AQ1A,0,4.0
2B3YA,0,4.0
1C96A,0,4.0
2G25A,0,0.0
5KDWA,0,0.0
6QUBA,0,2.0
4CU7A,0,2.0
7CWIA,0,2.0
4YPJA,0,2.0
7RSKA,0,2.0
5GZUA,0,4.0
1GOIA,0,4.0
1KFWA,0,4.0
1ITXA,0,4.0
6F8NA,0,4.0
6T9MAAA,0,4.0
6KSTA,0,4.0
3ALFA,0,4.0
3AQUA,0,4.0
4MNMA,0,4.0
6INXA,0,4.0
4XRIA,0,0.0
3ND2A,0,0.0
1IBRB,0,0.0
1H3NA,0,0.0
3ZIUB,0,0.0
3O0AA,0,0.0
2AJGA,0,0.0
7N11A,0,0.0
7BZJA,0,0.0
4PKFA,0,2.0
5I2AA,0,2.0
6LONA,0,2.0
7KQ4A,0,2.0
5YMRA,0,2.0
5FAVA,0,2.0
5A0UA,0,2.0
6XS4A,0,2.0
6VXCA,0,2.0
1R9DA,0,2.0
3S1SA,0,3.0
6LJLA,0,3.0
1VBGA,0,3.0
1KBLA,0,3.0
4V4EA,0,0.0
3UCPA,0,0.0
4BQFB,0,3.0
1C8KA,0,3.0
1FA9A,0,3.0
1L5WA,0,3.0
2C4MA,0,3.0
4L22A,0,3.0
6OQQA,0,4.0
4PABA,0,0.0
1PJ5A,0,0.0
1L5JA,0,4.0
4KP1A,0,4.0
6BYGA,0,0.0
2JE8A,0,0.0
4QNLA,0,4.0
1C7SA,0,2.0
1YGEA,0,4.0
1RRHA,0,4.0
5FJJA,0,0.0
5JU6A,0,0.0
5NBSA,0,0.0
6KJ0A,0,0.0
6JXGA,0,0.0
3ZYZA,0,0.0
3ZEDB,0,2.0
7B9CC,0,2.0
7JVIA,0,3.0
1V0LA,0,3.0
1KNMA,0,3.0
1NQ6A,0,3.0
1V6WA,0,3.0
1V6YA,0,3.0
1W32A,0,3.0
3W25A,0,3.0
3AHCA,0,4.0
3AI7A,0,4.0
6GUAA,0,4.0
3ABZA,0,2.0
4I3GA,0,2.0
5NQDA,0,2.0
1G8KA,0,2.0
3RRSA,0,4.0
3ACTA,0,4.0
3QDEA,0,4.0
7K98B,0,0.0
4J7RA,0,2.0
1BF2A,0,2.0
2WSKA,0,2.0
6DXUB,0,0.0
5Z1AA,0,0.0
6JZ2B,0,0.0
1TMOA,0,4.0
1DMRA,0,4.0
3RRXA,0,2.0
5M6GA,0,2.0
3WLIA,0,2.0
6CZ7A,0,3.0
2VPZA,0,3.0
1F1SA,0,4.0
1N7OA,0,4.0
6P5TA,0,0.0
6NFFA,0,0.0
1LNSA,0,0.0
6EUDA,0,3.0
1N62B,0,4.0
1FFVB,0,4.0
1T3QB,0,4.0
5Y6QC,0,4.0
1RM6A,0,4.0
3CF4A,0,2.0
3ML1A,0,3.0
2NYAA,0,3.0
2NAPA,0,3.0
6MDSA,0,0.0
6KPLA,0,0.0
5NCXA,0,2.0
4ZLFA,0,2.0
5Z9SA,0,0.0
5Z87A,0,0.0
5XXLA,0,0.0
3U4AA,0,0.0
5YOTA,0,0.0
6R5TA,0,0.0
4ZOCA,0,0.0
6P24B,0,2.0
1B7YB,0,2.0
4CJ9A,0,3.0
3V6TA,0,3.0
4HPZA,0,3.0
5GQWA,0,4.0
3K1DA,0,4.0
6JOYA,0,4.0
6D92A,0,2.0
2YEVA,0,2.0
5GSMA,0,3.0
6JOWA,0,3.0
3K57A,0,2.0
6SXHA,0,4.0
6Q7IA,0,2.0
5A7MB,0,2.0
3BZCA,0,3.0
3S9VB,0,4.0
1W0PA,0,3.0
1Z5HA,0,4.0
6EONA,0,0.0
4MADA,0,0.0
4E8DA,0,0.0
6P2KA,0,2.0
4OJ5A,0,3.0
5M45A,0,4.0
2AKAA,0,2.0
3A0OA,0,3.0
7OM3A,0,4.0
5OMVA,0,4.0
1TGOA,0,4.0
1D5AA,0,4.0
2XSGA,0,2.0
1KMOA,0,3.0
6Q63A,0,0.0
6K35A,0,0.0
7CBOA,0,0.0
1JAKA,0,0.0
4C7GA,0,0.0
6JEBA,0,0.0
2F2HA,0,2.0
4K35A,0,3.0
6JP4A,0,2.0
6LCUA,0,3.0
5ZCRA,0,3.0
1IV8A,0,3.0
3HJEA,0,3.0
4ZTYA,0,2.0
1T7LA,0,2.0
4KTPA,0,4.0
3WIRA,0,4.0
6W0PA,0,4.0
1H54B,0,4.0
4WZ8C,0,2.0
3RGZA,0,2.0
5IXOA,0,2.0
4U06A,0,2.0
6W78A,0,2.0
1OGQA,0,2.0
6MVUA,0,3.0
4PXLA,0,3.0
4PZ2B,0,3.0
3U4JA,0,3.0
4QTOA,0,3.0
5KLOA,0,3.0
4U3WA,0,3.0
4I9BA,0,3.0
4I8PA,0,3.0
5A2DA,0,3.0
3IWJA,0,3.0
3IWKA,0,3.0
2O2PA,0,3.0
3R31A,0,3.0
2D4EA,0,3.0
4O5HA,0,3.0
4LIHA,0,3.0
5IUVA,0,3.0
1A4SA,0,3.0
6VR6A,0,3.0
1O04A,0,3.0
7JWSA,0,3.0
5ABMA,0,3.0
