,AC,label-val,cluster,max_ident_other,closest_other
0,6SUPA,0,0.0,0.127,5VYZA
1,6P0XA,0,0.0,0.21,3GKBA
2,5GIKA,0,1.0,0.305,3V30A
3,4ATZD,0,1.0,0.294,3V31A
4,6QFKA,0,1.0,0.18,5X7QA
5,6S9TD,0,1.0,0.268,3MNGA
6,6FP7B,0,1.0,0.322,3V31A
7,6FPAA,0,1.0,0.324,3V30A
8,6S9SF,0,1.0,0.27899999999999997,3V31A
9,6H46B,0,1.0,0.28600000000000003,3V30A
10,5MA4A,0,1.0,0.34299999999999997,1WDYA
11,5LE9A,0,1.0,0.33799999999999997,6CF6A
12,5LW2A,0,1.0,0.313,3V31A
13,5LE8A,0,1.0,0.324,6CF6A
14,5LEBA,0,1.0,0.295,5Y4FA
15,5LEEA,0,1.0,0.285,5Y4FA
16,1N9BA,0,1.0,0.57,6YRSA
17,4ID4A,0,1.0,0.581,6YRSA
18,4DUIA,0,1.0,0.307,3V31A
19,5EYPF,0,1.0,0.319,3V31A
20,5KNGA,0,1.0,0.298,3V31A
21,5OP3A,0,1.0,0.302,3V31A
22,5OOVA,0,1.0,0.313,3V31A
23,5OOYA,0,1.0,0.302,3V31A
24,5OOUA,0,1.0,0.307,3V31A
25,5OP1A,0,1.0,0.313,3V31A
26,4K5AB,0,1.0,0.3,2F8YA
27,5MADA,0,1.0,0.316,3V31A
28,4J7WA,0,1.0,0.313,3V31A
29,1M40A,0,1.0,0.604,6YRSA
30,2V1ZA,0,1.0,0.5720000000000001,6YRSA
31,3TOIA,0,1.0,0.611,6YRSA
32,5AQ8A,0,1.0,0.37200000000000005,6YRSA
33,4K5CA,0,1.0,0.28300000000000003,3V30A
34,4JB8P,0,1.0,0.28800000000000003,3V30A
35,2JABA,0,1.0,0.29100000000000004,5U0IA
36,2Y1LE,0,1.0,0.295,3V31A
37,5ENQD,0,1.0,0.301,3V31A
38,5MBLB,0,1.0,0.293,3V30A
39,4K5BA,0,1.0,0.302,3V31A
40,4YDWA,0,1.0,0.307,3V31A
41,2BKGA,0,1.0,0.29600000000000004,3V31A
42,3ZU7B,0,1.0,0.302,3V31A
43,3Q9NC,0,1.0,0.305,3V31A
44,2XEHA,0,1.0,0.322,3V30A
45,2QYJA,0,1.0,0.29100000000000004,2F8YA
46,2XZDG,0,1.0,0.304,1W4VA
47,5AQ7A,0,1.0,0.377,6YRSA
48,3HG0D,0,1.0,0.292,1W4VA
49,2BKKB,0,1.0,0.285,3V31A
50,1AWCB,0,1.0,0.253,3V31A
51,5MLAB,0,1.0,0.281,2DZNA
52,6D66B,0,1.0,0.297,4DAMA
53,4LSZE,0,1.0,0.302,3V31A
54,2V5QC,0,1.0,0.302,3V31A
55,5OYJA,0,1.0,0.307,3V31A
56,3ZDJA,0,1.0,0.662,6YRSA
57,6SA6A,0,1.0,0.33799999999999997,5MFIA
58,4V3QA,0,1.0,0.603,5MFIA
59,4V3RA,0,1.0,0.531,5MFIA
60,5MFOA,0,1.0,0.574,5MFIA
61,5AEIA,0,1.0,0.545,5MFIA
62,5MFMP,0,1.0,0.44799999999999995,5MFIA
63,4DBAA,0,1.0,0.49200000000000005,5MFIA
64,4DB8A,0,1.0,0.5870000000000001,5MFIA
65,1N0QA,0,1.0,0.264,5U0IA
66,4QFVA,0,1.0,0.354,6XKCA
67,6MOGA,0,1.0,0.292,3V31A
68,2ZGGA,0,1.0,0.278,5DMBD
69,6MOIA,0,1.0,0.35100000000000003,3AJIA
70,6MOEA,0,1.0,0.299,3V30A
71,6MOJA,0,1.0,0.35100000000000003,3AJIA
72,6NE2B,0,1.0,0.326,5CECB
73,6NDZB,0,1.0,0.33899999999999997,5CECB
74,5D66A,0,1.0,0.424,3HRAA
75,2RFMA,0,1.0,0.237,3DEOA
76,5AARA,0,1.0,0.264,3HRAA
77,5JA4D,0,1.0,0.23399999999999999,1UOHA
78,4HI8A,0,1.0,0.263,3V31A
79,5GP7A,0,1.0,0.294,3V31A
80,5HRYA,0,1.0,0.326,3V30A
81,4GMRA,0,1.0,0.316,3V30A
82,4GPMA,0,1.0,0.302,5CECB
83,4HB5A,0,1.0,0.31,3V30A
84,4HQDB,0,1.0,0.303,1UOHA
85,5EILA,0,1.0,0.324,3V30A
86,5HS0A,0,1.0,0.311,3V31A
87,5EIDA,0,1.0,0.371,3L1NA
88,1BD8A,0,1.0,0.261,3V30A
89,1BLXB,0,1.0,0.264,3V30A
90,5BXOA,0,1.0,0.314,3V31A
91,1IHBA,0,1.0,0.285,3V30A
92,6IYBB,0,1.0,0.245,3V30A
93,5Z2NB,0,1.0,0.254,6Q3QA
94,3C5RA,0,1.0,0.253,3V31A
95,3AAAC,0,1.0,0.254,3V30A
96,6JTAA,0,2.0,0.171,1ULVA
97,6G5GB,0,3.0,0.165,5MQRA
98,7OVWAAA,0,3.0,0.239,7JNDA
99,7BY4A,0,3.0,0.201,1JETA
100,1A8DA,0,3.0,0.2,1JETA
101,1Z7HA,0,3.0,0.21,6RIME
102,4EL4A,0,3.0,0.249,6RIME
103,6TWOAAA,0,3.0,0.205,3GRHA
104,5MK6A,0,3.0,0.203,4Z0NA
105,6ES1A,0,3.0,0.226,5JNMA
106,6G8UA,0,3.0,0.225,1VP4A
107,6BVDA,0,3.0,0.205,3JXAB
108,2QN0A,0,3.0,0.204,6RIME
109,1T3CA,0,3.0,0.204,3VOCA
110,7BXXA,0,3.0,0.2,2VH4A
111,1N35A,0,4.0,0.16699999999999998,2FGEA
112,5X7QA,0,2.0,0.183,6M76A
113,5F7UA,0,2.0,0.196,6M76A
114,6JR7A,0,2.0,0.248,7KMPA
115,2W3JA,0,2.0,0.401,2W87A
116,3EGWA,0,4.0,0.284,4YDDA
117,2C42A,0,0.0,0.171,5VYZA
118,6HQ8A,0,4.0,0.18,5MQRA
119,5MSDA,0,0.0,0.18,6J33B
120,6OZ1A,0,0.0,0.228,1MDBA
121,4U7WB,0,0.0,0.245,3W5SA
122,5VYZA,0,4.0,0.177,1X31A
123,2DZDA,0,4.0,0.212,2YW2A
124,4M6VA,0,4.0,0.214,2I4LA
125,1W96C,0,4.0,0.19,3AJ7A
126,1RQBA,0,4.0,0.20199999999999999,4OMFA
127,7KCTA,0,4.0,0.21100000000000002,6IL9A
128,1ULZA,0,4.0,0.23199999999999998,2YW2A
129,2W70A,0,4.0,0.22,2YW2A
130,6OJHA,0,4.0,0.233,4YIWA
131,2VQDA,0,4.0,0.22399999999999998,2YW2A
132,2NX9A,0,4.0,0.214,6AWAA
133,2VPQA,0,4.0,0.203,6AN0A
134,3OUZA,0,4.0,0.204,3GK7A
135,2JKUA,0,4.0,0.35100000000000003,3IHSA
136,5GUAA,0,4.0,0.278,5TVOB
137,5H3ZA,0,2.0,0.191,3Q23A
138,3Q23A,0,0.0,0.191,5H3ZA
139,5MQRA,0,2.0,0.184,7KMPA
140,1BXRA,0,0.0,0.18100000000000002,4CJ9A
141,5N0KA,0,2.0,0.17300000000000001,6LJLA
142,4DX5A,0,0.0,0.192,7KMPA
143,7CZ9A,0,0.0,0.182,2XVLA
144,6J33B,0,2.0,0.184,1ULVA
145,4AIOA,0,2.0,0.191,4PABA
146,3BVXA,0,0.0,0.17800000000000002,6VXCA
147,1K32A,0,2.0,0.177,4DX5A
148,3W5NA,0,0.0,0.207,6ZJSA
149,3KLKA,0,2.0,0.183,6Z14JJJ
150,5JBDA,0,2.0,0.188,1CYGA
151,3AIEA,0,2.0,0.18600000000000003,2EBFX
152,2ZXEA,0,0.0,0.177,1N62B
153,6JXHA,0,0.0,0.168,6I35B
154,3AR4A,0,0.0,0.171,1ULVA
155,6TO1A,0,2.0,0.184,5NBSA
156,4AMWA,0,3.0,0.21600000000000003,5F0EA
157,7M31D,0,0.0,0.172,2B3YA
158,5JCAL,0,0.0,0.21600000000000003,5I9FA
159,4YLFB,0,0.0,0.21100000000000002,5I34A
160,1EP3A,0,0.0,0.29100000000000004,1JUBA
161,5KSWA,0,0.0,0.295,1JUBA
162,1YQ2A,0,2.0,0.192,5Y6QC
163,1JZ8A,0,2.0,0.18600000000000003,6DDTA
164,6ZJSA,0,2.0,0.207,3W5NA
165,3BGAA,0,2.0,0.18899999999999997,3W5NA
166,4HATC,0,3.0,0.175,4PABA
167,1W9CA,0,3.0,0.20199999999999999,1AL3A
168,2XVLA,0,3.0,0.23199999999999998,6JR7A
169,7KMPA,0,3.0,0.248,6JR7A
170,5ZN6A,0,3.0,0.23399999999999999,6JR7A
171,1ULVA,0,4.0,0.19899999999999998,6GGYA
172,1LF6A,0,4.0,0.2,7O77A
173,1KQFA,0,2.0,0.21,2NYAA
174,1H0HA,0,2.0,0.22399999999999998,3ML1A
175,5IFPA,0,0.0,0.187,6IK5A
176,1TG7A,0,0.0,0.21600000000000003,6IK5A
177,3OG2A,0,0.0,0.184,6IK5A
178,6Z14JJJ,0,3.0,0.2,3UCPA
179,4ZY9A,0,3.0,0.3,4LKSA
180,4ZZ5A,0,3.0,0.31,4LKSA
181,5NZ7A,0,4.0,0.188,6GGYA
182,2FGEA,0,2.0,0.185,1ITWA
183,3H09B,0,4.0,0.184,5JBDA
184,2IW3A,0,2.0,0.179,2ZJ8A
185,6I35B,0,4.0,0.188,3UCPA
186,1WYUB,0,4.0,0.217,2DKJA
187,1WYUA,0,4.0,0.245,1B5PA
188,6XWVE,0,0.0,0.171,6J33B
189,2IVFA,0,2.0,0.215,3EGWA
190,4YDDA,0,2.0,0.284,3EGWA
191,6NPSA,0,3.0,0.314,4ZMHA
192,5AB0A,0,0.0,0.23399999999999999,1Z5HA
193,4FKEA,0,0.0,0.245,1Z5HA
194,4FYTA,0,0.0,0.259,1Z5HA
195,2GAGA,0,3.0,0.214,1PJ5A
196,1X31A,0,3.0,0.19399999999999998,4PABA
197,1V5VA,0,3.0,0.4,1YX2A
198,3HHDA,0,2.0,0.198,4KC5A
199,6KXDA,0,2.0,0.39899999999999997,4LS6A
200,6M76A,0,4.0,0.23800000000000002,6JR7A
201,2OKXA,0,4.0,0.196,3W5NA
202,5WUGA,0,0.0,0.2,6Z14JJJ
203,5K6LA,0,0.0,0.184,2XO4A
204,4Q2CA,0,2.0,0.183,3W5NA
205,4UOJA,0,3.0,0.242,6BYGA
206,6DDTA,0,3.0,0.305,6BYGA
207,4ZMHA,0,4.0,0.314,6NPSA
208,5BY3A,0,4.0,0.253,6NPSA
209,1Q2LA,0,2.0,0.188,1X31A
210,3EIFA,0,0.0,0.18600000000000003,5JBDA
211,6IV9A,0,2.0,0.193,4L22A
212,6W4QA,0,3.0,0.20800000000000002,6P5TA
213,6WFJAcA,0,4.0,0.18100000000000002,4AIOA
214,5LIAA,0,4.0,0.185,4FKEA
215,6C01A,0,4.0,0.179,6E4VA
216,5EGHA,0,4.0,0.2,6GMOA
217,5TCDA,0,4.0,0.214,5F7JB
218,5VEOA,0,4.0,0.204,5Z9JA
219,4LR2A,0,4.0,0.204,6SQJB
220,2GSOA,0,4.0,0.226,6NDNA
221,6SBQA,0,0.0,0.185,3K57A
222,5ZI7A,0,0.0,0.198,3AHCA
223,3B34A,0,0.0,0.205,1Z5HA
224,4QHPA,0,0.0,0.18600000000000003,1Z5HA
225,6B05A,0,2.0,0.18600000000000003,7K98B
226,4KC5A,0,3.0,0.198,3HHDA
227,2WANA,0,2.0,0.18,4FKEA
228,7LSAA,0,2.0,0.193,7C7DA
229,2E8YA,0,2.0,0.215,2BHZA
230,2YA0A,0,2.0,0.213,3VGFA
231,2J73A,0,2.0,0.24,2QO4A
232,1CZAN,0,3.0,0.192,4BQ2A
233,3O8MA,0,3.0,0.20800000000000002,2V0HA
234,1IG8A,0,3.0,0.201,1IWPA
235,6KSRA,0,3.0,0.207,3MKHA
236,3H1VX,0,3.0,0.196,1EUHA
237,1FFYA,0,0.0,0.18600000000000003,6M76A
238,1WNYA,0,0.0,0.243,2YVPA
239,4A4AA,0,0.0,0.19899999999999998,6VXCA
240,4XWHA,0,0.0,0.203,6MVUA
241,4A42A,0,0.0,0.331,4A3ZA
242,6GGYA,0,2.0,0.213,3RRSA
243,4USAA,0,3.0,0.226,1T3QB
244,3NVWC,0,3.0,0.247,1T3QB
245,5G5GC,0,3.0,0.377,5Y6QC
246,3HRDA,0,3.0,0.217,3ZLBA
247,3HRDB,0,3.0,0.225,6RVQA
248,5G5GA,0,3.0,0.22899999999999998,2Y44A
249,1T3QA,0,3.0,0.253,5Z2NB
250,4ZOHC,0,3.0,0.228,5BTWA
251,1N62A,0,3.0,0.23,6KN1A
252,1FFVA,0,3.0,0.24,5IU0I
253,3NVWA,0,3.0,0.223,4K4CA
254,5Y6QA,0,3.0,0.22899999999999998,1IWPG
255,1RM6C,0,3.0,0.235,3F9SA
256,3HRDD,0,3.0,0.23199999999999998,6B9XE
257,3QEXA,0,2.0,0.204,1D5AA
258,1NOYA,0,2.0,0.20199999999999999,4UR3A
259,2EABA,0,4.0,0.214,6P5TA
260,7KMQB,0,4.0,0.198,5JS4A
