AC,priority,label-val,between_connectivity,cluster
5D8VA,False,0,0,1.0
3X2MA,False,0,0,1.0
2VB1A,False,0,0,1.0
6S2MA,False,0,0,1.0
1R6JA,False,0,0,1.0
4REKA,False,0,0,1.0
4I8HA,False,0,0,1.0
2OV0A,False,0,0,1.0
2B97A,False,0,0,1.0
3X34A,False,0,0,1.0
7KR0A,False,0,0,1.0
6L27A,False,0,0,4.0
5KWMA,False,0,0,1.0
1GCIA,False,0,0,1.0
7A5MA,False,0,0,1.0
5GV8A,False,0,0,1.0
6ZM8A,False,0,0,1.0
1X6ZA,False,0,0,1.0
5TDAA,False,0,0,1.0
3UI4A,False,0,0,1.0
1PQ7A,False,0,0,1.0
5NFMA,False,0,0,1.0
1W0NA,False,0,0,1.0
2IXTA,False,0,0,1.0
5HB7A,False,0,0,1.0
2H5CA,False,0,0,1.0
1NWZA,False,0,0,1.0
7AVKA,False,0,0,1.0
2JFRA,False,0,0,1.0
2PWAA,False,0,0,1.0
1P9GA,False,0,0,1.0
7BNHA,False,0,0,1.0
2YKZA,False,0,0,1.0
6EIOA,False,0,0,1.0
2HS1A,False,0,0,1.0
4PSSA,False,0,0,1.0
4AYOA,False,0,0,1.0
3O4PA,False,0,0,1.0
6ETLA,False,0,0,4.0
1MC2A,False,0,0,1.0
1X8QA,False,0,0,1.0
7BBXA,False,0,0,1.0
7AOTA,False,0,0,1.0
3QPAA,False,0,0,1.0
5EMBA,False,0,0,1.0
2FMAA,False,0,0,1.0
5XVTA,False,0,0,1.0
4TKBA,False,0,0,1.0
3WDNA,False,0,0,1.0
1MUWA,False,0,0,1.0
5AVDA,False,0,0,1.0
6ZPAA,False,0,0,1.0
2DDXA,False,0,0,1.0
5AKRA,False,0,0,1.0
1V6PA,False,0,0,1.0
5O99A,False,0,0,1.0
1GWEA,False,0,0,1.0
3ZOJA,False,0,0,1.0
4F1VA,False,0,0,1.0
5LP9A,False,0,0,1.0
4U9HL,False,0,0,1.0
4U9HS,False,0,0,1.0
6KFNA,False,0,0,1.0
4O6UA,False,0,0,1.0
5HBSA,False,0,0,1.0
3IP0A,False,0,0,1.0
4WEEA,False,0,0,1.0
4Y9VA,False,0,0,1.0
1G66A,False,0,0,1.0
6FMCA,False,0,0,1.0
4NPDA,False,0,0,1.0
1VYRA,False,0,0,1.0
5AVHA,False,0,0,1.0
5X9LA,False,0,0,1.0
1OEWA,False,0,0,1.0
3VORA,False,0,0,1.0
3G21A,False,0,0,1.0
4CE8A,False,0,0,1.0
5GJIA,False,0,0,1.0
3ZR8X,False,0,0,1.0
4NSVA,False,0,0,1.0
2XU3A,False,0,0,1.0
6LK1A,False,0,0,1.0
1J0PA,False,0,0,1.0
2PVBA,False,0,0,1.0
5A71A,False,0,0,1.0
5IG6A,False,0,0,1.0
3G46A,False,0,0,1.0
5BR4A,False,0,0,1.0
3X0IA,False,0,0,1.0
7P1QA,False,0,0,1.0
5MK9A,False,0,0,1.0
4HNOA,False,0,0,1.0
1IQZA,False,0,0,1.0
6EQEA,False,0,0,1.0
3EA6A,False,0,0,1.0
6HSAA,False,0,0,1.0
2FVYA,False,0,0,1.0
1VB0A,False,0,0,1.0
4G78A,False,0,0,1.0
6UWWA,False,0,0,1.0
1L9LA,False,0,0,1.0
3WGXA,False,0,0,1.0
2PPNA,False,0,0,1.0
6TJ8A,False,0,0,1.0
7MBOA,False,0,0,1.0
6RI6A,False,0,0,1.0
3QL9A,False,0,0,1.0
3M5QA,False,0,0,1.0
5QU8A,False,0,0,1.0
1B0YA,False,0,0,1.0
1KWFA,False,0,0,1.0
2BT9A,False,0,0,1.0
2FDNA,False,0,0,1.0
3QR7A,False,0,0,1.0
2GUDA,False,0,0,1.0
4QB3A,False,0,0,1.0
4MZCA,False,0,0,1.0
4A02A,False,0,0,1.0
1BXOA,False,0,0,1.0
