,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,5D8VA,False,0,0,1.0,0.154,2IJ0C
1,3X2MA,False,0,0,1.0,0.237,4JO1H
2,2VB1A,False,0,0,1.0,0.21600000000000003,3QXTA
3,6S2MA,False,0,0,1.0,0.2,6E20A
4,1R6JA,False,0,0,1.0,0.19,2ZPOA
5,4REKA,False,0,0,1.0,0.145,7KYLH
6,4I8HA,False,0,0,1.0,0.20800000000000002,1OSPH
7,2OV0A,False,0,0,1.0,0.18,5I0ZA
8,2B97A,False,0,0,1.0,0.14400000000000002,4MIDA
9,3X34A,False,0,0,1.0,0.2,1BWVS
10,7KR0A,False,0,0,1.0,0.20600000000000002,2FU0A
11,6L27A,False,0,0,4.0,0.22399999999999998,2GHVC
12,5KWMA,False,0,0,1.0,0.207,2LTNA
13,1GCIA,False,0,0,1.0,0.203,6MVLH
14,7A5MA,False,0,0,1.0,0.19,3D1KB
15,5GV8A,False,0,0,1.0,0.19,1AYM2
16,6ZM8A,False,0,0,1.0,0.204,7CQ0A
17,1X6ZA,False,0,0,1.0,0.185,5DRNB
18,5TDAA,False,0,0,1.0,0.153,1MFAH
19,3UI4A,False,0,0,1.0,0.184,3VVUA
20,1PQ7A,False,0,0,1.0,0.226,4K3DL
21,5NFMA,False,0,0,1.0,0.14800000000000002,1FHJA
22,1W0NA,False,0,0,1.0,0.191,6QN9L
23,2IXTA,False,0,0,1.0,0.179,4X0KA
24,5HB7A,False,0,0,1.0,0.203,3WAMA
25,2H5CA,False,0,0,1.0,0.225,7CQ0A
26,1NWZA,False,0,0,1.0,0.19,1SJXA
27,7AVKA,False,0,0,1.0,0.174,4MIDA
28,2JFRA,False,0,0,1.0,0.209,4ZTPH
29,2PWAA,False,0,0,1.0,0.20199999999999999,1ZANL
30,1P9GA,False,0,0,1.0,0.134,4QFIA
31,7BNHA,False,0,0,1.0,0.185,1Y17A
32,2YKZA,False,0,0,1.0,0.184,6XODA
33,6EIOA,False,0,0,1.0,0.22899999999999998,1MFEL
34,2HS1A,False,0,0,1.0,0.17300000000000001,3STBA
35,4PSSA,False,0,0,1.0,0.205,5KVFL
36,4AYOA,False,0,0,1.0,0.16699999999999998,5B0WA
37,3O4PA,False,0,0,1.0,0.175,5JOPH
38,6ETLA,False,0,0,4.0,0.222,4Z8WA
39,1MC2A,False,0,0,1.0,0.19899999999999998,1B6VA
40,1X8QA,False,0,0,1.0,0.212,4HT1L
41,7BBXA,False,0,0,1.0,0.18899999999999997,3QAPA
42,7AOTA,False,0,0,1.0,0.193,4UOHB
43,3QPAA,False,0,0,1.0,0.20800000000000002,2W7WA
44,5EMBA,False,0,0,1.0,0.209,7K84B
45,2FMAA,False,0,0,1.0,0.14300000000000002,1B6VA
46,5XVTA,False,0,0,1.0,0.10400000000000001,1SBFA
47,4TKBA,False,0,0,1.0,0.198,5U3LB
48,3WDNA,False,0,0,1.0,0.195,3WAMA
49,1MUWA,False,0,0,1.0,0.155,5TIRA
50,5AVDA,False,0,0,1.0,0.218,2FX7H
51,6ZPAA,False,0,0,1.0,0.188,6VRNE
52,2DDXA,False,0,0,1.0,0.196,7K8OH
53,5AKRA,False,0,0,1.0,0.159,6GW4A
54,1V6PA,False,0,0,1.0,0.146,3FF7C
55,5O99A,False,0,0,1.0,0.17800000000000002,4UOHB
56,1GWEA,False,0,0,1.0,0.142,5IYPB
57,3ZOJA,False,0,0,1.0,0.209,5B0WA
58,4F1VA,False,0,0,1.0,0.2,6TMOE
59,5LP9A,False,0,0,1.0,0.209,3GTTA
60,4U9HL,False,0,0,1.0,0.13,6GW4A
61,4U9HS,False,0,0,1.0,0.214,6I9IH
62,6KFNA,False,0,0,1.0,0.207,4OJFH
63,4O6UA,False,0,0,1.0,0.228,3GNMH
