,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,5D8VA,False,0,0,0.0,0.248,4YBBCU
1,3NIRA,False,0,0,1.0,0.22399999999999998,5B66X
2,5NW3A,False,0,0,1.0,0.242,6E6QA
3,1UCSA,False,0,0,0.0,0.244,4P5NA
4,3X2MA,False,0,0,2.0,0.237,4JO1H
5,2VB1A,False,0,0,3.0,0.23600000000000002,6CNWA
6,1US0A,False,0,0,0.0,0.21600000000000003,5VXCA
7,2DSXA,False,0,0,1.0,0.239,2I61A
8,1YK4A,False,0,0,1.0,0.25,1XU1R
9,6E6OA,False,0,0,4.0,0.25,1DJTA
10,6S2MA,False,0,0,1.0,0.24,5HKQA
11,1R6JA,False,0,0,1.0,0.243,3CQBB
12,4REKA,False,0,0,4.0,0.204,6IYRA
13,4I8HA,False,0,0,4.0,0.218,7D9EB
14,2WFIA,False,0,0,1.0,0.24,1FYAA
15,2OV0A,False,0,0,3.0,0.23399999999999999,4Y8AA
16,2B97A,False,0,0,0.0,0.247,5CAIA
17,3X34A,False,0,0,0.0,0.24600000000000002,5J9IA
18,7KR0A,False,0,0,1.0,0.23399999999999999,3E9UA
19,6L27A,False,0,0,0.0,0.22399999999999998,2GHVC
20,5YCEA,False,0,0,0.0,0.23399999999999999,2XKIA
21,5KWMA,False,0,0,4.0,0.22699999999999998,4YYWA
22,1GCIA,False,0,0,0.0,0.237,4TOQA
23,5GV8A,False,0,0,2.0,0.231,2XNJA
24,6ZM8A,False,0,0,0.0,0.207,2JLPA
25,1X6ZA,False,0,0,2.0,0.247,3UPVA
26,4UA6A,False,0,0,1.0,0.228,2HKUA
27,2PVEA,False,0,0,1.0,0.22399999999999998,2CS7A
28,5TDAA,False,0,0,0.0,0.247,7AD7C
29,7AF2AAA,False,0,0,2.0,0.23600000000000002,2BF6A
30,3UI4A,False,0,0,1.0,0.22899999999999998,1SVYA
31,5AL6A,False,0,0,1.0,0.244,1H3OA
32,1PQ7A,False,0,0,4.0,0.226,4K3DL
