,AC,label-val,cluster,max_ident_other,closest_other
0,4ZQVA,0,2.0,0.247,5K2IA
1,4ZQWB,0,2.0,0.245,4D6YA
2,2GKPA,0,2.0,0.23199999999999998,3KK4A
3,4ZQUB,0,2.0,0.24100000000000002,4AXOA
4,3ZDMA,0,1.0,0.264,2EHSA
5,5W60A,0,2.0,0.249,6YLDA
6,5Y8EA,0,2.0,0.22,4PSMA
7,3ZG9B,0,3.0,0.22699999999999998,2FFFB
8,3ZG9A,0,2.0,0.29600000000000004,4GOFA
9,4YIIA,0,3.0,0.278,4IVEA
10,6AQEA,0,1.0,0.265,5LLBA
11,5LC9A,0,1.0,0.263,6DZGA
12,3RHFA,0,1.0,0.251,6DZGA
13,6AU0A,0,1.0,0.292,5LLBA
14,2XLKA,0,3.0,0.23199999999999998,1T9MA
15,6CUJA,0,2.0,0.254,4UYPA
16,5VGUA,0,0.0,0.48,3SSSA
17,4OX6A,0,0.0,0.52,4OX7A
18,6SCRA,0,0.0,0.436,4OX7A
19,6MVJA,0,2.0,0.59,5GM9A
20,5FIDA,0,0.0,0.24600000000000002,1LYQB
21,5TGFA,0,0.0,0.225,3W6ZA
22,6BWRA,0,3.0,0.237,6S09C
23,5T40A,0,3.0,0.319,3ISMA
24,6Y6GA,0,1.0,0.21,1JIXA
25,3OWRA,0,4.0,0.244,3AY2A
26,3DTZD,0,0.0,0.256,5CB8A
27,5KN8A,0,4.0,0.255,1ORNA
28,1MUNA,0,4.0,0.233,1ORNA
29,1KEAA,0,4.0,0.28,2ABKA
30,4YCAB,0,1.0,0.263,3EGOA
31,4OL9A,0,1.0,0.265,2EW2A
32,3HWRA,0,1.0,0.27699999999999997,5ZIKA
33,2IW0A,0,0.0,0.419,7BLYA
34,4YY8B,0,4.0,0.228,6GY5A
35,3LURA,0,4.0,0.215,5Z11A
36,3IMNA,0,4.0,0.22399999999999998,3CX5B
37,5J1KA,0,2.0,0.28300000000000003,3LD2A
38,5DEMA,0,4.0,0.228,6YJHA
39,5F42A,0,4.0,0.23800000000000002,4B2OA
40,1J2ZA,0,4.0,0.218,4K3FA
41,4R37A,0,4.0,0.264,5URPA
42,3T57A,0,4.0,0.209,5CFDB
43,3HSQA,0,4.0,0.21899999999999997,3FS8A
44,4EQYA,0,4.0,0.258,5EJ2A
45,6HY2X,0,4.0,0.225,3RRLB
46,6OSSA,0,4.0,0.23,3FS8A
47,4E6UA,0,4.0,0.222,7AGMA
48,4JQUB,0,3.0,0.281,6SQCB
49,2EWTA,0,4.0,0.31,3PH0C
50,7AAQA,0,3.0,0.185,6KFMA
51,4ZW9A,0,3.0,0.20600000000000002,2O2PA
52,6THAA,0,3.0,0.205,3GIAA
53,3TXSA,0,1.0,0.259,3DE8A
54,3LW6A,0,1.0,0.214,3N8HA
55,6FWTA,0,1.0,0.201,3BUVA
56,1YROB,0,1.0,0.207,6UE0AAA
57,4IRQA,0,1.0,0.223,5ZM4A
58,3GHDA,0,0.0,0.28800000000000003,1KU5A
59,6RP3A,0,3.0,0.278,1FM4A
60,5IP4D,0,3.0,0.235,3EFGA
61,6O2KB,0,0.0,0.22699999999999998,5BUVA
62,5WFYA,0,0.0,0.261,3E17A
63,7AKYA,0,3.0,0.221,6EYUA
64,6JO0A,0,3.0,0.21100000000000002,5AX0A
65,6SQGE,0,3.0,0.24600000000000002,4QI1A
66,2P8IA,0,3.0,0.231,5NSAA
67,2PEBA,0,3.0,0.248,4H60A
68,4YTBA,0,4.0,0.2,4EDPA
69,5XBIB,0,4.0,0.22699999999999998,6I4EG
70,6J4DA,0,3.0,0.243,1BEAA
71,4P3AA,0,1.0,0.244,4I6OA
72,6JV7A,0,1.0,0.265,4I6OA
73,6JV8A,0,1.0,0.28800000000000003,4I6OA
74,4UU9C,0,1.0,0.33299999999999996,4I6OA
75,2VE8A,0,4.0,0.243,1WAAA
76,6EFCA,0,4.0,0.225,1HCZA
77,6EFFA,0,4.0,0.239,6OZBC
78,6EFIA,0,4.0,0.222,3S97C
79,5KIQA,0,4.0,0.222,6ZTBI
80,7BWHA,0,4.0,0.297,3DKMA
81,2RFFA,0,1.0,0.264,3K7CA
82,3BD1A,0,0.0,0.38299999999999995,2PIJA
83,6SQXA,0,4.0,0.248,3M1UB
84,1U7IA,0,1.0,0.24,3H79A
85,3OMSA,0,1.0,0.248,3C9PA
86,6ER1A,0,2.0,0.23600000000000002,3GDJB
87,5U4SB,0,0.0,0.27399999999999997,5WQPA
88,7AAHA,0,1.0,0.233,1Z94B
89,4GUCA,0,1.0,0.271,5T1XA
90,2FTRA,0,3.0,0.244,6QLCA
91,7MJWA,0,3.0,0.20199999999999999,3GG9A
92,4QTCA,0,2.0,0.239,4Z0NA
93,4TXWA,0,3.0,0.244,3KZTA
94,4N3TA,0,0.0,0.282,1TO4A
95,3ISXA,0,1.0,0.253,3CPXA
96,1YLOA,0,1.0,0.22,4NR0A
97,1VHEA,0,1.0,0.226,4CZMA
98,3WVAA,0,0.0,0.231,4PZKA
99,2J5YA,0,1.0,0.28,3CSXA
100,2J73A,0,4.0,0.24,2QO4A
101,5EWYA,0,3.0,0.22399999999999998,5H6MA
102,5ZJ4A,0,3.0,0.22399999999999998,4BK7A
103,6VVFA,0,3.0,0.281,3KH7A
104,6PT8A,0,3.0,0.22699999999999998,6MELA
105,5VGLA,0,2.0,0.24600000000000002,4WEEA
106,3IISM,0,1.0,0.23399999999999999,4UQWA
107,3GO5A,0,3.0,0.22,4NR0A
108,3E2DA,0,4.0,0.276,3A52A
109,3WBHA,0,4.0,0.276,3A52A
110,7BYSA,0,3.0,0.266,6EUFA
111,3NQHA,0,3.0,0.268,6EUFA
112,6VAGA,0,4.0,0.28,4EIJA
113,1DP7P,0,1.0,0.235,4FP5D
114,2O7IA,0,4.0,0.309,4PFYA
115,6WM6A,0,4.0,0.223,6HLXA
116,2X49A,0,0.0,0.218,3MYDA
117,4I6XA,0,2.0,0.273,4ERRA
118,1PVMA,0,1.0,0.22899999999999998,5HGWA
119,3C8CA,0,2.0,0.24600000000000002,6MNIA
120,6IOUA,0,2.0,0.226,6T2TA
121,5LTXA,0,2.0,0.304,6MNIA
122,5LTVD,0,2.0,0.278,7CUOA
123,1T61C,0,0.0,0.23199999999999998,6WKUA
124,1T61A,0,0.0,0.273,6WKUA
125,4OY7A,0,2.0,0.24600000000000002,3RNRB
126,5FJQA,0,2.0,0.239,3DCNA
127,5OPFA,0,2.0,0.243,6A56A
128,4OY6A,0,2.0,0.226,1X92A
129,6NDQA,0,2.0,0.247,7CU9A
130,5UIZA,0,2.0,0.207,2CBZA
131,6IF7A,0,2.0,0.222,6NDTB
132,2O6PA,0,3.0,0.223,3HCZA
133,2PA7A,0,1.0,0.23199999999999998,3KSVA
134,4ZU4A,0,1.0,0.24100000000000002,5UQPA
135,4ZU5A,0,1.0,0.244,2PZZA
136,5TPUA,0,1.0,0.237,3GN9A
137,7N67A,0,1.0,0.282,2P06A
138,5TPVA,0,1.0,0.268,3BCIA
139,3KUVA,0,2.0,0.307,2CWZA
140,1TP6A,0,0.0,0.252,5Z2NB
141,1SJ1A,0,3.0,0.293,1C75A
142,1FXDA,0,3.0,0.317,2FDNA
143,1VJWA,0,3.0,0.344,2FDNA
144,4ID8A,0,3.0,0.27399999999999997,1IQZA
145,1FXRA,0,3.0,0.268,1IQZA
146,1MTPB,0,4.0,0.326,6F4VG
147,6JNJA,0,3.0,0.24600000000000002,4KOAA
148,6XHHA,0,0.0,0.223,5ZBYA
149,5ZOHA,0,0.0,0.266,3HZAA
150,5DFYA,0,0.0,0.32299999999999995,2F3LA
151,6P58A,0,0.0,0.24600000000000002,6HSBA
152,6MGHA,0,0.0,0.268,4BWNA
153,6OZBC,0,0.0,0.259,3ER6A
154,6NQ6B,0,0.0,0.23600000000000002,3EBTA
155,1K2XB,0,0.0,0.239,5LYPA
156,4PV2B,0,0.0,0.22899999999999998,5ONNA
157,1APYB,0,0.0,0.243,6T74A
158,1IG5A,0,4.0,0.348,4CFQB
159,1QX2A,0,4.0,0.37200000000000005,1AVSA
160,1Z3EB,0,4.0,0.36,3K4GA
161,4YFUA,0,3.0,0.20600000000000002,6NPOA
162,6FBCA,0,3.0,0.215,2EQ6A
163,2Z6RA,0,3.0,0.22399999999999998,3CPRA
164,1VHVA,0,3.0,0.243,3K8DA
165,1WDEA,0,3.0,0.245,2ZVCA
166,1SH8A,0,4.0,0.265,1ZKIA
167,4G4XA,0,3.0,0.391,4B5CA
168,2HQSC,0,3.0,0.349,4B5CA
169,4PWTA,0,3.0,0.429,4B5CA
170,6Z30A,0,3.0,0.215,7EAMA
171,2VYOA,0,2.0,0.21899999999999997,3BWKA
172,1HW1A,0,1.0,0.226,3IHUA
173,4P96A,0,1.0,0.23199999999999998,3IHUA
174,5XGFA,0,1.0,0.24600000000000002,3T9WA
175,1EJ0A,0,0.0,0.23399999999999999,3Q87B
176,3QHPA,0,3.0,0.239,1ZD0A
177,3DFGA,0,1.0,0.298,3C1DB
178,1F46A,0,4.0,0.23399999999999999,6IFHA
179,7OC9A,0,4.0,0.242,4LE1A
180,1LMIA,0,3.0,0.24,2DS0A
181,6DKQB,0,3.0,0.24600000000000002,1OSYA
182,3L32A,0,1.0,0.225,5NP5A
183,1INLC,0,0.0,0.214,4QXBA
184,2E5WA,0,0.0,0.221,3QOYA
185,6QMMB,0,0.0,0.212,5JE2A
186,6HY1A,0,0.0,0.214,3UJCA
187,2O07B,0,0.0,0.20199999999999999,4RDZA
188,5B1SA,0,0.0,0.23199999999999998,5IFYA
189,1IY9A,0,0.0,0.223,3GDHA
190,6BQ6A,0,0.0,0.20600000000000002,5DK0B
191,1UIRB,0,0.0,0.214,1WCWA
192,2H8GA,0,3.0,0.252,4L0MA
193,1H32A,0,2.0,0.226,3OA8A
194,2C1DA,0,2.0,0.22699999999999998,3OA8A
195,2WH6A,0,1.0,0.263,3QY3A
196,1PMYA,0,2.0,0.24600000000000002,1BYPA
197,3EF4A,0,2.0,0.275,2ZV3B
198,3ERXA,0,2.0,0.292,1PCSA
199,6IFPA,0,2.0,0.281,1AG6A
200,1PAZA,0,2.0,0.247,3OJ6A
201,3TU6A,0,2.0,0.27,3CVBA
202,3BGUA,0,2.0,0.304,3BF4A
203,3FMBA,0,2.0,0.33299999999999996,1VK8A
204,1SQSA,0,4.0,0.23800000000000002,5NQZA
205,7DIHA,0,0.0,0.258,1WMUA
206,2WY4A,0,0.0,0.247,2OEOA
207,3TM9A,0,0.0,0.261,2BK9A
208,6WK3A,0,0.0,0.264,1WMUA
209,3WFWA,0,0.0,0.255,3EMXA
210,3UBCA,0,0.0,0.26899999999999996,3W4UA
211,4MPMA,0,0.0,0.273,1WMUB
212,1Q1FA,0,0.0,0.271,3AT5B
213,2GDMA,0,0.0,0.263,6N3PA
214,1BINA,0,0.0,0.259,1H8EH
215,2GNVA,0,0.0,0.256,1MBAA
216,2OIFA,0,0.0,0.247,1MBAA
217,3ZHWA,0,0.0,0.252,4B4YA
218,2G29A,0,2.0,0.22,6WY9A
219,2I49A,0,2.0,0.209,4YYFA
220,6LUHA,0,1.0,0.249,3NIQA
221,3VWCA,0,3.0,0.233,2OZ1D
222,3RJPA,0,2.0,0.449,6IS4A
223,2PMUA,0,2.0,0.33,7E92A
224,4U88B,0,2.0,0.29600000000000004,1GXQA
225,4IXAA,0,2.0,0.316,1GXQA
226,2HWVA,0,2.0,0.38,6IS4A
227,5ZA3A,0,2.0,0.379,7CX5A
228,2ZXJA,0,2.0,0.32299999999999995,7E92A
229,6CQGA,0,2.0,0.376,7CX5A
230,2D1VA,0,2.0,0.35100000000000003,4UHTA
231,3CA7A,0,3.0,0.259,3E50C
232,2IXMA,0,3.0,0.21,2XLBA
233,3RY4A,0,3.0,0.253,1OLLA
234,2FCBA,0,3.0,0.244,2WV3A
235,1FNLA,0,3.0,0.228,5OU7A
