AC,label-val,cluster
3NIRA,0,0
3X2MA,0,0
6E6OA,0,0
1R6JA,0,0
4REKA,0,0
1X6ZA,0,0
5AL6A,0,0
5NFMA,0,0
5HB7A,0,0
1NWZA,0,0
1P9GA,0,0
6Q00B,0,0
2FMAA,0,0
6ZPAA,0,0
2DDXA,0,0
4HS1A,0,0
5O99A,0,0
4F1VA,0,0
6KFNA,0,0
4Y9VA,0,0
1G66A,0,0
3VORA,0,0
3G21A,0,0
3ZR8X,0,0
4NSVA,0,0
5A71A,0,0
1IQZA,0,0
1L9LA,0,0
6ZSYA,0,0
1OK0A,0,0
3QL9A,0,0
1B0YA,0,0
3QR7A,0,0
2GUDA,0,0
4QB3A,0,0
2XOMA,0,0
5O2XA,0,0
3S6EA,0,0
3VLAA,0,0
4G9SA,0,0
5AQ0A,0,0
4GA2A,0,0
2RH2A,0,0
1K5CA,0,0
3AGNA,0,0
5JUGA,0,0
6JPTA,0,0
3E4GA,0,0
2XFRA,0,0
1C75A,0,0
1F94A,0,0
3EO6A,0,0
1ZUUA,0,0
4Q4GX,0,0
5XQVA,0,0
1M1QA,0,0
3GOEA,0,0
4MTUA,0,0
1TG0A,0,0
6YP6A,0,0
2V8TA,0,0
4HGUA,0,0
3PSMA,0,0
4WPKA,0,0
2PNEA,0,0
1UNQA,0,0
2ZPMA,0,0
4IAUA,0,0
1MWQA,0,0
2FWHA,0,0
5O45A,0,0
6RK0A,0,0
6RVUA,0,0
6G1IA,0,0
5II8A,0,0
7B1SA,0,0
7B1SB,0,0
4NDSA,0,0
5JDKA,0,0
2GKGA,0,0
7ADRC,0,0
1EB6A,0,0
3AJ4A,0,0
3FYMA,0,0
1GA6A,0,0
4BJ0A,0,0
4ZGFA,0,0
2R31A,0,0
5IQNA,0,0
1TT8A,0,0
5IDBA,0,0
2PNDA,0,0
4YMYA,0,0
5XBUA,0,0
3U7QB,0,0
2QSKA,0,0
4YNHA,0,0
1OD3A,0,0
3RWNA,0,0
5SV5A,0,0
1MN8A,0,0
6GZ8A,0,0
2VHAA,0,0
4AXOA,0,0
6FVIA,0,0
3RQ9A,0,0
7K9CA,0,0
1OAIA,0,0
6NFRA,0,0
1C7KA,0,0
6UKFX,0,0
2QCPX,0,0
3SOJA,0,0
4TXRA,0,0
4TXRC,0,0
7B5WA,0,0
3E7RL,0,0
3ZIYA,0,0
3SK2A,0,0
4BPFA,0,0
6Z5YA,0,0
3NBCA,0,0
6Y4EA,0,0
6QAZA,0,0
1I27A,0,0
1RW1A,0,0
1CC8A,0,0
5AOTA,0,0
5YDEA,0,0
5M17A,0,0
3W07A,0,0
4WX4A,0,0
3O1NA,0,0
1XQOA,0,0
