,AC,label-val,cluster,max_ident_other,closest_other
0,3NIRA,0,0,0.263,5BXVB
1,3X2MA,0,0,0.225,4HFKA
2,6E6OA,0,0,0.239,5E8JC
3,1R6JA,0,0,0.264,6AK2B
4,4REKA,0,0,0.213,4QI5A
5,1X6ZA,0,0,0.263,6BBKA
6,5AL6A,0,0,0.259,5N7FC
7,5NFMA,0,0,0.245,6VD8A
8,5HB7A,0,0,0.231,5V8WD
9,1NWZA,0,0,0.431,1MZUB
10,1P9GA,0,0,0.265,6AY8A
11,6Q00B,0,0,0.292,5XYFB
12,2FMAA,0,0,0.253,4LB6B
13,6ZPAA,0,0,0.23,5UFTA
14,2DDXA,0,0,0.21100000000000002,4MJ3A
15,4HS1A,0,0,0.304,1TTZA
16,5O99A,0,0,0.275,2BZYA
17,4F1VA,0,0,0.256,4LVQA
18,6KFNA,0,0,0.225,5C8ZA
19,4Y9VA,0,0,0.195,2X3HA
20,1G66A,0,0,0.214,3WY8A
21,3VORA,0,0,0.22699999999999998,2G7GA
22,3G21A,0,0,0.242,6GZAA
23,3ZR8X,0,0,0.266,3ZRGA
24,4NSVA,0,0,0.231,3MI02
25,5A71A,0,0,0.23600000000000002,7V6DA
26,1IQZA,0,0,0.28,7M1OA
27,1L9LA,0,0,0.23399999999999999,2UWJE
28,6ZSYA,0,0,0.247,5VMDA
29,1OK0A,0,0,0.23,2X9AA
30,3QL9A,0,0,0.22699999999999998,5D5PA
31,1B0YA,0,0,0.231,3BP3A
32,3QR7A,0,0,0.244,3BEYA
33,2GUDA,0,0,0.242,3DKZA
34,4QB3A,0,0,0.262,3TLPA
35,2XOMA,0,0,0.23800000000000002,3MAZA
36,5O2XA,0,0,0.273,5NLTA
37,3S6EA,0,0,0.24600000000000002,6R6MA
38,3VLAA,0,0,0.205,6XI3AAA
39,4G9SA,0,0,0.24100000000000002,1RLHA
40,5AQ0A,0,0,0.265,4MLSA
41,4GA2A,0,0,0.237,4GKFA
42,2RH2A,0,0,0.242,5ZKTA
43,1K5CA,0,0,0.242,4C2LA
44,3AGNA,0,0,0.22899999999999998,1JBSA
45,5JUGA,0,0,0.223,4E2AA
46,6JPTA,0,0,0.22699999999999998,5B3IA
47,3E4GA,0,0,0.222,4XWJA
48,2XFRA,0,0,0.259,1VEMA
49,1C75A,0,0,0.25,6TP9A
50,1F94A,0,0,0.28800000000000003,4RUDA
51,3EO6A,0,0,0.25,2OPKA
52,1ZUUA,0,0,0.254,2FPEA
53,4Q4GX,0,0,0.209,3U7VA
54,5XQVA,0,0,0.253,6BJ5F
55,1M1QA,0,0,0.239,1RWJA
56,3GOEA,0,0,0.29600000000000004,3D3RA
57,4MTUA,0,0,0.222,2PT7G
58,1TG0A,0,0,0.256,4Z8AA
59,6YP6A,0,0,0.22699999999999998,4J1TC
60,2V8TA,0,0,0.207,2C0GA
61,4HGUA,0,0,0.255,5OYLD
62,3PSMA,0,0,0.26,5KI9A
63,4WPKA,0,0,0.23800000000000002,4OD8A
64,2PNEA,0,0,0.203,4OW1A
65,1UNQA,0,0,0.231,1U29A
66,2ZPMA,0,0,0.23199999999999998,5FO5A
67,4IAUA,0,0,0.226,3HM0A
68,1MWQA,0,0,0.28300000000000003,2HL7A
69,2FWHA,0,0,0.255,5DA5A
70,5O45A,0,0,0.293,4GOSA
71,6RK0A,0,0,0.218,4G6QA
72,6RVUA,0,0,0.258,4C76A
73,6G1IA,0,0,0.205,3IHUA
74,5II8A,0,0,0.231,4IP8A
75,7B1SA,0,0,0.19399999999999998,5NO8A
76,7B1SB,0,0,0.203,2D1CA
77,4NDSA,0,0,0.245,3I71A
78,5JDKA,0,0,0.23199999999999998,2X5HA
79,2GKGA,0,0,0.276,3CG0A
80,7ADRC,0,0,0.23399999999999999,2O71A
81,1EB6A,0,0,0.235,3HE0C
82,3AJ4A,0,0,0.235,1F39A
83,3FYMA,0,0,0.21100000000000002,1OO0A
84,1GA6A,0,0,0.203,4O98A
85,4BJ0A,0,0,0.249,6XNRAAA
86,4ZGFA,0,0,0.23600000000000002,4L3RA
87,2R31A,0,0,0.24100000000000002,6VW8A
88,5IQNA,0,0,0.23600000000000002,1N12A
89,1TT8A,0,0,0.22399999999999998,3E39A
90,5IDBA,0,0,0.22399999999999998,6AR4A
91,2PNDA,0,0,0.273,2JJSC
92,4YMYA,0,0,0.22399999999999998,4BHQA
93,5XBUA,0,0,0.226,4EGGA
94,3U7QB,0,0,0.193,5B46A
95,2QSKA,0,0,0.23600000000000002,1ICFI
96,4YNHA,0,0,0.267,4PVZC
97,1OD3A,0,0,0.34,2CDPA
98,3RWNA,0,0,0.23399999999999999,3V4DD
99,5SV5A,0,0,0.23399999999999999,3JQWA
100,1MN8A,0,0,0.225,2DUYA
101,6GZ8A,0,0,0.23199999999999998,6IC9A
102,2VHAA,0,0,0.228,1XT8A
103,4AXOA,0,0,0.244,4GOSA
