AC,label-val,cluster
2NQCA,0,0
1CJXA,0,0
2WJ5A,0,0
6T40A,0,0
4CHDA,0,0
3FJVA,0,0
7JH4A,0,0
2NX2A,0,0
4LA2A,0,0
6XTDAAA,0,0
3ENUA,0,0
3ILSA,0,0
5HWAA,0,0
2YXOA,0,0
1L8DA,0,0
5CYBA,0,0
3N2OA,0,0
7COHI,0,0
6GI4B,0,0
5XLSA,0,0
4YEPA,0,0
2V94A,0,0
5TUUB,0,0
3CP7A,0,0
4DV8A,0,0
3AJ1A,0,0
6TD7A,0,0
5OARA,0,0
3H09B,0,0
4G7VS,0,0
1YIXA,0,0
1K4ZA,0,0
4OI4B,0,0
3NO2A,0,0
1KWFA,0,0
3OT2A,0,0
1KPTA,0,0
3RGZA,0,0
1KNRA,0,0
6VDQA,0,0
3IRAA,0,0
5JMBA,0,0
6L2WB,0,0
6FAKA,0,0
2W5ZA,0,0
6TMEA,0,0
1A2XB,0,0
3SXNA,0,0
1MSCA,0,0
5ZI9A,0,0
4CV7A,0,0
2BJ0A,0,0
4WANA,0,0
5DWAA,0,0
2QDQA,0,0
1PM4A,0,0
1BD8A,0,0
3I3FA,0,0
6C62C,0,0
4NC2A,0,0
5E8JC,0,0
3HVQC,0,0
4R2HA,0,0
7BWNB,0,0
4YBBAN,0,0
5W0NA,0,0
4XB6D,0,0
3BXOA,0,0
1XU1R,0,0
6WINA,0,0
2G84A,0,0
1I5RA,0,0
2OKQA,0,0
2DYIA,0,0
4YOKA,0,0
4GEHD,0,0
1U5DA,0,0
4QBOA,0,0
3O53A,0,0
6DLLA,0,0
4ZSXA,0,0
6S4MA,0,0
3GVOA,0,0
2HP4A,0,0
4MY5A,0,0
3FYMA,0,0
3H0OA,0,0
7B0PA,0,0
6I18A,0,0
6JP4A,0,0
6CCGA,0,0
1VQOS,0,0
6DQHA,0,0
3PVTA,0,0
5NH1A,0,0
5EIDA,0,0
3B9WA,0,0
3K7DA,0,0
2H9AA,0,0
4ES7A,0,0
7EIJA,0,0
1EI5A,0,0
4BL0E,0,0
4EDPA,0,0
6FX6A,0,0
3N28A,0,0
4LRKA,0,0
3MVAO,0,0
5MVWC,0,0
2QV6A,0,0
1R7LA,0,0
2B3JA,0,0
3OLJA,0,0
3WVQA,0,0
4O8BA,0,0
2OX1A,0,0
2BKAA,0,0
5JS4A,0,0
4D06A,0,0
5MKWA,0,0
1LLMC,0,0
1U7PA,0,0
7JNDA,0,0
2XUVA,0,0
2I2CA,0,0
3IISM,0,0
6TJ6A,0,0
6ES9A,0,0
4UC1A,0,0
2J2ZB,0,0
2YMYA,0,0
2V2KA,0,0
6S9TA,0,0
2XHAA,0,0
5EK5A,0,0
4YBBC4,0,0
3FLVA,0,0
4KKRB,0,0
6G26E,0,0
3RQ9A,0,0
2IMJA,0,0
2E87A,0,0
4Q95A,0,0
2D4UA,0,0
6E0KA,0,0
3HZPA,0,0
6FZEB,0,0
2JDCA,0,0
5OXZA,0,0
4HWMA,0,0
5DMAA,0,0
2H0EB,0,0
1AHSA,0,0
6SDUA,0,0
1C75A,0,0
7ALBA,0,0
1A92A,0,0
4YBBCX,0,0
2FQPA,0,0
4EV1A,0,0
5L19A,0,0
4QICB,0,0
3TE8A,0,0
7S13C,0,0
6K8EA,0,0
4XZ7B,0,0
1F2UA,0,0
4ODRA,0,0
3F7EA,0,0
3D8PB,0,0
2H0DB,0,0
3RMIA,0,0
2I88A,0,0
2XI8A,0,0
2HRBA,0,0
5U96A,0,0
1JJIA,0,0
4A8XB,0,0
6TZXA,0,0
5WWLM,0,0
7EVSA,0,0
1O22A,0,0
4C7AA,0,0
3BQAA,0,0
3T33A,0,0
1N7UA,0,0
5XUMA,0,0
1EI9A,0,0
6K82B,0,0
6HHEA,0,0
6TL1A,0,0
2I74A,0,0
2A9IA,0,0
5VJIA,0,0
6P20D,0,0
4A69A,0,0
1YTFC,0,0
3G2BA,0,0
4XFRA,0,0
1BXCA,0,0
3OT9A,0,0
3IM1A,0,0
3BCYA,0,0
3W6BA,0,0
3E19B,0,0
2RA6A,0,0
3RJUA,0,0
7DBEB,0,0
1HTRP,0,0
3F4WA,0,0
3HYQA,0,0
3QOOA,0,0
2A6SA,0,0
3C25A,0,0
1M2KA,0,0
5NL1A,0,0
2RGQA,0,0
2YYSA,0,0
3W4RA,0,0
2QJBC,0,0
5BMQA,0,0
3RAGA,0,0
6DLMA,0,0
2VLAA,0,0
4NTKA,0,0
5CKLA,0,0
4GQOA,0,0
3GO5A,0,0
3QQ6A,0,0
6IL9A,0,0
3I0YA,0,0
7NZJA,0,0
6NEPB,0,0
6DKNA,0,0
3BASA,0,0
3HRVA,0,0
3ONRA,0,0
1VJQA,0,0
3K7XA,0,0
4ATHA,0,0
5F2KA,0,0
1QUUA,0,0
4YBAA,0,0
2JEKA,0,0
5JXCA,0,0
7LGAA,0,0
3CB6A,0,0
5J28C,0,0
2OGFA,0,0
5Z6DA,0,0
7NNIA,0,0
6ZEGC,0,0
4ZFLA,0,0
2R78A,0,0
5XTUA,0,0
4F0ZC,0,0
3U0CA,0,0
3MGKA,0,0
3VQFA,0,0
2JJSC,0,0
3C1DB,0,0
5UG7A,0,0
5Y6QB,0,0
4JMNA,0,0
2GGOA,0,0
5T2PB,0,0
4GZCA,0,0
5OW2A,0,0
2EPIA,0,0
2NNNA,0,0
2PK8A,0,0
4OWWB,0,0
5Z9ZA,0,0
7BU0A,0,0
5UPTA,0,0
4C69X,0,0
3FBLA,0,0
3DCLA,0,0
3E8PA,0,0
4R75A,0,0
7DCKA,0,0
1W66A,0,0
2VKRA,0,0
5DTHC,0,0
3SHGB,0,0
1L3AA,0,0
5TW4A,0,0
2VACA,0,0
2NV4A,0,0
1EL6A,0,0
5K0PA,0,0
6LP4A,0,0
1U2WB,0,0
