,AC,label-val,cluster,max_ident_other,closest_other
0,2NQCA,0,0,0.268,5FJLA
1,1CJXA,0,0,0.295,1T47A
2,2WJ5A,0,0,0.449,3N3EA
3,6T40A,0,0,0.20800000000000002,4RU1A
4,4CHDA,0,0,0.221,5E3EB
5,3FJVA,0,0,0.233,2HYJA
6,7JH4A,0,0,0.222,6DCJA
7,2NX2A,0,0,0.21600000000000003,1YNBA
8,4LA2A,0,0,0.247,4QFVA
9,6XTDAAA,0,0,0.289,6ZCOA
10,3ENUA,0,0,0.22899999999999998,4ORLA
11,3ILSA,0,0,0.21100000000000002,6Y5UA
12,5HWAA,0,0,0.21100000000000002,4CFIA
13,2YXOA,0,0,0.247,1UB3A
14,1L8DA,0,0,0.272,1GO3F
15,5CYBA,0,0,0.223,6NFRA
16,3N2OA,0,0,0.184,6THKA
17,7COHI,0,0,0.231,6AKMA
18,6GI4B,0,0,0.239,3AKCA
19,5XLSA,0,0,0.213,2GRUA
20,4YEPA,0,0,0.215,3EY5A
21,2V94A,0,0,0.24100000000000002,1HB6A
22,5TUUB,0,0,0.24600000000000002,2VC8A
23,3CP7A,0,0,0.22699999999999998,6IBUA
24,4DV8A,0,0,0.214,6S9VB
25,3AJ1A,0,0,0.259,1Q4UA
26,6TD7A,0,0,0.242,4UQZB
27,5OARA,0,0,0.287,4YH8B
28,3H09B,0,0,0.183,6W4QA
29,4G7VS,0,0,0.23800000000000002,6IWBA
30,1YIXA,0,0,0.222,2Z6RA
31,1K4ZA,0,0,0.233,1IFGA
32,4OI4B,0,0,0.266,4GIOA
33,3NO2A,0,0,0.21100000000000002,2FT0A
34,1KWFA,0,0,0.226,5GY3A
35,3OT2A,0,0,0.265,6OKHA
36,1KPTA,0,0,0.263,4ZKAA
37,3RGZA,0,0,0.19899999999999998,1KMOA
38,1KNRA,0,0,0.20199999999999999,6C6NA
39,6VDQA,0,0,0.233,3GAZA
40,3IRAA,0,0,0.225,1TUAA
41,5JMBA,0,0,0.233,2HLQA
42,6L2WB,0,0,0.248,3GPVA
43,6FAKA,0,0,0.185,3C8YA
44,2W5ZA,0,0,0.237,3F9XA
45,6TMEA,0,0,0.21100000000000002,1OGQA
46,1A2XB,0,0,0.294,4GF3B
47,3SXNA,0,0,0.252,4MY0A
48,1MSCA,0,0,0.22399999999999998,3NKLA
49,5ZI9A,0,0,0.235,5MXPA
50,4CV7A,0,0,0.226,6BEVA
