,AC,label-val,cluster,max_ident_other,closest_other
0,ALWT01218792.1_166-923,6,0.0,0.585,AAPE02052408.1_657-30
1,MNVJ01000003.1_28487-27744,4,0.0,0.433,MTEM01000099.1_17879-17216
2,MTEM01000099.1_17879-17216,4,1.0,0.679,MGPH01000007.1_42784-42135
3,MGPH01000007.1_42784-42135,4,2.0,0.679,MTEM01000099.1_17879-17216
4,ALWS01074621.1_1-430,6,1.0,0.617,AAPE02052408.1_657-30
5,GK000005.2_111201286-111200679,6,1.0,0.8440000000000001,AAPE02052408.1_657-30
6,M12783.1_288-917,6,1.0,0.6940000000000001,AAPE02052408.1_657-30
7,CM000237.2_107887803-107887202,6,1.0,0.782,AAPE02052408.1_657-30
8,CM001384.3_134989118-134988511,6,1.0,0.85,AAPE02052408.1_657-30
9,CM000572.1_34443960-34443346,6,1.0,0.818,AAPE02052408.1_657-30
10,AFSB01057180.1_1639-1205,6,1.0,0.586,AAPE02052408.1_657-30
11,K01918.1_1-523,6,1.0,0.611,AAPE02052408.1_657-30
12,AAPE02052408.1_657-30,6,2.0,0.85,CM001384.3_134989118-134988511
13,AB020565.1_165-736,6,3.0,0.43799999999999994,AY593834.1_631-1092
14,AB020569.1_165-736,6,3.0,0.441,AY593834.1_631-1092
15,X75214.1_119-690,6,3.0,0.43799999999999994,AF511039.1_582-1038
16,AB020567.1_165-736,6,3.0,0.45,AF511039.1_582-1038
17,X70846.1_143-709,6,3.0,0.449,AY593834.1_631-1092
18,M14707.1_166-737,6,3.0,0.433,AWHE01038644.1_438-958
19,JRRC01334577.1_3045-3608,4,3.0,0.731,AGCT01072505.1_39590-39087
20,CM003253.1_10812508-10812812,4,3.0,0.6709999999999999,CM003275.1_8391654-8391336
21,CM003265.1_60791165-60790860,4,3.0,0.815,CM003275.1_8391654-8391336
22,JRRC01526331.1_1696-2259,4,3.0,0.731,AGCT01072505.1_39590-39087
23,JRRC01467658.1_3773-4336,4,3.0,0.731,AGCT01072505.1_39590-39087
24,CM003251.1_10727151-10727457,4,3.0,0.816,CM003275.1_8391654-8391336
25,JRRC01488363.1_535-228,4,3.0,0.821,CM003275.1_8391654-8391336
26,JRRC01522035.1_2771-3334,4,3.0,0.731,AGCT01072505.1_39590-39087
27,JRRC01422147.1_8874-8311,4,3.0,0.731,AGCT01072505.1_39590-39087
28,JRRC01344218.1_5173-5478,4,3.0,0.777,CM003275.1_8391654-8391336
29,NC_007944.1_50272-50827,4,3.0,0.7390000000000001,AGCT01072505.1_39590-39087
30,JRRC01267539.1_5061-4498,4,3.0,0.731,AGCT01072505.1_39590-39087
31,ALYE01008165.1_85471-85698,4,3.0,0.696,CM001221.2_28712846-28712612
32,JRRC01237198.1_10629-10066,4,3.0,0.731,AGCT01072505.1_39590-39087
33,JRRC01504207.1_2881-2318,4,3.0,0.731,AGCT01072505.1_39590-39087
34,CM001744.1_59302448-59302714,4,3.0,0.747,CM003275.1_8391654-8391336
35,KQ058966.1_485763-485208,4,3.0,0.7390000000000001,AGCT01072505.1_39590-39087
36,JRRC01531705.1_1230-667,4,3.0,0.731,AGCT01072505.1_39590-39087
37,JRRC01085914.1_1695-2258,4,3.0,0.731,AGCT01072505.1_39590-39087
38,JRRC01030765.1_1710-2017,4,3.0,0.821,CM003275.1_8391654-8391336
39,JRRC01361780.1_370-933,4,3.0,0.731,AGCT01072505.1_39590-39087
40,CM003269.1_19983206-19983511,4,3.0,0.79,CM003275.1_8391654-8391336
41,JRRC01430058.1_6905-7212,4,3.0,0.821,CM003275.1_8391654-8391336
42,KK198759.1_30374899-30374604,4,3.0,0.677,CM009299.1_8334374-8334641
43,CM003274.1_25786994-25787158,4,3.0,0.6890000000000001,CAJW011090008.1_144-1
44,JRRC01095571.1_27071-27634,4,3.0,0.731,AGCT01072505.1_39590-39087
45,JRRC01427709.1_1246-1809,4,3.0,0.731,AGCT01072505.1_39590-39087
46,KI535794.1_2227-1687,4,4.0,0.738,GL348714.1_9147986-9148476
47,KI536768.1_7423-7963,4,4.0,0.738,GL348714.1_9147986-9148476
48,KI536643.1_7072-6533,4,4.0,0.735,GL348714.1_9147986-9148476
49,X55026.1_74595-75133,4,0.0,0.45299999999999996,NC_007944.1_50272-50827
50,CAUH01012624.1_134-666,4,1.0,0.45,MJEQ01002491.1_141692-141211
51,CAJW011272775.1_47-272,4,2.0,0.754,CM001221.2_28712846-28712612
52,CM003536.1_20828050-20828572,4,2.0,0.787,CM000762.3_28832392-28832825
53,CM000134.1_17014620-17014863,4,2.0,0.664,CM000881.2_9233478-9233190
54,ADWL01020611.1_9248-8723,4,2.0,0.774,CM000762.3_28832392-28832825
55,AOTI010623113.1_3741-3488,4,2.0,0.759,CM007647.1_26696838-26697104
56,CAJW011174955.1_200-403,4,2.0,0.7170000000000001,CM001221.2_28712846-28712612
57,AY522330.1_46574-47099,4,2.0,0.774,CM000762.3_28832392-28832825
58,CAJW011551023.1_1-222,4,2.0,0.742,CM001221.2_28712846-28712612
59,CAJW011090008.1_144-1,4,2.0,0.713,AWHE01009050.1_5742-5910
60,FAOM01092982.1_187301-187188,4,2.0,0.688,ASAF01096138.1_3740-3840
61,FAOM01178220.1_63337-63601,4,2.0,0.78,CM007647.1_26696838-26697104
62,AY522329.1_46521-47046,4,2.0,0.774,CM000762.3_28832392-28832825
63,AAAA02042497.1_3948-3423,4,2.0,0.774,CM000762.3_28832392-28832825
64,AWHE01038644.1_438-958,4,0.0,0.467,KU878088.1_174080-174464
65,AASG02006511.1_14669-14153,4,1.0,0.777,MJEQ01002491.1_141692-141211
66,LCIJ01000007.1_6962-7468,4,0.0,0.473,CM001074.2_14959757-14959277
67,CM001221.2_28712846-28712612,4,1.0,0.754,CAJW011272775.1_47-272
68,AGCT01072505.1_39590-39087,4,1.0,0.8,MJEQ01002491.1_141692-141211
69,GL348714.1_9147986-9148476,4,1.0,0.7829999999999999,MJEQ01002491.1_141692-141211
70,ATGF01025352.1_73815-73330,4,1.0,0.8029999999999999,AM087200.3_48391-48872
71,JQ691613.1_167-665,6,4.0,0.43200000000000005,AJ005695.1_232-698
72,AC157217.2_147923-147426,6,0.0,0.45899999999999996,BC001936.1_27-396
73,AAGV020630258.1_3728-3245,6,0.0,0.483,AANU01165073.1_8677-8308
74,S81809.1_991-1486,6,0.0,0.45899999999999996,AANU01165073.1_8677-8308
75,KJ158169.1_330-826,6,2.0,0.47100000000000003,AF308157.1_595-1057
76,X96871.1_402-893,6,4.0,0.5379999999999999,AY593847.1_545-1003
77,AF361253.1_413-905,6,4.0,0.5579999999999999,AY593844.1_597-1056
78,MJEQ01002491.1_141692-141211,4,4.0,0.82,KL543743.1_15796-15386
79,CM002823.1_14057695-14058179,4,4.0,0.764,KL543743.1_15796-15386
80,AM087200.3_48391-48872,4,4.0,0.8240000000000001,KL543743.1_15796-15386
81,CM001074.2_14959757-14959277,4,4.0,0.77,KL543743.1_15796-15386
82,CM001064.2_87031602-87031349,4,4.0,0.708,CM001064.2_54340316-54340074
83,CM001064.2_1843828-1844309,4,4.0,0.8240000000000001,KL543743.1_15796-15386
84,CM007402.1_38842528-38842047,4,4.0,0.82,KL543743.1_15796-15386
85,CM000378.2_105350344-105349860,6,2.0,0.368,AC157217.2_147923-147426
86,DS231662.1_94240-94716,4,0.0,0.494,KB445594.1_6548-6259
87,AJ005695.1_232-698,6,2.0,0.49700000000000005,AF308157.1_595-1057
88,MNWC01000040.1_33682-33218,4,0.0,0.484,ATGF01025352.1_73815-73330
89,ALWZ044432980.1_1-132,4,0.0,0.527,FAOM01092982.1_187301-187188
90,ALWZ046010284.1_1569-1106,4,0.0,0.63,GL348714.1_9147986-9148476
91,ALWZ045859237.1_143-416,4,0.0,0.652,CM007647.1_26696838-26697104
92,ALWZ042320844.1_603-933,4,0.0,0.5670000000000001,CCCW010037766.1_21668-21371
93,AY312589.1_250-712,6,4.0,0.835,AY593844.1_597-1056
94,AY593778.1_631-1092,6,4.0,0.8109999999999999,AY593844.1_597-1056
95,AY686687.1_621-1083,6,4.0,0.813,AY593844.1_597-1056
96,AY593782.1_628-1086,6,4.0,0.8109999999999999,AY593844.1_597-1056
97,Y17974.1_205-665,6,4.0,0.838,AY593844.1_597-1056
98,AF511039.1_582-1038,6,4.0,0.818,AJ251473.1_214-672
99,AY312587.1_249-708,6,4.0,0.8290000000000001,AY593844.1_597-1056
100,AY593776.1_589-1047,6,4.0,0.828,AY593844.1_597-1056
101,AY593806.1_631-1092,6,4.0,0.8240000000000001,AY593844.1_597-1056
102,AY593828.1_589-1050,6,4.0,0.81,AY593844.1_597-1056
103,AY593770.1_545-1005,6,4.0,0.812,AY593844.1_597-1056
104,D10144.1_253-713,6,4.0,0.802,AY593844.1_597-1056
105,AJ251476.1_211-672,6,4.0,0.805,AY593844.1_597-1056
106,AY593772.1_588-1049,6,4.0,0.8109999999999999,AY593844.1_597-1056
107,AY359854.1_546-1007,6,4.0,0.81,AY593844.1_597-1056
108,AF274010.1_577-1038,6,4.0,0.799,AY593844.1_597-1056
109,AF308157.1_595-1057,6,4.0,0.648,AY593844.1_597-1056
110,AY593826.1_597-1056,6,4.0,0.831,AY593844.1_597-1056
111,AY593810.1_557-1017,6,4.0,0.802,AY593844.1_597-1056
112,AY593774.1_596-1054,6,4.0,0.845,AY593844.1_597-1056
113,AY593791.1_697-1157,6,4.0,0.823,AY593844.1_597-1056
114,AY593834.1_631-1092,6,4.0,0.826,AY593844.1_597-1056
115,AY593796.1_634-1095,6,4.0,0.812,AY593844.1_597-1056
