AC,priority,label-val,between_connectivity,cluster
ALWZ045848916.1_423-540,False,0,0,0.0
CM002888.2_49346372-49346254,False,0,0,1.0
CM002889.2_6705620-6705734,False,0,0,2.0
ALWS01099705.1_41386-41504,False,0,0,1.0
HE587305.1_2589949-2589831,False,0,0,3.0
LJIZ01000034.1_63135-63020,False,0,0,4.0
GG666532.1_339781-339663,False,0,0,3.0
ALWS01108704.1_44678-44559,False,0,0,1.0
X06056.1_924-806,False,0,0,4.0
APWO02001413.1_3968-4084,False,0,0,1.0
AFYH01228503.1_4884-4769,False,0,0,1.0
JH835983.1_962511-962616,False,0,0,1.0
CM001420.1_12764589-12764478,False,0,0,2.0
KN150479.1_10965-10852,False,0,0,3.0
NIDE01000015.1_51061-51169,False,0,0,3.0
JXRU01000032.1_66-182,False,0,0,3.0
AFYH01001579.1_21413-21518,False,0,0,1.0
CP009922.2_2414771-2414655,False,0,0,3.0
ALWS01093046.1_41504-41383,False,0,0,1.0
LFJF01048717.1_6002-5884,False,0,0,4.0
AFYH01018453.1_160-278,False,0,0,3.0
KV454539.1_823215-823095,False,0,0,4.0
AFYH01004526.1_7361-7480,False,0,0,4.0
ALWS01034753.1_3246-3128,False,0,0,1.0
ALWZ042914886.1_530-643,False,0,0,4.0
ALWZ045395737.1_390-508,False,0,0,0.0
AACT01036488.1_598-716,False,0,0,3.0
CM001406.1_27311256-27311374,False,0,0,2.0
CAJI01007523.1_39530-39641,False,0,0,0.0
ALWS01049680.1_3765-3883,False,0,0,1.0
AZAQ01003214.1_84171-84289,False,0,0,4.0
CM000669.2_116944414-116944280,False,0,0,3.0
CM000883.2_23446755-23446873,False,0,0,0.0
ALWZ045862116.1_11130-11009,False,0,0,4.0
GL870884.1_43243-43125,False,0,0,3.0
ALWS01019225.1_11756-11638,False,0,0,1.0
ALWS01013700.1_8717-8832,False,0,0,1.0
LSRQ01006378.1_1822-1940,False,0,0,0.0
LXWW01000554.1_85380-85262,False,0,0,3.0
KQ972928.1_14211-14329,False,0,0,4.0
GL984363.1_23877-23759,False,0,0,3.0
FAOM01397548.1_3193-3075,False,0,0,0.0
GG738850.1_466426-466544,False,0,0,2.0
CM001411.1_27136430-27136312,False,0,0,2.0
ALYE01019009.1_187-305,False,0,0,0.0
ALWS01163187.1_138650-138765,False,0,0,1.0
JWKZ01000001.1_5785-5900,False,0,0,3.0
CM001415.1_437250-437369,False,0,0,2.0
ALWZ043444934.1_856-736,False,0,0,4.0
GL538352.1_1128682-1128567,False,0,0,2.0
ALWZ041214672.1_20-119,False,0,0,3.0
AFYH01206767.1_158-262,False,0,0,1.0
CM000101.4_938092-937971,False,0,0,1.0
MJIG01000007.1_14891-15008,False,0,0,2.0
ALWZ044919754.1_970-852,False,0,0,0.0
BDFN01001488.1_5043-5161,False,0,0,0.0
CAPY01002050.2_1624-1742,False,0,0,1.0
JOWA01000132.1_1310530-1310649,False,0,0,3.0
JPDO01000320.1_175-294,False,0,0,2.0
CM001064.2_32949583-32949465,False,0,0,0.0
DG000018.5_10098695-10098577,False,0,0,1.0
ALWS01054441.1_73439-73321,False,0,0,1.0
CP002156.1_2575000-2574886,False,0,0,2.0
ALWS01016761.1_58999-59117,False,0,0,1.0
GL377660.1_354729-354816,False,0,0,2.0
AGCT01037894.1_5480-5600,False,0,0,2.0
KV878987.1_525066-524947,False,0,0,3.0
CM002900.2_1262252-1262366,False,0,0,2.0
CM002909.2_3388737-3388841,False,0,0,2.0
ALWS01051354.1_64462-64586,False,0,0,1.0
MLAU01004178.1_47032-47150,False,0,0,0.0
CM001410.1_21056932-21057050,False,0,0,2.0
ALWZ043189709.1_3125-3245,False,0,0,4.0
ALWS01071425.1_976-1093,False,0,0,1.0
ALWS01095463.1_12487-12369,False,0,0,1.0
MDYM01000022.1_242572-242691,False,0,0,3.0
ALWZ042294414.1_4235-4115,False,0,0,4.0
APLE01005405.1_33023-32905,False,0,0,0.0
ALWS01096156.1_75295-75403,False,0,0,1.0
CM001414.1_28073292-28073403,False,0,0,2.0
ALWZ042860937.1_6620-6500,False,0,0,4.0
AANH01014215.1_8439-8323,False,0,0,1.0
DQ867109.1_1-117,False,0,0,1.0
CM002887.2_30924174-30924058,False,0,0,2.0
ALWS01044002.1_17899-18017,False,0,0,1.0
CBXK010002953.1_189-270,False,0,0,2.0
LHOX01000018.1_12-127,False,0,0,4.0
AFYH01013348.1_2370-2252,False,0,0,3.0
JRRC01282004.1_3189-3307,False,0,0,0.0
GK000001.2_17827803-17827697,False,0,0,2.0
ALWS01017554.1_35616-35734,False,0,0,1.0
CM001414.1_32143907-32143789,False,0,0,2.0
ALWZ044003169.1_5446-5572,False,0,0,4.0
GL876969.1_2081663-2081544,False,0,0,3.0
CM000768.3_7676250-7676132,False,0,0,0.0
CM002898.2_9692207-9692321,False,0,0,2.0
ALWS01167047.1_8915-8798,False,0,0,1.0
GL377870.1_8586-8673,False,0,0,2.0
ALWZ042454727.1_1104-1222,False,0,0,0.0
CM001404.1_51927450-51927568,False,0,0,2.0
AAXJ01017503.1_722-843,False,0,0,2.0
ACJG01017458.1_927-1045,False,0,0,4.0
AACT01037768.1_1180-1062,False,0,0,3.0
FQTU01000029.1_1-95,False,0,0,3.0
MDHN01000020.1_382-497,False,0,0,4.0
CM001428.1_2808283-2808401,False,0,0,2.0
M34770.1_1-114,False,0,0,2.0
GG662654.1_125939-126057,False,0,0,3.0
LM399072.1_2665-2545,False,0,0,3.0
ALWZ042391539.1_3220-3099,False,0,0,2.0
AWGM01130601.1_1516-1633,False,0,0,3.0
DS562965.1_439280-439401,False,0,0,1.0
BDFN01001350.1_5690-5568,False,0,0,0.0
ALWS01094372.1_8531-8413,False,0,0,1.0
CM002814.1_62686146-62686030,False,0,0,2.0
AFQF01000616.1_14590-14709,False,0,0,3.0
CM007375.1_5229731-5229849,False,0,0,0.0
ALWZ042324773.1_2703-2583,False,0,0,4.0
AFYH01037682.1_5868-5755,False,0,0,1.0
CM001408.1_29808766-29808652,False,0,0,2.0
ALWZ044371225.1_2254-2137,False,0,0,4.0
ALWS01033495.1_4755-4637,False,0,0,1.0
ALWZ044422285.1_804-922,False,0,0,0.0
AAQR03049946.1_12602-12694,False,0,0,1.0
CM001416.1_5315155-5315037,False,0,0,2.0
ALWS01024684.1_65160-65043,False,0,0,1.0
AANH01014214.1_10227-10109,False,0,0,1.0
AFYH01062886.1_4521-4633,False,0,0,3.0
CP016434.1_2836379-2836492,False,0,0,3.0
ALWZ041197614.1_2099-1979,False,0,0,4.0
CP000153.1_581655-581770,False,0,0,2.0
DS496110.1_312731-312611,False,0,0,0.0
GL343463.1_44500-44616,False,0,0,2.0
ALWS01034829.1_2545-2427,False,0,0,1.0
X00931.1_3-117,False,0,0,4.0
AWGM01145322.1_103923-103807,False,0,0,0.0
AFYH01062275.1_22648-22766,False,0,0,3.0
CM001410.1_32097132-32097250,False,0,0,2.0
JARH01001055.1_4017-4136,False,0,0,3.0
ALWZ044237259.1_606-486,False,0,0,4.0
JRRC01459534.1_3343-3466,False,0,0,0.0
GL631506.1_1353-1471,False,0,0,4.0
ALWS01045297.1_10996-10877,False,0,0,1.0
ALWZ041122367.1_524-646,False,0,0,4.0
FOAS01000017.1_66710-66595,False,0,0,4.0
BDDD01002710.1_82279-82162,False,0,0,0.0
ALWZ044461459.1_5111-5233,False,0,0,4.0
FO904941.1_1641157-1641276,False,0,0,3.0
LGDY01000081.1_80-1,False,0,0,3.0
ACTA01074383.1_20808-20927,False,0,0,2.0
JRRC01281218.1_8834-8952,False,0,0,0.0
CM000297.1_13808950-13808822,False,0,0,3.0
JOKG01000002.1_897957-897840,False,0,0,0.0
CM001409.1_16535727-16535611,False,0,0,2.0
ABAV01023951.1_1987-1897,False,0,0,4.0
GG692710.1_3178-3293,False,0,0,3.0
KV454538.1_1393038-1393158,False,0,0,4.0
LCGI01000021.1_7734-7849,False,0,0,3.0
