,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,ALWZ045848916.1_423-540,False,0,0,0.0,0.7659999999999999,ALWZ045862116.1_11130-11009
1,CM002888.2_49346372-49346254,False,0,0,1.0,0.8170000000000001,AACT01037901.1_252-370
2,CM002889.2_6705620-6705734,False,0,0,2.0,0.667,AFYH01001579.1_21413-21518
3,ALWS01099705.1_41386-41504,False,0,0,1.0,0.742,CM002897.2_4266166-4266282
4,HE587305.1_2589949-2589831,False,0,0,3.0,0.79,CAPY01002050.2_1624-1742
5,LJIZ01000034.1_63135-63020,False,0,0,4.0,0.812,CP003326.1_2464689-2464573
6,GG666532.1_339781-339663,False,0,0,3.0,0.7070000000000001,ALWS01075829.1_53215-53097
7,ALWS01108704.1_44678-44559,False,0,0,1.0,0.7829999999999999,ALWS01036190.1_20496-20391
8,X06056.1_924-806,False,0,0,4.0,0.674,V00647.1_1-119
9,APWO02001413.1_3968-4084,False,0,0,1.0,0.75,HE587305.1_2589949-2589831
10,AFYH01228503.1_4884-4769,False,0,0,1.0,0.71,CM002897.2_4266166-4266282
11,JH835983.1_962511-962616,False,0,0,1.0,0.862,FR853087.2_26368223-26368328
12,CM001420.1_12764589-12764478,False,0,0,2.0,0.6940000000000001,KN150479.1_10965-10852
13,KN150479.1_10965-10852,False,0,0,3.0,0.782,CM002889.2_17029298-17029414
14,NIDE01000015.1_51061-51169,False,0,0,3.0,0.685,AWGE01000034.1_5334-5448
15,JXRU01000032.1_66-182,False,0,0,3.0,0.733,JMFY01000039.1_22-138
16,AFYH01001579.1_21413-21518,False,0,0,1.0,0.741,CM001509.2_22304724-22304822
17,CP009922.2_2414771-2414655,False,0,0,3.0,0.738,JMFY01000039.1_22-138
18,ALWS01093046.1_41504-41383,False,0,0,1.0,0.754,MCFN01000760.1_110126-110008
19,LFJF01048717.1_6002-5884,False,0,0,4.0,0.792,LGKD01534548.1_442-324
20,AFYH01018453.1_160-278,False,0,0,3.0,0.736,ALWS01069815.1_4136-4018
21,KV454539.1_823215-823095,False,0,0,4.0,0.7559999999999999,LXTC01000003.1_1276214-1276334
22,AFYH01004526.1_7361-7480,False,0,0,4.0,0.72,AFYH01264549.1_1258-1376
23,ALWS01034753.1_3246-3128,False,0,0,1.0,0.782,ALWS01036190.1_20496-20391
24,ALWZ042914886.1_530-643,False,0,0,4.0,0.752,ALWZ042044387.1_1172-1054
25,ALWZ045395737.1_390-508,False,0,0,0.0,0.792,ALWZ044371225.1_2254-2137
26,AACT01036488.1_598-716,False,0,0,3.0,0.8079999999999999,CM002888.2_49346372-49346254
27,CM001406.1_27311256-27311374,False,0,0,2.0,0.685,KN150479.1_10965-10852
28,CAJI01007523.1_39530-39641,False,0,0,0.0,0.64,ALWZ042314984.1_4988-4868
29,ALWS01049680.1_3765-3883,False,0,0,1.0,0.7390000000000001,CM000012.3_36390772-36390880
30,AZAQ01003214.1_84171-84289,False,0,0,4.0,0.79,HE587305.1_2589949-2589831
31,CM000669.2_116944414-116944280,False,0,0,3.0,0.711,CM000878.1_95784220-95784102
32,CM000883.2_23446755-23446873,False,0,0,0.0,0.75,ALWZ043444934.1_856-736
33,ALWZ045862116.1_11130-11009,False,0,0,4.0,0.792,ALWZ044997670.1_3264-3389
34,GL870884.1_43243-43125,False,0,0,3.0,0.701,DG000018.5_10098695-10098577
35,ALWS01019225.1_11756-11638,False,0,0,1.0,0.733,MCFN01000760.1_110126-110008
36,ALWS01013700.1_8717-8832,False,0,0,1.0,0.748,ALWS01036190.1_20496-20391
37,LSRQ01006378.1_1822-1940,False,0,0,0.0,0.7659999999999999,ALWZ043444934.1_856-736
38,LXWW01000554.1_85380-85262,False,0,0,3.0,0.69,AFFK01015728.1_7747-7629
39,KQ972928.1_14211-14329,False,0,0,4.0,0.782,CM000878.1_95784220-95784102
40,GL984363.1_23877-23759,False,0,0,3.0,0.738,ALWZ042044387.1_1172-1054
41,FAOM01397548.1_3193-3075,False,0,0,0.0,0.7659999999999999,ALWZ043785995.1_811-931
42,GG738850.1_466426-466544,False,0,0,2.0,0.7190000000000001,LGKD01219340.1_331-213
43,CM001411.1_27136430-27136312,False,0,0,2.0,0.696,ALWS01095463.1_12487-12369
44,ALYE01019009.1_187-305,False,0,0,0.0,0.738,ALWZ043785995.1_811-931
45,ALWS01163187.1_138650-138765,False,0,0,1.0,0.725,CM000867.1_100198069-100198192
46,JWKZ01000001.1_5785-5900,False,0,0,3.0,0.645,CP009217.2_1265877-1265991
47,CM001415.1_437250-437369,False,0,0,2.0,0.6509999999999999,CM000669.2_128697439-128697556
48,ALWZ043444934.1_856-736,False,0,0,4.0,0.78,ALWZ044997670.1_3264-3389
49,GL538352.1_1128682-1128567,False,0,0,2.0,0.7979999999999999,LJIZ01000034.1_63135-63020
50,ALWZ041214672.1_20-119,False,0,0,3.0,0.6859999999999999,ALWZ045211292.1_5690-5810
51,AFYH01206767.1_158-262,False,0,0,1.0,0.748,CM001509.2_22304724-22304822
52,CM000101.4_938092-937971,False,0,0,1.0,0.705,MCFN01000760.1_110126-110008
53,MJIG01000007.1_14891-15008,False,0,0,2.0,0.777,CP003326.1_2464689-2464573
54,ALWZ044919754.1_970-852,False,0,0,0.0,0.7859999999999999,ALWZ043785995.1_811-931
55,BDFN01001488.1_5043-5161,False,0,0,0.0,0.7659999999999999,ALWZ043444934.1_856-736
56,CAPY01002050.2_1624-1742,False,0,0,1.0,0.807,LL934334.1_930-812
57,JOWA01000132.1_1310530-1310649,False,0,0,3.0,0.693,KL584759.1_594024-593905
58,JPDO01000320.1_175-294,False,0,0,2.0,0.758,LYXU01000002.1_3974551-3974432
59,CM001064.2_32949583-32949465,False,0,0,0.0,0.7090000000000001,ALWZ041197614.1_2099-1979
60,DG000018.5_10098695-10098577,False,0,0,1.0,0.8,AACT01036488.1_598-716
61,ALWS01054441.1_73439-73321,False,0,0,1.0,0.785,CM000857.1_120015560-120015441
62,CP002156.1_2575000-2574886,False,0,0,2.0,0.802,HE577331.1_402624-402509
63,ALWS01016761.1_58999-59117,False,0,0,1.0,0.725,CM000857.1_120015560-120015441
64,GL377660.1_354729-354816,False,0,0,2.0,0.5489999999999999,ABAV01023951.1_1987-1897
65,AGCT01037894.1_5480-5600,False,0,0,2.0,0.632,ALWZ043069647.1_8673-8551
66,KV878987.1_525066-524947,False,0,0,3.0,0.767,AMGW01000001.1_2552784-2552903
67,CM002900.2_1262252-1262366,False,0,0,2.0,0.68,ALWS01069815.1_4136-4018
68,CM002909.2_3388737-3388841,False,0,0,2.0,0.7020000000000001,KN150479.1_10965-10852
69,ALWS01051354.1_64462-64586,False,0,0,1.0,0.7190000000000001,ALWS01036190.1_20496-20391
70,MLAU01004178.1_47032-47150,False,0,0,0.0,0.738,ALWZ043444934.1_856-736
71,CM001410.1_21056932-21057050,False,0,0,2.0,0.693,CM000669.2_128697439-128697556
72,ALWZ043189709.1_3125-3245,False,0,0,4.0,0.754,ALWZ044919754.1_970-852
73,ALWS01071425.1_976-1093,False,0,0,1.0,0.73,CM000857.1_120015560-120015441
74,ALWS01095463.1_12487-12369,False,0,0,1.0,0.787,CM000867.1_100198069-100198192
75,MDYM01000022.1_242572-242691,False,0,0,3.0,0.792,AMGW01000001.1_2552784-2552903
76,ALWZ042294414.1_4235-4115,False,0,0,4.0,0.736,CP002686.1_13839201-13839319
77,APLE01005405.1_33023-32905,False,0,0,0.0,0.728,ALWZ045229414.1_3528-3647
