,AC,label-val,cluster,max_ident_other,closest_other
0,FR853102.2_110916554-110916425,0,2.0,0.551,JJRF01114938.1_3208-3079
1,ANKR01320590.1_11052-11183,0,4.0,0.669,AAPE02028300.1_2705-2569
2,ALWT01079151.1_35968-35830,0,4.0,0.6779999999999999,AAQR03132297.1_45212-45344
3,JJRU01085730.1_2157-2289,0,1.0,0.7390000000000001,CM000998.2_146835144-146835272
4,AYZV02050744.1_2595-2722,0,0.0,0.82,AYZV02047486.1_4465-4338
5,AAPE02025137.1_37929-37786,0,4.0,0.797,GL010074.1_11613452-11613595
6,AAPE02017924.1_73406-73550,0,4.0,0.87,ANKR01153369.1_60654-60798
7,ANKR01213242.1_6883-6739,0,4.0,0.897,GL010074.1_11613452-11613595
8,ANKR01227160.1_16285-16429,0,4.0,0.8640000000000001,GL010074.1_11613452-11613595
9,CM000023.3_33338535-33338681,0,1.0,0.6709999999999999,CM000553.1_107282105-107281956
10,CM000872.1_69891173-69891326,0,1.0,0.7170000000000001,CM000553.1_107282105-107281956
11,LZPO01008046.1_198107-197979,0,2.0,0.765,CM000802.1_136971021-136971151
12,ALWT01075632.1_1063-1193,0,1.0,0.547,AAKN02019509.1_9665-9798
13,CM000877.1_31550528-31550396,0,1.0,0.579,AAKN02019509.1_9665-9798
14,JJRM01001653.1_4195-4066,0,0.0,0.541,AC094019.2_47367-47494
15,JMFL01032466.1_1927-1797,0,0.0,0.573,CM004476.1_2935332-2935467
16,AL844513.8_22058-22190,0,3.0,0.57,CM001500.2_25872383-25872516
17,APMT01161015.1_15263-15130,0,3.0,0.799,CM001500.2_25872383-25872516
18,CM001957.1_52247846-52247934,0,3.0,0.589,AYUG01105412.1_25657-25768
19,CM001506.2_61084217-61084129,0,3.0,0.598,AYUG01105412.1_25657-25768
20,GL896933.1_5839237-5839101,0,1.0,0.5489999999999999,JMFS01102644.1_6334-6202
21,KK351383.1_130643-130782,0,0.0,0.544,CM003274.1_25786994-25787158
22,ALAR01071501.1_97-1,0,2.0,0.644,CM001660.1_2839683-2839552
23,ALYE01013910.1_64483-64582,0,1.0,0.69,CM009293.1_130458-130356
24,CM001219.2_30489803-30489928,0,2.0,0.523,AFEY01415413.1_9866-9999
25,CM001219.2_30505625-30505756,0,2.0,0.526,APMT01009837.1_208-72
26,KV778765.1_45243-45093,0,4.0,0.809,CM000882.2_51626035-51626183
27,LZPO01107914.1_286879-287012,0,3.0,0.735,AAQR03038698.1_1255-1122
28,CH916369.1_5813438-5813296,0,0.0,0.59,CM000070.3_1476564-1476710
29,JMFJ01061618.1_626-510,0,4.0,0.547,CAAE01014577.1_63146-63280
30,CM000553.1_107282105-107281956,0,2.0,0.737,JJRR01074950.1_1652-1811
31,CM001002.2_120128780-120128935,0,2.0,0.7659999999999999,JJRR01074950.1_1652-1811
32,ABEG02000749.1_62261-62134,0,4.0,0.568,CAJW010135335.1_1939-1815
33,AFQF01002497.1_14068-13920,0,0.0,0.506,CM001952.2_67255822-67255943
34,CM003531.1_37802231-37802089,0,1.0,0.625,LSRQ01007777.1_720999-720860
35,CM001007.2_118299990-118300117,0,4.0,0.696,CM000233.2_114932501-114932627
36,APMT01059603.1_30901-30775,0,3.0,0.5870000000000001,AAPE02035748.1_31644-31512
37,ANKR01316710.1_1449-1307,0,3.0,0.682,GK000015.2_54889032-54889168
38,AAPE02002366.1_30084-30209,0,0.0,0.531,AC094019.2_47367-47494
39,CM000021.3_7023183-7023311,0,0.0,0.602,AAKN02033025.1_13015-13143
40,AAPE02025062.1_19588-19715,0,3.0,0.593,KE695975.1_157307-157436
41,CM000032.3_37507093-37507223,0,3.0,0.693,KE695975.1_157307-157436
42,KV453848.1_1004776-1004944,0,0.0,0.5670000000000001,MNUE01000066.1_109829-109689
43,AAEU02000410.1_177646-177776,0,2.0,0.523,BC046478.1_316-447
44,JMFM02011855.1_3247-3370,0,3.0,0.662,APMT01038149.1_9387-9263
45,ALWS01008230.1_22399-22583,0,4.0,0.7490000000000001,JMFH01019836.1_8157-7976
46,CM000231.2_161988984-161989166,0,4.0,0.7190000000000001,JMFH01019836.1_8157-7976
47,CM001596.2_42669158-42668976,0,4.0,0.6920000000000001,JMFH01019836.1_8157-7976
48,FR853082.2_9267045-9267226,0,4.0,0.77,JMFH01019836.1_8157-7976
49,CM000816.4_60015892-60015710,0,4.0,0.652,JMFH01019836.1_8157-7976
50,CM000676.2_41594462-41594591,0,0.0,0.7290000000000001,CM000379.2_67547257-67547385
51,AFEW01042717.1_92462-92583,0,2.0,0.688,CAJW010135335.1_1939-1815
52,CM000857.1_39633574-39633439,0,2.0,0.664,APMT01157497.1_10295-10426
53,CM000842.2_48059328-48059188,0,3.0,0.723,JRRC01025922.1_8635-8780
54,ANKR01153369.1_60654-60798,0,1.0,0.884,ANKR01213242.1_6883-6739
55,GL010074.1_11613452-11613595,0,1.0,0.897,ANKR01213242.1_6883-6739
56,AAPE02035748.1_31644-31512,0,0.0,0.655,JJRP01011499.1_140-272
57,CM001642.1_570458-570319,0,4.0,0.526,CM000999.2_124095450-124095568
58,CM001503.2_9491763-9491629,0,2.0,0.56,CM000335.3_20274453-20274319
59,CM000667.2_112161485-112161617,0,4.0,0.618,CM001405.1_40315035-40314901
60,AZIM01002395.1_57962-58096,0,1.0,0.664,APMT01161015.1_15263-15130
61,LSRQ01008404.1_90509-90368,0,3.0,0.644,CM002535.1_4298533-4298413
62,APMT01038149.1_9387-9263,0,2.0,0.77,AAPE02032746.1_12700-12578
63,CM002327.2_24808605-24808722,0,3.0,0.518,AASG02003542.1_20135-20028
64,AFEY01243654.1_682-549,0,3.0,0.7120000000000001,JMFT01130400.1_5720-5588
65,AFEY01415413.1_9866-9999,0,3.0,0.7140000000000001,JMFT01130400.1_5720-5588
66,CM001966.2_23615692-23615820,0,4.0,0.664,JJRC01044350.1_1039-905
67,ABRO02034887.1_61761-61566,0,1.0,0.778,CM001955.2_41856047-41855851
68,KL447290.1_1113706-1113838,0,3.0,0.7390000000000001,CM000673.2_8685439-8685569
69,HE576752.1_1114761-1114467,0,4.0,0.491,LGUA01000570.1_9499-9754
70,CM000335.3_20274453-20274319,0,4.0,0.63,JJRI01097566.1_163-29
