AC,label-val,cluster
AWGM01098229.1_34216-34331,5S_rRNA,0
AAHK01000432.1_5342-5277,HACA-box,0
BA000016.3_2175416-2175297,leader,0
CM000376.1_43229093-43229017,CD-box,0
LAZH01000029.1_273854-273756,Intron_gpII,0
AAYZ01649973.1_533-404,IRES,0
MSJM01000001.1_56252-56123,leader,0
KB017291.1_354159-354010,scaRNA,0
CP003418.1_2223650-2223759,HACA-box,0
HQ634156.1_54959-54746,Intron_gpI,0
AYCK01016167.1_28822-28894,CD-box,0
KQ042680.1_1017107-1017178,CD-box,0
KQ042252.1_46713-46622,CD-box,0
LL961854.1_5581-5625,ribozyme,0
CP001842.1_33227-33446,Intron_gpI,0
FQXI01000006.1_29525-29665,leader,0
JMFP01072109.1_200-332,HACA-box,0
CM001223.2_44139710-44139612,CD-box,0
AB930182.1_102735-102395,Intron_gpI,0
LJIZ01000016.1_17042-16884,riboswitch,0
FQVD01000006.1_11539-11442,riboswitch,0
AJIM01135221.1_30637-30371,scaRNA,0
LGKD01499616.1_1498-1336,5_8S_rRNA,0
M88127.1_505-557,IRES,0
AP011615.1_5550442-5550520,Intron_gpII,0
DS990275.1_1178-1253,Intron_gpII,0
ALWT01115402.1_24516-24384,scaRNA,0
JNOY01072420.1_627-700,tRNA,0
MNUE01000066.1_109829-109689,HACA-box,0
AACT01050324.1_344-191,5_8S_rRNA,0
CM007647.1_7976722-7976830,miRNA,0
LADO01000012.1_2328-2126,riboswitch,0
JH835767.1_819623-819376,IRES,0
CM000824.5_33545555-33545667,CD-box,0
MNDS01000151.1_4961-5050,Intron_gpII,0
MFKW01000052.1_75364-75123,Intron_gpI,0
AFSB01189448.1_1588-1718,scaRNA,0
JJRD01009348.1_12291-12379,miRNA,0
CP009284.1_1381743-1381788,riboswitch,0
AFSB01236089.1_22333-22462,IRES,0
FAOM01272862.1_23589-23466,miRNA,0
MCFN01000760.1_110126-110008,5S_rRNA,0
ALWZ042143286.1_12815-12662,5_8S_rRNA,0
CM003301.1_44864785-44864854,CD-box,0
AWHE01006225.1_133428-133167,Intron_gpI,0
MDLA01000168.1_85253-85505,Intron_gpI,0
GL019074.1_60962-61124,scaRNA,0
FAOM01327855.1_161537-161630,miRNA,0
BDFN01001292.1_3041-2904,5_8S_rRNA,0
CM001746.1_13896049-13896393,Intron_gpI,0
MHXI01000018.1_6548-6275,Intron_gpI,0
KX552040.1_180527-180822,Intron_gpI,0
AFTD01102126.1_3435-3341,CD-box,0
AF502399.1_116-393,IRES,0
FAOM01360999.1_224881-224984,HACA-box,0
CM000676.2_69804331-69804203,HACA-box,0
AXCL01011055.1_1892-1703,riboswitch,0
LJZT01000100.1_8347-8630,Intron_gpI,0
MFTI01000016.1_1279-1460,riboswitch,0
FRCM01000005.1_490605-490713,riboswitch,0
CP010519.1_7726664-7726552,riboswitch,0
ADGX01000120.1_1116-1248,Intron_gpII,0
CM000679.2_28018770-28018907,scaRNA,0
AFSB01087545.1_193-451,IRES,0
MHGH01000020.1_63599-63368,Intron_gpI,0
FUWM01000035.1_2759-2931,leader,0
CAJW010061039.1_4499-4365,miRNA,0
DS562859.1_34573130-34573252,HACA-box,0
CP014579.1_657426-657501,Intron_gpII,0
ALWS01009990.1_286-404,5S_rRNA,0
CM003271.1_11372748-11372652,CD-box,0
LJUX01000039.1_833-569,riboswitch,0
JJRQ01081413.1_377-556,scaRNA,0
LBOG01000007.1_23312-23091,Intron_gpI,0
JN007486.1_44620-45022,Intron_gpI,0
AHHD01000749.1_14162-13929,Intron_gpI,0
JN204424.1_62726-62988,Intron_gpI,0
LIRN01000064.1_397448-397716,Intron_gpI,0
AP014963.1_20545030-20544843,miRNA,0
MNXP01000061.1_21711-21600,riboswitch,0
AMPZ01030577.1_4456-4608,5_8S_rRNA,0
LCYG01000112.1_2765-2862,Intron_gpII,0
