,AC,label-val,cluster,max_ident_other,closest_other
0,AWGM01098229.1_34216-34331,5S_rRNA,0,0.628,AWGM01130601.1_1516-1633
1,AAHK01000432.1_5342-5277,HACA-box,0,0.58,FR796465.1_256180-256248
2,BA000016.3_2175416-2175297,leader,0,0.679,CP000721.1_1844865-1844990
3,CM000376.1_43229093-43229017,CD-box,0,0.591,CM001217.2_1470977-1470894
4,LAZH01000029.1_273854-273756,Intron_gpII,0,0.67,FP929036.1_1236041-1236128
5,AAYZ01649973.1_533-404,IRES,0,0.711,JH835538.1_2568880-2568752
6,MSJM01000001.1_56252-56123,leader,0,0.6,ALXG01000038.1_36793-36924
7,KB017291.1_354159-354010,scaRNA,0,0.7140000000000001,KB017691.1_3125955-3126095
8,CP003418.1_2223650-2223759,HACA-box,0,0.537,CCCW010034222.1_9490-9396
9,HQ634156.1_54959-54746,Intron_gpI,0,0.62,DQ834250.1_21305-21524
10,AYCK01016167.1_28822-28894,CD-box,0,0.5379999999999999,BDDD01000010.1_763248-763332
11,KQ042680.1_1017107-1017178,CD-box,0,0.583,JJRU01045712.1_3779-3851
12,KQ042252.1_46713-46622,CD-box,0,0.564,GG697356.1_369532-369424
13,LL961854.1_5581-5625,ribozyme,0,0.7559999999999999,LL876846.1_304001-303957
14,CP001842.1_33227-33446,Intron_gpI,0,0.6809999999999999,AAVU01000038.1_10725-10932
15,FQXI01000006.1_29525-29665,leader,0,0.595,FUZT01000031.1_3015-3147
16,JMFP01072109.1_200-332,HACA-box,0,0.736,CM004482.1_2589607-2589740
17,CM001223.2_44139710-44139612,CD-box,0,0.679,CM000130.1_18786784-18786680
18,AB930182.1_102735-102395,Intron_gpI,0,0.513,CVUF01000005.1_14209-13947
19,LJIZ01000016.1_17042-16884,riboswitch,0,0.599,CP004078.1_4301196-4301052
20,FQVD01000006.1_11539-11442,riboswitch,0,0.7040000000000001,CP007145.1_3918552-3918454
21,AJIM01135221.1_30637-30371,scaRNA,0,0.621,CM001647.1_124446025-124446300
22,LGKD01499616.1_1498-1336,5_8S_rRNA,0,0.655,LGKD01583928.1_387-546
23,M88127.1_505-557,IRES,0,0.782,BX934229.1_489-541
24,AP011615.1_5550442-5550520,Intron_gpII,0,0.759,AP011615.1_2499956-2499879
25,DS990275.1_1178-1253,Intron_gpII,0,0.7090000000000001,CP002028.1_1406329-1406412
26,ALWT01115402.1_24516-24384,scaRNA,0,0.754,CM001660.1_52097421-52097557
27,JNOY01072420.1_627-700,tRNA,0,0.7140000000000001,LN609528.1_8165788-8165860
28,MNUE01000066.1_109829-109689,HACA-box,0,0.584,HE576752.1_432960-433125
29,AACT01050324.1_344-191,5_8S_rRNA,0,0.733,LADI01009217.1_3600-3756
30,CM007647.1_7976722-7976830,miRNA,0,0.5870000000000001,GL377712.1_257589-257491
31,LADO01000012.1_2328-2126,riboswitch,0,0.628,CP000232.1_188064-187865
32,JH835767.1_819623-819376,IRES,0,0.7340000000000001,ABRO02033266.1_36375-36113
33,CM000824.5_33545555-33545667,CD-box,0,0.5670000000000001,AAPE02052516.1_20735-20858
34,MNDS01000151.1_4961-5050,Intron_gpII,0,0.6729999999999999,FCOX02000213.1_910-996
35,MFKW01000052.1_75364-75123,Intron_gpI,0,0.57,LBTF01000002.1_13735-13521
36,AFSB01189448.1_1588-1718,scaRNA,0,0.78,AFSB01123589.1_11830-11958
37,JJRD01009348.1_12291-12379,miRNA,0,0.742,AJIM01168891.1_19136-19221
38,CP009284.1_1381743-1381788,riboswitch,0,0.706,CP001983.1_465480-465524
39,AFSB01236089.1_22333-22462,IRES,0,0.527,ALWS01169778.1_15340-15456
40,FAOM01272862.1_23589-23466,miRNA,0,0.764,CAJW010055608.1_1767-1889
41,MCFN01000760.1_110126-110008,5S_rRNA,0,0.7390000000000001,ALWS01049680.1_3765-3883
42,ALWZ042143286.1_12815-12662,5_8S_rRNA,0,0.779,ALWZ043037233.1_2555-2402
43,CM003301.1_44864785-44864854,CD-box,0,0.718,JMFM02026144.1_1296-1224
44,AWHE01006225.1_133428-133167,Intron_gpI,0,0.639,CM004283.1_16990735-16990487
45,MDLA01000168.1_85253-85505,Intron_gpI,0,0.568,KU130126.1_20307-20558
46,GL019074.1_60962-61124,scaRNA,0,0.6459999999999999,AAQR03053896.1_353-170
47,FAOM01327855.1_161537-161630,miRNA,0,0.667,CAJW010136301.1_8292-8407
48,BDFN01001292.1_3041-2904,5_8S_rRNA,0,0.6729999999999999,CM002814.1_248157726-248157883
49,CM001746.1_13896049-13896393,Intron_gpI,0,0.637,CM002790.1_13017525-13017822
50,MHXI01000018.1_6548-6275,Intron_gpI,0,0.6509999999999999,LBXZ01000006.1_1750-1523
51,KX552040.1_180527-180822,Intron_gpI,0,0.557,KX857749.1_109878-110181
52,AFTD01102126.1_3435-3341,CD-box,0,0.6729999999999999,CM001652.1_74257033-74256942
53,AF502399.1_116-393,IRES,0,0.6990000000000001,AF037405.1_106-380
54,FAOM01360999.1_224881-224984,HACA-box,0,0.514,KL447290.1_1113706-1113838
55,CM000676.2_69804331-69804203,HACA-box,0,0.6459999999999999,AAQR03182293.1_50751-50623
56,AXCL01011055.1_1892-1703,riboswitch,0,0.7340000000000001,KB668589.1_232507-232689
57,LJZT01000100.1_8347-8630,Intron_gpI,0,0.5870000000000001,HQ630627.1_192004-191716
58,MFTI01000016.1_1279-1460,riboswitch,0,0.488,FOOE01000001.1_142983-142821
59,FRCM01000005.1_490605-490713,riboswitch,0,0.6920000000000001,CP009278.1_4672055-4671950
60,CP010519.1_7726664-7726552,riboswitch,0,0.542,LJNO01000002.1_27160-27292
61,ADGX01000120.1_1116-1248,Intron_gpII,0,0.5,AEDO01000024.1_24929-25025
62,CM000679.2_28018770-28018907,scaRNA,0,0.667,ANKR01213289.1_1931-1801
63,AFSB01087545.1_193-451,IRES,0,0.6890000000000001,CM001654.1_104388728-104388467
64,MHGH01000020.1_63599-63368,Intron_gpI,0,0.608,MHIM01000015.1_1947-2155
65,FUWM01000035.1_2759-2931,leader,0,0.649,LSBO01000068.1_2650-2815
66,CAJW010061039.1_4499-4365,miRNA,0,0.746,FAOM01457930.1_32692-32826
67,DS562859.1_34573130-34573252,HACA-box,0,0.65,AFSB01104374.1_1817-1687
68,CP014579.1_657426-657501,Intron_gpII,0,0.7440000000000001,MUBK01000021.1_88570-88645
69,ALWS01009990.1_286-404,5S_rRNA,0,0.7559999999999999,ALWS01049680.1_3765-3883
70,CM003271.1_11372748-11372652,CD-box,0,0.54,HE605206.1_231657-231565
71,LJUX01000039.1_833-569,riboswitch,0,0.491,KE150017.1_1448377-1448180
72,JJRQ01081413.1_377-556,scaRNA,0,0.575,AAQR03053896.1_353-170
73,LBOG01000007.1_23312-23091,Intron_gpI,0,0.746,LBZL01000019.1_3335-3564
74,JN007486.1_44620-45022,Intron_gpI,0,0.518,FN430155.1_56538-56199
75,AHHD01000749.1_14162-13929,Intron_gpI,0,0.561,AATX01000523.1_1641-1862
76,JN204424.1_62726-62988,Intron_gpI,0,0.7020000000000001,FWEW01000509.1_721-980
77,LIRN01000064.1_397448-397716,Intron_gpI,0,0.705,MJGC01000073.1_39638-39906
78,AP014963.1_20545030-20544843,miRNA,0,0.7090000000000001,CM002526.1_15062301-15062488
79,MNXP01000061.1_21711-21600,riboswitch,0,0.6970000000000001,LBGU01000041.1_249242-249130
80,AMPZ01030577.1_4456-4608,5_8S_rRNA,0,0.7909999999999999,LL971880.1_1482-1634
81,LCYG01000112.1_2765-2862,Intron_gpII,0,0.7859999999999999,NISJ01000021.1_21968-21872
82,AYUG01117561.1_32692-33022,scaRNA,0,0.49,GK000003.2_34395683-34395251
83,KB706346.1_125686-125389,Intron_gpI,0,0.607,LBBL01000003.1_79549-79210
