AC,label-val,cluster
JH836049.1_690871-690799,tRNA,0
GL385399.1_4014686-4014792,CD-box,0
AANN01528625.1_1227-1368,scaRNA,0
AADM01000109.1_102001-101793,HACA-box,0
KE150417.1_668726-668767,leader,0
MFLY01000020.1_7831-7700,riboswitch,0
LFJF01000510.1_10422-10284,5_8S_rRNA,0
GL010122.1_13676-13756,CD-box,0
AWGM01098229.1_34216-34331,5S_rRNA,0
FQ311469.1_56779-56458,Intron_gpI,0
CCCW010043543.1_20821-20715,CD-box,0
MNIQ01000354.1_446-536,Intron_gpII,0
KB707631.1_3715-3999,Intron_gpI,0
MCGO01000275.1_11237-11119,5S_rRNA,0
JPMD01000043.1_22731-22617,5S_rRNA,0
CM000804.1_68738234-68738108,HACA-box,0
LZZM01000040.1_4117-4201,Intron_gpII,0
JPDT01000883.1_802-879,Intron_gpII,0
AWHE01031026.1_19813-19661,5_8S_rRNA,0
AAQJ02000001.1_210812-210888,Intron_gpII,0
FM204884.1_1968343-1968250,Intron_gpII,0
AB017503.1_5442-5592,IRES,0
ALWT01114932.1_5487-5627,HACA-box,0
LADO01000012.1_2328-2126,riboswitch,0
MKCR01000031.1_179819-179698,leader,0
ACTA01162005.1_49376-49272,miRNA,0
CM002298.1_14584848-14584758,CD-box,0
LL188442.1_95902-95973,tRNA,0
FQVH01000029.1_9431-9347,Intron_gpII,0
AANI01014802.1_70727-70799,tRNA,0
LL243273.1_17352-17424,tRNA,0
KB017291.1_354159-354010,scaRNA,0
AKHW03004889.1_2142953-2142872,tRNA,0
CM001429.1_11726387-11726073,HACA-box,0
CP004345.1_1688266-1688142,leader,0
AATM01000008.1_26054-26225,HACA-box,0
AP008955.1_5888738-5888616,riboswitch,0
CM003253.1_53106356-53106461,CD-box,0
AL844513.8_22058-22190,HACA-box,0
CP014806.1_772909-773045,riboswitch,0
AAQR03156815.1_1046-888,scaRNA,0
AAPE02031378.1_50562-50292,IRES,0
AAHC01000912.1_13052-12978,tRNA,0
CAJW011529692.1_41-160,Intron_gpII,0
CM001955.2_41856047-41855851,HACA-box,0
CM002535.1_4298533-4298413,HACA-box,0
CP001197.1_295568-295205,ribozyme,0
AANN01595483.1_5658-5531,scaRNA,0
AGTP01028278.1_15852-15918,tRNA,0
AJ532504.1_1-104,CD-box,0
CP021358.1_2479841-2479968,leader,0
MNVF01000017.1_5498-5733,Intron_gpI,0
APBN01000006.1_254292-254219,tRNA,0
FR853086.2_10380703-10380571,CD-box,0
JQBP01000001.1_74055-74171,leader,0
LDRW01000016.1_108098-108326,riboswitch,0
LL049358.1_1693-1648,ribozyme,0
AAIY01696549.1_687-872,scaRNA,0
MHCJ01000006.1_37604-37392,Intron_gpI,0
FXBJ01000002.1_730083-730145,leader,0
CM000735.1_4164230-4164307,leader,0
KI915041.1_19311710-19311858,HACA-box,0
LGGU01000001.1_65193-65048,leader,0
AOTI010258254.1_9049-9167,miRNA,0
AYZS02043609.1_364-81,Intron_gpI,0
JJRD01122149.1_1774-1643,HACA-box,0
AALT01348524.1_384-524,scaRNA,0
MFLA01000004.1_19914-19672,Intron_gpI,0
NFIS01000004.1_62705-62848,leader,0
MGSE01000067.1_7265-7536,Intron_gpI,0
KK198760.1_14171617-14171714,Intron_gpII,0
FR893884.1_23632-23439,riboswitch,0
KB870808.1_4874346-4874452,CD-box,0
KU130126.1_20307-20558,Intron_gpI,0
LZPO01027367.1_1125804-1125945,scaRNA,0
CP007203.1_946398-946230,leader,0
ADWL01005900.1_10633-10713,tRNA,0
HF994875.1_34945-34860,riboswitch,0
AP008955.1_3074888-3074628,Intron_gpI,0
CP000284.1_1235852-1235924,tRNA,0
AGTP01051120.1_3521-3612,CD-box,0
LK958783.1_447-366,tRNA,0
CP004078.1_134551-134633,tRNA,0
MFIY01000065.1_2202-2398,Intron_gpI,0
CP015378.1_228040-228111,tRNA,0
LXFE01000631.1_12980-12844,HACA-box,0
MCFJ01000012.1_460229-460130,tRNA,0
MHMQ01000003.1_30666-31007,Intron_gpI,0
LM180750.1_2205-2161,ribozyme,0
CM002489.1_11653554-11653478,miRNA,0
MGSU01000019.1_10387-10459,tRNA,0
FR796423.1_1003999-1004166,5_8S_rRNA,0
CM000824.5_33545555-33545667,CD-box,0
