,AC,label-val,cluster,max_ident_other,closest_other
0,JH836049.1_690871-690799,tRNA,0,0.654,MNUQ01000097.1_15870-15798
1,GL385399.1_4014686-4014792,CD-box,0,0.586,KE148147.1_740921-740829
2,AANN01528625.1_1227-1368,scaRNA,0,0.59,CM000562.1_8627190-8627321
3,AADM01000109.1_102001-101793,HACA-box,0,0.5,CR380953.1_573348-573145
4,KE150417.1_668726-668767,leader,0,0.705,FQUS01000034.1_20903-20945
5,MFLY01000020.1_7831-7700,riboswitch,0,0.55,CDGG01000001.1_1307723-1307822
6,LFJF01000510.1_10422-10284,5_8S_rRNA,0,0.742,LFJF01048378.1_4695-4852
7,GL010122.1_13676-13756,CD-box,0,0.843,CM000861.1_1328948-1329029
8,AWGM01098229.1_34216-34331,5S_rRNA,0,0.628,AWGM01130601.1_1516-1633
9,FQ311469.1_56779-56458,Intron_gpI,0,0.5660000000000001,AMCV01002939.1_541-260
10,CCCW010043543.1_20821-20715,CD-box,0,0.7959999999999999,CM002786.1_39188104-39187998
11,MNIQ01000354.1_446-536,Intron_gpII,0,0.677,MNDO01000423.1_2026-2116
12,KB707631.1_3715-3999,Intron_gpI,0,0.5710000000000001,MCFI01000026.1_170783-170480
13,MCGO01000275.1_11237-11119,5S_rRNA,0,0.7090000000000001,KL584759.1_594024-593905
14,JPMD01000043.1_22731-22617,5S_rRNA,0,0.733,CP003261.1_4610927-4610811
15,CM000804.1_68738234-68738108,HACA-box,0,0.667,CM001962.2_13577451-13577584
16,LZZM01000040.1_4117-4201,Intron_gpII,0,0.7240000000000001,KQ965511.1_13117-13201
17,JPDT01000883.1_802-879,Intron_gpII,0,0.81,LDWW01000077.1_713-637
18,AWHE01031026.1_19813-19661,5_8S_rRNA,0,0.626,BDFN01000398.1_1436-1289
19,AAQJ02000001.1_210812-210888,Intron_gpII,0,0.723,HG764817.1_5489231-5489308
20,FM204884.1_1968343-1968250,Intron_gpII,0,0.693,MNDO01000423.1_2026-2116
21,AB017503.1_5442-5592,IRES,0,0.48200000000000004,DQ645592.1_49-179
22,ALWT01114932.1_5487-5627,HACA-box,0,0.8079999999999999,ANKR01153369.1_60654-60798
23,LADO01000012.1_2328-2126,riboswitch,0,0.628,CP000232.1_188064-187865
24,MKCR01000031.1_179819-179698,leader,0,0.619,GL635793.1_173480-173357
25,ACTA01162005.1_49376-49272,miRNA,0,0.518,JH836424.1_302164-302296
26,CM002298.1_14584848-14584758,CD-box,0,0.66,CM002644.1_5953256-5953163
27,LL188442.1_95902-95973,tRNA,0,0.753,LL188601.1_83448-83522
28,FQVH01000029.1_9431-9347,Intron_gpII,0,0.741,KQ965511.1_13117-13201
29,AANI01014802.1_70727-70799,tRNA,0,0.7809999999999999,JJRP01076030.1_3924-3852
30,LL243273.1_17352-17424,tRNA,0,0.6829999999999999,JXXE01000590.1_1630-1703
31,KB017291.1_354159-354010,scaRNA,0,0.7140000000000001,KB017691.1_3125955-3126095
32,AKHW03004889.1_2142953-2142872,tRNA,0,0.78,JJRP01025635.1_12285-12210
33,CM001429.1_11726387-11726073,HACA-box,0,0.517,FR853083.2_6585513-6585842
34,CP004345.1_1688266-1688142,leader,0,0.8109999999999999,FN543502.1_2252642-2252765
35,AATM01000008.1_26054-26225,HACA-box,0,0.445,ABAW02000017.1_196215-196085
36,AP008955.1_5888738-5888616,riboswitch,0,0.7440000000000001,LQXD01000201.1_19603-19491
37,CM003253.1_53106356-53106461,CD-box,0,0.675,CM000769.3_38491740-38491634
38,AL844513.8_22058-22190,HACA-box,0,0.57,CM001500.2_25872383-25872516
39,CP014806.1_772909-773045,riboswitch,0,0.8190000000000001,AJLR01000016.1_12205-12338
40,AAQR03156815.1_1046-888,scaRNA,0,0.552,AGTP01048186.1_26481-26619
41,AAPE02031378.1_50562-50292,IRES,0,0.6679999999999999,CM000812.5_190625301-190625585
42,AAHC01000912.1_13052-12978,tRNA,0,0.737,CP007441.1_993860-993933
43,CAJW011529692.1_41-160,Intron_gpII,0,0.517,ADGX01000120.1_1116-1248
44,CM001955.2_41856047-41855851,HACA-box,0,0.778,ABRO02034887.1_61761-61566
45,CM002535.1_4298533-4298413,HACA-box,0,0.7020000000000001,MVGT01001340.1_258682-258806
46,CP001197.1_295568-295205,ribozyme,0,0.608,MNCZ01000098.1_26738-27124
47,AANN01595483.1_5658-5531,scaRNA,0,0.524,AFSB01134538.1_6724-6583
48,AGTP01028278.1_15852-15918,tRNA,0,0.797,CM000239.2_23843419-23843486
49,AJ532504.1_1-104,CD-box,0,0.518,AAPE02052684.1_3793-3708
50,CP021358.1_2479841-2479968,leader,0,0.634,LWFP01002286.1_11152-11271
51,MNVF01000017.1_5498-5733,Intron_gpI,0,0.591,MEZN01000024.1_821-1066
52,APBN01000006.1_254292-254219,tRNA,0,0.718,AEWC01018171.1_7897-7969
53,FR853086.2_10380703-10380571,CD-box,0,0.612,CM001464.1_12719147-12719279
54,JQBP01000001.1_74055-74171,leader,0,0.591,MKJU01000022.1_369157-369271
55,LDRW01000016.1_108098-108326,riboswitch,0,0.584,LN997848.1_4351232-4350983
56,LL049358.1_1693-1648,ribozyme,0,0.816,LL016493.1_3606-3558
57,AAIY01696549.1_687-872,scaRNA,0,0.595,AAIY01302780.1_1279-1446
