,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,P15693,False,0,0,0.0,0.244,Q01721
1,P83558,False,1,0,0.0,0.23399999999999999,P17727
2,D4ASH1,False,1,0,1.0,0.228,Q2UIE6
3,Q6B4T5,False,1,0,3.0,0.24,Q9U3Z3
4,Q6B4T4,False,1,0,3.0,0.23199999999999998,P01033
5,P81790,False,1,0,3.0,0.243,Q8K426
6,Q9P8W0,False,1,0,4.0,0.23399999999999999,Q75N90
7,P0DL36,False,1,0,1.0,0.255,I6RU32
8,Q4QRF7,False,1,0,1.0,0.25,Q2L4Q9
9,P82953,False,1,0,2.0,0.262,C5FRQ0
10,P17727,False,1,0,3.0,0.237,Q9UUZ2
11,P48538,False,1,0,0.0,0.235,Q9NDE7
12,Q9UBR5,False,1,0,2.0,0.221,Q96PL1
13,P34884,False,1,0,1.0,0.24600000000000002,Q9ESN4
14,P91850,False,1,0,1.0,0.23600000000000002,Q8CEK3
15,C0K3N1,False,1,0,2.0,0.24100000000000002,Q941C5
16,Q90X23,False,1,0,2.0,0.244,Q6WRI0
17,P67862,False,1,0,2.0,0.24,Q00604
18,P67863,False,1,0,2.0,0.237,Q9NS15
19,H2A0L1,False,1,0,0.0,0.23199999999999998,P36218
20,E9Q7T7,False,1,0,1.0,0.261,A0A088MIT0
21,Q9XZ63,False,1,0,0.0,0.22899999999999998,P98064
22,P06857,False,1,0,1.0,0.254,Q9D7S0
23,Q8IN43,False,1,0,4.0,0.24600000000000002,P97528
24,O75888,False,1,0,2.0,0.24600000000000002,P41047
25,P49061,False,1,0,2.0,0.24100000000000002,P0DP60
26,O74716,False,1,0,4.0,0.261,Q5AMF7
27,Q0ZHI9,False,1,0,4.0,0.22,Q8RX86
28,Q6PRW6,False,1,0,0.0,0.265,Q3L245
29,I1RII8,False,1,0,4.0,0.23399999999999999,Q5R412
30,B7SIW1,False,1,0,1.0,0.268,Q96GW7-2
31,Q96W72,False,1,0,4.0,0.25,A2QUQ2
32,A2QTU5,False,1,0,2.0,0.257,P17213
33,A1XIH3,False,1,0,2.0,0.26,B7SIW1
34,L8FSM5,False,1,0,2.0,0.267,Q9UUZ2
35,A1XIH6,False,1,0,2.0,0.264,D4B388
36,A1XIH1,False,1,0,2.0,0.248,P15502
37,Q64K36,False,1,0,2.0,0.272,D4B388
38,Q59NP5,False,1,0,1.0,0.282,Q59XA7
39,P27731,False,1,0,1.0,0.252,P19999
40,Q29616,False,1,0,1.0,0.248,Q9XTA3
41,P49141,False,1,0,1.0,0.24600000000000002,P08148
42,P49142,False,1,0,1.0,0.235,Q9H1Z8
43,P50390,False,1,0,1.0,0.239,Q9UJJ9
44,B7ZS96,False,1,0,1.0,0.262,Q9HFH0
45,Q59KZ1,False,1,0,0.0,0.22,P07231
46,P02655,False,1,0,0.0,0.24600000000000002,Q9D8T2
47,Q09328,False,1,0,0.0,0.223,Q8CFZ4
48,O08692,False,1,0,0.0,0.25,Q86BF9
49,P11672,False,1,0,4.0,0.233,G0Y276
50,P80188,False,1,0,4.0,0.237,D4ATR3
51,Q9UUZ3,False,1,0,0.0,0.23399999999999999,P40953
52,Q9CXI5,False,1,0,0.0,0.228,Q90ZD5
53,Q9NL38,False,1,0,0.0,0.242,P00488
54,P39061,False,1,0,4.0,0.24600000000000002,Q9Y7Y7
55,Q9BWP8,False,1,0,2.0,0.255,Q59DY5
56,P61769,False,1,0,4.0,0.24600000000000002,P79953
57,C0HJV8,False,1,0,0.0,0.25,A0AEI5
58,P01193,False,1,0,4.0,0.252,Q58T61
59,O35789,False,1,0,4.0,0.222,P01484
60,Q8LG89,False,1,0,1.0,0.22699999999999998,Q93Z08
61,Q2VG86,False,1,0,4.0,0.24600000000000002,Q61503
62,Q06890,False,1,0,1.0,0.25,P01014
63,C0HJV7,False,1,0,0.0,0.25,A0AEI5
64,P05059,False,1,0,1.0,0.25,A0A219CMY0
65,Q9QZR9,False,1,0,1.0,0.25,C6Y4B5
66,Q9TUQ3,False,1,0,1.0,0.25,Q16553
67,P98136,False,1,0,1.0,0.244,Q8N2S1
68,P25428,False,1,0,1.0,0.23199999999999998,Q03178
69,Q99036,False,1,0,1.0,0.256,Q684R7
70,O95841,False,1,0,1.0,0.24,W0HJ53
71,P79019,False,1,0,0.0,0.235,Q8GW72
72,P02649,False,1,0,0.0,0.21899999999999997,Q9NPG4
73,P04114,False,1,0,2.0,0.23,Q8N4T0
74,Q9Z1P8,False,1,0,1.0,0.24600000000000002,P23223
75,P10152,False,1,0,0.0,0.23600000000000002,P45663
76,O35298,False,1,0,2.0,0.23800000000000002,Q8MJF1
77,P80703,False,1,0,0.0,0.24600000000000002,P54317
78,P05371,False,1,0,1.0,0.256,Q8WXW3
79,P86967,False,1,0,0.0,0.203,I1S2K3
