,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,P15693,False,0,0,0.0,0.244,Q01721
1,P83558,False,1,0,0.0,0.27699999999999997,P83560
2,D4ASH1,False,1,0,1.0,0.231,O94549
3,Q6B4T5,False,1,0,2.0,0.252,F5CPE6
4,Q6B4T4,False,1,0,2.0,0.24,P49126
5,P81790,False,1,0,3.0,0.24600000000000002,P81792
6,Q9P8W0,False,1,0,4.0,0.248,Q9P4E7
7,P0DL36,False,1,0,1.0,0.255,I6RU32
8,Q4QRF7,False,1,0,0.0,0.25,Q2L4Q9
9,P82953,False,1,0,1.0,0.252,Q5ACN3
10,P17727,False,1,0,3.0,0.257,P59368
11,P48538,False,1,0,2.0,0.287,O00182
12,Q9UBR5,False,1,0,3.0,0.221,Q96PL1
13,P34884,False,1,0,1.0,0.237,Q9C9H5
14,P91850,False,1,0,1.0,0.23600000000000002,Q8CEK3
15,C0K3N1,False,1,0,3.0,0.242,O65351
16,Q90X23,False,1,0,3.0,0.244,Q6WRI0
17,P67862,False,1,0,3.0,0.225,P01014
18,P67863,False,1,0,3.0,0.237,Q9NS15
19,H2A0L1,False,1,0,0.0,0.23199999999999998,P36218
20,E9Q7T7,False,1,0,2.0,0.261,A0A088MIT0
21,Q9XZ63,False,1,0,0.0,0.239,P83084
22,P06857,False,1,0,2.0,0.254,Q9D7S0
23,Q8IN43,False,1,0,1.0,0.24600000000000002,P97528
24,O75888,False,1,0,4.0,0.28300000000000003,Q92838
25,P49061,False,1,0,1.0,0.24100000000000002,P0DP60
26,O74716,False,1,0,3.0,0.23399999999999999,Q42589
27,Q0ZHI9,False,1,0,3.0,0.243,P47033
28,Q6PRW6,False,1,0,4.0,0.265,Q3L245
29,I1RII8,False,1,0,3.0,0.23,G4MMH2
30,B7SIW1,False,1,0,2.0,0.268,Q96GW7-2
31,Q96W72,False,1,0,3.0,0.25,A2QUQ2
32,A2QTU5,False,1,0,0.0,0.257,P17213
33,A1XIH3,False,1,0,0.0,0.26,B7SIW1
34,L8FSM5,False,1,0,0.0,0.25,Q8SWI4
35,A1XIH6,False,1,0,0.0,0.264,D4B388
36,A1XIH1,False,1,0,0.0,0.24600000000000002,O60259
37,Q64K36,False,1,0,0.0,0.272,D4B388
38,Q59NP5,False,1,0,2.0,0.254,P26328
39,P27731,False,1,0,1.0,0.252,P19999
40,Q29616,False,1,0,1.0,0.248,Q9XTA3
41,P49141,False,1,0,1.0,0.24600000000000002,P08148
42,P49142,False,1,0,1.0,0.235,Q9H1Z8
43,P50390,False,1,0,1.0,0.237,P08148
44,B7ZS96,False,1,0,1.0,0.262,Q9HFH0
45,Q59KZ1,False,1,0,4.0,0.215,Q62930
46,P02655,False,1,0,4.0,0.256,P13432
47,Q09328,False,1,0,4.0,0.223,Q8CFZ4
48,O08692,False,1,0,4.0,0.25,Q86BF9
49,P11672,False,1,0,4.0,0.22399999999999998,Q9HFH0
50,P80188,False,1,0,4.0,0.252,P81182
51,Q9UUZ3,False,1,0,1.0,0.23399999999999999,P40953
52,Q9CXI5,False,1,0,0.0,0.228,Q90ZD5
53,Q9NL38,False,1,0,1.0,0.242,P00488
54,P39061,False,1,0,4.0,0.263,A6ND01
55,Q9BWP8,False,1,0,0.0,0.255,Q59DY5
56,P61769,False,1,0,4.0,0.24600000000000002,P79953
57,C0HJV8,False,1,0,2.0,0.278,P85254
58,P01193,False,1,0,1.0,0.252,Q58T61
59,O35789,False,1,0,3.0,0.225,Q8NK90
60,Q8LG89,False,1,0,4.0,0.233,P53616
61,Q2VG86,False,1,0,1.0,0.24600000000000002,Q61503
62,Q06890,False,1,0,3.0,0.25,P01014
63,C0HJV7,False,1,0,2.0,0.278,P85254
64,P05059,False,1,0,4.0,0.254,O15240
65,Q9QZR9,False,1,0,3.0,0.25,C6Y4B5
66,Q9TUQ3,False,1,0,4.0,0.25,Q16553
67,P98136,False,1,0,4.0,0.244,Q8N2S1
68,P25428,False,1,0,4.0,0.22899999999999998,Q28295
69,Q99036,False,1,0,2.0,0.256,Q684R7
70,O95841,False,1,0,3.0,0.214,O04529
71,P79019,False,1,0,4.0,0.254,Q9NPA2
72,P02649,False,1,0,4.0,0.228,Q8R1L8
73,P04114,False,1,0,0.0,0.23,Q8N4T0
74,Q9Z1P8,False,1,0,3.0,0.24600000000000002,P23223
75,P10152,False,1,0,4.0,0.268,Q9H1E1
76,O35298,False,1,0,0.0,0.22899999999999998,Q6Q788
77,P80703,False,1,0,4.0,0.24600000000000002,P54317
78,P05371,False,1,0,3.0,0.256,Q8WXW3
79,P86967,False,1,0,4.0,0.225,Q9NQ76
80,P83636,False,1,0,0.0,0.24100000000000002,Q01301
81,P83084,False,1,0,4.0,0.248,Q1ELV0
82,P21844,False,1,0,1.0,0.257,Q9GQV7
83,Q9QZS0,False,1,0,3.0,0.24,Q8I0L5
84,A6H584,False,1,0,0.0,0.252,P07480
85,P02748,False,1,0,0.0,0.24600000000000002,Q95P08
86,Q9UNA0,False,1,0,0.0,0.259,Q8NJP6
87,Q76LX8,False,1,0,0.0,0.231,Q8WRC7
88,Q769J6,False,1,0,0.0,0.233,Q86AV4
89,Q8NJP6,False,1,0,2.0,0.271,Q07488
90,O59893,False,1,0,0.0,0.256,Q8R0A6
91,B3VSG7,False,1,0,3.0,0.25,Q8TG42
92,B8YG19,False,1,0,3.0,0.226,P08962
93,Q9HEZ1,False,1,0,4.0,0.254,Q5A343
94,O00744,False,1,0,0.0,0.24100000000000002,Q9P0G3
95,P56703,False,1,0,0.0,0.22,A6MFK5
96,P49338,False,1,0,0.0,0.239,P49126
97,Q3UTY6,False,1,0,3.0,0.284,Q9H324
98,P09615,False,1,0,0.0,0.24100000000000002,Q9P0G3
99,Q14508,False,1,0,3.0,0.25,Q30HU9
100,P41047,False,1,0,4.0,0.265,Q9P232
101,Q9BEA8,False,1,0,4.0,0.28,P29965
102,Q8BZH1,False,1,0,3.0,0.23199999999999998,Q9VV36
103,P13726,False,1,0,3.0,0.24600000000000002,Q9WUC3
104,P01033,False,1,0,1.0,0.24100000000000002,Q9P8W5
105,Q7YRQ8,False,1,0,4.0,0.289,H2A0M2
106,Q8GTB6,False,1,0,3.0,0.242,D4B1Z7
107,Q7TQN3,False,1,0,4.0,0.267,P54197
108,Q9VH14,False,1,0,4.0,0.243,Q53B57
109,Q9GZM7,False,1,0,4.0,0.254,P83948
110,O57382,False,1,0,3.0,0.22399999999999998,P83370
111,Q9UPZ6,False,1,0,0.0,0.244,P18827
112,Q9H1J5,False,1,0,0.0,0.254,O76856
113,P30120,False,1,0,1.0,0.24600000000000002,P01492
114,P09544,False,1,0,0.0,0.24,Q84J95
115,D4AUF1,False,1,0,0.0,0.263,Q95218
116,Q5S248,False,1,0,1.0,0.27899999999999997,P00739
117,Q9U7D3,False,1,0,0.0,0.22,O70513
118,W3VKA4,False,1,0,3.0,0.23399999999999999,Q9JLI3
119,F4K5W8,False,1,0,4.0,0.218,Q9JHI0
120,P37840,False,1,0,0.0,0.242,P47867
121,Q9P8V9,False,1,0,4.0,0.27699999999999997,Q9P4E7
122,D4B1N9,False,1,0,3.0,0.231,P38616
123,Q08380,False,1,0,4.0,0.25,Q00898
124,Q99041,False,1,0,3.0,0.237,Q9GZV9
125,P12032,False,1,0,1.0,0.268,Q12891
126,P35624,False,1,0,1.0,0.244,Q072L5
127,Q9UJW2,False,1,0,4.0,0.24600000000000002,P86728
128,Q9DER7,False,1,0,3.0,0.23800000000000002,Q8MM24
129,O15393,False,1,0,1.0,0.23,F5CPD8
130,P0C7W2,False,1,0,0.0,0.233,Q8NKB6
131,Q27084,False,1,0,3.0,0.248,Q9JJZ5
132,Q22328,False,1,0,3.0,0.23,D4B3C8
133,A1EC31,False,1,0,0.0,0.248,Q07990
134,Q27394,False,1,0,3.0,0.22699999999999998,Q9MAP7
135,P18424,False,1,0,4.0,0.265,Q9YGJ8
136,Q02763,False,1,0,3.0,0.233,P11997
137,P20414,False,1,0,1.0,0.254,P53301
138,Q9VBV3,False,1,0,3.0,0.25,P08571
139,Q2PGY1,False,1,0,3.0,0.25,Q2UUZ1
140,Q9Y4K0,False,1,0,0.0,0.24600000000000002,Q9Y0X6
141,P04916,False,1,0,3.0,0.23199999999999998,Q95333
142,Q9VV36,False,1,0,4.0,0.254,Q8NK90
143,P42854,False,1,0,4.0,0.26899999999999996,P05140
144,Q91053,False,1,0,1.0,0.262,G4NK46
145,Q8R2Z5,False,1,0,0.0,0.231,H2A0L6
146,B1A4F7,False,1,0,0.0,0.252,Q2UH35
147,Q8VHI5,False,1,0,3.0,0.228,Q5AMT2
148,P02774,False,1,0,3.0,0.228,Q9NP95
149,B6EY09,False,1,0,4.0,0.259,P08571
150,Q4P902,False,1,0,4.0,0.239,P86728
151,P93349,False,1,0,0.0,0.218,A6ND01
152,I1S2K3,False,1,0,3.0,0.23800000000000002,Q8MU95
153,W0HFK8,False,1,0,4.0,0.244,Q28019
154,Q6UX27,False,1,0,3.0,0.22399999999999998,O14558
155,Q91516,False,1,0,1.0,0.23600000000000002,P86734
156,Q39099,False,1,0,0.0,0.213,D4B2W4
157,Q2PGV8,False,1,0,4.0,0.225,A0A1R3S3A8
158,B5A7N4,False,1,0,3.0,0.258,Q9C7U5
159,A8TGA1,False,1,0,2.0,0.271,Q5AHE8
160,Q5BKQ4,False,1,0,2.0,0.242,P48284
161,B5DF27,False,1,0,0.0,0.225,Q19791
162,Q9XSC9,False,1,0,4.0,0.231,P83493
163,Q8SPJ0,False,1,0,3.0,0.243,P10152
164,P20062,False,1,0,4.0,0.243,Q06890
165,Q2ULM2,False,1,0,0.0,0.243,Q5AMF7
166,Q670P5,False,1,0,0.0,0.22899999999999998,A2CKF6
167,Q6T6C1,False,1,0,3.0,0.254,Q9NP95
168,D4B528,False,1,0,4.0,0.243,Q8MTX2
169,Q28388,False,1,0,3.0,0.243,P41222
170,G5EGH7,False,1,0,0.0,0.24600000000000002,P86959
171,Q6XZB0,False,1,0,3.0,0.22699999999999998,P07743
172,Q8NHL6,False,1,0,4.0,0.252,Q5AF41
173,P06858,False,1,0,0.0,0.21100000000000002,Q9STY5
174,P53761,False,1,0,4.0,0.248,Q8NCC3
175,Q9P4E8,False,1,0,4.0,0.254,Q9P4E7
176,O94091,False,1,0,4.0,0.268,Q8TGE1
177,O95970,False,1,0,3.0,0.233,Q8MU95
178,Q03626,False,1,0,4.0,0.21899999999999997,Q9SJ81
179,A2AJB7,False,1,0,0.0,0.248,Q9QXU1
180,Q3YBN2,False,1,0,3.0,0.235,A0A1D5PUP4
181,P80607,False,1,0,0.0,0.254,P10252
182,O04300,False,1,0,0.0,0.254,P10252
183,P98137,False,1,0,4.0,0.24600000000000002,G0RUP7
184,Q9FUJ3,False,1,0,3.0,0.21899999999999997,D4B3C8
185,P19438,False,1,0,3.0,0.231,P83059
186,P06744,False,1,0,0.0,0.23399999999999999,Q5A8I6
187,Q8T115,False,1,0,3.0,0.242,P11997
188,D4ATA2,False,1,0,4.0,0.22399999999999998,Q9Z175
189,Q63041,False,1,0,4.0,0.22,Q8R481
190,Q8IFJ8,False,1,0,3.0,0.21600000000000003,Q9JHF9
191,Q5A7R7,False,1,0,2.0,0.252,Q17025
192,Q7Z1K3,False,1,0,0.0,0.27,Q9T039
193,Q01117,False,1,0,4.0,0.261,O13692
194,Q8NK92,False,1,0,0.0,0.256,O04529
195,Q9BY76,False,1,0,3.0,0.254,O95274
196,P07355,False,1,0,4.0,0.231,D4AK94
197,P55083,False,1,0,3.0,0.233,D4AVJ0
198,Q6Q788,False,1,0,1.0,0.273,Q8BJ66
199,Q06601,False,1,0,2.0,0.281,B3A0R8
200,P35581,False,1,0,2.0,0.281,B3A0R8
201,B1P0S1,False,1,0,2.0,0.261,Q54LH6
202,P02652,False,1,0,1.0,0.268,P60985
203,P31696,False,1,0,0.0,0.235,O00182
204,P04083,False,1,0,4.0,0.25,A1IKL2
205,H2A0M3,False,1,0,1.0,0.23,Q32LB5
206,P0DN29,False,1,0,4.0,0.24600000000000002,P35763
207,A8K2U0,False,1,0,4.0,0.23800000000000002,P84688
208,Q95P07,False,1,0,3.0,0.22,D4B0F8
209,Q9P8P3,False,1,0,2.0,0.275,O80517
210,P07987,False,1,0,1.0,0.282,Q9R0R1
211,Q09101,False,1,0,3.0,0.23399999999999999,Q8WUM4
212,D4ATS1,False,1,0,4.0,0.235,Q9V3D4
213,Q06ZW0,False,1,0,3.0,0.25,P0DP57
214,P62694,False,1,0,2.0,0.27,Q99PI8
215,P01023,False,1,0,4.0,0.231,P22079
216,D4AV98,False,1,0,1.0,0.244,Q04951
217,G4MMH2,False,1,0,2.0,0.267,Q69F56
218,F8J2D7,False,1,0,3.0,0.258,H3BJG9
219,Q9C9H5,False,1,0,4.0,0.237,P34884
220,B3A0Q2,False,1,0,2.0,0.252,B3A0R3
221,P31398,False,1,0,0.0,0.257,Q6WRI0
222,Q75VN4,False,1,0,4.0,0.223,P29965
223,D4B0N9,False,1,0,0.0,0.242,P10960
224,D4AWM9,False,1,0,1.0,0.25,D4B2Q8
225,P28240,False,1,0,4.0,0.24,D2KX90
226,Q7SDR1,False,1,0,0.0,0.272,Q66NB7
227,Q8VIM0,False,1,0,1.0,0.237,Q9H3R2
228,D4AK18,False,1,0,4.0,0.228,P0CY27
229,D4B0M5,False,1,0,0.0,0.244,P79085
230,P30292,False,1,0,4.0,0.254,Q8J0I9
231,P19269,False,1,0,4.0,0.287,O94549
232,Q07936,False,1,0,4.0,0.222,D4AK94
233,O60218,False,1,0,1.0,0.215,Q6WRU0
