,AC,label-val,cluster,max_ident_other,closest_other
0,P02649,0,0,0.228,Q8R1L8
1,P29022,0,0,0.262,A7XQ02
2,O49586,1,0,0.324,Q9ZT16
3,Q5A5M7,1,0,0.324,D4AXU8
4,Q26474,1,0,0.225,Q9D0T7
5,Q9BEA8,0,0,0.254,P50591
6,B3A0Q1,0,0,0.26,Q5AG46
7,P22146,1,0,0.38799999999999996,O13318
8,P47032,0,0,0.461,Q5AB48
9,Q868Z9,0,0,0.24600000000000002,O02372
10,P86859,0,0,0.28,Q9LY09
11,W4VSG7,0,0,0.252,Q9XF04
12,Q9C9Z9,0,0,0.252,Q8TGE1
13,B0BK71,0,0,0.25,Q8J0I9
14,C5J888,0,0,0.29100000000000004,A0A0A1I6E7
15,P19259,1,0,0.24100000000000002,P46992
16,Q9QUR8,1,0,0.243,Q94637
17,O42815,0,0,0.23800000000000002,Q09788
18,Q6WRI0,0,0,0.257,P31398
19,Q9BPI0,0,0,0.37,P58846
20,Q28019,0,0,0.34299999999999997,Q9NS15
21,B6HY15,0,0,0.442,B5LUR1
22,Q9EQX0,0,0,0.244,P01142
23,D4APE2,0,0,0.23800000000000002,Q20222
24,Q8LCE4,1,0,0.414,Q9M0S4
25,D4B0X3,0,0,0.233,P38616
26,P46379,0,0,0.23399999999999999,Q5A8I6
27,Q6ZMM2,0,0,0.218,Q5Y808
28,D4ARV2,0,0,0.244,D4AUH6
29,Q84WS0,0,0,0.387,Q9LNU1
30,Q9PWF3,0,0,0.29,P59938
31,Q9VEG6,0,0,0.27,P22079
32,Q86QT3,0,0,0.278,P85213
33,Q4WCX9,1,0,0.318,Q8TG42
34,Q8MJF1,0,0,0.261,Q9BXN1
35,P24855,0,0,0.32299999999999995,O55070
36,Q96VB6,0,0,0.419,Q6PRW6
37,Q5A1B2,1,0,0.292,P32623
38,Q9H4F8,0,0,0.368,Q8CD91
39,D4B4V1,0,0,0.258,Q5ACP5
40,P81941,0,0,0.244,P0DMF3
41,D2Y2C8,0,0,0.24600000000000002,P80957
42,Q68SA9,0,0,0.248,P90884
43,Q6WRU0,1,0,0.369,Q8R2Q8
44,Q9H4A9,1,0,0.245,Q9LX20
45,Q8I817,0,0,0.23,P0DP57
46,Q3TR08,0,0,0.205,Q9NQ76
47,P23433,0,0,0.23,A8K2U0
48,C0K3N1,0,0,0.223,Q8ISL8
49,Q9Y2I2,1,0,0.258,H3BJG9
50,Q8BJ66,0,0,0.28600000000000003,Q8WX77
51,P83580,0,0,0.266,B4YSU8
52,A2QH21,1,0,0.431,Q5AUT0
53,Q99935,0,0,0.272,Q5APJ9
54,Q9VBV3,0,0,0.243,P85259
55,P18170,0,0,0.226,Q8WUM4
56,Q32PB3,1,0,0.28,P97766
57,P56161,1,0,0.24100000000000002,Q27677
58,Q0VKG8,0,0,0.406,P86093
59,Q8C165,0,0,0.217,H2A0M7
60,Q9VJS7,0,0,0.237,Q00604
61,Q810U4,0,0,0.22899999999999998,Q14BU0
62,Q9JIE6,0,0,0.23600000000000002,Q9P8W5
63,H2A0K9,0,0,0.392,P86949
64,Q5F378,0,0,0.21600000000000003,B3A0P2
65,P24001,0,0,0.218,P78423
66,Q84J95,0,0,0.239,C3VVN6
67,Q9FGG1,0,0,0.312,Q9SJ24
68,Q5ADQ7,1,0,0.325,Q9FZD0
69,O94772,1,0,0.325,Q9DD23
70,P30120,0,0,0.24100000000000002,Q10471
71,O74922,1,0,0.429,O94549
72,D4AZC5,1,0,0.425,Q5A8I8
73,Q9GU58,0,0,0.264,A0A1R3S3A8
74,Q8NJP6,0,0,0.419,E7EF85
75,Q9R1J8,0,0,0.24,Q2L4Q9
76,H2A0M8,0,0,0.24,K0P7H2
77,P25653,1,0,0.29100000000000004,Q5AJV5
78,Q59L96,1,0,0.318,P40092
79,P08174,1,0,0.369,Q61475
80,O08545,1,0,0.268,Q9LX20
81,P02776,0,0,0.237,Q07490
82,Q6UX73,0,0,0.242,A0A088MIT0
83,Q29411,0,0,0.22699999999999998,Q5VYX0
84,W4VS16,0,0,0.268,P58846
85,Q13449,1,0,0.27399999999999997,Q12218
86,P86960,0,0,0.344,P22626
87,P16548,0,0,0.24600000000000002,P15516
88,B3FIN4,0,0,0.243,P81791
89,O94813,0,0,0.27399999999999997,P24014
90,G5ED35,0,0,0.226,P22466
91,O76096,0,0,0.324,Q6T6T4
92,P86967,0,0,0.225,Q9NQ76
93,O65375,0,0,0.322,Q8WUM4
94,D4B1S6,0,0,0.248,E9QA28
95,P15693,1,0,0.46299999999999997,P24822
96,P79019,0,0,0.24100000000000002,Q9H1B5
97,Q9QXV0,0,0,0.25,Q39176
98,Q1ELU8,0,0,0.23,O08692
