,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,ALWZ045848916.1_423-540,False,0,0,0.0,0.7659999999999999,ALWZ045862116.1_11130-11009
1,CM002889.2_6705620-6705734,False,0,0,2.0,0.741,CM002892.2_12489342-12489446
2,ALWS01099705.1_41386-41504,False,0,0,1.0,0.76,ALWS01033495.1_4755-4637
3,HE587305.1_2589949-2589831,False,0,0,3.0,0.7979999999999999,AYZS02043457.1_616-734
4,LJIZ01000034.1_63135-63020,False,0,0,4.0,0.7979999999999999,GL538352.1_1128682-1128567
5,GG666532.1_339781-339663,False,0,0,3.0,0.7070000000000001,ALWS01075829.1_53215-53097
6,ALWS01108704.1_44678-44559,False,0,0,1.0,0.7829999999999999,ALWS01036190.1_20496-20391
7,X06056.1_924-806,False,0,0,3.0,0.674,V00647.1_1-119
8,APWO02001413.1_3968-4084,False,0,0,1.0,0.75,HE587305.1_2589949-2589831
9,AFYH01228503.1_4884-4769,False,0,0,1.0,0.71,CM002897.2_4266166-4266282
10,JH835983.1_962511-962616,False,0,0,1.0,0.748,GK000001.2_17827803-17827697
11,CM001420.1_12764589-12764478,False,0,0,2.0,0.6940000000000001,KN150479.1_10965-10852
12,KN150479.1_10965-10852,False,0,0,3.0,0.782,CM002889.2_17029298-17029414
13,NIDE01000015.1_51061-51169,False,0,0,3.0,0.741,CP001068.1_3258461-3258349
14,JXRU01000032.1_66-182,False,0,0,3.0,0.733,JMFY01000039.1_22-138
15,AFYH01001579.1_21413-21518,False,0,0,1.0,0.741,CM001509.2_22304724-22304822
16,CP009922.2_2414771-2414655,False,0,0,3.0,0.738,JMFY01000039.1_22-138
17,ALWS01093046.1_41504-41383,False,0,0,1.0,0.7659999999999999,ALWS01033495.1_4755-4637
18,LFJF01048717.1_6002-5884,False,0,0,1.0,0.773,ACJG01017458.1_927-1045
19,AFYH01018453.1_160-278,False,0,0,4.0,0.773,AFYH01279708.1_916-797
20,AYZS02043457.1_616-734,False,0,0,1.0,0.7979999999999999,ACJG01017458.1_927-1045
21,KV454539.1_823215-823095,False,0,0,4.0,0.7559999999999999,LXTC01000003.1_1276214-1276334
22,AFYH01004526.1_7361-7480,False,0,0,4.0,0.7040000000000001,ALWS01163382.1_61133-61015
