AC,label-val,cluster
Q8TF40,0,0.0
Q80TD3,0,0.0
Q9P278,0,0.0
Q1ENB6,0,1.0
O04862,0,1.0
P36001,0,2.0
Q12676,0,2.0
P55317,0,3.0
P35582,0,3.0
P35583,0,3.0
Q9Y261,0,3.0
Q9PSY4,0,4.0
P55316,0,4.0
Q9BZS1,0,1.0
Q99JB6,0,1.0
F4K2A1,0,2.0
B0YLW8,0,4.0
Q9SZL8,0,0.0
O82533,0,2.0
Q9LXJ0,0,2.0
Q8UVD9,0,4.0
Q99PF5,0,0.0
Q92945,0,0.0
P93033,0,1.0
P08417,0,1.0
Q91904,0,3.0
Q6EWH2,0,4.0
Q9URU9,0,2.0
P53913,0,3.0
O60318,0,4.0
Q9WUU9,0,4.0
Q64378,0,0.0
Q9XSH5,0,0.0
Q9QVC8,0,0.0
Q02790,0,0.0
P30416,0,0.0
Q7Z7B0,0,1.0
Q8K4T4,0,1.0
Q6P8X9,0,2.0
P53233,0,3.0
Q06787,0,2.0
P35922,0,2.0
Q5BJ56,0,2.0
P51114,0,2.0
Q9NFU0,0,2.0
Q8W493,0,3.0
Q05932,0,4.0
P21525,0,1.0
Q99958,0,3.0
O00358,0,4.0
P32614,0,1.0
P21375,0,1.0
Q9ASS2,0,3.0
Q9C0B1,0,4.0
Q8BGW1,0,4.0
P85845,0,3.0
Q16658,0,3.0
Q32M02,0,3.0
P02835,0,0.0
P91623,0,1.0
Q9FV81,0,4.0
Q9UT77,0,0.0
P49027,0,1.0
O42248,0,1.0
P68040,0,1.0
P38011,0,1.0
P83774,0,1.0
O24456,0,1.0
Q9M365,0,2.0
Q09312,0,4.0
Q9N5M6,0,4.0
Q2VWH6,0,0.0
Q9ESP5,0,0.0
Q804Q5,0,0.0
Q8BY35,0,2.0
Q945P0,0,3.0
Q9SFV2,0,3.0
Q9SFV6,0,3.0
Q5HY92,0,2.0
Q6PIW4,0,2.0
Q8NFG4,0,4.0
Q9LGE3,0,4.0
F4IMQ0,0,0.0
O35943,0,2.0
Q3E7I5,0,3.0
Q9M8J3,0,3.0
Q6NQJ7,0,4.0
Q5UBY2,0,4.0
Q5TBA9,0,0.0
O95073,0,2.0
D3ZXW3,0,2.0
Q05015,0,0.0
Q75W17,0,1.0
Q9H469,0,3.0
Q6P050,0,4.0
Q8C7B6,0,4.0
Q9UTG6,0,0.0
Q9CZS3,0,1.0
Q96NB1,0,1.0
Q9QY14,0,2.0
Q13461,0,2.0
Q9I9E1,0,3.0
O43524,0,0.0
Q8W035,0,3.0
Q14331,0,4.0
P97376,0,4.0
Q6GLS8,0,4.0
P42685,0,0.0
Q42545,0,1.0
Q9UTI1,0,2.0
Q9P7U7,0,2.0
Q8N1E6,0,3.0
P04406,0,0.0
Q9FX54,0,0.0
P00360,0,0.0
P00359,0,0.0
P09124,0,0.0
P17721,0,0.0
Q06179,0,1.0
P32785,0,3.0
A2RVV7,0,1.0
Q70KY4,0,2.0
Q9P7X3,0,3.0
P16892,0,4.0
P14681,0,4.0
Q9Z2A6,0,4.0
O76039,0,4.0
Q86XJ1,0,1.0
P11862,0,1.0
P24522,0,2.0
Q08605,0,3.0
P42283,0,3.0
Q86B87,0,3.0
Q6YWF1,0,2.0
Q9FHP6,0,2.0
Q9LVH4,0,2.0
Q8LK61,0,1.0
P14234,0,1.0
O89106,0,3.0
F4KEV7,0,3.0
Q9WTX7,0,4.0
Q5TD97,0,4.0
Q2V2M9,0,0.0
Q76LL6,0,0.0
Q9LT47,0,1.0
O74191,0,2.0
Q96330,0,1.0
Q0VG06,0,2.0
Q8LPQ9,0,3.0
Q03002,0,4.0
P70339,0,0.0
O14276,0,1.0
Q920R4,0,2.0
Q5JY77,0,2.0
Q3UCQ1,0,3.0
Q01167,0,3.0
P58012,0,4.0
O88470,0,4.0
Q8K3Q3,0,0.0
Q9R1E0,0,1.0
Q95V55,0,0.0
Q9H334,0,1.0
Q07825,0,2.0
Q9ZR07,0,3.0
Q16595,0,4.0
Q07540,0,0.0
Q5SYB0,0,1.0
P38777,0,2.0
Q9DEN4,0,3.0
Q9CZV8,0,4.0
Q9UQC2,0,0.0
Q9VZZ9,0,0.0
P17649,0,1.0
O13837,0,1.0
Q15007,0,2.0
P53889,0,3.0
Q9P7L4,0,3.0
P36141,0,4.0
P55318,0,2.0
O16850,0,4.0
F4J2K2,0,0.0
O95684,0,1.0
Q96NE9,0,2.0
P36088,0,3.0
Q3EBQ3,0,4.0
Q9ZVC9,0,0.0
Q9S793,0,1.0
Q9PRJ8,0,2.0
O15117,0,3.0
Q8VZS9,0,4.0
Q8L3Z8,0,4.0
O36024,0,0.0
P40099,0,1.0
Q68CZ1,0,2.0
Q8CG73,0,2.0
Q9GPZ7,0,3.0
Q12247,0,0.0
Q8GVZ6,0,1.0
Q6NNI3,0,1.0
Q8TAE8,0,3.0
P83780,0,4.0
Q61169,0,0.0
Q92908,0,0.0
P33893,0,2.0
Q9FWR5,0,3.0
Q94AU7,0,3.0
Q9C6B3,0,3.0
Q9SX77,0,3.0
P15442,0,4.0
Q96RT7,0,1.0
O46567,0,2.0
P06536,0,2.0
P06537,0,2.0
P04150,0,2.0
Q9SY66,0,4.0
Q8N4E7,0,0.0
P35637,0,1.0
O74972,0,4.0
Q7L622,0,0.0
O59812,0,1.0
Q9W3Y4,0,4.0
Q04739,0,0.0
F4JV80,0,1.0
O43716,0,3.0
Q8WUU5,0,4.0
Q84P53,0,0.0
Q8SY33,0,1.0
P62879,0,2.0
Q5GIS3,0,2.0
P30793,0,3.0
H2L099,0,4.0
O61122,0,4.0
Q8LSN3,0,0.0
Q07098,0,0.0
