,AC,label-val,cluster,max_ident_other,closest_other
0,Q8TF40,0,0.0,0.299,P29344
1,Q80TD3,0,0.0,0.312,P01902
2,Q9P278,0,0.0,0.317,P01902
3,Q1ENB6,0,1.0,0.28,P48732
4,O04862,0,1.0,0.299,O43007
5,P36001,0,2.0,0.312,Q6K1L7
6,Q12676,0,2.0,0.3,Q8LE47
7,P55317,0,3.0,0.321,P55318
8,P35582,0,3.0,0.321,P55318
9,P35583,0,3.0,0.293,Q9BXB5
10,Q9Y261,0,3.0,0.28800000000000003,P55318
11,Q9PSY4,0,4.0,0.326,Q9DEN4
12,P55316,0,4.0,0.278,Q7Z417
13,Q9BZS1,0,1.0,0.35100000000000003,Q07666
14,Q99JB6,0,1.0,0.35,Q195N6
15,F4K2A1,0,2.0,0.28600000000000003,Q8RWT8
16,B0YLW8,0,4.0,0.289,G8JZT0
17,Q9SZL8,0,0.0,0.27399999999999997,Q71A39
18,O82533,0,2.0,0.295,P83326
19,Q9LXJ0,0,2.0,0.312,Q9MA46
20,Q8UVD9,0,4.0,0.293,C5P3X6
21,Q99PF5,0,0.0,0.41,P22509
22,Q92945,0,0.0,0.408,P51532
23,P93033,0,1.0,0.309,P08670
24,P08417,0,1.0,0.268,Q924W6
25,Q91904,0,3.0,0.282,P16163
26,Q6EWH2,0,4.0,0.32899999999999996,F1LM93
27,Q9URU9,0,2.0,0.284,Q9USM4
28,P53913,0,3.0,0.276,Q9HG09
29,O60318,0,4.0,0.311,Q869N2
30,Q9WUU9,0,4.0,0.316,A8K830
31,Q64378,0,0.0,0.312,Q91XW8
32,Q9XSH5,0,0.0,0.308,Q91XW8
33,Q9QVC8,0,0.0,0.31,Q91XW8
34,Q02790,0,0.0,0.306,Q91XW8
35,P30416,0,0.0,0.32899999999999996,Q91XW8
36,Q7Z7B0,0,1.0,0.27399999999999997,Q9C587
37,Q8K4T4,0,1.0,0.278,Q9D5U8
38,Q6P8X9,0,2.0,0.278,Q8H0P8
39,P53233,0,3.0,0.36,Q9NRP7
40,Q06787,0,2.0,0.282,O94359
41,P35922,0,2.0,0.29100000000000004,Q9JJC6
42,Q5BJ56,0,2.0,0.27699999999999997,Q9Y2R9
43,P51114,0,2.0,0.295,Q05513
44,Q9NFU0,0,2.0,0.284,Q99969
45,Q8W493,0,3.0,0.359,Q9FKW6
46,Q05932,0,4.0,0.325,P16611
47,P21525,0,1.0,0.405,P41046
48,Q99958,0,3.0,0.29600000000000004,Q8IZD2
