,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,Q8TF40,False,0,0,0.0,0.299,P29344
1,Q1ENB6,False,0,0,1.0,0.28,P48732
2,P36001,False,0,0,2.0,0.312,Q6K1L7
3,P55317,False,0,0,3.0,0.265,Q9DBR0
4,P35583,False,0,0,3.0,0.293,Q9BXB5
5,Q9PSY4,False,0,0,4.0,0.306,G5EBZ4
6,P55316,False,0,0,1.0,0.278,Q7Z417
7,Q9BZS1,False,0,0,0.0,0.325,Q9UJP4
8,F4K2A1,False,0,0,3.0,0.28600000000000003,Q8RWT8
9,B0YLW8,False,0,0,1.0,0.289,Q91YI6
10,Q9SZL8,False,0,0,2.0,0.27399999999999997,Q71A39
11,O82533,False,0,0,3.0,0.295,P83326
12,Q8UVD9,False,0,0,1.0,0.293,C5P3X6
13,P93033,False,0,0,2.0,0.309,P08670
14,Q91904,False,0,0,2.0,0.282,P16163
15,Q6EWH2,False,0,0,1.0,0.272,P46643
16,Q9URU9,False,0,0,3.0,0.28800000000000003,Q9CUU3
17,P53913,False,0,0,2.0,0.276,Q9HG09
18,O60318,False,0,0,4.0,0.311,Q869N2
19,Q64378,False,0,0,2.0,0.275,Q41649
20,Q7Z7B0,False,0,0,3.0,0.27399999999999997,Q9C587
21,Q6P8X9,False,0,0,3.0,0.278,Q8H0P8
22,P53233,False,0,0,3.0,0.27699999999999997,Q9V4Z9
23,Q06787,False,0,0,4.0,0.256,Q9W1U4
24,Q8W493,False,0,0,2.0,0.28800000000000003,P0AEA3
25,Q05932,False,0,0,0.0,0.299,A7MLE5
26,Q12676,False,0,0,2.0,0.302,Q9Y279
27,P21525,False,0,0,2.0,0.324,Q08601
28,Q99958,False,0,0,2.0,0.29600000000000004,Q8IZD2
29,O00358,False,0,0,3.0,0.301,Q8W4D0
30,P32614,False,0,0,3.0,0.284,Q4ZXX0
31,Q9ASS2,False,0,0,2.0,0.267,Q8H0P8
32,Q9C0B1,False,0,0,4.0,0.33799999999999997,Q3E7Y6
33,Q9LXJ0,False,0,0,3.0,0.282,P93648
34,P85845,False,0,0,2.0,0.303,P50828
