AC,priority,label-val,between_connectivity,cluster
Q8TF40,False,0,0,0.0
Q1ENB6,False,0,0,1.0
P36001,False,0,0,2.0
P55317,False,0,0,3.0
P35583,False,0,0,3.0
Q9PSY4,False,0,0,4.0
P55316,False,0,0,1.0
Q9BZS1,False,0,0,4.0
F4K2A1,False,0,0,1.0
B0YLW8,False,0,0,1.0
Q9SZL8,False,0,0,1.0
O82533,False,0,0,4.0
Q8UVD9,False,0,0,1.0
Q99PF5,False,0,0,4.0
P93033,False,0,0,4.0
Q91904,False,0,0,3.0
Q6EWH2,False,0,0,1.0
Q9URU9,False,0,0,3.0
P53913,False,0,0,3.0
Q64378,False,0,0,4.0
Q7Z7B0,False,0,0,3.0
Q6P8X9,False,0,0,1.0
P53233,False,0,0,4.0
Q06787,False,0,0,3.0
Q8W493,False,0,0,1.0
Q05932,False,0,0,4.0
Q12676,False,0,0,2.0
P21525,False,0,0,0.0
Q99958,False,0,0,1.0
O00358,False,0,0,4.0
P32614,False,0,0,3.0
Q9ASS2,False,0,0,1.0
Q9C0B1,False,0,0,3.0
Q9LXJ0,False,0,0,4.0
P85845,False,0,0,0.0
P02835,False,0,0,1.0
P91623,False,0,0,4.0
Q9FV81,False,0,0,1.0
Q9UT77,False,0,0,1.0
P49027,False,0,0,1.0
O42248,False,0,0,1.0
Q9M365,False,0,0,1.0
Q09312,False,0,0,1.0
Q2VWH6,False,0,0,2.0
Q8BY35,False,0,0,1.0
Q945P0,False,0,0,0.0
Q5HY92,False,0,0,1.0
Q8NFG4,False,0,0,4.0
Q9LGE3,False,0,0,3.0
F4IMQ0,False,0,0,1.0
O35943,False,0,0,4.0
Q3E7I5,False,0,0,4.0
Q6NQJ7,False,0,0,1.0
Q5TBA9,False,0,0,4.0
O95073,False,0,0,1.0
Q16658,False,0,0,0.0
Q05015,False,0,0,3.0
Q9H469,False,0,0,0.0
Q6P050,False,0,0,1.0
Q9UTG6,False,0,0,1.0
Q9CZS3,False,0,0,4.0
Q9QY14,False,0,0,4.0
Q9I9E1,False,0,0,1.0
O43524,False,0,0,4.0
Q8W035,False,0,0,1.0
Q14331,False,0,0,1.0
P42685,False,0,0,1.0
Q9UTP3,False,0,0,1.0
Q42545,False,0,0,4.0
Q9UTI1,False,0,0,1.0
Q8N1E6,False,0,0,1.0
P04406,False,0,0,3.0
Q06179,False,0,0,1.0
Q9NFU0,False,0,0,3.0
P32785,False,0,0,1.0
A2RVV7,False,0,0,1.0
O04862,False,0,0,1.0
Q70KY4,False,0,0,4.0
Q9P7X3,False,0,0,1.0
Q86XJ1,False,0,0,1.0
P24522,False,0,0,1.0
Q08605,False,0,0,4.0
Q6YWF1,False,0,0,1.0
Q8LK61,False,0,0,1.0
P14234,False,0,0,1.0
Q9SFV2,False,0,0,0.0
O89106,False,0,0,1.0
Q9WTX7,False,0,0,1.0
Q2V2M9,False,0,0,1.0
Q9LT47,False,0,0,1.0
O74191,False,0,0,1.0
Q8K4T4,False,0,0,3.0
Q96330,False,0,0,1.0
Q80TD3,False,0,0,0.0
Q0VG06,False,0,0,0.0
Q8LPQ9,False,0,0,4.0
Q6GLS8,False,0,0,1.0
Q03002,False,0,0,1.0
P70339,False,0,0,1.0
P08417,False,0,0,4.0
Q5BJ56,False,0,0,3.0
O14276,False,0,0,1.0
Q920R4,False,0,0,3.0
Q3UCQ1,False,0,0,4.0
P58012,False,0,0,4.0
Q8K3Q3,False,0,0,1.0
Q9R1E0,False,0,0,4.0
Q95V55,False,0,0,1.0
Q9H334,False,0,0,1.0
Q07825,False,0,0,4.0
Q16595,False,0,0,4.0
Q07540,False,0,0,1.0
P97376,False,0,0,1.0
Q5SYB0,False,0,0,1.0
Q9M8J3,False,0,0,4.0
D3ZXW3,False,0,0,1.0
P38777,False,0,0,1.0
Q9DEN4,False,0,0,4.0
Q9CZV8,False,0,0,2.0
Q8C7B6,False,0,0,1.0
P51114,False,0,0,3.0
Q9UQC2,False,0,0,1.0
P17649,False,0,0,1.0
Q9QVC8,False,0,0,4.0
Q15007,False,0,0,4.0
P53889,False,0,0,1.0
P36141,False,0,0,1.0
P55318,False,0,0,3.0
Q9Y261,False,0,0,3.0
Q13461,False,0,0,4.0
O16850,False,0,0,1.0
Q99JB6,False,0,0,4.0
F4J2K2,False,0,0,1.0
O95684,False,0,0,4.0
Q96NE9,False,0,0,1.0
P36088,False,0,0,1.0
Q3EBQ3,False,0,0,1.0
Q9ZVC9,False,0,0,1.0
Q9S793,False,0,0,1.0
Q92945,False,0,0,4.0
Q9PRJ8,False,0,0,0.0
O15117,False,0,0,4.0
Q8VZS9,False,0,0,4.0
Q32M02,False,0,0,0.0
O36024,False,0,0,1.0
P40099,False,0,0,4.0
Q68CZ1,False,0,0,3.0
Q8BGW1,False,0,0,3.0
Q9GPZ7,False,0,0,1.0
Q12247,False,0,0,1.0
Q8GVZ6,False,0,0,3.0
Q8TAE8,False,0,0,4.0
P83780,False,0,0,1.0
Q61169,False,0,0,4.0
P33893,False,0,0,1.0
Q9FWR5,False,0,0,1.0
P15442,False,0,0,1.0
Q96RT7,False,0,0,1.0
O46567,False,0,0,4.0
Q9SY66,False,0,0,1.0
Q5UBY2,False,0,0,1.0
Q8N4E7,False,0,0,4.0
Q8CG73,False,0,0,3.0
P35637,False,0,0,0.0
O74972,False,0,0,1.0
Q8L3Z8,False,0,0,4.0
Q7L622,False,0,0,1.0
Q9FX54,False,0,0,3.0
O59812,False,0,0,1.0
Q9W3Y4,False,0,0,1.0
Q04739,False,0,0,1.0
F4JV80,False,0,0,4.0
Q8WUU5,False,0,0,4.0
Q84P53,False,0,0,1.0
Q8SY33,False,0,0,3.0
P62879,False,0,0,1.0
Q5GIS3,False,0,0,1.0
P30793,False,0,0,1.0
H2L099,False,0,0,4.0
Q8LSN3,False,0,0,1.0
P42776,False,0,0,4.0
Q9HDV9,False,0,0,4.0
O80988,False,0,0,1.0
Q9VRJ0,False,0,0,3.0
P38812,False,0,0,1.0
P30047,False,0,0,1.0
Q9LR30,False,0,0,1.0
P40208,False,0,0,1.0
P38783,False,0,0,1.0
O13837,False,0,0,1.0
Q8CA72,False,0,0,4.0
Q5JY77,False,0,0,3.0
Q9LRH6,False,0,0,0.0
P43694,False,0,0,4.0
Q94CE5,False,0,0,1.0
Q10282,False,0,0,1.0
P42775,False,0,0,4.0
P38011,False,0,0,1.0
Q9SMN1,False,0,0,1.0
P16068,False,0,0,1.0
Q06625,False,0,0,1.0
P39958,False,0,0,1.0
P39993,False,0,0,1.0
Q09733,False,0,0,1.0
Q9VVX0,False,0,0,1.0
Q9H840,False,0,0,4.0
P55163,False,0,0,1.0
Q9P7R5,False,0,0,1.0
Q9M0A7,False,0,0,3.0
Q9LUD9,False,0,0,1.0
Q7XAK4,False,0,0,4.0
P27469,False,0,0,1.0
P00360,False,0,0,3.0
Q8H103,False,0,0,4.0
Q92908,False,0,0,4.0
A6NHX0,False,0,0,1.0
Q84P54,False,0,0,1.0
P97265,False,0,0,2.0
Q9H227,False,0,0,2.0
P49177,False,0,0,1.0
P42777,False,0,0,2.0
Q9SJU9,False,0,0,4.0
Q94AU7,False,0,0,1.0
Q27403,False,0,0,1.0
P33892,False,0,0,1.0
Q94B78,False,0,0,1.0
Q9C104,False,0,0,1.0
P52566,False,0,0,3.0
Q8TEQ6,False,0,0,4.0
Q03555,False,0,0,1.0
Q8GWW8,False,0,0,1.0
O70237,False,0,0,4.0
Q8RWE8,False,0,0,1.0
Q9LQT8,False,0,0,4.0
P28007,False,0,0,4.0
P11862,False,0,0,1.0
Q9ZPQ3,False,0,0,1.0
Q8WXD5,False,0,0,1.0
P34802,False,0,0,4.0
Q9STX3,False,0,0,1.0
Q641A1,False,0,0,1.0
Q6DFA8,False,0,0,1.0
P34689,False,0,0,4.0
Q8K1M4,False,0,0,4.0
P00359,False,0,0,3.0
Q9M350,False,0,0,1.0
Q7XJ96,False,0,0,1.0
Q9H0R6,False,0,0,1.0
Q8WTX7,False,0,0,1.0
Q84P52,False,0,0,1.0
P35573,False,0,0,1.0
Q9USN5,False,0,0,1.0
Q99PT1,False,0,0,3.0
Q32NR9,False,0,0,1.0
Q9SSQ4,False,0,0,1.0
P40492,False,0,0,1.0
Q9WUU9,False,0,0,0.0
P17679,False,0,0,4.0
Q14397,False,0,0,1.0
P06536,False,0,0,4.0
A3C6G9,False,0,0,4.0
Q02979,False,0,0,1.0
P83774,False,0,0,1.0
Q9C6B3,False,0,0,1.0
Q09785,False,0,0,1.0
Q9TU03,False,0,0,3.0
A4FVR1,False,0,0,1.0
Q9Y2X7,False,0,0,1.0
P27900,False,0,0,3.0
O13702,False,0,0,1.0
P47011,False,0,0,4.0
Q93YV0,False,0,0,1.0
Q7L5D6,False,0,0,4.0
Q5VTD9,False,0,0,4.0
O22043,False,0,0,1.0
O59703,False,0,0,1.0
Q9NWU2,False,0,0,1.0
Q12418,False,0,0,1.0
P30627,False,0,0,2.0
P91420,False,0,0,1.0
Q12315,False,0,0,1.0
Q61602,False,0,0,4.0
O22287,False,0,0,4.0
Q9FMV1,False,0,0,1.0
P16383,False,0,0,4.0
Q9SGA2,False,0,0,1.0
O59679,False,0,0,1.0
Q8IS21,False,0,0,1.0
D3YN49,False,0,0,1.0
O74432,False,0,0,1.0
Q6L545,False,0,0,1.0
O02658,False,0,0,1.0
O23647,False,0,0,4.0
Q0VGT2,False,0,0,3.0
Q6XP49,False,0,0,1.0
