,AC,priority,label-val,between_connectivity,cluster,max_ident_other,closest_other
0,Q8TF40,False,0,0,0.0,0.299,P29344
1,Q1ENB6,False,0,0,1.0,0.28,P48732
2,P36001,False,0,0,2.0,0.289,P97473
3,P55317,False,0,0,3.0,0.265,Q9DBR0
4,P35583,False,0,0,3.0,0.293,Q9BXB5
5,Q9PSY4,False,0,0,4.0,0.3,Q86WG3
6,P55316,False,0,0,1.0,0.262,A4PES0
7,Q9BZS1,False,0,0,4.0,0.293,O08560
8,F4K2A1,False,0,0,1.0,0.28600000000000003,Q8RWT8
9,B0YLW8,False,0,0,1.0,0.26899999999999996,G0A7H1
10,Q9SZL8,False,0,0,1.0,0.262,G5EGQ5
11,O82533,False,0,0,4.0,0.278,P53166
12,Q8UVD9,False,0,0,1.0,0.293,C5P3X6
13,Q99PF5,False,0,0,4.0,0.28800000000000003,Q8NEP3
14,P93033,False,0,0,4.0,0.29100000000000004,P02879
15,Q91904,False,0,0,3.0,0.259,P0C7T5
16,Q6EWH2,False,0,0,1.0,0.272,P46643
17,Q9URU9,False,0,0,3.0,0.28800000000000003,Q9CUU3
18,P53913,False,0,0,3.0,0.276,Q12400
19,Q64378,False,0,0,4.0,0.295,P13587
20,Q7Z7B0,False,0,0,3.0,0.263,O35927
21,Q6P8X9,False,0,0,1.0,0.278,Q8H0P8
22,P53233,False,0,0,4.0,0.27699999999999997,Q9V4Z9
23,Q06787,False,0,0,3.0,0.282,O94359
24,Q8W493,False,0,0,1.0,0.29100000000000004,Q9SGS4
25,Q05932,False,0,0,4.0,0.289,F4IZM8
26,Q12676,False,0,0,2.0,0.293,P59942
27,P21525,False,0,0,0.0,0.295,Q7Z417
28,Q99958,False,0,0,1.0,0.29600000000000004,Q8IZD2
29,O00358,False,0,0,4.0,0.276,Q13887
30,P32614,False,0,0,3.0,0.293,P32397
31,Q9ASS2,False,0,0,1.0,0.267,Q8H0P8
32,Q9C0B1,False,0,0,3.0,0.278,P56645
33,Q9LXJ0,False,0,0,4.0,0.28,Q6PD74
34,P85845,False,0,0,0.0,0.289,Q9NQP4
35,P02835,False,0,0,1.0,0.273,Q9Y238
