,AC,label-val,cluster,max_ident_other,closest_other
0,Q09706,0,0.0,0.295,Q9SWA6
1,Q9T053,0,2.0,0.27899999999999997,Q80UG8
2,Q9T051,0,2.0,0.272,Q4AC94
3,Q9T052,0,2.0,0.282,P04842
4,Q12017,0,3.0,0.299,Q05D44
5,Q9H2J4,0,3.0,0.312,Q8NBZ0
6,A8MS68,0,2.0,0.316,Q9MAQ0
7,Q6P1K2,0,3.0,0.293,Q9SAK7
8,Q07930,0,0.0,0.266,Q9FL26
9,Q6ZPK0,0,3.0,0.299,Q8NDV7
10,Q9NQP4,0,4.0,0.289,P85845
11,P0DKC4,0,2.0,0.299,P22221
12,P67778,0,1.0,0.304,O59180
13,Q9BKU4,0,1.0,0.309,Q5XIH7
14,P40961,0,1.0,0.27399999999999997,P25786
15,Q9P7H3,0,1.0,0.284,Q9PA74
16,Q71A39,0,3.0,0.282,Q96BU1
17,Q9WTR8,0,0.0,0.366,Q0E3C8
18,Q38CE9,0,1.0,0.27399999999999997,Q9D0L1
19,A2A3N6,0,4.0,0.299,O36023
20,O18400,0,1.0,0.312,Q8SY41
21,Q9S775,0,3.0,0.28600000000000003,Q03034
22,A1Z7T0,0,2.0,0.37,Q8BWW9
23,Q99959,0,4.0,0.312,P85971
24,Q9SIN9,0,4.0,0.282,O81629
25,Q4KWH8,0,1.0,0.312,Q680Q4
26,Q62688,0,2.0,0.325,Q8H0W0
27,Q54WR4,0,4.0,0.273,P38805
28,Q9URV1,0,0.0,0.295,Q8R3H7
29,O74374,0,4.0,0.272,P91420
30,P37012,0,4.0,0.282,P26901
31,P33401,0,4.0,0.295,Q968Z6
32,Q15124,0,4.0,0.289,Q5H9J7
33,Q54Q99,0,4.0,0.275,Q7YR23
34,Q17381,0,1.0,0.28,Q10425
35,Q8L5W8,0,4.0,0.3,Q8RY59
36,Q86V86,0,1.0,0.309,Q6ACU3
37,Q9P7A1,0,3.0,0.284,P12637
38,Q8CDG1,0,1.0,0.306,A2CEI6
39,Q53GL0,0,4.0,0.289,Q09842
40,Q9CWV6,0,3.0,0.325,Q8H136
41,Q9UM63,0,0.0,0.276,Q9NX58
42,P11490,0,4.0,0.5,P11970
43,P42699,0,4.0,0.563,P00289
44,O60664,0,4.0,0.303,Q52KF3
45,M0R7Z9,0,2.0,0.28600000000000003,Q04779
46,Q8BVZ1,0,2.0,0.3,P06536
47,Q4FZD7,0,0.0,0.321,Q39016
48,O14095,0,2.0,0.284,Q9Y592
49,P22045,0,2.0,0.413,Q0PGJ6
50,Q9GV41,0,2.0,0.37200000000000005,Q6IMN8
51,O42888,0,2.0,0.442,Q0PGJ6
52,Q9C1X5,0,2.0,0.34700000000000003,O14088
53,O13848,0,2.0,0.36700000000000005,Q6IMN8
54,Q9SQ70,0,2.0,0.373,Q6IMN8
55,B9VRJ2,0,2.0,0.361,Q6IMN8
56,Q9SQ69,0,2.0,0.354,Q6IMN8
57,Q9SQ67,0,2.0,0.373,Q6IMN8
58,P50947,0,2.0,0.295,Q9Y7R3
59,O14318,0,4.0,0.32899999999999996,F4K410
60,P61459,0,4.0,0.295,Q9VF87
61,P48426,0,2.0,0.275,P15196
62,Q384Y1,0,3.0,0.325,P20959
63,Q383A1,0,4.0,0.284,P05366
64,Q9LEK8,0,0.0,0.307,Q5ABZ2
65,Q9SJI7,0,3.0,0.282,Q8AYA2
66,P14923,0,1.0,0.262,Q9D783
67,Q8K4D7,0,4.0,0.282,Q10199
68,Q99216,0,4.0,0.276,Q9VVN4
69,Q00196,0,2.0,0.29100000000000004,P83793
70,P17208,0,1.0,0.273,Q07867
71,G3V7L5,0,1.0,0.33299999999999996,Q9R1A8
72,Q63934,0,1.0,0.34600000000000003,Q9R1A8
73,Q12837,0,1.0,0.34600000000000003,Q9R1A8
74,O74653,0,3.0,0.29100000000000004,P55861
75,Q229Z6,0,3.0,0.295,Q9PPD9
76,P36040,0,1.0,0.28,Q15084
77,Q09855,0,4.0,0.264,P49804
78,O74783,0,2.0,0.28,Q56P42
79,Q96QT6,0,0.0,0.265,Q96524
80,P87233,0,1.0,0.29100000000000004,Q5TAQ9
81,O75151,0,4.0,0.27,P05790
82,Q8WV24,0,3.0,0.303,Q96DU7
83,Q9EP80,0,4.0,0.289,O42904
84,Q9H611,0,0.0,0.309,Q9VH70
85,Q80SX8,0,0.0,0.306,P26894
86,Q384Y0,0,2.0,0.28,Q9SEU7
87,Q57YG0,0,4.0,0.29100000000000004,P01703
88,O74448,0,0.0,0.308,O74958
89,Q8CGT6,0,0.0,0.33299999999999996,O00746
90,Q17850,0,0.0,0.271,P30419
91,Q948R1,0,4.0,0.297,Q12440
92,O88492,0,3.0,0.33799999999999997,Q03490
93,Q20085,0,0.0,0.297,G5EFL0
94,Q6XQN6,0,2.0,0.32899999999999996,B9EJR8
95,Q69VD5,0,0.0,0.321,Q9H329
96,Q94IN5,0,1.0,0.293,A8HN58
97,Q9S7G6,0,3.0,0.308,P58360
98,Q9LU21,0,1.0,0.31,Q9LZW2
99,Q9SGH4,0,3.0,0.29600000000000004,Q8L774
100,Q0VAA5,0,2.0,0.311,Q63HM9
101,Q9NUJ7,0,2.0,0.263,F4JUQ2
