AC,label-val,cluster
Q8TF40,NO_SP,0
Q1ENB6,NO_SP,0
P36001,NO_SP,0
P55317,NO_SP,0
Q9PSY4,NO_SP,0
P55316,NO_SP,0
Q9BZS1,NO_SP,0
F4K2A1,NO_SP,0
B0YLW8,NO_SP,0
Q9SZL8,NO_SP,0
O82533,NO_SP,0
Q8UVD9,NO_SP,0
Q99PF5,NO_SP,0
P93033,NO_SP,0
Q91904,NO_SP,0
Q6EWH2,NO_SP,0
Q9URU9,NO_SP,0
P53913,NO_SP,0
O60318,NO_SP,0
Q64378,NO_SP,0
Q7Z7B0,NO_SP,0
Q6P8X9,NO_SP,0
P53233,NO_SP,0
Q06787,NO_SP,0
Q8W493,NO_SP,0
Q05932,NO_SP,0
P21525,NO_SP,0
Q99958,NO_SP,0
O00358,NO_SP,0
P32614,NO_SP,0
Q9ASS2,NO_SP,0
Q9C0B1,NO_SP,0
P85845,NO_SP,0
P02835,NO_SP,0
P91623,NO_SP,0
Q9FV81,NO_SP,0
Q9UT77,NO_SP,0
P49027,NO_SP,0
Q9M365,NO_SP,0
Q09312,NO_SP,0
Q2VWH6,NO_SP,0
Q8BY35,NO_SP,0
Q945P0,NO_SP,0
Q5HY92,NO_SP,0
Q8NFG4,NO_SP,0
Q9LGE3,NO_SP,0
F4IMQ0,NO_SP,0
O35943,NO_SP,0
Q3E7I5,NO_SP,0
Q6NQJ7,NO_SP,0
Q5TBA9,NO_SP,0
O95073,NO_SP,0
Q05015,NO_SP,0
Q75W17,NO_SP,0
Q9H469,NO_SP,0
Q6P050,NO_SP,0
Q9UTG6,NO_SP,0
Q9CZS3,NO_SP,0
Q9QY14,NO_SP,0
Q9I9E1,NO_SP,0
O43524,NO_SP,0
Q8W035,NO_SP,0
Q14331,NO_SP,0
P42685,NO_SP,0
Q9UTP3,NO_SP,0
Q42545,NO_SP,0
Q9UTI1,NO_SP,0
Q8N1E6,NO_SP,0
P04406,NO_SP,0
Q06179,NO_SP,0
P32785,NO_SP,0
A2RVV7,NO_SP,0
Q70KY4,NO_SP,0
Q9P7X3,NO_SP,0
P16892,NO_SP,0
Q86XJ1,NO_SP,0
P24522,NO_SP,0
Q08605,NO_SP,0
Q6YWF1,NO_SP,0
Q8LK61,NO_SP,0
P14234,NO_SP,0
O89106,NO_SP,0
Q9WTX7,NO_SP,0
Q2V2M9,NO_SP,0
Q9LT47,NO_SP,0
O74191,NO_SP,0
Q96330,NO_SP,0
Q0VG06,NO_SP,0
Q8LPQ9,NO_SP,0
Q03002,NO_SP,0
P70339,NO_SP,0
O14276,NO_SP,0
Q920R4,NO_SP,0
Q3UCQ1,NO_SP,0
P58012,NO_SP,0
Q8K3Q3,NO_SP,0
Q9R1E0,NO_SP,0
Q95V55,NO_SP,0
Q9H334,NO_SP,0
Q07825,NO_SP,0
Q9ZR07,NO_SP,0
Q16595,NO_SP,0
Q07540,NO_SP,0
Q5SYB0,NO_SP,0
P38777,NO_SP,0
Q9DEN4,NO_SP,0
Q9CZV8,NO_SP,0
Q9UQC2,NO_SP,0
P17649,NO_SP,0
Q15007,NO_SP,0
P53889,NO_SP,0
P36141,NO_SP,0
P55318,NO_SP,0
O16850,NO_SP,0
F4J2K2,NO_SP,0
O95684,NO_SP,0
Q96NE9,NO_SP,0
P36088,NO_SP,0
Q3EBQ3,NO_SP,0
Q9ZVC9,NO_SP,0
Q9S793,NO_SP,0
Q9PRJ8,NO_SP,0
O15117,NO_SP,0
Q8VZS9,NO_SP,0
O36024,NO_SP,0
P40099,NO_SP,0
Q68CZ1,NO_SP,0
Q9GPZ7,NO_SP,0
Q12247,NO_SP,0
Q8GVZ6,NO_SP,0
Q8TAE8,NO_SP,0
P83780,NO_SP,0
Q61169,NO_SP,0
P33893,NO_SP,0
Q9FWR5,NO_SP,0
P15442,NO_SP,0
Q96RT7,NO_SP,0
O46567,NO_SP,0
Q9SY66,NO_SP,0
Q8N4E7,NO_SP,0
P35637,NO_SP,0
O74972,NO_SP,0
