,AC,label-val,cluster,max_ident_other,closest_other
0,Q8TF40,NO_SP,0,0.299,P29344
1,Q1ENB6,NO_SP,0,0.28,P48732
2,P36001,NO_SP,0,0.312,Q6K1L7
3,P55317,NO_SP,0,0.253,Q95NM6
4,Q9PSY4,NO_SP,0,0.3,Q86WG3
5,P55316,NO_SP,0,0.265,Q5F2E7
6,Q9BZS1,NO_SP,0,0.321,Q9QXX8
7,F4K2A1,NO_SP,0,0.28600000000000003,Q8RWT8
8,B0YLW8,NO_SP,0,0.289,G8JZT0
9,Q9SZL8,NO_SP,0,0.27399999999999997,Q71A39
10,O82533,NO_SP,0,0.295,P83326
11,Q8UVD9,NO_SP,0,0.28800000000000003,Q9C0Y4
12,Q99PF5,NO_SP,0,0.387,P51532
13,P93033,NO_SP,0,0.309,P08670
14,Q91904,NO_SP,0,0.282,P16163
15,Q6EWH2,NO_SP,0,0.32899999999999996,F1LM93
16,Q9URU9,NO_SP,0,0.315,O74779
17,P53913,NO_SP,0,0.276,Q12400
18,O60318,NO_SP,0,0.301,Q9FME4
19,Q64378,NO_SP,0,0.312,Q91XW8
20,Q7Z7B0,NO_SP,0,0.27399999999999997,Q9C587
21,Q6P8X9,NO_SP,0,0.278,Q8H0P8
22,P53233,NO_SP,0,0.278,F4JY37
23,Q06787,NO_SP,0,0.266,Q5EBL4
24,Q8W493,NO_SP,0,0.359,Q9FKW6
25,Q05932,NO_SP,0,0.28600000000000003,P04067
26,P21525,NO_SP,0,0.405,P41046
27,Q99958,NO_SP,0,0.27,Q9RKZ0
28,O00358,NO_SP,0,0.301,Q8W4D0
29,P32614,NO_SP,0,0.308,P26784
30,Q9ASS2,NO_SP,0,0.267,Q8H0P8
31,Q9C0B1,NO_SP,0,0.303,Q7Z589
32,P85845,NO_SP,0,0.289,Q9NQP4
33,P02835,NO_SP,0,0.273,Q9Y238
34,P91623,NO_SP,0,0.325,Q51705
35,Q9FV81,NO_SP,0,0.295,C8VP82
36,Q9UT77,NO_SP,0,0.287,P24807
37,P49027,NO_SP,0,0.295,O13754
38,Q9M365,NO_SP,0,0.276,Q8WUQ7
39,Q09312,NO_SP,0,0.29100000000000004,Q84K52
40,Q2VWH6,NO_SP,0,0.43799999999999994,A0PJY2
41,Q8BY35,NO_SP,0,0.28,P49406
42,Q945P0,NO_SP,0,0.299,O82277
43,Q5HY92,NO_SP,0,0.295,Q8LAZ7
44,Q8NFG4,NO_SP,0,0.29100000000000004,Q9BQB4
45,Q9LGE3,NO_SP,0,0.321,P78527
46,F4IMQ0,NO_SP,0,0.28800000000000003,O13911
47,O35943,NO_SP,0,0.29100000000000004,P02712
48,Q3E7I5,NO_SP,0,0.312,Q5VUG0
49,Q6NQJ7,NO_SP,0,0.27699999999999997,Q5FWP9
50,Q5TBA9,NO_SP,0,0.303,Q9ZS97
51,O95073,NO_SP,0,0.293,Q9LQF2
52,Q05015,NO_SP,0,0.33299999999999996,P02924
53,Q75W17,NO_SP,0,0.33299999999999996,Q7LL22
54,Q9H469,NO_SP,0,0.309,Q9H0F6
55,Q6P050,NO_SP,0,0.289,O02696
56,Q9UTG6,NO_SP,0,0.278,Q84LK3
57,Q9CZS3,NO_SP,0,0.32899999999999996,P40045
58,Q9QY14,NO_SP,0,0.32899999999999996,P52701
59,Q9I9E1,NO_SP,0,0.268,Q99P30
60,O43524,NO_SP,0,0.321,Q8BG36
