AC,label-val,cluster
Q91VL8,NO_SP,0
Q9VQF7,NO_SP,0
Q9FLU1,NO_SP,0
Q9LLC1,NO_SP,0
Q88T16,LIPO,0
Q4FZB7,NO_SP,0
Q9Y3B6,NO_SP,0
Q5T7N3,NO_SP,0
Q9NYG5,NO_SP,0
Q12163,NO_SP,0
Q99177,NO_SP,0
Q9H1K1,NO_SP,0
P18418,SP,0
Q08202,NO_SP,0
O13908,NO_SP,0
Q9SII6,NO_SP,0
P26493,LIPO,0
O60725,NO_SP,0
Q9JLM4,NO_SP,0
Q54XQ2,NO_SP,0
Q86M34,SP,0
A8D8P8,NO_SP,0
Q8BMQ3,NO_SP,0
O94362,NO_SP,0
Q9M9V6,NO_SP,0
D7UQM5,NO_SP,0
Q12923,NO_SP,0
P43676,NO_SP,0
P36118,NO_SP,0
Q02685,NO_SP,0
O74984,NO_SP,0
O75154,NO_SP,0
Q05652,NO_SP,0
P62378,NO_SP,0
Q92563,SP,0
P26011,SP,0
Q99MD9,NO_SP,0
Q8NUV8,LIPO,0
Q3UUI3,NO_SP,0
Q9MA46,NO_SP,0
Q9VR17,NO_SP,0
O74883,NO_SP,0
Q05902,NO_SP,0
Q0WW55,NO_SP,0
Q9D424,NO_SP,0
Q9SW93,SP,0
P81383,SP,0
Q9UU96,NO_SP,0
P17676,NO_SP,0
P82869,NO_SP,0
P81715,SP,0
P53230,NO_SP,0
B2RY04,NO_SP,0
Q9ZQY6,NO_SP,0
Q8N4X5,NO_SP,0
Q0VGW6,NO_SP,0
Q5BAH2,NO_SP,0
Q5SSJ5,NO_SP,0
Q8MJV4,SP,0
Q9H3K6,NO_SP,0
Q9DDY9,NO_SP,0
P24309,NO_SP,0
P22606,LIPO,0
Q23973,NO_SP,0
Q12416,NO_SP,0
Q9BQB4,SP,0
Q42029,NO_SP,0
P26785,NO_SP,0
A8IVX2,NO_SP,0
Q9FVV7,NO_SP,0
P53927,NO_SP,0
Q04LE4,NO_SP,0
Q13823,NO_SP,0
O43781,NO_SP,0
P23954,SP,0
Q9H9L4,NO_SP,0
O94704,NO_SP,0
P0ABK9,SP,0
P35398,NO_SP,0
P12238,NO_SP,0
P00804,NO_SP,0
