,AC,label-val,cluster,max_ident_other,closest_other
0,Q91VL8,NO_SP,0,0.308,Q09XV5
1,Q9VQF7,NO_SP,0,0.312,Q9F3Q6
2,Q9FLU1,NO_SP,0,0.28800000000000003,Q8T6B9
3,Q9LLC1,NO_SP,0,0.32899999999999996,Q9SIE1
4,Q88T16,LIPO,0,0.321,P28837
5,Q4FZB7,NO_SP,0,0.278,Q9LXI8
6,Q9Y3B6,NO_SP,0,0.276,P24090
7,Q5T7N3,NO_SP,0,0.271,Q15911
8,Q9NYG5,NO_SP,0,0.259,P35775
9,Q12163,NO_SP,0,0.275,P46676
10,Q99177,NO_SP,0,0.303,Q8N1G2
11,Q9H1K1,NO_SP,0,0.436,Q12056
12,P18418,SP,0,0.308,P37902
13,Q08202,NO_SP,0,0.278,P24482
14,O13908,NO_SP,0,0.32899999999999996,Q9BY49
15,Q9SII6,NO_SP,0,0.33799999999999997,P27450
16,P26493,LIPO,0,0.304,C7NWW8
17,O60725,NO_SP,0,0.305,O75629
18,Q9JLM4,NO_SP,0,0.299,Q95V55
19,Q54XQ2,NO_SP,0,0.34600000000000003,P09547
20,Q86M34,SP,0,0.282,P32802
21,A8D8P8,NO_SP,0,0.35,Q03164
22,Q8BMQ3,NO_SP,0,0.309,Q14839
23,O94362,NO_SP,0,0.293,Q5YXD6
24,Q9M9V6,NO_SP,0,0.287,Q76LL6
25,D7UQM5,NO_SP,0,0.308,Q9T041
26,Q12923,NO_SP,0,0.299,A2A288
27,P43676,NO_SP,0,0.282,Q980C7
28,P36118,NO_SP,0,0.282,G5EBY0
29,Q02685,NO_SP,0,0.26899999999999996,Q9ZQ85
30,O74984,NO_SP,0,0.27,Q9JLC3
31,O75154,NO_SP,0,0.368,A7Y7W2
32,Q05652,NO_SP,0,0.28800000000000003,Q8CG72
33,P62378,NO_SP,0,0.27699999999999997,F2Z6D2
34,Q92563,SP,0,0.3,B2UQL7
35,P26011,SP,0,0.27899999999999997,Q67Y99
36,Q99MD9,NO_SP,0,0.307,Q9VBB3
37,Q8NUV8,LIPO,0,0.282,P31956
38,Q3UUI3,NO_SP,0,0.27699999999999997,P09989
39,Q9MA46,NO_SP,0,0.312,Q9LXJ0
40,Q9VR17,NO_SP,0,0.28800000000000003,F4JWS8
41,O74883,NO_SP,0,0.26899999999999996,O89106
42,Q05902,NO_SP,0,0.26899999999999996,P47141
43,Q0WW55,NO_SP,0,0.308,Q8VY06
44,Q9D424,NO_SP,0,0.28800000000000003,P43843
45,Q9SW93,SP,0,0.36,E6Y8S8
46,P81383,SP,0,0.309,Q96RQ9
47,Q9UU96,NO_SP,0,0.276,P59178
48,P17676,NO_SP,0,0.298,P49448
49,P82869,NO_SP,0,0.3,Q7LL22
50,P81715,SP,0,0.35,P52320
51,P53230,NO_SP,0,0.316,Q7TS63
52,B2RY04,NO_SP,0,0.267,O42854
53,Q9ZQY6,NO_SP,0,0.284,Q99504
54,Q8N4X5,NO_SP,0,0.34299999999999997,Q8TED9
55,Q0VGW6,NO_SP,0,0.293,Q9LYT3
56,Q5BAH2,NO_SP,0,0.272,F0JAI6
57,Q5SSJ5,NO_SP,0,0.3,Q922Y1
58,Q8MJV4,SP,0,0.322,P48982
59,Q9H3K6,NO_SP,0,0.3,Q7K3D8
60,Q9DDY9,NO_SP,0,0.308,Q9H6E5
61,P24309,NO_SP,0,0.293,Q03383
62,P22606,LIPO,0,0.33799999999999997,Q9C0C9
63,Q23973,NO_SP,0,0.289,Q8VWI7
64,Q12416,NO_SP,0,0.282,P19484
65,Q9BQB4,SP,0,0.326,Q6X4U4
66,Q42029,NO_SP,0,0.316,Q8ND23
67,P26785,NO_SP,0,0.299,P53317
68,A8IVX2,NO_SP,0,0.27699999999999997,P35462
69,Q9FVV7,NO_SP,0,0.325,Q7Z2W9
70,P53927,NO_SP,0,0.303,O60167
71,Q04LE4,NO_SP,0,0.262,P16947
72,Q13823,NO_SP,0,0.3,Q96NY9
73,O43781,NO_SP,0,0.282,Q9SZ63
74,P23954,SP,0,0.321,P11220
75,Q9H9L4,NO_SP,0,0.28800000000000003,Q08748
76,O94704,NO_SP,0,0.28600000000000003,Q02792
77,P0ABK9,SP,0,0.276,P18278
78,P35398,NO_SP,0,0.309,Q8WUM0
79,P12238,NO_SP,0,0.256,P35705
80,P00804,NO_SP,0,0.303,Q9HZX3
81,Q15080,NO_SP,0,0.289,Q7Z7A4
82,Q9H9T3,NO_SP,0,0.29600000000000004,Q9H4G1
83,Q9P7H8,NO_SP,0,0.29100000000000004,Q42536
84,Q2HWF0,NO_SP,0,0.37799999999999995,Q19253
85,Q9NWS8,NO_SP,0,0.273,P47011
86,Q9MAC9,NO_SP,0,0.304,Q9H4L4
87,P22814,NO_SP,0,0.36200000000000004,Q9UKL0
88,Q06078,NO_SP,0,0.3,Q9UTH0
89,A7UL74,NO_SP,0,0.297,Q0WL81
90,P11442,NO_SP,0,0.264,F4HRV8
91,P53233,NO_SP,0,0.293,P49615
92,O14412,SP,0,0.297,P04957
93,O01501,NO_SP,0,0.3,P50106
94,Q9NR16,SP,0,0.263,P49027
95,Q00IB6,NO_SP,0,0.289,Q9M086
96,P18089,NO_SP,0,0.354,P30543
97,Q53H47,NO_SP,0,0.29600000000000004,P05554
98,Q92355,NO_SP,0,0.26899999999999996,O48917
99,Q9LYD9,NO_SP,0,0.284,P0A6Y8
100,Q5KSB7,SP,0,0.28600000000000003,P18956
101,P21175,SP,0,0.36,P0AD96
102,Q9HGN4,NO_SP,0,0.28800000000000003,Q4PIR3
103,P23369,NO_SP,0,0.315,Q9UUJ5
104,P38307,NO_SP,0,0.304,Q9CR14
105,O94481,NO_SP,0,0.273,Q6QHD1
106,P35496,SP,0,0.293,P04190
107,O17828,NO_SP,0,0.28,Q9UTC7
108,Q76PD2,NO_SP,0,0.32899999999999996,O60114
109,Q96MA6,NO_SP,0,0.28800000000000003,Q9CW46
110,P81058,SP,0,0.276,C4NZN9
111,Q6NRK1,NO_SP,0,0.31,P50111
112,P85970,NO_SP,0,0.278,Q14974
113,P69681,SP,0,0.309,P94522
114,F4IXE7,NO_SP,0,0.253,O70405
115,Q9LN68,NO_SP,0,0.275,Q6IUU3
116,Q46BP2,SP,0,0.33299999999999996,P75198
117,P55955,SP,0,0.309,P10645
118,Q05489,SP,0,0.321,P9WG65
119,Q8WV60,NO_SP,0,0.28,P41214
120,Q10951,NO_SP,0,0.27399999999999997,O74526
121,Q9UUB5,NO_SP,0,0.282,Q19420
122,Q59514,LIPO,0,0.28600000000000003,P25116
123,Q9Z5A4,TAT,0,0.32899999999999996,P9WM45
124,Q99LH2,NO_SP,0,0.3,Q8H103
125,Q5VUA4,NO_SP,0,0.35100000000000003,P36629
126,Q9XIP8,NO_SP,0,0.26899999999999996,Q07653
127,O74840,NO_SP,0,0.275,P21338
128,Q80Z36,NO_SP,0,0.309,Q9UKY1
129,Q09761,NO_SP,0,0.27399999999999997,Q6F4N1
130,P0C8Z8,SP,0,0.311,Q9S3R9
131,Q7L8L6,NO_SP,0,0.28600000000000003,Q9ZUU4
132,P9WIP7,NO_SP,0,0.276,Q8VZ20
133,E0D877,SP,0,0.28600000000000003,Q12UD6
134,Q38874,NO_SP,0,0.27399999999999997,Q7XPY1
135,P0C050,NO_SP,0,0.263,P75296
136,Q96T21,NO_SP,0,0.32899999999999996,O75381
137,O51059,LIPO,0,0.304,O60635
138,P10820,SP,0,0.304,A0A0F7YZQ7
139,O60565,SP,0,0.304,P27177
140,Q6GE63,LIPO,0,0.462,Q49ZU4
141,Q91WK7,NO_SP,0,0.341,Q96JI7
142,P54900,SP,0,0.32899999999999996,Q96IQ7
143,P31069,NO_SP,0,0.266,P21827
144,Q9LXC9,NO_SP,0,0.293,O64654
145,P43572,NO_SP,0,0.32899999999999996,P62995
146,Q9S7G6,NO_SP,0,0.301,Q09146
147,Q9UTR8,NO_SP,0,0.282,Q01682
148,Q84LK0,NO_SP,0,0.28800000000000003,Q03246
149,Q9UNH7,NO_SP,0,0.295,Q5T4T6
150,Q8GWQ6,NO_SP,0,0.272,A1L4W5
151,Q9LQI7,NO_SP,0,0.27699999999999997,Q05874
152,Q9FQ25,NO_SP,0,0.321,O95684
153,P38120,NO_SP,0,0.29100000000000004,Q6VMQ6
154,Q8NJ73,SP,0,0.38,Q4WBS1
155,Q54GH3,NO_SP,0,0.276,P18915
156,P0AGF4,NO_SP,0,0.303,Q9XZS8
157,Q9XXU9,NO_SP,0,0.299,P47093
158,P82920,NO_SP,0,0.263,O81836
159,Q9P7C8,NO_SP,0,0.276,Q10295
160,Q8BXN7,NO_SP,0,0.273,Q8WVC0
161,Q9UTN3,NO_SP,0,0.29600000000000004,O13986
162,Q8TBZ2,NO_SP,0,0.483,Q69CM7
163,O82833,SP,0,0.293,P00805
164,O95406,NO_SP,0,0.488,Q5BJU5
