,AC,label-val,cluster,max_ident_other,closest_other
0,157D_A,0,0.0,0.643,7LNE_A
1,157D_B,0,0.0,0.643,7LNE_A
2,1CSL_B,0,0.0,0.688,1DUQ_B
3,1MSY_A,0,0.0,0.6,1Q96_A
4,1NUJ_A,0,0.0,0.5379999999999999,1YKQ_A
5,1NUJ_C,0,0.0,0.5379999999999999,1YKQ_A
6,1NUJ_E,0,0.0,0.5379999999999999,1YKQ_A
7,1NUJ_G,0,0.0,0.5379999999999999,1YKQ_A
8,1NUV_A,0,0.0,0.5379999999999999,1YKQ_A
9,1NUV_C,0,0.0,0.5379999999999999,1YKQ_A
10,1NUV_E,0,0.0,0.5379999999999999,1YKQ_A
11,1NUV_G,0,0.0,0.5379999999999999,1YKQ_A
12,1P9X_0,0,0.0,0.13699999999999998,1FG0_A
13,1Q9A_A,0,0.0,0.633,1Q93_A
14,1QC0_C,0,0.0,0.526,420D_A
15,1QC0_D,0,0.0,0.6,420D_A
16,1QCU_A,0,0.0,0.615,353D_B
17,1QCU_B,0,0.0,0.5379999999999999,1ZFV_A
18,1QCU_C,0,0.0,0.5379999999999999,1ZFV_A
19,1QCU_D,0,0.0,0.615,353D_B
20,1T0D_B,0,0.0,0.882,1T0E_C
21,1T0D_D,0,0.0,0.882,1T0E_C
22,1XPE_A,0,0.0,0.87,1XP7_A
23,1XPE_B,0,0.0,0.87,1XP7_A
24,1ZX7_A,0,0.0,0.833,1T0E_A
25,1ZX7_C,0,0.0,0.833,1T0E_A
26,1ZX7_E,0,0.0,0.833,1T0E_A
27,1ZX7_G,0,0.0,0.833,1T0E_A
28,1ZZ5_A,0,0.0,0.833,1T0E_A
29,1ZZ5_C,0,0.0,0.833,1T0E_A
30,255D_A,0,0.0,0.917,205D_A
31,2A04_A,0,0.0,0.833,1T0E_A
32,2A04_C,0,0.0,0.833,1T0E_A
33,2B8R_A,0,0.0,0.87,1XP7_A
34,2B8R_B,0,0.0,0.87,1XP7_A
35,2NOK_B,0,0.0,0.7,3TZR_B
36,2NOK_D,0,0.0,0.7,3TZR_B
37,2O44_A,0,0.0,0.13699999999999998,1FG0_A
38,2OE5_A,0,0.0,0.882,2OE6_A
39,2OIJ_A,0,0.0,0.87,1XP7_A
40,2OIJ_B,0,0.0,0.87,1XP7_A
41,2OIY_A,0,0.0,0.87,1XP7_A
42,2OIY_B,0,0.0,0.87,1XP7_A
43,2OJ0_A,0,0.0,0.87,1XP7_A
44,2OJ0_B,0,0.0,0.87,1XP7_A
45,2Q1R_A,0,0.0,0.643,7LNE_A
46,354D_A,0,0.0,0.632,357D_B
47,3CGP_B,0,0.0,0.857,3CGR_B
48,3CGQ_B,0,0.0,0.857,3CGR_B
49,3CGS_B,0,0.0,0.7859999999999999,3CGR_B
50,3DVZ_A,0,0.0,0.633,1Q93_A
51,3FAR_A,0,0.0,0.87,1XP7_A
52,3FAR_B,0,0.0,0.87,1XP7_A
53,3FTM_A,0,0.0,0.588,5T3K_A
54,3FTM_C,0,0.0,0.588,5T3K_A
55,3GS1_A,0,0.0,0.929,1ZFV_A
56,3GS8_A,0,0.0,0.929,1ZFV_A
57,3TZR_A,0,0.0,0.75,2NOK_A
58,413D_A,0,0.0,0.615,1YKQ_A
59,422D_A,0,0.0,0.615,1SDR_B
60,422D_B,0,0.0,0.615,1SDR_B
61,429D_A,0,0.0,0.5379999999999999,1YKQ_A
62,429D_C,0,0.0,0.5379999999999999,1YKQ_A
63,433D_A,0,0.0,0.556,1MME_A
64,433D_B,0,0.0,0.556,1MME_A
65,480D_A,0,0.0,0.633,1Q93_A
66,483D_A,0,0.0,0.633,1Q93_A
67,4C40_A,0,0.0,0.619,7EAG_A
68,4CS1_A,0,0.0,0.619,7EAG_A
